comparison,sample_id,deltaT_quartile,point_sse_delta_K2,outcome,P_operator_W,source_concentration,q_weighted_inverse_kz_mK_W,anisotropy_xy_over_z,log_top_h_W_m2K
shape_V32+scale_O075_minus_V32,sample_0014,Q4,-10.587852335916669,win,1.4152010381866746,4.260259628488802,0.1661538199456739,1.3930286851466738,7.924990017151651
shape_V32+scale_O075_minus_V32,sample_0023,Q2,0.46214250084115904,loss,0.4648959858257915,2.7512598557253845,0.13091247094509895,1.2373449193649162,7.780352022378894
shape_V32+scale_O075_minus_V32,sample_0027,Q3,-9.133809441375028,win,0.7282132765770551,6.055776970950946,0.02931186123869092,1.438564185454907,5.523439112437897
shape_V32+scale_O075_minus_V32,sample_0037,Q2,-0.24586100469339112,win,0.8964694359693468,4.030060933212591,0.06878508785006869,4.6871102347720415,6.264021684613268
shape_V32+scale_O075_minus_V32,sample_0053,Q3,0.2352497578323014,loss,1.2023210060093878,5.870525555588475,0.016987060677941188,1.008283355911156,7.5104648774335985
shape_V32+scale_O075_minus_V32,sample_0059,Q3,0.06163878328562289,loss,0.8617255690152267,1.4502456667974144,0.1566749154602221,1.1355224911203625,7.314091614089314
shape_V32+scale_O075_minus_V32,sample_0061,Q1,0.0740852158430534,loss,0.317940960587773,3.85634915015144,0.04472198983289229,1.0784817951149852,6.447299621364552
shape_V32+scale_O075_minus_V32,sample_0075,Q2,-0.6699348989761246,win,0.8805630931734794,3.5209962324553086,0.022238888292977488,1.6215638522643634,5.7805367632232825
shape_V32+scale_O075_minus_V32,sample_0077,Q3,1.755910257260294,loss,1.8535252654421974,3.3731991786842275,0.027687064537294966,1.0142842802548435,7.548007622307141
shape_V32+scale_O075_minus_V32,sample_0084,Q1,0.004266041341799531,loss,1.7108204773726943,4.3190755184628795,0.005993259095147739,1.0759581077806453,5.887308749297235
shape_V32+scale_O075_minus_V32,sample_0085,Q2,12.715480374496655,loss,3.3216821015742886,3.0104672403842,0.01616437095858523,1.0,6.773117019435622
shape_V32+scale_O075_minus_V32,sample_0108,Q2,-0.1552568543459507,win,0.76438808902289,1.320183279534384,0.0474323751029032,1.0381067548560152,5.940537849928422
shape_V32+scale_O075_minus_V32,sample_0130,Q2,-0.712756440822107,win,0.4561463195884825,4.74953131719126,0.14285714285714285,2.6338008988151973,7.413362741997149
shape_V32+scale_O075_minus_V32,sample_0153,Q3,7.026376271686921,loss,2.2724052797735133,3.3423179036038926,0.03614716435267327,1.002132871465402,7.471931245395025
shape_V32+scale_O075_minus_V32,sample_0155,Q2,-0.15845126946735477,win,0.6541696288499962,1.3143871168255352,0.04652015129044325,1.2708003903958114,7.27502550762157
shape_V32+scale_O075_minus_V32,sample_0162,Q1,-0.0015780084680603948,win,0.4141624405834521,1.4104805021666098,0.030353168486562592,1.007829975591124,7.40713318219094
shape_V32+scale_O075_minus_V32,sample_0169,Q4,1.017080503005463,loss,0.9069508309957184,1.5584542008297289,0.29810829449408915,2.2685736032305988,5.8337634170472645
shape_V32+scale_O075_minus_V32,sample_0171,Q1,-0.0017955052569534335,win,0.08925043216177896,4.226671407072149,0.14073915173609866,1.037870430941033,7.936605360900202
shape_V32+scale_O075_minus_V32,sample_0194,Q4,-2.6767514782652455,win,5.267275463145131,2.9200087973231432,0.017520530824304558,1.1262123817516447,7.642608753643941
shape_V32+scale_O075_minus_V32,sample_0195,Q3,1.2375102644861649,loss,0.5286219583743985,5.614209458246381,0.05562602576705639,1.6115015701177682,5.826162489714171
shape_V32+scale_O075_minus_V32,sample_0196,Q1,0.00430554385054769,loss,0.5832441424971047,1.452761234974156,0.024069037123757155,0.8787721834783457,6.674219744806012
shape_V32+scale_O075_minus_V32,sample_0206,Q1,-0.9339971399339888,win,0.9095893439705849,6.410786241294826,0.0015389963689589417,0.9225009479094168,7.374190808128436
shape_V32+scale_O075_minus_V32,sample_0213,Q3,3.018473227326777,loss,0.2541957089161052,8.978355153360967,0.3338061608476159,1.085279508389678,5.830960495500087
shape_V32+scale_O075_minus_V32,sample_0224,Q3,0.010471732092373731,loss,0.9832053204198379,1.3253136792522353,0.1960241993555455,1.9456277483464532,7.41472399655039
shape_V32+scale_O075_minus_V32,sample_0226,Q1,-0.06012547014015009,win,0.08353949202471203,3.6913892409238405,0.10109604834870858,0.9062395399111787,6.818280171927066
shape_V32+scale_O075_minus_V32,sample_0229,Q4,-15.258783863610908,win,2.751753500691085,3.7344118937356483,0.04203707317954375,1.9425061245283546,6.509951935098846
shape_V32+scale_O075_minus_V32,sample_0234,Q3,-0.3303574482617573,win,1.1882882625237867,5.9610214344619346,0.05103742403173486,1.0206213002705935,5.636490924538919
shape_V32+scale_O075_minus_V32,sample_0240,Q1,0.039821085397945044,loss,0.10661600730841958,4.115985743764149,0.22418058396067897,1.9776749775050302,6.076395173001674
shape_V32+scale_O075_minus_V32,sample_0262,Q4,5.068574512288613,loss,0.6019470200550041,5.500344706695107,0.5822071184545925,1.8682779513541337,6.614191937197189
shape_V32+scale_O075_minus_V32,sample_0265,Q2,-0.9894436409054794,win,0.4899694198487844,4.583531723308358,0.005875170317264867,2.1240112281012657,6.292960273201742
shape_V32+scale_O075_minus_V32,sample_0271,Q4,-70.04325470565327,win,2.0843405365328556,6.668081843802681,0.03272332120263857,1.0997412122757035,6.23541644784522
shape_V32+scale_O075_minus_V32,sample_0281,Q4,51.07627181315106,loss,1.5914250429244843,4.902140239739195,0.09395981479067918,1.4821907799619052,6.063013675719138
shape_V32+scale_O075_minus_V32,sample_0283,Q2,0.21204451109995937,loss,0.38698123459717626,5.314651010871373,0.1118546677894914,1.4476807581768514,7.798186092344954
shape_V32+scale_O075_minus_V32,sample_0304,Q2,-0.2201695662933849,win,1.2985418653417093,4.23878634400479,0.015819015021283835,1.1718329259755578,7.928316391283577
shape_V32+scale_O075_minus_V32,sample_0323,Q4,-5.934369737626358,win,1.8735566741125684,4.466673856537921,0.06855365385024924,1.6812799303908212,5.448632843952611
shape_V32+scale_O075_minus_V32,sample_0325,Q4,-22.394401219741567,win,1.2053004532078577,5.526796918557375,0.2137795872406109,1.6777354152287924,7.59282623103011
shape_V32+scale_O075_minus_V32,sample_0334,Q1,-0.0025488435313346875,win,0.12793763435336566,4.111447361613515,0.0045938694252734375,2.325756827350728,7.415734978067894
shape_V32+scale_O075_minus_V32,sample_0348,Q4,-4.706051385412735,win,0.9789987202397752,3.2903606292826337,0.4820003572062815,1.4146709738297054,6.255987293102183
shape_V32+scale_O075_minus_V32,sample_0360,Q3,-2.536155312352001,win,2.805297165604597,4.019819508367592,0.016365732652260396,1.1549727794096698,6.313260073631174
shape_V32+scale_O075_minus_V32,sample_0364,Q4,-0.051476162632752676,win,1.893446082531892,11.39168816003401,0.07913727193363315,1.810522255557634,7.663563079556858
shape_V32+scale_O075_minus_V32,sample_0371,Q3,0.19061553584561608,loss,0.9782791634570116,5.829845578712073,0.161574263016375,2.145938285991955,5.382729304661535
shape_V32+scale_O075_minus_V32,sample_0384,Q1,9.597536784766714e-05,loss,0.25386131360634556,1.3841693302152664,0.05699899853767471,0.7039291107888923,6.700743611354657
shape_V32+scale_O075_minus_V32,sample_0408,Q2,-0.17507116640852782,win,1.424522769759438,8.617922336443472,0.010578620367545937,0.7802350370966121,6.967099565549234
shape_V32+scale_O075_minus_V32,sample_0411,Q1,0.0027172572485876234,loss,0.17799321134079638,3.3387522977248074,0.040613464660463214,1.285511316731326,6.267053642616471
shape_V32+scale_O075_minus_V32,sample_0419,Q3,-0.3662134102013428,win,0.9386759976510927,1.3130739585460907,0.05729896709097706,0.5189871406799972,5.418847758120218
shape_V32+scale_O075_minus_V32,sample_0426,Q4,38.30098473239292,loss,0.6777723821796975,1.3124654665598074,0.7981004922230358,1.6757064330767688,6.5058092382723025
shape_V32+scale_O075_minus_V32,sample_0427,Q3,2.5746074659236706,loss,1.77613010808883,5.021047570572405,0.008198310161956405,1.2510110231661546,7.341837486853123
shape_V32+scale_O075_minus_V32,sample_0445,Q4,5.958276225907209,loss,2.1341609153295593,2.830031432117095,0.009065530703125355,1.17563232741697,7.4340492437708425
shape_V32+scale_O075_minus_V32,sample_0446,Q1,0.09368890439567701,loss,1.1844742925200085,2.317006620202796,0.003921086650527909,1.7063169708813921,5.514293725721144
shape_V32+scale_O075_minus_V32,sample_0454,Q3,-0.5520375777695533,win,0.6952840296758694,1.3936296016848702,0.27203747857750366,2.0091541952484278,7.462781393718262
shape_V32+scale_O075_minus_V32,sample_0460,Q1,-0.0015840399755514267,win,0.8768614728336936,3.3841127937409374,0.011636929574986266,1.1384126697847543,7.561151989878368
shape_V32+scale_O075_minus_V32,sample_0463,Q2,-0.21769384556074867,win,1.1155882217579174,7.282660748225302,0.0024698741922989788,1.5557965565153717,6.025387723875365
shape_V32+scale_O075_minus_V32,sample_0480,Q3,0.9550703688091478,loss,0.9572838328772664,3.4040151220385133,0.07962630231875921,0.6864893950288302,7.544237213389838
shape_V32+scale_O075_minus_V32,sample_0497,Q4,2.6838738925635113,loss,0.726458991010221,3.486390483491512,0.16365846779742316,0.8471109669915581,6.676781608106824
shape_V32+scale_O075_minus_V32,sample_0515,Q4,-23.13584114269741,win,0.8506767233628995,1.3122538936885078,0.31392168954658384,1.2476220539072336,7.790907679004025
shape_V32+scale_O075_minus_V32,sample_0516,Q3,-0.28328966844923675,win,0.9487020551334249,6.56372616406731,0.03333333333333333,0.990914868451853,5.468369508871535
shape_V32+scale_O075_minus_V32,sample_0518,Q2,-43.30133434981315,win,0.2887618911100278,11.508565003331276,0.09482817093331793,2.239217771134461,7.3144462685314435
shape_V32+scale_O075_minus_V32,sample_0531,Q3,-2.7446752986704084,win,1.2773604000112475,4.080547684023378,0.08734921936444502,1.6249587368699843,6.631521035245774
shape_V32+scale_O075_minus_V32,sample_0534,Q3,7.971749576427323,loss,1.0619411173796929,4.809304588370698,0.26751015236879433,2.5041141750071696,7.066543751936636
shape_V32+scale_O075_minus_V32,sample_0545,Q2,-0.30485321472306715,win,0.8786453257043809,3.7155989396183298,0.03874199273188139,1.2829897870950497,6.962282904920285
shape_V32+scale_O075_minus_V32,sample_0561,Q1,-2.1109759161003563,win,0.9340629755701481,1.3126557967471402,0.026002346968432306,0.4274583169427636,5.833282006277019
shape_V32+scale_O075_minus_V32,sample_0562,Q3,3.805520371777111,loss,1.4653668395159398,4.050754023576136,0.031884149803001006,0.9165106960628994,6.470014302821522
shape_V32+scale_O075_minus_V32,sample_0587,Q4,0.1148553392435403,loss,1.4479077994476999,4.4034018110232225,0.05858838095538775,1.1662398905817914,5.943366431197295
shape_V32+scale_O075_minus_V32,sample_0588,Q2,-1.856063152974309,win,0.44824155951974093,1.3126697214865153,0.217700038413196,1.8094386695116442,7.2701543539528
shape_V32+scale_O075_minus_V32,sample_0594,Q3,-0.3376742255004923,win,0.5641477006710458,4.843245570770454,0.05648962896152363,0.847670811785658,6.531531570249318
shape_V32+scale_O075_minus_V32,sample_0599,Q3,-3.9258053471362677,win,1.7454641586483577,3.987860604868123,0.047710110259179726,1.3889508470920087,5.465015293262533
shape_V32+scale_O075_minus_V32,sample_0606,Q2,-7.0302408769635125,win,0.13021400370202424,4.5676014887265985,0.7176326080236909,2.3569559420909507,6.766727681279407
shape_V32+scale_O075_minus_V32,sample_0617,Q4,-13.6937205364666,win,1.1552041462243796,6.851624697361979,0.04616112941054807,0.9318248586541255,5.724011253750381
