comparison,deltaT_quartile,sample_count,win_count,loss_count,tie_count,win_rate,point_sse_net_delta_K2,point_sse_median_delta_K2,point_sse_absolute_delta_fraction
shape_V32+scale_O075_minus_V32,Q1,32,18,14,0,0.5625,-3.903408396843692,-0.0016897726162524301,0.0077432401086203455
shape_V32+scale_O075_minus_V32,Q2,32,22,10,0,0.6875,-55.490352395315966,-0.19638250598463824,0.10624719428263463
shape_V32+scale_O075_minus_V32,Q3,32,15,17,0,0.46875,-36.73433547954626,0.03605525768899831,0.14545128224548262
shape_V32+scale_O075_minus_V32,Q4,32,17,15,0,0.53125,277.1148977077455,-0.307765341464572,0.7405582833632623
shape_O075+scale_V32_minus_V32,Q1,32,14,18,0,0.4375,0.7080957855072713,0.000765864749176262,0.006722340031539019
shape_O075+scale_V32_minus_V32,Q2,32,10,22,0,0.3125,3.0994695991256314,0.15058173025117172,0.06705420411248247
shape_O075+scale_V32_minus_V32,Q3,32,14,18,0,0.4375,12.004140900182598,0.11568462624753906,0.18469053889961257
shape_O075+scale_V32_minus_V32,Q4,32,13,19,0,0.40625,65.5398641788206,1.169956083572444,0.7415329169563659
shape_V32+scale_O075_minus_O075,Q1,32,19,13,0,0.59375,-0.7776066987201592,-0.001355659332895831,0.006358930453739361
shape_V32+scale_O075_minus_O075,Q2,32,22,10,0,0.6875,-4.658936968515857,-0.13409105364959473,0.06862379740705586
shape_V32+scale_O075_minus_O075,Q3,32,17,15,0,0.53125,-10.105629938903778,-0.11433105389891307,0.21235959426862303
shape_V32+scale_O075_minus_O075,Q4,32,21,11,0,0.65625,-56.96134573069803,-1.1486251757759813,0.7126576778705817
shape_O075+scale_V32_minus_O075,Q1,32,14,18,0,0.4375,3.833897483630804,0.0017636064524162403,0.007666631344930807
shape_O075+scale_V32_minus_O075,Q2,32,10,22,0,0.3125,53.930885025925726,0.1813616242710343,0.10654070786901013
shape_O075+scale_V32_minus_O075,Q3,32,18,14,0,0.5625,38.63284644082507,-0.07421822576871029,0.14830860784865438
shape_O075+scale_V32_minus_O075,Q4,32,15,17,0,0.46875,-268.53637925962295,0.16716013045528832,0.7374840529374047
