comparison,variable,baseline,candidate,stratum,sample_count,baseline_point_error_squared_sum,candidate_point_error_squared_sum,delta_point_error_squared_sum,baseline_shape_point_sse_K2,candidate_shape_point_sse_K2,delta_shape_point_sse_K2,baseline_scale_point_sse_K2,candidate_scale_point_sse_K2,delta_scale_point_sse_K2,baseline_cross_point_sse_K2,candidate_cross_point_sse_K2,delta_cross_point_sse_K2
V42_minus_V38,objective,V38,V42,all,128,2606.999943707003,2605.075913525087,-1.9240301819161159,1489.0094066468562,1299.141393303332,-189.86801334352418,1253.218159697301,1394.7126632619186,141.49450356461745,-135.22762263715452,-88.77814304016368,46.449479596990834
V42_minus_V38,objective,V38,V42,Q1,32,12.478421846556415,13.283480478168189,0.8050586316117726,7.326734064465402,6.383798631654654,-0.9429354328107477,4.995036176799453,6.841024889810052,1.8459887130105994,0.15665160529156075,0.05865695670348282,-0.09799464858807792
V42_minus_V38,objective,V38,V42,Q2,32,131.0081328530145,90.82804572683168,-40.18008712618283,54.23227052539396,52.88795298693716,-1.3443175384568,78.71560854966913,36.34801652008618,-42.36759202958294,-1.939746222048572,1.5920762198083294,3.5318224418569013
V42_minus_V38,objective,V38,V42,Q3,32,402.952387096376,349.6885987109974,-53.26378838537863,176.29323507749885,168.2934078292365,-7.999827248262364,228.2977024026371,175.9840884140558,-52.31361398858129,-1.6385503837599276,5.411102467705103,7.04965285146503
V42_minus_V38,objective,V38,V42,Q4,32,2060.561001911056,2151.2757886090894,90.71478669803358,1251.157166979498,1071.5762338555037,-179.58093312399427,941.2098125681954,1175.5395334379664,234.32972086977108,-131.80597763663758,-95.8399786843806,35.965998952256975
V43_minus_V38,xy_scale_features,V38,V43,all,128,2606.999943707003,2728.410264428283,121.41032072128009,1489.0094066468562,1347.1027679913875,-141.90663865546887,1253.218159697301,1516.431798229333,263.21363853203206,-135.22762263715452,-135.12430179243754,0.10332084471697772
V43_minus_V38,xy_scale_features,V38,V43,Q1,32,12.478421846556415,12.642191952480385,0.16377010592396948,7.326734064465402,6.809827075269248,-0.5169069891961542,4.995036176799453,5.132779625088908,0.13774344828945473,0.15665160529156075,0.699585252122229,0.5429336468306682
V43_minus_V38,xy_scale_features,V38,V43,Q2,32,131.0081328530145,93.825870111154,-37.18226274186051,54.23227052539396,47.66522494996623,-6.567045575427728,78.71560854966913,47.21022796247738,-31.50538058719174,-1.939746222048572,-1.0495828012896171,0.8901634207589546
V43_minus_V38,xy_scale_features,V38,V43,Q3,32,402.952387096376,348.6388559177098,-54.31353117866622,176.29323507749885,170.8261074338554,-5.467127643643457,228.2977024026371,167.01167613018623,-61.28602627245087,-1.6385503837599276,10.801072353668152,12.43962273742808
V43_minus_V38,xy_scale_features,V38,V43,Q4,32,2060.561001911056,2273.3033464469386,212.74234453588286,1251.157166979498,1121.8016085322965,-129.35555844720153,941.2098125681954,1297.0771145115805,355.8673019433852,-131.80597763663758,-145.5753765969383,-13.769398960300723
V44_minus_V43,deepsets,V43,V44,all,128,2728.410264428283,2634.4676208412525,-93.94264358703062,1347.1027679913875,1353.402734197862,6.299966206474427,1516.431798229333,1459.9854697667438,-56.44632846258918,-135.12430179243754,-178.9205831233534,-43.79628133091586
V44_minus_V43,deepsets,V43,V44,Q1,32,12.642191952480385,8.455826077484618,-4.186365874995767,6.809827075269248,6.114558769652817,-0.6952683056164313,5.132779625088908,2.206681679489938,-2.92609794559897,0.699585252122229,0.1345856283418641,-0.5649996237803648
V44_minus_V43,deepsets,V43,V44,Q2,32,93.825870111154,96.12433187952833,2.2984617683743322,47.66522494996623,42.755508892660565,-4.909716057305667,47.21022796247738,52.78305474802118,5.572826785543802,-1.0495828012896171,0.5857682388465851,1.6353510401362021
V44_minus_V43,deepsets,V43,V44,Q3,32,348.6388559177098,304.1871818401094,-44.4516740776004,170.8261074338554,158.12066394002463,-12.705443493830778,167.01167613018623,137.88979592980843,-29.1218802003778,10.801072353668152,8.176721970276331,-2.6243503833918216
V44_minus_V43,deepsets,V43,V44,Q4,32,2273.3033464469386,2225.70028104413,-47.60306540280879,1121.8016085322965,1146.4120025955237,24.610394063227304,1297.0771145115805,1267.1059374094243,-29.971177102156215,-145.5753765969383,-187.81765896081816,-42.24228236387988
