comparison,baseline,candidate,sample_id,deltaT_quartile,true_scale_cv_rms_K,point_true_squared_sum,baseline_point_sse_K2,candidate_point_sse_K2,delta_point_sse_K2,baseline_sample_relative_pct,candidate_sample_relative_pct,delta_sample_relative_pct
V45_minus_V38,V38,V45,sample_0014,Q4,1.2896650226372384,1212.4752217344799,24.882071876417562,17.284745053648244,-7.597326822769318,13.241418338698965,10.846824813414655,-2.3945935252843107
V45_minus_V38,V38,V45,sample_0023,Q2,0.2629658707962856,51.79908573660821,1.1813021688391727,1.5477387717476112,0.3664366029084385,15.253560671677032,17.826581452290842,2.5730207806138106
V45_minus_V38,V38,V45,sample_0027,Q3,0.5366140210141005,290.03830779957553,7.147118665382122,6.657106520393574,-0.4900121449885475,14.453349132127851,14.012214383281464,-0.44113474884638904
V45_minus_V38,V38,V45,sample_0037,Q2,0.22343163865336263,41.84965916775464,1.6994108588863912,1.422506372549985,-0.2769044863364063,20.36552580851599,19.97147847860988,-0.3940473299061137
V45_minus_V38,V38,V45,sample_0053,Q3,0.4663458019698718,190.7651280653868,8.61707844850364,7.145993990316956,-1.4710844581866844,22.19078831371836,19.675611604789136,-2.515176708929223
V45_minus_V38,V38,V45,sample_0059,Q3,0.6962427182377497,403.6221165488994,6.748569476385459,3.3469632373832776,-3.4016062390021813,12.665698359014165,8.783137397825747,-3.882560961188418
V45_minus_V38,V38,V45,sample_0061,Q1,0.08382224791294639,5.432192680931734,0.18929732483424697,0.10990698076488822,-0.07939034406935874,18.63425947292877,14.002918446050188,-4.63134102687858
V45_minus_V38,V38,V45,sample_0075,Q2,0.1759556525077124,28.152606406487777,0.726106761325176,0.6009615959666075,-0.12514516535856857,16.025012086307715,14.332474668868528,-1.6925374174391856
V45_minus_V38,V38,V45,sample_0077,Q3,0.5243418484033366,242.5605229172584,7.77754354458215,5.62944877670118,-2.14809476788097,16.961800270264416,14.717657936851564,-2.244142333412852
V45_minus_V38,V38,V45,sample_0084,Q1,0.1663770492536331,24.385466756225213,0.43388711526132095,0.5725418612047095,0.13865474594338856,12.99897406068095,14.823720123338777,1.8247460626578254
V45_minus_V38,V38,V45,sample_0085,Q2,0.35151646004990067,104.68335266696718,5.092178896700292,4.888377127251173,-0.20380176944911899,21.32244020290904,21.06471552103674,-0.25772468187230113
V45_minus_V38,V38,V45,sample_0108,Q2,0.2914894514933416,77.55964209641094,0.7224508042274631,0.9053106705507385,0.18285986632327544,9.333748416775615,10.553362429299298,1.2196140125236843
V45_minus_V38,V38,V45,sample_0130,Q2,0.3034592316489574,76.2737900170437,1.5859073261038437,0.689322777704407,-0.8965845483994367,14.708282677994836,9.421409472213755,-5.286873205781081
V45_minus_V38,V38,V45,sample_0153,Q3,0.5671374625740733,269.80825827908126,67.61760699007881,25.425733978229108,-42.19187301184971,51.56359685276314,31.51878560467971,-20.044811248083427
V45_minus_V38,V38,V45,sample_0155,Q2,0.23407834265904284,48.31053007844882,0.5255824727978307,0.27204016699078204,-0.2535423058070486,10.245729962995863,7.298221775285703,-2.947508187710161
V45_minus_V38,V38,V45,sample_0162,Q1,0.104607551461206,9.74810167550385,0.02659115573448283,0.0334118848175478,0.006820729083064973,5.016710975425676,5.485399394036459,0.46868841861078325
V45_minus_V38,V38,V45,sample_0169,Q4,1.3291137206236883,1446.643988493216,10.282855279932289,7.839988847975838,-2.4428664319564506,8.111552821006091,7.2966858096887925,-0.8148670113172995
V45_minus_V38,V38,V45,sample_0171,Q1,0.07917458795069666,4.522029030624914,0.11631416690264704,0.1088745314050754,-0.007439635497571637,15.565369329539378,15.392969456331418,-0.17239987320795958
V45_minus_V38,V38,V45,sample_0194,Q4,0.9539930273758233,837.5578566425703,20.479010486633616,8.582043703151518,-11.896966783482098,14.844235356148,9.518946059152759,-5.325289296995241
V45_minus_V38,V38,V45,sample_0195,Q3,0.47324039844335775,200.8743728297319,3.6013721849523277,3.599205899738143,-0.0021662852141846045,13.367958690826923,13.140782944409596,-0.22717574641732685
