model,config_id,checkpoint,epoch,checkpoint_sha256,training_commit,source_host,point_global_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,legacy_normalized_valid_base_mse,shape_cv_rmse,scale_log_rmse,amplitude_ratio,spatial_correlation,hotspot_cv_weighted_rmse_K,top5_cv_weighted_rmse_K,strong_q_cv_weighted_rmse_K,low_deltaT_background_bias_K,low_deltaT_background_rmse_K,low_deltaT_background_over_ratio
V38,V4P5_38_gate6n_v36_r2r_mask_p005_e600,point_global_best,231,18a3382252858cfd4daf3c5cf4b8a585b903fbaf254e8159922c1df0fcc874bf,0c49084,wsl2,21.94491479266383,20.605917344454046,0.15732761202813314,0.03134355832867832,0.14842138047916398,0.17812646693277936,0.9781966828033023,0.9808525572543603,0.29378918965583933,0.44835596034305575,0.35470587609500026,0.010120231350171139,0.02204826044345727,0.4960297853030256
V38,V4P5_38_gate6n_v36_r2r_mask_p005_e600,sample_first_best,543,e26e50b432ebab2858fcf9c5597d2bb85715d181c48292c3cc85c7749b790869,0c49084,wsl2,22.728350863422055,19.942082088661483,0.16325264556472055,0.0336214431746767,0.13984944763380894,0.1755976015590524,0.9841244135309283,0.9825750552671388,0.2954429275290019,0.4441531505007198,0.34455582622484876,0.003977465701412479,0.017158535790173998,0.37267847686865674
V38,V4P5_38_gate6n_v36_r2r_mask_p005_e600,legacy_best,231,14d3c84c0cc434eaad28f45e19d8626b667c6632e1da0ffdb98c86dff9e378ff,0c49084,wsl2,21.944841351760235,20.60602649893935,0.15732718641080434,0.03134334854017694,0.14842253158071603,0.17812593134357232,0.9781972092844777,0.9808527006054861,0.29379625556219324,0.44838889477943333,0.35472913967432085,0.0101195754160095,0.022047698437611268,0.4961097732604266
V38,V4P5_38_gate6n_v36_r2r_mask_p005_e600,final,600,c23d09e999c2593a256257bf86f502ec556eb7f26e021575c862272f2bf8bbb1,0c49084,wsl2,22.643387296216485,20.16007982143378,0.1626796236931319,0.033370544333051366,0.1412053487365312,0.17358901848483818,0.995175961860551,0.9822009984843847,0.2958249707061526,0.44219782513793016,0.341917529419232,0.004781346800165031,0.017842817284744912,0.3897232398308724
V42,V4P5_42_gate6q_objective_only_e600,point_global_best,257,fd1006092976a43d8fb0e26e52142395d1e6233a422d03d41055c915a3e67752,580cf50,devbox,21.936815354126658,19.250517211712364,0.15634710952501843,0.031320426010483,0.14300772479942028,0.14713299677865432,1.0195547879160882,0.9815720481126937,0.2826226063207836,0.426451120034416,0.3385304872997881,0.006000111604728589,0.019727775286653614,0.4029945803084632
V42,V4P5_42_gate6q_objective_only_e600,sample_first_best,591,ff1b78154e834ccd0c950f5d05df9bbc0c0cef5d93565b8aa1b779428d34f765,580cf50,devbox,22.488765905330318,17.70631108414868,0.1615138009434834,0.032916355836537334,0.1326889762979022,0.14798478645673344,0.9869386878089186,0.9841912695149807,0.28047689443047336,0.43155413287573574,0.3477051849650378,0.0053597680673620526,0.01726164808972644,0.4101315563016541
V42,V4P5_42_gate6q_objective_only_e600,legacy_best,257,18fcc0343e40989a7fb98b8fe004d9b89460b215b3926ece5e9b59c76ce60459,580cf50,devbox,21.93714826347909,19.25068284759888,0.15635020958089155,0.031321376644537297,0.14300903796014192,0.14713720666131408,1.0195549418925491,0.9815717998916751,0.28262719861786073,0.42646412109394544,0.3385521086017652,0.0060001242082045195,0.01972756974712713,0.4029133208106349
V42,V4P5_42_gate6q_objective_only_e600,final,600,dbd2db3357ee341d356b45136833b896bfbaf7f3f63eec105211ca30583e3159,580cf50,devbox,22.739239483925004,17.85341825680561,0.16308678157606654,0.03365366538301331,0.13332618246772895,0.1480672604328741,0.9931497979842814,0.9840977831873294,0.2834107195064277,0.4315241535418305,0.348014836016052,0.004320814627148276,0.016865671953510162,0.36465903061977495
V43,V4P5_43_gate6q_xy_scale_features_e600,point_global_best,276,411cc6ddd2a0c222b98acc89c934d016b76d0fa2b66bddbdef4486ba0b550a7c,580cf50,devbox,22.450097184635005,20.068498030972187,0.16138691070067995,0.032803255893466096,0.14397481190493877,0.15871275779829946,1.0086037332196522,0.9818382574417781,0.2882424841752844,0.4410561648925741,0.349340414140603,0.00682243582439431,0.019450182758615847,0.4369175563560569
V43,V4P5_43_gate6q_xy_scale_features_e600,sample_first_best,465,7699b49934ae2dd4495ced0a0727f11cd4c475d31bf763640634e5dad41b1eb1,580cf50,devbox,22.99861454793393,18.972584483481125,0.16533452510724891,0.034425784857597265,0.13686307875605302,0.1585464151290022,0.9788519805450082,0.9836089738218191,0.2944513923932768,0.46563574171215805,0.35784165346920455,0.004896990920112335,0.01682138748702721,0.4068568446791903
