sample_id,role,bypass_residual_scale,bypass_residual_normalized_mean_abs,bypass_residual_normalized_rmse,bypass_residual_raw_delta_cv_rms_K,bypass_residual_raw_delta_mean_abs_K,full_sample_id,full_split,full_point_count,full_cv_volume_m3,full_point_error_squared_sum,full_point_true_abs_sum,full_point_count_for_global,full_raw_cv_error_squared_integral_K2_m3,full_raw_cv_volume_m3,full_sample_cv_relative_rmse,full_raw_cv_weighted_rmse_K,full_amplitude_ratio,full_spatial_correlation,full_hotspot_cv_weighted_rmse_K,full_top5_cv_weighted_rmse_K,full_strong_q_cv_weighted_rmse_K,full_strong_q_active,full_low_deltaT_background_bias_K,full_low_deltaT_background_rmse_K,full_low_deltaT_background_over_ratio,full_shape_cv_rmse,full_scale_log_error,full_scale_log_squared_error,full_true_scale_cv_rms_K,full_pred_scale_cv_rms_K,full_legacy_normalized_base_mse,without_bypass_sample_id,without_bypass_split,without_bypass_point_count,without_bypass_cv_volume_m3,without_bypass_point_error_squared_sum,without_bypass_point_true_abs_sum,without_bypass_point_count_for_global,without_bypass_raw_cv_error_squared_integral_K2_m3,without_bypass_raw_cv_volume_m3,without_bypass_sample_cv_relative_rmse,without_bypass_raw_cv_weighted_rmse_K,without_bypass_amplitude_ratio,without_bypass_spatial_correlation,without_bypass_hotspot_cv_weighted_rmse_K,without_bypass_top5_cv_weighted_rmse_K,without_bypass_strong_q_cv_weighted_rmse_K,without_bypass_strong_q_active,without_bypass_low_deltaT_background_bias_K,without_bypass_low_deltaT_background_rmse_K,without_bypass_low_deltaT_background_over_ratio,without_bypass_shape_cv_rmse,without_bypass_scale_log_error,without_bypass_scale_log_squared_error,without_bypass_true_scale_cv_rms_K,without_bypass_pred_scale_cv_rms_K,without_bypass_legacy_normalized_base_mse
sample_0000,train,0.5,0.3105535516369855,0.31256543011060994,0.12257142582766868,0.12369379183620587,sample_0000,train,1024,2.0000000000000004e-07,1.731825533778087,518.2220458984375,1024,3.9334379279893035e-10,2.0000000000000004e-07,0.0491506769586488,0.04434770528442989,1.0210236884133415,0.9982458853853514,0.07966162027682319,0.1257887956120436,0.13952255995629653,True,0.005714425438180053,0.015179562778332949,0.5525862068965518,0.04396761983800763,0.02080574010177046,0.00043287882118241947,0.9022806607880555,0.9212499282618474,0.00266514846918852,sample_0000,train,1024,2.0000000000000004e-07,20.917802063264734,518.2220458984375,1024,4.018950300688158e-09,2.0000000000000004e-07,0.1571084959696357,0.14175595755890044,1.0910829252979726,0.9972825069316608,0.11790490032775891,0.07660328918109639,0.08396990301362664,True,0.13686063662171366,0.13751184706596745,1.0,0.12255205134261336,0.08717071248486372,0.007598733115118775,0.9022806607880555,0.9844630228124192,0.032190911308275685
sample_0001,train,0.5,0.3015486712611164,0.30559215257220906,0.1184514314630134,0.12010713892931947,sample_0001,train,1024,2.0000000000000004e-07,1.2102014114440536,383.5171203613281,1024,2.840203306861698e-10,2.0000000000000004e-07,0.05911443993313337,0.03768423613967581,1.009249075692229,0.9969486282590404,0.05586924683056063,0.05366185535320584,0.054428302874623524,True,-0.003649939525755362,0.011486840146037207,0.3653355989804587,0.05811824773981916,0.009206564914208399,8.47608375195331e-05,0.6374793736065487,0.6433754685852704,0.001862408355142866,sample_0001,train,1024,2.0000000000000004e-07,15.951995328180903,383.5171203613281,1024,3.0912112855119147e-09,2.0000000000000004e-07,0.1950218222444889,0.12432238908402449,1.1181082660120822,0.9955857495174262,0.11600878983481015,0.10644759155764871,0.0969898782930016,True,0.12458493383308539,0.12523446264791582,1.0,0.1467648034220639,0.11163820905333138,0.01246308972063532,0.6374793736065487,0.7127709570416865,0.024548914112192857
sample_0002,train,0.5,0.3130681684415322,0.3160150192142434,0.12444698648223612,0.12469536623756067,sample_0002,train,1024,2.0000000000000004e-07,2.2794461757903717,347.826171875,1024,4.934480990534326e-10,2.0000000000000004e-07,0.06026083029121452,0.0496713246779987,0.9622774151240917,0.998545864101666,0.12887537739736557,0.10816262496061876,0.15076178851707253,True,1.6289571176396036e-05,0.003708153343642686,0.44889267461669513,0.04790558981383704,-0.03845249657815494,0.0014785944930930175,0.8242721588461142,0.7931784823731934,0.003507894250611852,sample_0002,train,1024,2.0000000000000004e-07,15.086761533777636,347.826171875,1024,2.899420613323658e-09,2.0000000000000004e-07,0.1460730112423887,0.12040391632591643,1.023390019143539,0.9984916860197978,0.08874040013256455,0.10598212230591268,0.12233580740445661,True,0.1300774280559367,0.13014532504560014,1.0,0.14253091570052087,0.023120664696719154,0.0005345651360181154,0.8242721588461142,0.8435519004210109,0.0232173831461444
sample_0003,train,0.5,0.30138859411817975,0.3065818711051125,0.11885155937245369,0.1200433800423521,sample_0003,train,1024,2.0000000000000004e-07,0.26163293667997545,68.88888549804688,1024,5.5838884326552217e-11,2.0000000000000004e-07,0.18143426784235783,0.016709111934293846,1.0770315658998908,0.9642649395401628,0.03070821593339451,0.013793714326291577,0.01791073725638467,True,0.003093436366501468,0.009854557325008478,0.6607584501236602,0.15828626246523245,0.0742087068439969,0.005506932171458272,0.09209457580974634,0.09918876519525731,0.0004026332719016604,sample_0003,train,1024,2.0000000000000004e-07,16.387343649162005,68.88888549804688,1024,3.0527871498505314e-09,2.0000000000000004e-07,1.3415263665740396,0.12354730166722644,2.1857934676607274,0.8849579880498484,0.09728549940070388,0.020110040748612296,0.1213407073810303,True,0.12769910594278,0.12810831575876924,1.0,0.42434171272261223,0.781978905721213,0.6114910089929457,0.09209457580974634,0.20129972221192918,0.025218880942652174
sample_0005,train,0.5,0.3112611108299461,0.31292641686921957,0.12295291678867337,0.12397561337411625,sample_0005,train,1024,2.0000000000000004e-07,0.3687080204651305,34.339263916015625,1024,6.741218422826473e-11,2.0000000000000004e-07,0.2673155703489204,0.018359218968717693,1.1327471830590752,0.9707905809019632,0.030519961213272072,0.0371588042535869,0.033706836009285125,True,0.005823451040951588,0.008708794392917246,0.740376390076989,0.21800632214700139,0.1246458177459294,0.015536579881551446,0.06867994612043683,0.07779701550057389,0.000567413613959903,sample_0005,train,1024,2.0000000000000004e-07,18.98678450061385,34.339263916015625,1024,3.579866236628322e-09,2.0000000000000004e-07,1.94799777301346,0.13378838209329538,2.563768015830135,0.934672647442788,0.10844778378051458,0.02344796608794115,0.017368114914749357,True,0.1352739708292576,0.1353628928331354,1.0,0.7254690802832722,0.9414780575197474,0.8863809327911569,0.06867994612043683,0.17607944919251292,0.02921922329330037
sample_0007,train,0.5,0.3159120501150028,0.31707663211224424,0.12539127191368926,0.12582808716723876,sample_0007,train,1024,2.0000000000000004e-07,0.4769678116874325,62.484375,1024,1.287797874764795e-10,2.0000000000000004e-07,0.21805992580237973,0.025375163790257543,1.1608955581737386,0.9859518520048945,0.07475449954798444,0.14687257934972572,0.09819094653851525,True,0.0008067427907082742,0.005168733172401779,0.6285097192224621,0.136602996213237,0.14919174016256018,0.02225817533273287,0.1163678456593358,0.1350909151401701,0.0007340173779980033,sample_0007,train,1024,2.0000000000000004e-07,18.107126887648583,62.484375,1024,3.6061865440869197e-09,2.0000000000000004e-07,1.1539210668367519,0.13427930860871526,1.9571849499744862,0.9855390416283754,0.15893355884121405,0.17148380603897906,0.15486313718242783,True,0.12913123353768632,0.12923644024796208,1.0,0.46066067067957206,0.6715071908337213,0.45092190734139587,0.1163678456593358,0.22775339618540588,0.02786549712867275
sample_0009,train,0.5,0.30413336075434927,0.3079488791329065,0.11963653134428903,0.12113662335302651,sample_0009,train,1024,2.0000000000000004e-07,3.5453251912995007,460.2188720703125,1024,9.808067577073352e-10,2.0000000000000004e-07,0.04729547352907263,0.07002880684787278,1.0361521213830542,0.9994778069491548,0.22298261848228934,0.20519600545279032,0.25529496334702284,True,-0.002128325169206226,0.021244008987555515,0.41477028767711466,0.029957328336172512,0.0355139683698705,0.0012612419493761625,1.4806661530690866,1.53419537556262,0.005455986376378412,sample_0009,train,1024,2.0000000000000004e-07,18.492736430980944,460.2188720703125,1024,3.624596820039123e-09,2.0000000000000004e-07,0.09091963966841311,0.13462163310625677,1.0430560232950805,0.9994811354354172,0.19140957462044883,0.11992111436626747,0.1864401704021874,True,0.12753515864273363,0.12942357915279287,1.0,0.07840827406722656,0.042154888185967784,0.0017770345979714463,1.4806661530690866,1.5444177494478664,0.02845891730583465
sample_0010,train,0.5,0.22373553364377585,0.2636526875600929,0.0909089342413647,0.08911408798584712,sample_0010,train,1024,2.0000000000000004e-07,0.9724838363988524,275.451171875,1024,2.1876640520273333e-10,2.0000000000000004e-07,0.08418410695039577,0.03307313148181869,1.037924732212481,0.9923772266310942,0.0374058374496678,0.026581995876115566,0.04611831529697215,True,0.006395017205572169,0.020220536815025718,0.5096596136154553,0.07377182037759505,0.03722326979516904,0.0013855718142439437,0.3928666903992524,0.40776605442784775,0.0014965789315075618,sample_0010,train,1024,2.0000000000000004e-07,13.912716312441553,275.451171875,1024,2.1283331832326573e-09,2.0000000000000004e-07,0.2625787654004612,0.10315845053200093,1.1445677011028366,0.9670587061801623,0.06698183108293783,0.028467495354270785,0.048135583824059046,True,0.12120740630397471,0.12528485755967575,0.9963201471941122,0.20488773218316675,0.13502701209291268,0.018232293994739586,0.3928666903992524,0.4496625246701522,0.021410617056926082
sample_0011,train,0.5,0.31343297570128925,0.31495910085895124,0.1245277292651554,0.1248406693358858,sample_0011,train,1024,2.0000000000000004e-07,2.681453317365529,466.73419189453125,1024,6.22114520374004e-10,2.0000000000000004e-07,0.037726389359920655,0.05577250758097595,0.9943154895026954,0.9991805057481845,0.12959795916596678,0.05809271565203165,0.05456774931849645,True,0.0037509701964025654,0.006314130754321645,0.8378264532434709,0.037402125127839324,-0.005700728818449857,3.24983090615047e-05,1.4783420445802569,1.4699383937092336,0.004126553461819586,sample_0011,train,1024,2.0000000000000004e-07,16.646306716712207,466.73419189453125,1024,3.2254878236546283e-09,2.0000000000000004e-07,0.08590289041243197,0.12699385464766844,1.0118324096281486,0.999350725094759,0.0946115542470596,0.06609445872151683,0.06557610612546562,True,0.13224930122883863,0.13232623710169372,1.0,0.08458512862924097,0.011762954017320186,0.0001383670872135891,1.4783420445802569,1.495834393222245,0.02561740605457148
sample_0012,train,0.5,0.30298501827928703,0.30722547622676544,0.11965851639272498,0.12067923739070766,sample_0012,train,1024,2.0000000000000004e-07,1.3523933078364763,353.0167541503906,1024,3.050377936632657e-10,2.0000000000000004e-07,0.0611506709751961,0.0390536677959488,0.9981342481248942,0.9970096819397531,0.08572316294499363,0.09888859369177189,0.09234937243711488,True,0.001622340850814202,0.012913039190569462,0.4194756554307116,0.06117930096169059,-0.0018674945580822865,3.4875359244669544e-06,0.6386465949292646,0.6374550388472453,0.002081230963739865,sample_0012,train,1024,2.0000000000000004e-07,16.314894928436548,353.0167541503906,1024,3.087623664931802e-09,2.0000000000000004e-07,0.1945523950692539,0.12425022464631204,1.0988737509058828,0.9958916182789723,0.10473271474262841,0.08378474230387217,0.09026678603268816,True,0.12875307250583462,0.1294978128596582,1.0,0.1598390947306372,0.09428579248591622,0.008889810664697255,0.6386465949292646,0.7017919792731909,0.025107387691274533
