sample_id,role,driver_category,input_fingerprint,full_fingerprint,provenance_source_id,grid_shape,bottom_node_count,bottom_q_nonzero_count,bottom_mask_matches_bc,bottom_mask_matches_metadata,bottom_temperature_label_pass,is_clean_role,is_hard_role,P_array_W,P_bottom_W,P_operator_W,P_identity_error_W,bottom_q_abs_max_W_m3,bottom_temperature_label_max_abs_error_K,T_bottom_K,T_inf_K,T_inf_minus_T_bottom_K,cv_weight_sum_m3,Lx_m,Ly_m,Lz_m,top_area_m2,s_y_cv_rms_deltaT_K,target_cv_mean_deltaT_K,target_max_deltaT_K,q_operator_cv_rms_W_m3,q_active_cv_fraction,q_rms_to_mean_concentration,source_z_centroid_m,source_z_centroid_normalized,harmonic_kx_W_mK,harmonic_ky_W_mK,harmonic_kz_W_mK,anisotropy_xy_over_z,top_h_W_m2K,R_top_K_W,R_z_K_W,R_series_K_W,R_centroid_bottom_K_W,R_centroid_top_K_W,operator_1d_face_conductance_min_W_K,operator_1d_face_conductance_max_W_K,operator_1d_top_robin_conductance_W_K,raw_constant_unitless,pred_constant_K,log_residual_constant,raw_power_only_W,pred_power_only_K,log_residual_power_only,raw_q_rms_lz2_over_kz_K,pred_q_rms_lz2_over_kz_K,log_residual_q_rms_lz2_over_kz,raw_legacy_p_array_r_series_K,pred_legacy_p_array_r_series_K,log_residual_legacy_p_array_r_series,raw_source_centroid_two_path_K,pred_source_centroid_two_path_K,log_residual_source_centroid_two_path,raw_legacy_z_collapsed_1d_K,pred_legacy_z_collapsed_1d_K,log_residual_legacy_z_collapsed_1d,raw_z_collapsed_1d_operator_K,pred_z_collapsed_1d_operator_K,log_residual_z_collapsed_1d_operator,selected_or_best_physics_candidate,selected_or_best_physics_prediction_K,selected_or_best_physics_log_residual
sample_0000,train,source_driven,92eac5e97fede49acca3c3a2f020a42f1513ecb5d2accf713b744221f6161d54,e39b892cb98e8497182565e4b4f24aeae38d834355ee241c573a3ffbd00082ec,sample_0000,16x16x4,256,0,1,1,1,1,0,1.4063289273739856,0,1.4063289273739856,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.90228049894543549,0.60637669413584661,3.4966095579732723,39190881.781853221,0.041481481481481473,5.5735014787804591,0.00066666666666666664,0.33333333333333331,41.787040858439958,41.787040858439958,12.908660413441405,3.2371322445610509,374.52558925997585,26.700445274671281,1.5493474426807754,28.249792717352058,0.51212228101116974,27.741997302889978,3.0893333333333333,3.1125405405405409,0.037452558925997588,1,0.34961547520982422,-0.94809153788469125,1.4063289273739856,0.53524841834957926,-0.52219447367038108,12.144058493023774,0.69970901582274669,-0.25426088922283424,39.728500690731153,0.70595141066597022,-0.24537903445521381,0.70715811166941522,0.46729645050245511,-0.65796159224081685,0.47949074965827476,0.4848048105486869,-0.62117908870589378,0.40382610457966506,0.91578329965637595,0.014854318098212218,z_collapsed_1d_operator,0.91578329965637595,0.014854318098212218
sample_0001,train,source_driven,c4c1534b7f5958fbebd3459cbf79acbf6ebb095fae309cdc91b1af272bb8acf5,e1dd1370c90a7369b12d4b8733939116530f5b4b46dcceee1625437d9453b440,sample_0001,16x16x4,256,0,1,1,1,1,0,3.5782121048511417,0,3.5782121048511417,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.63747998302564779,0.42975179073147679,1.8843525606891376,49000235.929317363,0.17777777777777776,2.7388111433017381,0.00080497523039161365,0.40248761519580684,45.498614644108571,45.498614644108571,34.878747062288582,1.3044796179993043,1176.3023571652805,8.5012156433134773,0.57341509327392937,9.074630736587407,0.25977936656165396,8.8008058144724757,7.2870167269327544,8.2207045471396434,0.11763023571652804,1,0.34961547520982422,-0.60068896908814362,3.5782121048511417,1.0662646499914543,0.51439396108140922,5.6194949711708126,0.39676400982235804,-0.4741812071195588,32.470953548711293,0.62803935834096081,-0.014920040342350284,0.90289432848885798,0.57697594063355795,-0.099722309067608358,0.58535933009429519,0.57737062587140264,-0.099038484530546145,0.48501561840841201,1.0744736800447547,0.52206334334603877,z_collapsed_1d_operator,1.0744736800447547,0.52206334334603877
sample_0002,train,source_driven,5393849797b730875093c4dc98b048cd91f2ac36da05e05d4619377bc7256a57,5d053235ccc5a9afd9717e1dcc87427bf457be9bc298c6e24186b57a2bbaf0fb,sample_0002,16x16x4,256,0,1,1,1,1,0,1.2202169112193688,0,1.2202169112193688,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.82427189797065981,0.38338204957879257,4.1962678326327705,31492255.826965515,0.074074074074074084,5.1617471512495516,0.0013083965626408958,0.65419828132044788,25.710630979510121,25.710630979510121,22.797604286345926,1.1277777549156287,2150.5931481218763,4.6498799685719492,0.87728516333527717,5.5271651319072266,0.6323338322311971,4.9223689817644507,3.9203561019893423,4.2050737913508183,0.21505931481218765,1,0.34961547520982422,-0.85766654046961188,1.2202169112193688,0.48201324852927613,-0.53652884849751781,5.5255377593911552,0.3918692558458563,-0.74357219559447341,6.7443403650552316,0.25251843339515306,-1.1830161991496848,0.68374914372764173,0.45391857143682451,-0.59658262485953317,0.43111158128363031,0.44168211712356298,-0.62391001743872188,0.41607474063475192,0.939967422141334,0.13134476862138772,z_collapsed_1d_operator,0.939967422141334,0.13134476862138772
sample_0003,train,source_driven,0d5c8000100cd67be70e5160af4d593723faeaa7b011de72a7e7a2f38c538161,a42fb6c1fd5ddc8b15685c6dd222481eaa715d063d1685c8360d8cfe09884fe3,sample_0003,16x16x4,256,0,1,1,1,1,0,0.61029704652322969,0,0.61029704652322969,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.092094286100889627,0.074533147792090845,0.24374564435333923,4048868.6273027458,0.58074074074074056,1.3268517848377412,0.0010000000000000026,0.50000000000000133,21.854149827678391,21.854149827678391,20.802736710269496,1.0505420576173448,471.21733347411208,21.221630210997709,0.96141196605765733,22.183042177055366,0.84238962826394237,21.340652548791425,12.148755383131565,28.258979458027994,0.04712173334741121,1,0.34961547520982422,1.3340210071033931,0.61029704652322969,0.2890704440894265,1.1438575084118017,0.77852614945686016,0.092587217907869057,0.0053381953995542608,13.538245123557125,0.37820808740037781,1.4126316387479472,0.49458491873340577,0.34325272816542329,1.315654091485889,0.25165275385939484,0.27563917343878624,1.0962797666135333,0.051704374757211409,0.15244037878649913,0.50396065965347792,z_collapsed_1d_operator,0.15244037878649913,0.50396065965347792
sample_0004,hard_train_holdout,source_driven,027e6640ac4d4263292a5204ebb4a2a216ce085cfb69482a662785390c56c62b,023a9d66ec91d8ef71594f1700d2b1e990d93ee3811f275a3be0a9d16ee608af,sample_0004,16x16x4,256,0,1,1,1,0,1,1.056020441126077,0,1.056020441126077,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,2.9338144288438612,1.5007080986802228,16.746534771906965,30520097.731612239,0.074074074074074028,5.7802096518259516,0.0013067297673342883,0.65336488366714418,5.4139443903146329,5.4139443903146329,5.2761974223629045,1.0261072429488507,930.65429354919547,10.745128528729435,3.7906087280265481,14.535737256755983,2.7529101267689295,11.912520373529103,1.5436334022591505,1.7971484306233978,0.093065429354919557,1,0.34961547520982422,-2.1272247999071614,1.056020441126077,0.4332512498883922,-1.9127408946790072,23.137949768334519,1.1246770932204819,-0.95880746299361208,15.350035669972204,0.40677384466628802,-1.9758013413897508,2.361419789594867,1.3225919459958502,-0.79671002248493838,1.5779349306144488,1.3761456313375873,-0.75701685856230505,0.88989091055685987,1.8244131550974603,-0.47504505272842823,z_collapsed_1d_operator,1.8244131550974603,-0.47504505272842823
sample_0005,train,source_driven,a7d555ba4d27afa0996426ba38d8a74069b15486e7406855bb426fb85153e1f7,085de96cd0247c726732ebf425b9d606e40f9aa781ea13c5192a21ce9e1f65e9,sample_0005,16x16x4,256,0,1,1,1,1,0,0.067936550815831026,0,0.067936550815831026,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.068680058478368416,0.036024500913877149,0.37141818784806446,3087287.2192599652,0.017777777777777771,9.0887370117723023,0.0013333333333333333,0.66666666666666663,39.45061367621274,39.45061367621274,14.121338912133897,2.7936879018118046,2081.9285841814044,4.8032387258527933,1.4162962962962955,6.2195350221490884,1.044148148148148,5.2753374912848923,2.7290000000000005,3.0640540540540542,0.20819285841814045,1,0.34961547520982422,1.6273750207857143,0.067936550815831026,0.057198543497686875,-0.18293045275590084,0.87450269084815568,0.10086042980982184,0.38427879059894537,0.42253375708307228,0.050680392886131097,-0.30391977977595697,0.059215327279406267,0.05498442494397842,-0.22240892519842037,0.039494330325789306,0.054438267059436524,-0.23239154233278575,0.030848044493363997,0.097149061819626667,0.34678763125745354,z_collapsed_1d_operator,0.097149061819626667,0.34678763125745354
sample_0006,test_iid,source_driven,aea81c31a0124d468e6541cb94267594c83551a09f26fa2a32e16d10ad38dc86,6f57871cf78912bd5612bddfe480edd4dd8be760ff71ed291c28bf2846d07f2f,sample_0006,16x16x4,256,0,1,1,1,1,0,0.8491454600044599,0,0.8491454600044599,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.59822563620591029,0.24317556528014833,5.2050334898707433,46442520.75159882,0.013333333333333327,10.938649015765781,0.0013333333333333333,0.66666666666666663,7.2119120272761661,7.2119120272761661,6.9457096409080163,1.0383261610592389,406.16785011065429,24.620363224897421,2.8794753932998254,27.499838618197245,2.1985742352922042,26.32672469529286,3.3294492215214317,4.9291056072738701,0.040616785011065429,1,0.34961547520982422,-0.53713409257813516,0.8491454600044599,0.36885889056451959,-0.48355384034538362,26.746019141409064,1.2512980153423172,0.7379687029389711,23.351363113497509,0.51877658567563623,-0.14249468112725397,1.7230181563257703,1.0076670659087066,0.52142510146158827,0.82953963422093502,0.78356462550876183,0.26988554064026515,0.30847441862751146,0.72402357421663244,0.1908559520741589,z_collapsed_1d_operator,0.72402357421663244,0.1908559520741589
sample_0007,train,source_driven,5eff73616484372cc21a0dcbaee6111498ebd0274e4cc3dc45256ce635cde524,fef7690cc0e34a81c718baca6e569b4f55bad07ee2b97f7ab0e79b6d9cef19aa,sample_0007,16x16x4,256,0,1,1,1,1,0,0.90388567781019979,0,0.90388567781019979,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.11636835576355449,0.071934814974903838,0.59947006575458772,22391917.479145322,0.053333333333333323,4.9545906144664542,0.00066666666666666643,0.3333333333333332,30.552414847609182,30.552414847609182,28.656812469409449,1.0661484029399031,558.99315549412825,17.889306696716865,0.6979143273994477,18.587221024116314,0.19386412754297636,18.385575321637461,8.0511663772236322,15.580675451659573,0.055899315549412826,1,0.34961547520982422,1.1000732676401068,0.90388567781019979,0.38626265034021667,1.1997569387295999,3.1255280053283285,0.25761131436173001,0.79469127484141944,16.800722873991369,0.42863632036371485,1.3038481806790525,0.17340258898012922,0.13895066929792979,0.17735833236669107,0.11781990752157587,0.14179721065984993,0.19763730232258839,0.10135171197284903,0.2742097583931391,0.85713271445546579,z_collapsed_1d_operator,0.2742097583931391,0.85713271445546579
sample_0008,test_iid,source_driven,a45184db0526c4528bce7bdc3171301f4c888bd8fa1d06caa894a17df7193ed6,0a69520e48e666b5b665153d81953ad5271faccf582cb294020ed079d9f8aa1a,sample_0008,16x16x4,256,0,1,1,1,1,0,2.5362786519539151,0,2.5362786519539151,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,0.26546703435140306,0.15908039429874551,1.3950792857878582,38235213.769211292,0.19259259259259254,3.0150641168513093,0.00084973275192698667,0.4248663759634933,5.550010579717755,5.550010579717755,5.5318817783033687,1.0032771491042143,1814.2261864706118,5.5119918754198771,3.6154062580372086,9.1273981334570848,0.13455406065122838,9.4885319807432893,5.5924140263856401,17.876448899173141,0.18142261864706119,1,0.34961547520982422,0.27534323970455771,2.5362786519539151,0.82710316519899563,1.1364387649828127,27.647166227719389,1.282200423322343,1.5748422931347712,23.149625033771215,0.51617362160701841,0.66495251629734708,0.33649485768699905,0.24620269731640049,-0.075335499087456542,0.57405516971040871,0.56759293771891206,0.75991383428133286,0.16750599755129006,0.42503316818145415,0.47067654008766857,z_collapsed_1d_operator,0.42503316818145415,0.47067654008766857
sample_0009,train,source_driven,e0c6c3b5342f854c0451e34384b626ce42ec5d7deae718ea7707f4c3ed5299c1,59923f4f986c6a9c609e10e33c15e43d3a50297cfde02a1508ca590887ca5ac7,sample_0009,16x16x4,256,0,1,1,1,1,0,0.49943065573642709,0,0.49943065573642709,0,0,0,300,300,0,2.0000000000000004e-07,0.01,0.01,0.002,0.0001,1.4806659299242906,0.57810658999197806,9.7162081695894358,9427344.475781871,0.14518518518518517,3.7752366089265945,0.00070974209898563216,0.35487104949281606,2.0138621685980205,2.0138621685980205,1.9311899436354196,1.0428089558124833,271.08048482370276,36.88941314423095,10.356309106679829,47.245722250910781,6.8649801563840214,37.771703785115058,1.7993948521179215,3.3959999999999999,0.027108048482370278,1,0.34961547520982422,-1.4434133099353506,0.49943065573642709,0.24931626095656192,-1.7815250033486736,19.526498689269513,0.99258734607402566,-0.39993220340241009,23.595962044513474,0.52191992754501249,-1.0427330376026638,2.9012765944719718,1.5797114675246475,0.064750275642674784,1.9127811707058864,1.6287957600228014,0.095349005012026561,0.25637629576797877,0.61612563130697628,-0.87679632854528722,z_collapsed_1d_operator,0.61612563130697628,-0.87679632854528722
