resolution,seed,config_id,pooling_mode,graph_build_seconds,inference_seconds,peak_ram_GiB,point_global_cv_relative_rmse_pct,sample_first_cv_relative_rmse_pct,raw_cv_weighted_rmse_K,peak_rmse_K,source_region_cv_rmse_K,layer_mean_rmse_K,layer_drop_rmse_K,top_surface_cv_rmse_K,bottom_surface_cv_rmse_K,shape_cv_rmse,scale_log_rmse
1024,seed0,V6_03_V5best_P1h,anchor_derived_scale_pooling,5.628726999973878,25.387163250008598,1.124053955078125,0.9025038484970528,0.7489411846036502,0.38603306299517515,1.3645391503715285,0.6699779527150581,0.11810071360491976,0.10958487486478806,0.2317067529584925,0.24190526959348962,0.007406689723986207,0.001590302501945286
1024,seed0,V6_03_V5best_P1h,joint_pooling,5.628726999973878,25.387163250008598,1.124053955078125,0.9025038727294217,0.7489411994623284,0.386033073360223,1.3645392365759579,0.6699779805253007,0.11810075310547716,0.10958487388494695,0.23170677020520283,0.24190523632418326,0.007406689723986207,0.0015903044557132723
1024,seed1,V6_03_V5best_P1h_seed1,anchor_derived_scale_pooling,4.270584708021488,22.55344479199266,1.3031463623046875,0.981831339828713,0.7398352808406115,0.41996425842384916,1.4367238487070872,0.7017712152839317,0.08395719476260852,0.09022784033035762,0.24929262609116515,0.27829072683419975,0.007340995680322894,0.001123955370223791
1024,seed1,V6_03_V5best_P1h_seed1,joint_pooling,4.270584708021488,22.55344479199266,1.3031463623046875,0.9818313937892654,0.739835350399647,0.41996428150470083,1.4367241637872905,0.7017713148221696,0.08395732049600982,0.09022784749145706,0.24929263316228234,0.2782906890429693,0.007340995680322892,0.0011239591866864906
1024,seed2,V6_03_V5best_P1h_seed2,anchor_derived_scale_pooling,4.3190464999643154,22.26722375000827,1.3609466552734375,0.9082107379046217,0.7731008635552324,0.3884741029994336,1.2790498827839762,0.6474051263915873,0.11034157440465253,0.10747391064380563,0.2262108991564317,0.2675924585818434,0.0076359047261780905,0.0013170169497003844
1024,seed2,V6_03_V5best_P1h_seed2,joint_pooling,4.3190464999643154,22.26722375000827,1.3609466552734375,0.9082108045424055,0.773100987578794,0.38847413150278887,1.2790498523557665,0.6474051747768492,0.11034166700566674,0.10747391379798386,0.2262108474685697,0.2675924797226173,0.007635904726178088,0.0013170219081549627
2048,seed0,V6_03_V5best_P1h,anchor_derived_scale_pooling,9.87475474999519,27.567528832994867,1.285797119140625,7.480046529816849,7.0004219576739715,3.0117936274788333,3.1484817624405337,3.0424954634572208,3.071247656098328,0.27912125485750416,2.8953538512155443,2.008935532345823,0.017983981938368004,0.07349085525512875
2048,seed0,V6_03_V5best_P1h,joint_pooling,9.87475474999519,27.567528832994867,1.285797119140625,8.45740103461059,8.153330137070148,3.4053192636619545,3.5399512839579277,3.44896114970242,3.499062693425647,0.3008386518824115,3.315518031974604,2.3068719696189026,0.017983981938368008,0.08366124559651358
2048,seed1,V6_03_V5best_P1h_seed1,anchor_derived_scale_pooling,8.677885915967636,25.284728208032902,1.4466705322265625,7.7496881703749825,7.211203180753604,3.1203631359035104,3.678319226793768,3.700146098667456,3.250175277385968,0.2577022146050259,3.3371574722322226,1.704380248727571,0.02530032374740552,0.0738479501320372
2048,seed1,V6_03_V5best_P1h_seed1,joint_pooling,8.677885915967636,25.284728208032902,1.4466705322265625,9.016419644658406,8.6732093906116,3.630404586416665,4.2395510477638805,4.276891110078158,3.8278624369086285,0.28642608472307834,3.9220761131392297,2.1285676825340447,0.025300323747405522,0.08650341484673628
2048,seed2,V6_03_V5best_P1h_seed2,anchor_derived_scale_pooling,8.726889791956637,25.399744959024247,1.4466705322265625,7.735201498169683,7.216700778780441,3.1145301685740456,4.140598506586657,3.8050015474238084,3.3661329248669825,0.42025047550160416,3.387320572196576,2.283424840638249,0.026058902653193803,0.07355378009075968
2048,seed2,V6_03_V5best_P1h_seed2,joint_pooling,8.726889791956637,25.399744959024247,1.4466705322265625,9.400558595270459,9.130725065716852,3.785075715654697,4.945743579967511,4.578437338758151,4.119044520948022,0.47289367787733605,4.138696599150357,2.821863944301428,0.0260589026531938,0.09045176642443005
4096,seed0,V6_03_V5best_P1h,anchor_derived_scale_pooling,27.25885083299363,31.710868541966192,1.6704254150390625,7.151248401710235,6.797934923133832,2.8922705173923986,3.267713060938666,2.9578088163222036,2.7888733017691405,0.39310645127604416,2.3392362668718754,1.8826595737647478,0.024397395146857053,0.06789214163497628
4096,seed0,V6_03_V5best_P1h,joint_pooling,27.25885083299363,31.710868541966192,1.6704254150390625,8.443553722735825,8.304154761132827,3.414934025847475,3.760786345404107,3.5181231530260573,3.3637653008373674,0.4278304818979435,2.8717829071632646,2.2626366297078087,0.024397395146857057,0.08183402909649486
4096,seed1,V6_03_V5best_P1h_seed1,anchor_derived_scale_pooling,25.973852291994262,30.401771083008498,1.7521514892578125,7.374797697302285,6.935933308964426,2.9826834076326674,3.7903895689539184,3.688087944885674,3.1062577810932113,0.27626948587788935,3.232583032120769,1.5106176518941312,0.02964742350061429,0.06824989315830597
4096,seed1,V6_03_V5best_P1h_seed1,joint_pooling,25.973852291994262,30.401771083008498,1.7521514892578125,10.128207798652673,9.96343837989849,4.096280140829856,5.185150046806884,5.021191730954204,4.381371689159888,0.3335308745639896,4.524845598812669,2.4323970735346645,0.029647423500614285,0.09548098877248065
4096,seed2,V6_03_V5best_P1h_seed2,anchor_derived_scale_pooling,25.955866916978266,28.755175916012377,1.7521514892578125,7.465235680519908,6.99191792091786,3.0192603936104163,4.012553072112701,3.766358513283866,3.309366061471915,0.47910099224756864,3.4155518796936217,2.4594788527288234,0.03173842412338357,0.06795782451692041
4096,seed2,V6_03_V5best_P1h_seed2,joint_pooling,25.955866916978266,28.755175916012377,1.7521514892578125,10.272286751855937,10.15466045952072,4.154551827830256,5.396187082065205,5.125409775260821,4.610156301852685,0.5680549624535136,4.72163995009317,3.3992758634315114,0.03173842412338357,0.09705164704087718
8192,seed0,V6_03_V5best_P1h,anchor_derived_scale_pooling,99.27792283298913,44.75347016699379,2.064422607421875,7.239961220312593,6.929667332826319,2.929573811340399,3.292650270264318,2.975699366081884,2.822356598997605,0.5694540853183873,1.9653770521141871,1.6521740920739807,0.02790278243548345,0.06735523692367608
8192,seed0,V6_03_V5best_P1h,joint_pooling,99.27792283298913,44.75347016699379,2.064422607421875,9.075645611557052,9.046474726028379,3.6723641046624285,4.010505111137832,3.805617662692198,3.653525982796201,0.6233188747510148,2.69157912564607,2.132172970080403,0.027902782435483445,0.08721105802601876
8192,seed1,V6_03_V5best_P1h_seed1,anchor_derived_scale_pooling,96.20492574997479,41.229913000017405,2.22882080078125,7.402482732024696,6.971239728746953,2.995336423874208,3.5676121702441628,3.5955817210638394,3.0663554256557215,0.2685955647531922,3.153428894647242,1.505032773701882,0.031201792553358865,0.06771234398753849
8192,seed1,V6_03_V5best_P1h_seed1,joint_pooling,96.20492574997479,41.229913000017405,2.22882080078125,10.740258209693824,10.615788693982218,4.345932004425051,5.165079408074944,5.234394577064603,4.616762809888349,0.3348476575446146,4.716621310741539,2.6350458772994316,0.031201792553358865,0.10069028319564591
8192,seed2,V6_03_V5best_P1h_seed2,anchor_derived_scale_pooling,96.91563916695304,41.808037416951265,2.22882080078125,7.5762556691612994,7.147723202922024,3.0656518068249916,4.168678187017394,3.8536403513944917,3.2948686455855807,0.4444853583184166,3.4425775008765482,2.732828774021114,0.03537676212722571,0.06742155278061338
8192,seed2,V6_03_V5best_P1h_seed2,joint_pooling,96.91563916695304,41.808037416951265,2.22882080078125,11.006043753951127,10.970593180501146,4.453479316654359,5.894855929052083,5.526178808823727,4.891530512622258,0.5386643626122369,5.051493389569363,3.933758268287825,0.03537676212722571,0.10327593922953539
