seed,config_id,dataset_id,source_host,checkpoint_kind,checkpoint_epoch,checkpoint_file,checkpoint_sha256,prediction_file,prediction_sha256,point_global_relative_rmse_pct,sample_first_relative_rmse_pct,raw_rmse_K,base_mse,amplitude_ratio,spatial_correlation,hotspot_rmse_K,top5_rmse_K,strong_q_rmse_K,low_delta_bias_K,low_delta_rmse_K,low_delta_over_ratio,shape_cv_rmse,scale_log_rmse,scale_log_signed_bias,valid_sample_count,node_count
0,V6_03_V5best_P1h,heat3d_v6_p1h_shared_support1024_v0,wsl2,base_mse_best,111,params_best_valid_base_mse.pkl,973270def879e57eb49f93a43499995a5f89c69a77ad890aac3b960b1314d4d8,base_mse_best_predictions.npz,9128d67c27924e35e19b9c141366c912b6382a006fcfbf50ee76dca41a6000bc,0.9120210828292664,0.7503433287663811,0.3901039233318103,0.0011737739661410588,0.9993447787643843,0.9924976364491187,0.9668059042093023,1.2173709979425351,1.1658796892692842,-0.0038299460215858953,0.21812846247787407,0.4589080810546875,0.007420868791874769,0.0016080924428116638,-0.0008290691181861624,128,1024
0,V6_03_V5best_P1h,heat3d_v6_p1h_shared_support1024_v0,wsl2,final,600,params_final.pkl,b0338616f9695e80a2db8a93484480797ed9def2554070d3611b5d249545875e,predictions.npz,4cf6c7414e62b45115c23fd66c377b5e802db04537392fd303363f8b4601d65e,1.0479195479602272,0.7380711380758586,0.4482325405540105,0.001549639224298923,0.9997314811945989,0.9913909284537397,1.1756418367251367,1.4719856868948626,1.5055496021619887,0.050313870211095374,0.22420441614611664,0.5539093017578125,0.007356235008570439,0.001067672995310921,-0.0002899401055951161,128,1024
0,V6_03_V5best_P1h,heat3d_v6_p1h_shared_support1024_v0,wsl2,point_global_best,111,params_best_valid_point_global.pkl,3ad58c2b34a46481acb74722c80bdcadbf55a0d613bc25c4fe2d7646b91aa1f2,point_global_best_predictions.npz,01416a6adf91ddb340a981e61337a9e5b7c29be12047b548e1aa8a31a2a451f8,0.9120289273421123,0.7503433218412353,0.3901072787095482,0.0011737941580526883,0.9993456544440577,0.9924975939073286,0.966818193325725,1.2173826279696554,1.1658344931850109,-0.00380260844439192,0.21811940105815728,0.45892333984375,0.007420927616584966,0.001607897163450941,-0.0008285017391624175,128,1024
0,V6_03_V5best_P1h,heat3d_v6_p1h_shared_support1024_v0,wsl2,sample_first_best,427,params_best_valid_sample_first.pkl,e8cca4950e1b0f64048b82f8a65463befe21269538bbfd209f8b658241cfcd7b,sample_first_best_predictions.npz,876eb80933dc90c6c2475d2bc18be6e636c1dab760709fb3bce1f78695f3f284,1.0111915750351224,0.723249519870933,0.4325226774775337,0.0014429178372030445,1.0001293819858144,0.992227842500088,1.1326288936436801,1.4136730071691976,1.4434464484317444,0.05975375675872044,0.21930353706718247,0.6013336181640625,0.007185261191935716,0.0011713640058922867,3.15114072408961e-05,128,1024
1,V6_03_V5best_P1h_seed1,heat3d_v6_p1h_shared_support1024_v0,wsl2,base_mse_best,254,params_best_valid_base_mse.pkl,b0d541f5635a1f5e8cbd62a5d4776b91bcee69020b91a963a54b56d9d74d3c4b,base_mse_best_predictions.npz,a72592c1e54fcd7cff28174237fa40c003a7d81e89f57e4b3c8a8f8d09d73a09,0.9621404757366759,0.7101219857186795,0.41154177403098013,0.0013063263505952874,0.9997620781491854,0.9920881895144935,0.9769677878419143,1.1823689461865419,1.1522368753853627,0.02803641722813325,0.22980286748614895,0.5273284912109375,0.007042981786793755,0.0011369457503914119,-0.0003559053351304526,128,1024
1,V6_03_V5best_P1h_seed1,heat3d_v6_p1h_shared_support1024_v0,wsl2,final,600,params_final.pkl,8f96dded12eb4c5eb9f980137431d4dedfd173b420793c662f7f50f31184bd92,predictions.npz,709a9d88c19c13f808700b3c9cdf76f6974451c7a64355b34a2ac60791c0cd13,1.0504894278405814,0.7221717381440944,0.4493317697743567,0.0015572491019892113,0.9994317116452507,0.9909215329904257,1.108794354973712,1.371418969163314,1.3395804238535345,0.03953685404077248,0.23367716236537608,0.55267333984375,0.00716991930440223,0.001042455965769053,-0.0005671251907569133,128,1024
1,V6_03_V5best_P1h_seed1,heat3d_v6_p1h_shared_support1024_v0,wsl2,point_global_best,254,params_best_valid_point_global.pkl,36937e4898fa633ba03abf1413a852c1e43130566e2c4a443f12f650536512ae,point_global_best_predictions.npz,51c588bba80c5639b50ec5b4da821cc8b9fb9cb48b6a76b36f236bdd7a47a478,0.962141515803239,0.7101182873054277,0.41154221890451914,0.0013063291748545848,0.9997621997908249,0.992088213370669,0.9769810823395063,1.1823678698340756,1.1522774585632,0.02803629615619855,0.2298021664950898,0.527313232421875,0.007042933453812425,0.0011371749426487253,-0.0003559103554129552,128,1024
1,V6_03_V5best_P1h_seed1,heat3d_v6_p1h_shared_support1024_v0,wsl2,sample_first_best,379,params_best_valid_sample_first.pkl,0680d7d174ce356081ab488d63df7170f775a35e12c57b74d2a906226333604d,sample_first_best_predictions.npz,7d662a3e4237bde4e6add483b488ac713d0f9b139912bc0bca2f565ec7b4be6b,0.9876752473204551,0.698305711215384,0.42246390594629973,0.0013765850753147447,0.9995422363297977,0.991854843581765,1.0258459199112977,1.259785606479188,1.224951729019724,0.02491391894683318,0.22372296629902552,0.5064544677734375,0.006938289397378668,0.0009703398205155267,-0.00039983160371355513,128,1024
2,V6_03_V5best_P1h_seed2,heat3d_v6_p1h_shared_support1024_v0,devbox,base_mse_best,139,params_best_valid_base_mse.pkl,81eb93b44da1c762d812be275f6004ddeea016132a98e4d29220b27f7aa9992c,base_mse_best_predictions.npz,49171001b06ca82733a25fdf6feec8bce1bb3a1ad9011631986c6b8129e660f6,0.8988230986561537,0.7582226179867649,0.38445867509913734,0.0011400480774526151,0.9992990625686881,0.9917601370633577,0.8901005557948517,1.106118443006502,1.059893809184967,-0.004003419286607935,0.22556896949431948,0.470611572265625,0.007485530281997128,0.0013111232305621835,-0.0006659655066414358,128,1024
2,V6_03_V5best_P1h_seed2,heat3d_v6_p1h_shared_support1024_v0,devbox,final,600,params_final.pkl,1e56dbce6da8c4eec2a97aee332a4da9a986c851ac92d6d5711aac198724093e,predictions.npz,1ddcbe11d92bf26ae7314a53ed59d1e0e91348352dc2bca7a25bba86e40cb706,0.9974252522655063,0.7029660554602069,0.426634330570443,0.00140389761288462,0.9996579647346863,0.9918214418082919,1.0569615034809297,1.3224358103586962,1.2394206936929915,0.056228887078315776,0.22377899048636438,0.6295166015625,0.007000555832251532,0.0008430041836580136,-0.0003320188315837996,128,1024
