sample_id,source_id,literature_id,power_provenance,active_layer,source_volume_m3,source_power_W,q_W_m3,covered_control_volume_count,active_layer_power_W,package_total_power_W
p1a_00,src_00,L02,cited_component_power,active_lower,1.5385945638020837e-12,0.00050000000000000001,324971900.82644624,484,0.00050000000000000001,0.00050000000000000001
p1a_01,src_00,L02,cited_component_power,active_lower,1.5385945638020837e-12,0.001,649943801.65289247,484,0.001,0.001
p1a_02,src_00,L02,cited_component_power,active_lower,1.5385945638020837e-12,0.002,1299887603.3057849,484,0.002,0.002
p1a_03,src_00,L02,cited_two_component_schedule,active_lower,1.5385945638020837e-12,0.00050000000000000001,324971900.82644624,484,0.001,0.001
p1a_03,src_01,L02,cited_two_component_schedule,active_lower,1.5385945638020833e-12,0.00050000000000000001,324971900.82644629,484,0.001,0.001
p1a_04,src_00,L02,cited_component_power_repeated,active_lower,1.5385945638020837e-12,0.001,649943801.65289247,484,0.0040000000000000001,0.004000000000000001
p1a_04,src_01,L02,cited_component_power_repeated,active_lower,1.5385945638020833e-12,0.001,649943801.65289259,484,0.0040000000000000001,0.004000000000000001
p1a_04,src_02,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.0040000000000000001,0.004000000000000001
p1a_04,src_03,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.0040000000000000001,0.004000000000000001
p1a_05,src_00,L02,cited_component_power_repeated,active_lower,1.5385945638020837e-12,0.002,1299887603.3057849,484,0.0080000000000000002,0.0080000000000000019
p1a_05,src_01,L02,cited_component_power_repeated,active_lower,1.5385945638020833e-12,0.002,1299887603.3057852,484,0.0080000000000000002,0.0080000000000000019
p1a_05,src_02,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.002,1299887603.3057857,484,0.0080000000000000002,0.0080000000000000019
p1a_05,src_03,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.002,1299887603.3057857,484,0.0080000000000000002,0.0080000000000000019
p1a_06,src_00,L02,cited_full_component_schedule,active_lower,1.5385945638020837e-12,0.00050000000000000001,324971900.82644624,484,0.013000000000000001,0.013000000000000001
p1a_06,src_01,L02,cited_full_component_schedule,active_lower,1.5385945638020833e-12,0.00050000000000000001,324971900.82644629,484,0.013000000000000001,0.013000000000000001
p1a_06,src_02,L02,cited_full_component_schedule,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.013000000000000001,0.013000000000000001
p1a_06,src_03,L02,cited_full_component_schedule,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.013000000000000001,0.013000000000000001
p1a_06,src_04,L02,cited_full_component_schedule,active_lower,1.5385945638020833e-12,0.001,649943801.65289259,484,0.013000000000000001,0.013000000000000001
p1a_06,src_05,L02,cited_full_component_schedule,active_lower,1.5385945638020833e-12,0.001,649943801.65289259,484,0.013000000000000001,0.013000000000000001
p1a_06,src_06,L02,cited_full_component_schedule,active_lower,1.5385945638020825e-12,0.002,1299887603.3057859,484,0.013000000000000001,0.013000000000000001
