sample_id,source_id,topology,power_provenance,active_layer,declared_source_area_m2,source_area_fraction,source_power_W,surface_power_density_W_m2,geometric_source_volume_m3,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,physical_layer_z_interval_count,active_layer_power_W,package_total_power_W
p1b_ss_p0p5,src_00,single_layer_single_source,explicit_user_instruction_area_weighted,silicon_die_lower,6.3999999999999997e-05,1,0.5,7812.5,9.5999999999999983e-09,7.1438598632812501e-09,69990174.719125122,7803,51,51,3,50,50,4,0.5,0.5
p1b_ss_p1,src_00,single_layer_single_source,explicit_user_instruction_area_weighted,silicon_die_lower,6.3999999999999997e-05,1,1,15625,9.5999999999999983e-09,7.1438598632812501e-09,139980349.43825024,7803,51,51,3,50,50,4,1,1
p1b_ss_p2,src_00,single_layer_single_source,explicit_user_instruction_area_weighted,silicon_die_lower,6.3999999999999997e-05,1,2,31250,9.5999999999999983e-09,7.1438598632812501e-09,279960698.87650049,7803,51,51,3,50,50,4,2,2
p1b_ss_p4,src_00,single_layer_single_source,explicit_user_instruction_area_weighted,silicon_die_lower,6.3999999999999997e-05,1,4,62500,9.5999999999999983e-09,7.1438598632812501e-09,559921397.75300097,7803,51,51,3,50,50,4,4,4
p1b_sm_p0p5,src_00,single_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,1.5999999999999999e-05,0.25000000000000006,0.12500000000000003,7812.5000000000018,2.3999999999999996e-09,1.71661376953125e-09,72817777.777777791,1875,25,25,3,24,24,4,0.5,0.5
p1b_sm_p0p5,src_01,single_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,1.5999999999999996e-05,0.25,0.125,7812.5000000000018,2.3999999999999992e-09,1.71661376953125e-09,72817777.777777776,1875,25,25,3,24,24,4,0.5,0.5
p1b_sm_p0p5,src_02,single_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,1.5999999999999996e-05,0.25,0.125,7812.5000000000018,2.3999999999999992e-09,1.71661376953125e-09,72817777.777777776,1875,25,25,3,24,24,4,0.5,0.5
p1b_sm_p0p5,src_03,single_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,1.5999999999999992e-05,0.24999999999999994,0.12499999999999997,7812.5000000000018,2.3999999999999987e-09,1.7166137695312495e-09,72817777.777777776,1875,25,25,3,24,24,4,0.5,0.5
p1b_sm_p1,src_00,single_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,1.5999999999999999e-05,0.25000000000000006,0.25000000000000006,15625.000000000004,2.3999999999999996e-09,1.71661376953125e-09,145635555.55555558,1875,25,25,3,24,24,4,1,1
p1b_sm_p1,src_01,single_layer_multi_source,explicit_user_instruction_area_weighted,silicon_die_lower,1.5999999999999996e-05,0.25,0.25,15625.000000000004,2.3999999999999992e-09,1.71661376953125e-09,145635555.55555555,1875,25,25,3,24,24,4,1,1
