sample_id,path,topology,source_id,active_layer,declared_source_area_m2,source_area_fraction,source_power_W,surface_power_density_W_m2,geometric_source_volume_m3,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,physical_layer_z_interval_count,active_layer_power_W,package_total_power_W
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,src_00,silicon_die_lower,6.4e-05,1.0,1.0,15625.0,9.599999999999998e-09,7.143859863281234e-09,139980349.43825054,7803,51,51,3,50,50,4,1.0,1.0
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,src_00,silicon_die_lower,6.4e-05,1.0,4.0,62500.0,9.599999999999998e-09,7.143859863281234e-09,559921397.7530022,7803,51,51,3,50,50,4,4.0,4.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_00,silicon_die_lower,7.999999999999998e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,8.926391601562481e-10,140034188.03418836,975,13,25,3,12,24,4,0.5,1.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_01,silicon_die_lower,7.999999999999995e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,8.926391601562479e-10,140034188.03418833,975,13,25,3,12,24,4,0.5,1.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_02,silicon_die_lower,7.999999999999995e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,8.92639160156248e-10,140034188.0341883,975,13,25,3,12,24,4,0.5,1.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_03,silicon_die_lower,7.999999999999998e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,8.926391601562477e-10,140034188.03418842,975,13,25,3,12,24,4,0.5,1.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_04,silicon_die_upper,7.999999999999998e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,1.0910034179687505e-09,114573426.57342654,1300,13,25,4,12,24,4,0.5,1.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_05,silicon_die_upper,7.999999999999995e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,1.0910034179687503e-09,114573426.57342651,1300,13,25,4,12,24,4,0.5,1.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_06,silicon_die_upper,7.999999999999995e-06,0.12499999999999997,0.12499999999999997,15625.000000000007,1.1999999999999992e-09,1.0910034179687503e-09,114573426.57342651,1300,13,25,4,12,24,4,0.5,1.0
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,src_07,silicon_die_upper,7.999999999999998e-06,0.12500000000000003,0.12500000000000003,15625.000000000007,1.1999999999999996e-09,1.09100341796875e-09,114573426.57342659,1300,13,25,4,12,24,4,0.5,1.0
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,src_00,silicon_die_lower,7.999999999999998e-06,0.12500000000000003,0.5000000000000001,62500.00000000003,1.1999999999999996e-09,8.926391601562481e-10,560136752.1367534,975,13,25,3,12,24,4,2.0,4.0
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,src_01,silicon_die_lower,7.999999999999995e-06,0.12499999999999997,0.4999999999999999,62500.00000000003,1.1999999999999992e-09,8.926391601562479e-10,560136752.1367533,975,13,25,3,12,24,4,2.0,4.0
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,src_02,silicon_die_lower,7.999999999999995e-06,0.12499999999999997,0.4999999999999999,62500.00000000003,1.1999999999999992e-09,8.92639160156248e-10,560136752.1367532,975,13,25,3,12,24,4,2.0,4.0
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,src_03,silicon_die_lower,7.999999999999998e-06,0.12500000000000003,0.5000000000000001,62500.00000000003,1.1999999999999996e-09,8.926391601562477e-10,560136752.1367537,975,13,25,3,12,24,4,2.0,4.0
