sample_id,path,topology,package_total_power_W,interface_index,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,0,silicon_die_lower,tim_between_dies,0.0,2.029910439205196e-05
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,1,tim_between_dies,silicon_die_upper,0.0,4.833715479435341e-06
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,2,silicon_die_upper,tim_to_spreader,0.0,1.180805043077271e-05
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,3,tim_to_spreader,spreader,0.0,2.5231536255887477e-06
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,0,silicon_die_lower,tim_between_dies,0.0,8.11964096101292e-05
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,1,tim_between_dies,silicon_die_upper,0.0,1.9334859302944096e-05
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,2,silicon_die_upper,tim_to_spreader,0.0,4.723219001334655e-05
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,3,tim_to_spreader,spreader,0.0,1.0092611660184048e-05
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,0,silicon_die_lower,tim_between_dies,0.0,0.03892821243476874
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,1,tim_between_dies,silicon_die_upper,0.0,0.0091369562163095
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,2,silicon_die_upper,tim_to_spreader,0.0,0.00011631878720663735
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,3,tim_to_spreader,spreader,0.0,2.45928145545804e-05
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,0,silicon_die_lower,tim_between_dies,0.0,0.15571284973111688
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,1,tim_between_dies,silicon_die_upper,0.0,0.03654782486307795
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,2,silicon_die_upper,tim_to_spreader,0.0,0.00046527513717364855
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,3,tim_to_spreader,spreader,0.0,9.83712554898375e-05
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,0,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,1.7583549589319318
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,1,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.28421844821127706
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,2,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,0.013853861202335338
