sample_id,path,topology,package_total_power_W,layer_index,layer_id,bottom_plane_mean_temperature_K,top_plane_mean_temperature_K,top_minus_bottom_temperature_K,absolute_axial_temperature_drop_K,cv_mean_temperature_K
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,0,silicon_die_lower,300.0,300.00607393090496,0.006073930904960889,0.006073930904960889,300.0041650221647
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,1,tim_between_dies,300.00607393090496,300.0061018812785,2.7950373521434813e-05,2.7950373521434813e-05,300.00622074157457
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,2,silicon_die_upper,300.0061018812785,300.00611099957274,9.118294258314563e-06,9.118294258314563e-06,300.0061969482108
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,3,tim_to_spreader,300.00611099957274,300.0061271735546,1.6173981862266373e-05,1.6173981862266373e-05,300.0061692595387
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,4,spreader,300.0061271735546,300.0061247012069,-2.4723477167754027e-06,2.4723477167754027e-06,300.00614333450807
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,0,silicon_die_lower,300.0,300.0242957236153,0.024295723615296083,0.024295723615296083,300.01666008865925
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,1,tim_between_dies,300.0242957236153,300.0244075250971,0.00011180148180756078,0.00011180148180756078,300.0248829662895
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,2,silicon_die_upper,300.0244075250971,300.0244439982658,3.647316867727568e-05,3.647316867727568e-05,300.0247877928256
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,3,tim_to_spreader,300.0244439982658,300.02450869417635,6.469591056657009e-05,6.469591056657009e-05,300.02467703812374
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,4,spreader,300.02450869417635,300.02449880478275,-9.889393595585716e-06,9.889393595585716e-06,300.024573337988
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,0,silicon_die_lower,300.0,300.03127237900486,0.031272379004860795,0.031272379004860795,300.00473834602735
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,1,tim_between_dies,300.03127237900486,300.0849567320264,0.053684353021537845,0.053684353021537845,300.0503621008513
