sample_id,source_id,active_layer,declared_source_area_m2,source_power_W,surface_power_density_W_m2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,active_layer_power_W,package_total_power_W,total_source_area_mm2
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_00,silicon_die_lower,1.9999999999999995e-06,0.225,112500.00000000003,2.471923828124995e-10,910222222.2222241,270,9,10,3,8,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_01,silicon_die_lower,2.0000000000000003e-06,0.225,112499.99999999999,2.1972656249999958e-10,1024000000.000002,240,8,10,3,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_02,silicon_die_lower,2.0000000000000003e-06,0.225,112499.99999999999,2.4719238281249944e-10,910222222.2222244,270,9,10,3,8,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_03,silicon_die_lower,2.0000000000000016e-06,0.225,112499.99999999991,2.471923828124994e-10,910222222.2222245,270,9,10,3,8,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_04,silicon_die_upper,1.9999999999999995e-06,0.225,112500.00000000003,3.021240234375001e-10,744727272.7272725,360,9,10,4,8,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_05,silicon_die_upper,2.0000000000000003e-06,0.225,112499.99999999999,2.685546875000001e-10,837818181.8181815,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_06,silicon_die_upper,2.0000000000000003e-06,0.225,112499.99999999999,3.021240234375001e-10,744727272.7272725,360,9,10,4,8,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l00,src_07,silicon_die_upper,2.0000000000000016e-06,0.225,112499.99999999991,3.021240234375e-10,744727272.7272727,360,9,10,4,8,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_00,silicon_die_lower,1.9999999999999995e-06,0.225,112500.00000000003,2.416992187499995e-10,930909090.9090929,264,8,11,3,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_01,silicon_die_lower,1.9999999999999995e-06,0.225,112500.00000000003,2.4169921874999955e-10,930909090.9090927,264,8,11,3,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_02,silicon_die_lower,1.9999999999999986e-06,0.225,112500.00000000007,2.4169921874999944e-10,930909090.909093,264,8,11,3,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_03,silicon_die_lower,2.0000000000000016e-06,0.225,112499.99999999991,2.416992187499994e-10,930909090.9090933,264,8,11,3,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_04,silicon_die_upper,2.000000000000001e-06,0.225,112499.99999999994,2.685546875000001e-10,837818181.8181815,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_05,silicon_die_upper,2.0000000000000008e-06,0.225,112499.99999999996,2.685546875000001e-10,837818181.8181815,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_06,silicon_die_upper,2.000000000000001e-06,0.225,112499.99999999994,2.685546875000001e-10,837818181.8181815,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l01,src_07,silicon_die_upper,2.000000000000003e-06,0.225,112499.99999999984,2.6855468749999996e-10,837818181.818182,320,8,10,4,7,9,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l02,src_00,silicon_die_lower,1.9999999999999995e-06,0.225,112500.00000000003,2.4169921874999955e-10,930909090.9090927,264,8,11,3,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l02,src_01,silicon_die_lower,1.9999999999999995e-06,0.225,112500.00000000003,2.4169921874999944e-10,930909090.909093,264,8,11,3,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l02,src_02,silicon_die_lower,1.9999999999999986e-06,0.225,112500.00000000007,2.4169921874999944e-10,930909090.909093,264,8,11,3,7,10,0.9,1.8,16.0
p1d1024_f00_near_adiabatic_q1_30_42p5_a16_l02,src_03,silicon_die_lower,2.0000000000000016e-06,0.225,112499.99999999991,2.416992187499994e-10,930909090.9090933,264,8,11,3,7,10,0.9,1.8,16.0
