sample_id,package_total_power_W,layer_index,layer_id,bottom_plane_mean_temperature_K,top_plane_mean_temperature_K,top_minus_bottom_temperature_K,absolute_axial_temperature_drop_K,cv_mean_temperature_K,family_id,selection_bin
p1d_f00_low,2.0,0,pcb_fr4_equivalent,340.1715872379704,340.37871131926335,0.2071240812929318,0.2071240812929318,340.27261960805544,f00_near_adiabatic,low
p1d_f00_low,2.0,1,bt_substrate_with_vias,340.37871131926335,340.4533803447139,0.07466902545053244,0.07466902545053244,340.416268027954,f00_near_adiabatic,low
p1d_f00_low,2.0,2,silicon_interposer_tsv_0p1,340.4533803447139,340.45322122220955,-0.0001591225043284794,0.0001591225043284794,340.4585802399109,f00_near_adiabatic,low
p1d_f00_low,2.0,3,bump_underfill_under_interposer,340.45322122220955,340.45246651222453,-0.0007547099850171435,0.0007547099850171435,340.4589207082816,f00_near_adiabatic,low
p1d_f00_low,2.0,4,silicon_die_lower,340.45246651222453,340.4014472993065,-0.05101921291804956,0.05101921291804956,340.4581494889147,f00_near_adiabatic,low
p1d_f00_low,2.0,5,tim_between_dies,340.4014472993065,340.29280570796755,-0.10864159133893736,0.10864159133893736,340.37056090913154,f00_near_adiabatic,low
p1d_f00_low,2.0,6,silicon_die_upper,340.29280570796755,340.1839516356846,-0.10885407228295207,0.10885407228295207,340.2915033112622,f00_near_adiabatic,low
p1d_f00_low,2.0,7,tim_to_spreader,340.1839516356846,339.9682060481553,-0.21574558752928397,0.21574558752928397,340.11332744071916,f00_near_adiabatic,low
p1d_f00_low,2.0,8,spreader,339.9682060481553,339.9186006311828,-0.049605416972497096,0.049605416972497096,339.94475949262136,f00_near_adiabatic,low
p1d_f00_high,3.5,0,pcb_fr4_equivalent,370.3002776602437,370.66274480246835,0.36246714222465926,0.36246714222465926,370.47708430787463,f00_near_adiabatic,high
p1d_f00_high,3.5,1,bt_substrate_with_vias,370.66274480246835,370.7934155969911,0.1306707945227572,0.1306707945227572,370.7284690426696,f00_near_adiabatic,high
p1d_f00_high,3.5,2,silicon_interposer_tsv_0p1,370.7934155969911,370.79313713260825,-0.00027846438285905606,0.00027846438285905606,370.8025154135858,f00_near_adiabatic,high
p1d_f00_high,3.5,3,bump_underfill_under_interposer,370.79313713260825,370.7918163901335,-0.001320742474774761,0.001320742474774761,370.8031112332338,f00_near_adiabatic,high
p1d_f00_high,3.5,4,silicon_die_lower,370.7918163901335,370.7025327675262,-0.08928362260729727,0.08928362260729727,370.8017615993411,f00_near_adiabatic,high
p1d_f00_high,3.5,5,tim_between_dies,370.7025327675262,370.51240998268213,-0.19012278484404987,0.19012278484404987,370.6484815847196,f00_near_adiabatic,high
p1d_f00_high,3.5,6,silicon_die_upper,370.51240998268213,370.3219153561866,-0.1904946264955356,0.1904946264955356,370.5101307884476,f00_near_adiabatic,high
p1d_f00_high,3.5,7,tim_to_spreader,370.3219153561866,369.94436057800993,-0.37755477817665906,0.37755477817665906,370.19832301499684,f00_near_adiabatic,high
p1d_f00_high,3.5,8,spreader,369.94436057800993,369.85755109831194,-0.08680947969799035,0.08680947969799035,369.90332910582663,f00_near_adiabatic,high
p1d_f01_low,2.0,0,pcb_fr4_equivalent,334.25689574399905,337.82052495106547,3.5636292070664126,3.5636292070664126,335.96316575106414,f01_low_low,low
p1d_f01_low,2.0,1,bt_substrate_with_vias,337.82052495106547,339.1294798600121,1.308954908946646,1.308954908946646,338.4131374979859,f01_low_low,low
p1d_f01_low,2.0,2,silicon_interposer_tsv_0p1,339.1294798600121,339.13133984721276,0.0018599872006461737,0.0018599872006461737,339.13478639545264,f01_low_low,low
p1d_f01_low,2.0,3,bump_underfill_under_interposer,339.13133984721276,339.1392736774881,0.007933830275362652,0.007933830275362652,339.1405931971444,f01_low_low,low
p1d_f01_low,2.0,4,silicon_die_lower,339.1392736774881,339.0919832696956,-0.047290407792502265,0.047290407792502265,339.14527905316805,f01_low_low,low
p1d_f01_low,2.0,5,tim_between_dies,339.0919832696956,338.9904297680133,-0.1015535016823037,0.1015535016823037,339.0635154946492,f01_low_low,low
p1d_f01_low,2.0,6,silicon_die_upper,338.9904297680133,338.88530450293285,-0.10512526508045994,0.10512526508045994,338.9894571417257,f01_low_low,low
p1d_f01_low,2.0,7,tim_to_spreader,338.88530450293285,338.67662349371363,-0.2086810092192195,0.2086810092192195,338.81709896307177,f01_low_low,low
p1d_f01_low,2.0,8,spreader,338.67662349371363,338.6286305367789,-0.0479929569347064,0.0479929569347064,338.6539781466067,f01_low_low,low
p1d_f01_high,3.5,0,pcb_fr4_equivalent,359.9495675466753,366.1859186585033,6.2363511118279575,6.2363511118279575,362.93554005877945,f01_low_low,high
p1d_f01_high,3.5,1,bt_substrate_with_vias,366.1859186585033,368.4765897489676,2.2906710904643433,2.2906710904643433,367.2229906155273,f01_low_low,high
p1d_f01_high,3.5,2,silicon_interposer_tsv_0p1,368.4765897489676,368.47984472656844,0.0032549776008181652,0.0032549776008181652,368.48587618598856,f01_low_low,high
p1d_f01_high,3.5,3,bump_underfill_under_interposer,368.47984472656844,368.493728929548,0.013884202979568272,0.013884202979568272,368.4960380889478,f01_low_low,high
p1d_f01_high,3.5,4,silicon_die_lower,368.493728929548,368.41097071591014,-0.08275821363787372,0.08275821363787372,368.5042383369877,f01_low_low,high
p1d_f01_high,3.5,5,tim_between_dies,368.41097071591014,368.2332520879641,-0.1777186279460352,0.1777186279460352,368.36115210957814,f01_low_low,high
p1d_f01_high,3.5,6,silicon_die_upper,368.2332520879641,368.0492828740724,-0.1839692138917144,0.1839692138917144,368.2315499919606,f01_low_low,high
p1d_f01_high,3.5,7,tim_to_spreader,368.0492828740724,367.6840911079369,-0.36519176613546733,0.36519176613546733,367.92992317931476,f01_low_low,high
p1d_f01_high,3.5,8,spreader,367.6840911079369,367.6001034333043,-0.08398767463262402,0.08398767463262402,367.64446175050057,f01_low_low,high
p1d_f02_low,3.0,0,pcb_fr4_equivalent,328.63439957211267,336.08208717707356,7.44768760496089,7.44768760496089,332.19955119646215,f02_750_50,low
p1d_f02_low,3.0,1,bt_substrate_with_vias,336.08208717707356,338.81846459375555,2.7363774166819894,2.7363774166819894,337.31934370688543,f02_750_50,low
p1d_f02_low,3.0,2,silicon_interposer_tsv_0p1,338.81846459375555,338.82253765942494,0.004073065669388143,0.004073065669388143,338.8273989018327,f02_750_50,low
p1d_f02_low,3.0,3,bump_underfill_under_interposer,338.82253765942494,338.83996434063215,0.017426681207211914,0.017426681207211914,338.8395335804659,f02_750_50,low
p1d_f02_low,3.0,4,silicon_die_lower,338.83996434063215,338.77143981230097,-0.0685245283311815,0.0685245283311815,338.8499810408112,f02_750_50,low
p1d_f02_low,3.0,5,tim_between_dies,338.77143981230097,338.6237006539198,-0.1477391583811709,0.1477391583811709,338.7309848851998,f02_750_50,low
p1d_f02_low,3.0,6,silicon_die_upper,338.6237006539198,338.4684592000913,-0.1552414538285234,0.1552414538285234,338.62302921657135,f02_750_50,low
p1d_f02_low,3.0,7,tim_to_spreader,338.4684592000913,338.1600787002859,-0.3083804998053665,0.3083804998053665,338.3681365391476,f02_750_50,low
p1d_f02_low,3.0,8,spreader,338.1600787002859,338.08912774412596,-0.07095095615994751,0.07095095615994751,338.1268677613269,f02_750_50,low
p1d_f02_high,5.0,0,pcb_fr4_equivalent,347.72399928418844,360.1368119584296,12.412812674241138,12.412812674241138,353.66591865777207,f02_750_50,high
p1d_f02_high,5.0,1,bt_substrate_with_vias,360.1368119584296,364.69744098597965,4.560629027550078,4.560629027550078,362.19890617466854,f02_750_50,high
p1d_f02_high,5.0,2,silicon_interposer_tsv_0p1,364.69744098597965,364.7042294287614,0.006788442781726189,0.006788442781726189,364.7123314994416,f02_750_50,high
p1d_f02_high,5.0,3,bump_underfill_under_interposer,364.7042294287614,364.73327389743764,0.029044468676261204,0.029044468676261204,364.73255596382864,f02_750_50,high
p1d_f02_high,5.0,4,silicon_die_lower,364.73327389743764,364.6190663502179,-0.1142075472197348,0.1142075472197348,364.74996839773587,f02_750_50,high
p1d_f02_high,5.0,5,tim_between_dies,364.6190663502179,364.37283441958044,-0.24623193063746385,0.24623193063746385,364.5516414717151,f02_750_50,high
p1d_f02_high,5.0,6,silicon_die_upper,364.37283441958044,364.1140986631985,-0.25873575638195234,0.25873575638195234,364.37171535733285,f02_750_50,high
p1d_f02_high,5.0,7,tim_to_spreader,364.1140986631985,363.60013116352087,-0.5139674996776193,0.5139674996776193,363.94689422829157,f02_750_50,high
p1d_f02_high,5.0,8,spreader,363.60013116352087,363.4818795699236,-0.11825159359727877,0.11825159359727877,363.5447795985898,f02_750_50,high
p1d_f03_low,4.0,0,pcb_fr4_equivalent,322.6075351456683,334.3687523419335,11.761217196265193,11.761217196265193,328.2365965815123,f03_1000_100,low
p1d_f03_low,4.0,1,bt_substrate_with_vias,334.3687523419335,338.6905924056397,4.3218400637061904,4.3218400637061904,336.32120683813065,f03_1000_100,low
p1d_f03_low,4.0,2,silicon_interposer_tsv_0p1,338.6905924056397,338.69712469758133,0.006532291941653057,0.006532291941653057,338.70256086210634,f03_1000_100,low
p1d_f03_low,4.0,3,bump_underfill_under_interposer,338.69712469758133,338.7251003729869,0.02797567540557111,0.02797567540557111,338.72172260491857,f03_1000_100,low
