sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.027932648935575344,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.004448292644099183,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0003012734611615997,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00011512477766473239,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07082820232579934,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.017632533326150224,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.14116822178607435,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,7,0.003175,tim_to_spreader,spreader,0.0,-0.03072791814122411,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.02797061392334399,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.0044465416856382944,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0003641458168885947,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00013741351108365052,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07088544617204207,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.017645723122257095,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.14115458802018566,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,7,0.003175,tim_to_spreader,spreader,0.0,-0.030724877724878752,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.037522830729130874,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.005975756436782831,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.00045711317761742976,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00017469072747644532,f00_near_adiabatic,q2_42p5_55
