sample_id,package_total_power_W,layer_index,layer_id,bottom_plane_mean_temperature_K,top_plane_mean_temperature_K,top_minus_bottom_temperature_K,absolute_axial_temperature_drop_K,cv_mean_temperature_K,family_id,selection_bin
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,0,pcb_fr4_equivalent,336.1542892750079,336.34046146507956,0.18617219007165886,0.18617219007165886,336.24535764807865,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,1,bt_substrate_with_vias,336.34046146507956,336.40749680162253,0.06703533654297189,0.06703533654297189,336.37464122599147,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,2,silicon_interposer_tsv_0p1,336.40749680162253,336.4073644908726,-0.00013231074990471825,0.00013231074990471825,336.412722216754,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,3,bump_underfill_under_interposer,336.4073644908726,336.40673492262704,-0.0006295682455856877,0.0006295682455856877,336.4130286382877,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,4,silicon_die_lower,336.40673492262704,336.3608626455481,-0.04587227707895636,0.04587227707895636,336.4123345408576,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,5,tim_between_dies,336.3608626455481,336.26317549258727,-0.09768715296081609,0.09768715296081609,336.33350481905285,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,6,silicon_die_upper,336.26317549258727,336.1652730144202,-0.09790247816704323,0.09790247816704323,336.26235298097055,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,7,tim_to_spreader,336.1652730144202,335.9712309715814,-0.19404204283881654,0.19404204283881654,336.1019946974819,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,1.8,8,spreader,335.9712309715814,335.92660274434206,-0.04462822723934323,0.04462822723934323,335.9502835441939,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,0,pcb_fr4_equivalent,336.15443031013564,336.34078403577894,0.18635372564330055,0.18635372564330055,336.24535764807257,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,1,bt_substrate_with_vias,336.34078403577894,336.40786679745787,0.06708276167893246,0.06708276167893246,336.3746412259893,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,2,silicon_interposer_tsv_0p1,336.40786679745787,336.4077056199488,-0.00016117750908506423,0.00016117750908506423,336.41272221675365,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,3,bump_underfill_under_interposer,336.4077056199488,336.4069449019499,-0.0007607179989008728,0.0007607179989008728,336.4130286382871,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,4,silicon_die_lower,336.4069449019499,336.36102970299714,-0.04591519895274132,0.04591519895274132,336.41233454085676,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,5,tim_between_dies,336.36102970299714,336.2632640689623,-0.09776563403482896,0.09776563403482896,336.3335048190521,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,6,silicon_die_upper,336.2632640689623,336.16536690569336,-0.09789716326895359,0.09789716326895359,336.2623529809698,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,7,tim_to_spreader,336.16536690569336,335.9713439904478,-0.19402291524556858,0.19402291524556858,336.1019946974812,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,1.8,8,spreader,335.9713439904478,335.9267164991424,-0.04462749130539123,0.04462749130539123,335.95028354419327,f00_near_adiabatic,q1_30_42p5
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,0,pcb_fr4_equivalent,348.20617928767325,348.45527294649696,0.24909365882371048,0.24909365882371048,348.32714352800645,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,1,bt_substrate_with_vias,348.45527294649696,348.5453516435366,0.09007869703964388,0.09007869703964388,348.4995216318768,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,2,silicon_interposer_tsv_0p1,348.5453516435366,348.5451498968457,-0.00020174669089101371,0.00020174669089101371,348.5502962862225,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,3,bump_underfill_under_interposer,348.5451498968457,348.5441947096853,-0.0009551871604003281,0.0009551871604003281,348.55070484826723,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,4,silicon_die_lower,348.5441947096853,348.4828666872782,-0.06132802240711044,0.06132802240711044,348.54977938502685,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,5,tim_between_dies,348.4828666872782,348.35228039150246,-0.13058629577574266,0.13058629577574266,348.44467308928677,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,6,silicon_die_upper,348.35228039150246,348.2214609595448,-0.13081943195766144,0.13081943195766144,348.34980397184324,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,7,tim_to_spreader,348.2214609595448,347.96218211888737,-0.25927884065743,0.25927884065743,348.1359929271915,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,2.4,8,spreader,347.96218211888737,347.90260562691407,-0.059576491973302836,0.059576491973302836,347.9337113894744,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,0,pcb_fr4_equivalent,348.20647162190994,348.45620036861214,0.24972874670220335,0.24972874670220335,348.32714352800497,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,1,bt_substrate_with_vias,348.45620036861214,348.54705239974976,0.09085203113761509,0.09085203113761509,348.4995216318773,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,2,silicon_interposer_tsv_0p1,348.54705239974976,348.5469385280834,-0.0001138716663717787,0.0001138716663717787,348.55029628622447,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,3,bump_underfill_under_interposer,348.5469385280834,348.54638151197304,-0.0005570161103491955,0.0005570161103491955,348.55070484826894,f00_near_adiabatic,q2_42p5_55
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,2.4,4,silicon_die_lower,348.54638151197304,348.4848562375549,-0.061525274418158915,0.061525274418158915,348.54977938502844,f00_near_adiabatic,q2_42p5_55
