sample_id,family_id,selection_bin,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,total_source_area_mm2,layout_seed,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,solver_cv_mean_minus_projected_unweighted_mean_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,f00_near_adiabatic,q1_30_42p5,500.0,1.0,1.8,16.0,0,37.35622210798272,36.22087486342119,20.753456726657063,1.7963844633780077,0.0036155370947053445,0.9979913685433376,0.002008631719280747,-2.626183462439085e-10,6.870893092678651e-11,336.9413229675658,335.92660274434206,336.1542892750079,20.5642632302105,10217.381816290392,0.5648680691190072,217.68098955765933,19.999395161091492,9999.700826732733,20.522957204203212,20.522957198813508,-2.626183268292836e-10,True,0.034275240664555895,-0.15751212198541964,240,7,True,True
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,f00_near_adiabatic,q1_30_42p5,500.0,1.0,1.8,32.0,1,36.92550311052463,36.22087486341827,20.514168394735904,1.7963844633779895,0.003615537094704641,0.9979913685433275,0.002008631719280356,-2.626078400839233e-10,6.954063288302964e-11,336.65438438995847,335.9267164991424,336.15443031013564,20.40453206828129,10138.019173871267,0.40507358288310424,138.2793390655753,19.999458485398186,9999.739834805692,20.36354688331026,20.36354687796263,-2.6260797910611847e-10,True,0.001614141305992689,-0.08042278068135289,504,7,True,True
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,f00_near_adiabatic,q2_42p5_55,500.0,1.0,2.4,48.0,0,49.11853913800388,48.294499815119174,20.466057974168287,2.395179284364874,0.0048207161259980445,0.9979913684853642,0.002008631719165852,-2.0453007198763715e-10,6.88551974747374e-11,348.7101604239829,347.90260562691407,348.20617928767325,20.336749212032085,10104.341170659234,0.33715839241779283,104.54486908941057,19.999590819614294,9999.796301569822,20.295900176659554,20.295900172508432,-2.0453008127673214e-10,True,0.03284981732514325,-0.06239915492627546,720,7,True,True
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,f00_near_adiabatic,q2_42p5_55,500.0,1.0,2.4,64.0,1,48.956097081428766,48.29449981511951,20.398373783928655,2.3951792843649633,0.0048207161259978945,0.9979913684854014,0.0020086317191657893,-2.045672019366368e-10,6.912103047008479e-11,348.6213552527513,347.9028916225909,348.20647162190994,20.2996725840681,10085.919598239487,0.2999623597491463,86.06265542248204,19.999710224318957,9999.856942817005,20.25889802197971,20.258898017835403,-2.0456729696671317e-10,True,0.006769537994728125,-0.054731182022990765,984,7,True,True
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,f00_near_adiabatic,q3_55_67p5,500.0,1.0,3.0,16.0,0,62.26037017441507,60.368124766818916,20.753456724805023,2.993974105351899,0.006025895157290764,0.997991368450633,0.002008631719096921,-1.6972988639563091e-10,6.966036576843355e-11,361.5688716070434,359.877671235008,360.25714878616526,20.564263230261584,10217.381816301742,0.5648680691700926,217.68098956900312,19.999395161091492,9999.70082673274,20.522957202347794,20.522957198864432,-1.697299819286348e-10,True,0.019504389287021695,-0.28047289968186107,240,7,True,True
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,f00_near_adiabatic,q3_55_67p5,500.0,1.0,3.0,32.0,1,61.54250517865546,60.368124766816386,20.514168392885153,2.9939741053518256,0.006025895157290252,0.9979913684506085,0.0020086317190967508,-1.6970529090794736e-10,6.967971064324164e-11,361.09064064436444,359.8778608263411,360.25738384471754,20.404532068317806,10138.01917387423,0.40507358291959866,138.27933906862162,19.999458485398208,9999.739834805609,20.363546881454813,20.36354687799901,-1.697053453009897e-10,True,0.0012386648181177407,-0.1467471342729496,504,7,True,True
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,f00_near_adiabatic,q4_67p5_80,500.0,1.0,3.6,48.0,0,73.67780870283417,72.44174971851604,20.46605797300949,3.5927689263387155,0.007231074188583325,0.997991368427421,0.0020086317190509237,-1.4647186386227787e-10,6.963694588726721e-11,373.06524063180024,371.8539084361994,372.30926892737267,20.336749212051014,10104.341170660124,0.3371583924366878,104.54486909028269,19.999590819614326,9999.79630156984,20.295900175500066,20.295900172527286,-1.4647191453979932e-10,True,0.025651109873365385,-0.12052224870387818,720,7,True,True
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,f00_near_adiabatic,q4_67p5_80,500.0,1.0,3.6,64.0,1,73.43414561796357,72.44174971851434,20.398373782767656,3.592768926338716,0.007231074188582919,0.9979913684274211,0.002008631719050811,-1.464718744633658e-10,6.967084676349933e-11,372.9320328749503,371.8543374297119,372.30970742872546,20.29967258408494,10085.919598239234,0.299962359765972,86.06265542226735,19.99971022431897,9999.856942816967,20.258898020819533,20.258898017852175,-1.4647183237167286e-10,True,0.006011458762998245,-0.07968764095822678,984,7,True,True
p1d64b_f01_low_low_q1_30_42p5_a32_l0,f01_low_low,q1_30_42p5,500.0,20.0,1.8,32.0,0,35.765798327797995,33.92092772508337,19.869887959887773,1.7383358085594272,0.061664191911596805,0.9657421158663484,0.034257884395331555,-2.6167995239825515e-10,6.821959986269237e-11,335.4722913283496,334.7657674839083,330.83120617030784,20.40589117113442,575.2494312939917,0.4064369156767456,75.26386082696673,19.999454255457675,499.985570467025,19.70682851574979,19.70682851059291,-2.6167991162093505e-10,True,0.012389195819821452,-0.43171479222871767,480,7,True,True
p1d64b_f01_low_low_q1_30_42p5_a48_l1,f01_low_low,q1_30_42p5,500.0,20.0,1.8,48.0,1,35.65472206159791,33.920927725076,19.80817892310995,1.7383358085594225,0.06166419191155687,0.9657421158663458,0.03425788439530937,-2.6165517669207716e-10,6.905562213457088e-11,335.36260063358463,334.76593937875384,330.8313860634907,20.342790190170447,573.4705918842521,0.3432370499951052,73.4821041130795,19.999553140175344,499.9884877711727,19.64588924088035,19.645889235739904,-2.6165505810526745e-10,True,0.0077554197149538595,-0.340732395595154,744,7,True,True
p1d64b_f01_low_low_q2_42p5_55_a64_l0,f01_low_low,q2_42p5_55,500.0,20.0,2.5,64.0,0,49.33679238002617,47.11239961512761,19.734716952010466,2.4143552895088356,0.08564471098277582,0.9657421158035342,0.034257884393110324,-1.966445672962891e-10,6.839124238794788e-11,348.9906643690313,348.28653707682173,342.8217915091139,20.291406398184975,572.0220642566467,0.2916419531413852,72.02864939503459,19.99976444504359,499.99341486161205,19.596265747612527,19.59626574375903,-1.9664445903211283e-10,True,0.008273956696143614,-0.4820963906653972,984,7,True,True
p1d64b_f01_low_low_q2_42p5_55_a16_l1,f01_low_low,q2_42p5_55,500.0,20.0,2.5,16.0,1,50.17115361268935,47.11239961513976,20.06846144507574,2.4143552895087494,0.0856447109828516,0.9657421158034998,0.03425788439314064,-1.9664042061329212e-10,6.931649430509187e-11,349.68233494827626,348.2855609074403,342.82093852204906,20.577888914760827,580.0981097154267,0.5785287885778265,80.1146544542726,19.999360126183,499.9834552611541,19.872933979310506,19.872933975402685,-1.9664039672852113e-10,True,0.007078194345012889,-0.6941178681177504,264,7,True,True
p1d64b_f01_low_low_q3_55_67p5_a32_l0,f01_low_low,q3_55_67p5,500.0,20.0,3.1,32.0,0,61.59665266982688,58.41937552088929,19.869887958008672,2.9938005588938794,0.10619944161528223,0.9657421157722191,0.034257884392026525,-1.6424566456000932e-10,6.900475931624356e-11,361.09116839298747,359.87437732756183,353.09818839929613,20.40589117117369,575.2494312945274,0.40643691571599116,75.26386082750491,19.9994542554577,499.98557046702246,19.706828513866924,19.706828510630164,-1.642456162302399e-10,True,0.02801831229282925,-0.6013763821943954,480,7,True,True
p1d64b_f01_low_low_q3_55_67p5_a48_l1,f01_low_low,q3_55_67p5,500.0,20.0,3.1,48.0,1,61.405354655799385,58.419375520880685,19.808178921225608,2.993800558893927,0.10619944161523176,0.9657421157722345,0.034257884392010246,-1.6424471102168573e-10,6.948166295215536e-11,360.9022566408935,359.87467336868593,353.0984982153428,20.34279019020362,573.4705918845294,0.3432370500282076,73.4821041133558,19.99955314017541,499.98848777117365,19.645889238997896,19.645889235771165,-1.6424458283533885e-10,True,0.028367418704419833,-0.5373740854451583,744,7,True,True
p1d64b_f01_low_low_q4_67p5_80_a64_l0,f01_low_low,q4_67p5_80,500.0,20.0,3.7,64.0,0,73.01845271856223,69.72635142663665,19.734716950962763,3.57324582827896,0.1267541722477038,0.9657421157510703,0.034257884391271295,-1.4234154395705284e-10,6.885381922762656e-11,372.50618326228397,371.464074869814,363.3762514300863,20.291406398200788,572.0220642567247,0.2916419531571657,72.02864939511329,19.999764445043624,499.99341486161137,19.596265746563233,19.596265743773873,-1.4234139760501184e-10,True,0.014420401216284517,-0.7444037243142816,984,7,True,True
p1d64b_f01_low_low_q4_67p5_80_a16_l1,f01_low_low,q4_67p5_80,500.0,20.0,3.7,16.0,1,74.25330734291316,69.7263514266455,20.068461444030582,3.573245828279049,0.12675417224774643,0.9657421157510943,0.03425788439128282,-1.4237707109384085e-10,7.033218072240463e-11,373.52985571957004,371.46263013913375,363.37498900919576,20.577888914791956,580.0981097162845,0.5785287886089567,80.11465445513035,19.999360126183,499.9834552611542,19.87293397826217,19.872933975432723,-1.4237699770207978e-10,True,0.02818120427912163,-0.9791806240413905,264,7,True,True
