sample_id,package_total_power_W,interface_index,interface_z_m,lower_layer,upper_layer,perfect_contact_temperature_jump_K,adjacent_plane_upper_minus_lower_K,family_id,selection_bin
p1d64_f00_near_adiabatic_low_a16_l0,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.03103627659390895,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a16_l0,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.004942547382199791,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a16_l0,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0003347482902427146,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a16_l0,2.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.00012791641961484856,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a16_l0,2.0,4,0.0029249999999999996,silicon_die_lower,tim_between_dies,0.0,-0.07869800258407622,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a16_l0,2.0,5,0.0029749999999999998,tim_between_dies,silicon_die_upper,0.0,-0.019591703695766682,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a16_l0,2.0,6,0.0031249999999999997,silicon_die_upper,tim_to_spreader,0.0,-0.15685357976224168,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a16_l0,2.0,7,0.003175,tim_to_spreader,spreader,0.0,-0.034142131268140474,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a32_l1,2.0,0,0.0016,pcb_fr4_equivalent,bt_substrate_with_vias,0.0,0.03107845991371505,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a32_l1,2.0,1,0.0026,bt_substrate_with_vias,silicon_interposer_tsv_0p1,0.0,0.004940601872533534,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a32_l1,2.0,2,0.0026999999999999997,silicon_interposer_tsv_0p1,bump_underfill_under_interposer,0.0,-0.0004046064632348134,f00_near_adiabatic,low
p1d64_f00_near_adiabatic_low_a32_l1,2.0,3,0.0027749999999999997,bump_underfill_under_interposer,silicon_die_lower,0.0,-0.0001526816788555152,f00_near_adiabatic,low
