attempt_id,family_id,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,total_source_area_mm2,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_fraction,bottom_heat_fraction,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_relative_closure_error,energy_balance_relative_error,linear_residual,in_30_80_K_window,family_role,attempt_retained
x_f00_p0_a0,f00_near_adiabatic,500.0,1.0,2.0,16.0,41.506913452389085,40.2454165139883,20.753456726194543,0.9979913685201791,0.0020086317192348517,20.564263230223258,10217.381816293093,20.522957203739708,-2.394138977489408e-10,-2.3941396348065025e-10,6.944071782302619e-11,True,near_adiabatic_control,True
x_f00_p0_a1,f00_near_adiabatic,500.0,1.0,2.0,32.0,41.052786626490104,40.24541651398796,20.526393313245052,0.9979913685201662,0.0020086317192348335,20.401518954113783,10136.522104043172,20.360539820906126,-2.394011858744556e-10,-2.394010666789681e-10,6.881451124832261e-11,True,near_adiabatic_control,True
x_f00_p0_a2,f00_near_adiabatic,500.0,1.0,2.0,48.0,40.93211594972985,40.24541651398968,20.466057974864924,0.9979913685202004,0.0020086317192349974,20.33674921202068,10104.34117065844,20.29590017735663,-2.3943545478642126e-10,-2.3943542547949503e-10,6.850793860954158e-11,True,near_adiabatic_control,True
x_f00_p0_a3,f00_near_adiabatic,500.0,1.0,2.0,64.0,40.78223084271508,40.245416513989746,20.39111542135754,0.9979913685201816,0.0020086317192350724,20.290732651137088,10081.477780554533,20.249976046785434,-2.394166930797577e-10,-2.3941662671486674e-10,6.831774673029412e-11,True,near_adiabatic_control,True
x_f00_p1_a0,f00_near_adiabatic,500.0,1.0,3.5,16.0,72.63709853543003,70.42947889323462,20.75345672440858,0.9979913684307703,0.0020086317190575113,20.56426323027254,10217.381816304302,20.522957201950266,-1.4982778484995416e-10,-1.4982782524573602e-10,6.980317841544577e-11,True,near_adiabatic_control,True
x_f00_p1_a1,f00_near_adiabatic,500.0,1.0,3.5,32.0,71.84237659010125,70.42947889323482,20.5263933114575,0.9979913684307634,0.0020086317190575473,20.401518954148628,10136.522104047097,20.360539819116948,-1.4982090841919853e-10,-1.498210095171989e-10,6.919340516360895e-11,True,near_adiabatic_control,True
x_f00_p1_a2,f00_near_adiabatic,500.0,1.0,3.5,48.0,71.63120290576478,70.42947889323274,20.466057973075653,0.9979913684307277,0.0020086317190574883,20.336749212049934,10104.341170660044,20.295900175566235,-1.4978500788413476e-10,-1.4978516963454995e-10,6.938784678742674e-11,True,near_adiabatic_control,True
x_f00_p1_a3,f00_near_adiabatic,500.0,1.0,3.5,64.0,71.36890396849486,70.42947889323433,20.39111541956996,0.9979913684307531,0.0020086317190575304,20.290732651162255,10081.477780554747,20.24997604499598,-1.498104812999877e-10,-1.4981058853764344e-10,6.859142134517793e-11,True,near_adiabatic_control,True
x_f01_p0_a0,f01_low_low,500.0,20.0,2.0,16.0,40.19410111629128,37.68991969367252,20.09705055814564,0.9657421158439143,0.03425788439455245,20.574069607807864,579.9904420753976,19.86924551456434,-2.384667678478335e-10,-2.384667879828939e-10,6.913723250524039e-11,True,literature_focus,True
x_f01_p0_a1,f01_low_low,500.0,20.0,2.0,32.0,39.73977591888058,37.689919693669715,19.86988795944029,0.9657421158439232,0.03425788439454422,20.405891171143807,575.2494312941195,19.706828515301254,-2.3846745711075745e-10,-2.3846744023892086e-10,6.915531430751637e-11,True,literature_focus,True
x_f01_p0_a2,f01_low_low,500.0,20.0,2.0,48.0,39.619317007475786,37.68991969366302,19.809658503737893,0.9657421158439075,0.03425788439452648,20.338959081138455,573.3625915387705,19.64218937708131,-2.3843395036926763e-10,-2.384339392591528e-10,6.84820274227056e-11,True,literature_focus,True
x_f01_p0_a3,f01_low_low,500.0,20.0,2.0,64.0,39.46943390563422,37.68991969366345,19.73471695281711,0.9657421158439117,0.03425788439452706,20.291406398172853,572.0220642565652,19.596265748420137,-2.3843867878006537e-10,-2.384387340348404e-10,6.833883629790198e-11,True,literature_focus,True
x_f01_p1_a0,f01_low_low,500.0,20.0,3.5,16.0,70.33967694746224,65.9573594580604,20.09705055641778,0.9657421157573669,0.03425788439150088,20.574069607858824,579.9904420765204,19.869245512832922,-1.4886775298417256e-10,-1.4886778714513175e-10,6.915270433732642e-11,True,literature_focus,True
x_f01_p1_a1,f01_low_low,500.0,20.0,3.5,32.0,69.54460785199115,65.95735945806148,19.869887957711757,0.9657421157573653,0.03425788439150248,20.40589117117985,575.2494312946529,19.70682851356977,-1.488678766541227e-10,-1.4886786248169415e-10,6.88748757132713e-11,True,literature_focus,True
x_f01_p1_a2,f01_low_low,500.0,20.0,3.5,48.0,69.3338047570328,65.95735945805231,19.80965850200937,0.9657421157573179,0.03425788439149098,20.338959081168678,573.3625915390182,19.642189375349353,-1.488090114215481e-10,-1.4880890963908655e-10,6.869102677522683e-11,True,literature_focus,True
x_f01_p1_a3,f01_low_low,500.0,20.0,3.5,64.0,69.07150932880774,65.95735945805411,19.734716951087925,0.9657421157573504,0.03425788439149145,20.291406398198873,572.0220642567143,19.596265746688818,-1.48841927006677e-10,-1.4884186343750676e-10,6.867355103520953e-11,True,literature_focus,True
x_f02_p0_a0,f02_750_50,750.0,50.0,3.0,16.0,40.42320011612139,35.888477883074316,13.474400038707131,0.9522733926573936,0.04772660750463426,13.91167390146468,277.5750801563831,13.24771690369109,-1.620277747469725e-10,-1.6202790035594697e-10,6.898439605887849e-11,True,literature_focus,True
x_f02_p0_a1,f02_750_50,750.0,50.0,3.0,32.0,39.741577002177394,35.88847788307435,13.24719233405913,0.9522733926573844,0.047726607504633735,13.741121571845099,274.1721052951032,13.085304458138504,-1.6201830090905529e-10,-1.6201819515634006e-10,6.827264372453217e-11,True,literature_focus,True
x_f02_p0_a2,f02_750_50,750.0,50.0,3.0,48.0,39.56100264852137,35.88847788307492,13.187000882840456,0.9522733926573744,0.047726607504634526,13.673248720413664,272.81786048530773,13.020670947636424,-1.6200890195892892e-10,-1.6200891554222588e-10,6.858607523283485e-11,True,literature_focus,True
x_f02_p0_a3,f02_750_50,750.0,50.0,3.0,64.0,39.33620581631533,35.888477883074906,13.112068605438443,0.9522733926573687,0.0477266075046358,13.625029743820507,271.8557630132258,12.974753299205512,-1.6200449662973903e-10,-1.6200441913897615e-10,6.819180001592141e-11,True,literature_focus,True
x_f02_p1_a0,f02_750_50,750.0,50.0,5.0,16.0,67.3720001899311,59.8141298017637,13.47440003798622,0.9522733926030957,0.047726607501968145,13.91167390149765,277.5750801567198,13.247716902967113,-1.0506393715078347e-10,-1.0506387981834565e-10,6.863532501364555e-11,True,literature_focus,True
x_f02_p1_a1,f02_750_50,750.0,50.0,5.0,32.0,66.2359616666912,59.81412980176337,13.247192333338239,0.9522733926030836,0.047726607501969553,13.741121571868357,274.1721052952381,13.085304457414498,-1.0505307753533865e-10,-1.0505321057507899e-10,6.927231208630302e-11,True,literature_focus,True
x_f02_p1_a2,f02_750_50,750.0,50.0,5.0,48.0,65.93500441060002,59.81412980176604,13.187000882120003,0.9522733926031094,0.04772660750197119,13.673248720433033,272.8178604853721,13.02067094691289,-1.0508069035444326e-10,-1.0508060532821161e-10,6.88690648045556e-11,True,literature_focus,True
x_f02_p1_a3,f02_750_50,750.0,50.0,5.0,64.0,65.56034302357506,59.81412980176697,13.112068604715011,0.9522733926030945,0.047726607501973994,13.62502974383724,271.8557630132273,12.97475329848196,-1.0506854193556261e-10,-1.0506848724389784e-10,6.83704948033641e-11,True,literature_focus,True
x_f03_p0_a0,f03_1000_100,1000.0,100.0,4.0,16.0,40.83619946789992,34.11204098038781,10.20904986697498,0.9434765639021436,0.056523436217438335,10.581187049574389,176.61880925169882,9.983101999538306,-1.1958195334649582e-10,-1.1958196238781582e-10,6.86156000906105e-11,True,literature_focus,True
x_f03_p0_a1,f03_1000_100,1000.0,100.0,4.0,32.0,39.92724826034038,34.112040980388215,9.981812065085094,0.9434765639021345,0.05652343621743218,10.409049505823548,173.74552784554257,9.820694261241613,-1.1956695314846406e-10,-1.1956670376012113e-10,6.847657486473383e-11,True,literature_focus,True
x_f03_p0_a2,f03_1000_100,1000.0,100.0,4.0,48.0,39.686581657308295,34.112040980388606,9.921645414327074,0.9434765639021354,0.05652343621743673,10.340549993242377,172.60214929171184,9.756066576482567,-1.195720700770335e-10,-1.195721438529418e-10,6.837192707866852e-11,True,literature_focus,True
x_f03_p0_a3,f03_1000_100,1000.0,100.0,4.0,64.0,39.38689138049551,34.11204098038881,9.846722845123878,0.943476563902139,0.05652343621744645,10.291887982307424,171.7898938815047,9.710155109613126,-1.1958532261430914e-10,-1.1958541795697997e-10,6.759750263975865e-11,True,literature_focus,True
x_f03_p1_a0,f03_1000_100,1000.0,100.0,7.0,16.0,71.46334906585577,59.6960717130368,10.209049866550824,0.9434765638595476,0.056523436214958256,10.5811870496007,176.61880925191352,9.983101999112412,-7.450569093821165e-11,-7.45057983562804e-11,6.900641425353455e-11,True,literature_focus,True
x_f03_p1_a1,f03_1000_100,1000.0,100.0,7.0,32.0,69.87268445263584,59.696071713037526,9.981812064662263,0.9434765638595591,0.05652343621496053,10.409049505842038,173.74552784560828,9.820694260815888,-7.451977485074372e-11,-7.451962063293699e-11,6.846739255370665e-11,True,literature_focus,True
x_f03_p1_a2,f03_1000_100,1000.0,100.0,7.0,48.0,69.45151789731847,59.69607171303783,9.921645413902638,0.9434765638595515,0.0565234362149604,10.340549993257826,172.60214929174114,9.756066576056801,-7.451179801145414e-11,-7.451187286225799e-11,6.867438413641421e-11,True,literature_focus,True
x_f03_p1_a3,f03_1000_100,1000.0,100.0,7.0,64.0,68.92705991288318,59.69607171304008,9.846722844697597,0.9434765638595578,0.05652343621495733,10.291887982320825,171.78989388154025,9.710155109187529,-7.451505821644995e-11,-7.45151559503451e-11,6.83651695164633e-11,True,literature_focus,True
