group_id,split_role,source_count,layout_kind,case_count
p1e_g00,train,3,distributed,64
p1e_g01,train,4,clustered,64
p1e_g02,train,5,mixed,64
p1e_g03,train,6,distributed,64
p1e_g04,train,7,clustered,64
p1e_g05,train,8,mixed,64
p1e_g06,valid_iid,9,distributed,64
p1e_g07,test_iid,10,clustered,64
p1e_g08,train,3,mixed,16
p1e_g09,train,4,distributed,16
p1e_g10,train,5,clustered,16
p1e_g11,train,6,mixed,16
p1e_g12,train,7,distributed,16
p1e_g13,train,8,clustered,16
p1e_g14,train,9,mixed,16
p1e_g15,train,10,distributed,16
p1e_g16,train,3,clustered,16
p1e_g17,train,4,mixed,16
p1e_g18,train,5,distributed,16
p1e_g19,train,6,clustered,16
p1e_g20,train,7,mixed,16
p1e_g21,train,8,distributed,16
p1e_g22,train,9,clustered,16
p1e_g23,train,10,mixed,16
p1e_g24,valid_iid,3,distributed,16
p1e_g25,valid_iid,4,clustered,16
p1e_g26,valid_iid,5,mixed,16
p1e_g27,valid_iid,6,distributed,16
p1e_g28,test_iid,7,clustered,16
p1e_g29,test_iid,8,mixed,16
p1e_g30,test_iid,9,distributed,16
p1e_g31,test_iid,10,clustered,16
p1e_g32,layout_ood,3,edge_band,16
p1e_g33,layout_ood,4,diagonal,16
p1e_g34,source_count_ood,2,clustered,16
p1e_g35,source_count_ood,12,mixed,16
p1e_g36,power_density_ood,7,distributed,16
p1e_g37,power_density_ood,8,clustered,16
p1e_g38,bc_ood,9,mixed,16
p1e_g39,bc_ood,10,distributed,16
