sample_id,group_id,split_role,design_block,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,source_count,total_source_area_mm2,layout_kind,alignment_relation,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,projected_field_cv_rms_deltaT_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1f_pilot_g000_t0_b0_p0,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1000.0,20.0,4.0,3,16.70785148375421,distributed,partly_aligned,50.613060315130156,38.71722296507949,12.653265078782539,3.9293763029777606,0.0706236975030361,0.9823440757444402,0.017655924375759025,-1.2019918393946227e-10,6.971309944055803e-11,346.18456023234313,339.2968737958558,335.31574072907296,11.753661820921437,653.952736336945,1.7528701517509826,153.89762767381197,10.000791669170454,500.05510866313307,11.546140058085783,11.546140056697945,-1.201992521808395e-10,True,0.03667080347509,40.39437221599471,756,11,True,True
p1f_pilot_g000_t0_b0_p1,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1000.0,20.0,6.0,3,16.70785148375421,distributed,partly_aligned,75.91959047062988,58.075834445618725,12.653265078438315,5.894064454259838,0.10593554625091883,0.982344075709973,0.017655924375153138,-8.512612836852895e-11,7.021387731105546e-11,369.2768403464451,358.94531069171575,352.9736110917915,11.753661820982703,653.95273633985,1.7528701518122054,153.89762767671772,10.000791669170498,500.05510866313233,11.546140057740852,11.546140056757974,-8.512609185841666e-11,True,0.0550062052113276,60.591558321979434,756,11,True,True
p1f_pilot_g000_t0_b1_p0,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1000.0,120.0,4.0,3,16.70785148375421,distributed,partly_aligned,48.761998374221605,33.4357150792004,12.190499593555401,3.751073624836375,0.2489263756416296,0.9377684062090937,0.0622315939104074,-1.195011381516231e-10,6.941764721432596e-11,344.3507753616019,337.51384681719765,320.7468589510506,11.823488365557347,178.1682445152061,1.8226591179485292,94.82288226673494,10.000829247608818,83.34536224847116,11.087693840400476,11.087693839075484,-1.1950110555074157e-10,True,0.036207544523165325,36.465630838498825,756,11,True,True
p1f_pilot_g000_t0_b1_p1,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1000.0,120.0,6.0,3,16.70785148375421,distributed,partly_aligned,73.14299755936236,50.15357261707584,12.19049959322706,5.626610437056976,0.37338956344974644,0.9377684061761626,0.062231593908291076,-8.445371254180618e-11,6.953352314207519e-11,366.5261630404279,356.2707702238207,331.12028842551797,11.823488365621541,178.1682445159758,1.8226591180126759,94.82288226750373,10.000829247608864,83.34536224847209,11.087693840071315,11.087693839134918,-8.44537772788667e-11,True,0.05431131678517431,54.698446255945065,756,11,True,True
p1f_pilot_g000_t1_b0_p0,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1400.0,20.0,4.0,3,16.70785148375421,distributed,partly_aligned,39.51620071632891,28.009521817964767,9.879050179082228,3.948771408251165,0.05122859222305886,0.9871928520627913,0.012807148055764715,-1.1855599661714233e-10,6.945501832219811e-11,335.09116972128356,328.208612201755,325.6181872263727,8.886604488666709,684.9918804813151,1.7429617488485432,184.91592456149743,7.143642739818166,500.07595591981766,8.77279243032089,8.772792429280823,-1.1855604653487048e-10,True,0.036463556658134166,29.633041403735326,756,11,True,True
p1f_pilot_g000_t1_b0_p1,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1400.0,20.0,6.0,3,16.70785148375421,distributed,partly_aligned,59.27430107297698,42.0142827254797,9.879050178829496,5.923157112164352,0.07684288833192082,0.987192852027392,0.012807148055320136,-8.271217969794502e-11,6.96757174822101e-11,352.63675458040615,342.3129183011155,338.4272808382252,8.886604488728885,684.9918804853232,1.7429617489106737,184.91592456550418,7.143642739818211,500.0759559198191,8.77279243006769,8.772792429342076,-8.271199043253922e-11,True,0.05469533498353485,44.44956210412958,756,11,True,True
p1f_pilot_g000_t1_b1_p0,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1400.0,120.0,4.0,3,16.70785148375421,distributed,partly_aligned,38.52474847992386,24.48700290412264,9.631187119980964,3.817156755215021,0.182843245257559,0.9542891888037552,0.04571081131438975,-1.1814498684925567e-10,6.968793170878855e-11,334.11295162713355,327.268507340531,315.2399307542518,8.936743711278886,186.5693839500657,1.7930739357904597,103.21967785190304,7.1436697754884255,83.34970609816266,8.528237906783389,8.528237905775821,-1.1814484702341542e-10,True,0.03635826961789235,27.13074260671648,756,11,True,True
p1f_pilot_g000_t1_b1_p1,p1f_pilot_g000,pilot_only,complete_factorial_2x2x2,1400.0,120.0,6.0,3,16.70785148375421,distributed,partly_aligned,57.78712271842028,36.730504354904475,9.631187119736714,5.725735132617004,0.27426486787698123,0.9542891887695006,0.0457108113128302,-8.233084584456189e-11,6.948423304201002e-11,351.1694274392318,340.9027610093286,322.85989613059826,8.936743711343196,186.56938395107662,1.7930739358547236,103.21967785291228,7.143669775488473,83.34970609816433,8.528237906538635,8.528237905836498,-8.233084288815711e-11,True,0.05453740442249,40.69611390873932,756,11,True,True
p1f_pilot_g001_t0_b0_p0,p1f_pilot_g001,pilot_only,complete_factorial_2x2x2,1000.0,20.0,4.0,4,18.473339921264333,clustered,partly_aligned,45.26251379850095,38.73201641781875,11.315628449625237,3.929337315659521,0.07066268482146126,0.9823343289148803,0.017665671205365316,-1.202455773841038e-10,6.869249452769495e-11,343.5553731690044,339.2866335777815,335.32424395227906,11.084661272378906,616.3843516426366,1.0863764671489853,116.48480718674038,9.998284805229922,499.89954445589626,10.888843292251096,10.88884329094176,-1.2024570507338852e-10,True,0.050229673554781584,40.02878683293464,540,10,True,True
p1f_pilot_g001_t0_b0_p1,p1f_pilot_g001,pilot_only,complete_factorial_2x2x2,1000.0,20.0,6.0,4,18.473339921264333,clustered,partly_aligned,67.89377069568815,58.098024624720054,11.315628449281357,5.894005973282663,0.10599402722851253,0.9823343288804439,0.017665671204752088,-8.519597064863642e-11,6.91984115167675e-11,365.33305975143656,358.92995036460616,352.98636592657857,11.08466127241628,616.3843516445037,1.0863764671864085,116.48480718861408,9.998284805229872,499.89954445588955,10.888843291906094,10.888843290978409,-8.519588086072965e-11,True,0.07534451033427558,60.04318024737913,540,10,True,True
