sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1f_pilot_g000_t0_b0_p0,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,2.0,338605.1097058996,33.860510970589964,6.921386718749985e-10,2889594356.2610292,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b0_p0,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.0162514680914125,191103.92719094243,19.110392719094243,6.848144531250003e-10,1483980753.4054987,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b0_p0,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,0.9837485319085876,179402.51354547692,17.94025135454769,7.989501953125001e-10,1231301447.4247744,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b0_p1,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,3.0,507907.6645588494,50.79076645588494,6.921386718749985e-10,4334391534.391543,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b0_p1,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.524377202137119,286655.8907864137,28.665589078641368,6.848144531250003e-10,2225971130.108248,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b0_p1,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,1.4756227978628813,269103.77031821536,26.910377031821536,7.989501953125001e-10,1846952171.1371615,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b1_p0,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,2.0,338605.1097058996,33.860510970589964,6.921386718749985e-10,2889594356.2610292,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b1_p0,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.0162514680914125,191103.92719094243,19.110392719094243,6.848144531250003e-10,1483980753.4054987,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b1_p0,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,0.9837485319085876,179402.51354547692,17.94025135454769,7.989501953125001e-10,1231301447.4247744,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b1_p1,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,3.0,507907.6645588494,50.79076645588494,6.921386718749985e-10,4334391534.391543,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b1_p1,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.524377202137119,286655.8907864137,28.665589078641368,6.848144531250003e-10,2225971130.108248,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t0_b1_p1,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,1.4756227978628813,269103.77031821536,26.910377031821536,7.989501953125001e-10,1846952171.1371615,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b0_p0,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,2.0,338605.1097058996,33.860510970589964,6.921386718749985e-10,2889594356.2610292,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b0_p0,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.0162514680914125,191103.92719094243,19.110392719094243,6.848144531250003e-10,1483980753.4054987,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b0_p0,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,0.9837485319085876,179402.51354547692,17.94025135454769,7.989501953125001e-10,1231301447.4247744,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b0_p1,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,3.0,507907.6645588494,50.79076645588494,6.921386718749985e-10,4334391534.391543,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b0_p1,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.524377202137119,286655.8907864137,28.665589078641368,6.848144531250003e-10,2225971130.108248,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b0_p1,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,1.4756227978628813,269103.77031821536,26.910377031821536,7.989501953125001e-10,1846952171.1371615,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b1_p0,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,2.0,338605.1097058996,33.860510970589964,6.921386718749985e-10,2889594356.2610292,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b1_p0,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.0162514680914125,191103.92719094243,19.110392719094243,6.848144531250003e-10,1483980753.4054987,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b1_p0,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,0.9837485319085876,179402.51354547692,17.94025135454769,7.989501953125001e-10,1231301447.4247744,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b1_p1,src_00,silicon_die_lower,3,5.90658540781363e-06,0.5,3.0,507907.6645588494,50.79076645588494,6.921386718749985e-10,4334391534.391543,756,14,18,3,13,17,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b1_p1,src_01,silicon_die_upper,3,5.317794788570828e-06,0.25406286702285313,1.524377202137119,286655.8907864137,28.665589078641368,6.848144531250003e-10,2225971130.108248,816,12,17,4,11,16,p1f_pilot_g000,pilot_only
p1f_pilot_g000_t1_b1_p1,src_02,silicon_die_upper,10,5.483471287369763e-06,0.2459371329771469,1.4756227978628813,269103.77031821536,26.910377031821536,7.989501953125001e-10,1846952171.1371615,952,14,17,4,13,16,p1f_pilot_g000,pilot_only
p1f_pilot_g001_t0_b0_p0,src_00,silicon_die_lower,5,4.6651633485395476e-06,0.27516194025148966,1.1006477610059586,235929.09374770807,23.59290937477081,4.998779296874989e-10,2201833078.915954,546,13,14,3,12,13,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b0_p0,src_01,silicon_die_lower,6,4.294546203880483e-06,0.2588759989522233,1.0355039958088932,241120.70208331404,24.112070208331403,4.94384765624999e-10,2094530551.5225852,540,12,15,3,11,14,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b0_p0,src_02,silicon_die_upper,5,4.750655034014403e-06,0.2260948389403663,0.9043793557614652,190369.40154276908,19.03694015427691,6.277465820312502e-10,1440675874.068628,748,11,17,4,10,16,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b0_p0,src_03,silicon_die_upper,6,4.762975334829889e-06,0.23986722185592066,0.9594688874236826,201443.1778404224,20.14431778404224,6.982421875000003e-10,1374120476.5340567,832,13,16,4,12,15,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b0_p1,src_00,silicon_die_lower,5,4.6651633485395476e-06,0.27516194025148966,1.650971641508938,353893.6406215621,35.38936406215621,4.998779296874989e-10,3302749618.3739314,546,13,14,3,12,13,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b0_p1,src_01,silicon_die_lower,6,4.294546203880483e-06,0.2588759989522233,1.5532559937133397,361681.053124971,36.1681053124971,4.94384765624999e-10,3141795827.283878,540,12,15,3,11,14,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b0_p1,src_02,silicon_die_upper,5,4.750655034014403e-06,0.2260948389403663,1.3565690336421978,285554.1023141536,28.55541023141536,6.277465820312502e-10,2161013811.102942,748,11,17,4,10,16,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b0_p1,src_03,silicon_die_upper,6,4.762975334829889e-06,0.23986722185592066,1.439203331135524,302164.76676063356,30.216476676063355,6.982421875000003e-10,2061180714.801085,832,13,16,4,12,15,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b1_p0,src_00,silicon_die_lower,5,4.6651633485395476e-06,0.27516194025148966,1.1006477610059586,235929.09374770807,23.59290937477081,4.998779296874989e-10,2201833078.915954,546,13,14,3,12,13,p1f_pilot_g001,pilot_only
p1f_pilot_g001_t0_b1_p0,src_01,silicon_die_lower,6,4.294546203880483e-06,0.2588759989522233,1.0355039958088932,241120.70208331404,24.112070208331403,4.94384765624999e-10,2094530551.5225852,540,12,15,3,11,14,p1f_pilot_g001,pilot_only
