sample_id,group_id,split_role,design_block,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,source_count,total_source_area_mm2,layout_kind,alignment_relation,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,projected_field_cv_rms_deltaT_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points
p1f_g000_t0_b0_p0,p1f_g000,train,complete_factorial_2x2x2,1000.0,20.0,4.0,3,16.806273720802942,distributed,partly_aligned,50.44776764427132,38.71722296507587,12.61194191106783,3.9293763029773667,0.0706236975030306,0.9823440757443417,0.01765592437575765,-1.2009933325618505e-10,6.963410228282992e-11,346.08858580639526,339.29851934797017,335.316685514462,11.729236971137892,652.5937813496314,1.7280265199543547,152.52529494750712,10.001210451183537,500.0684864021242,11.522146451598815,11.522146450215011,-1.2009943633226872e-10,True,0.038303288736358354,40.37867887471001,663,12,True,True
p1f_g000_t0_b0_p1,p1f_g000,train,complete_factorial_2x2x2,1000.0,20.0,6.0,3,16.806273720802942,distributed,partly_aligned,75.67165146436145,58.07583444560998,12.611941910726907,5.894064454259313,0.10593554625089045,0.9823440757098855,0.01765592437514841,-8.503391278151066e-11,7.016429064295953e-11,369.13287870753584,358.94777901988795,352.97502826986505,11.729236971200297,652.5937813527321,1.7280265200167069,152.5252949506075,10.00121045118359,500.06848640212456,11.522146451255972,11.5221464502762,-8.503387034308353e-11,True,0.05745493310348593,60.56801831005156,663,12,True,True
p1f_g000_t0_b1_p0,p1f_g000,train,complete_factorial_2x2x2,1000.0,120.0,4.0,3,16.806273720802942,distributed,partly_aligned,48.59783247312788,33.435715079197344,12.14945811828197,3.7510736248360224,0.24892637564160625,0.9377684062090056,0.06223159391040156,-1.1940715083369469e-10,6.960131352760314e-11,344.2553347983508,337.5154923211699,320.74758525018075,11.79804483317371,177.78483571410604,1.7967769100974476,94.4365557389368,10.001267923076263,83.34827997516925,11.063833699587704,11.063833698266603,-1.1940720425931103e-10,True,0.03900418590967547,36.52680950894074,663,12,True,True
p1f_g000_t0_b1_p1,p1f_g000,train,complete_factorial_2x2x2,1000.0,120.0,6.0,3,16.806273720802942,distributed,partly_aligned,72.89674870774212,50.15357261707045,12.14945811795702,5.626610437056367,0.3733895634497001,0.9377684061760613,0.062231593908283346,-8.434458687034407e-11,7.03882551860267e-11,366.3830021955623,356.2732384797783,331.12137787421193,11.798044833239143,177.78483571489772,1.7967769101628221,94.4365557397282,10.001267923076322,83.34827997516953,11.063833699260385,11.06383369832721,-8.434466209134683e-11,True,0.058506278864683736,54.79021426160288,663,12,True,True
p1f_g000_t1_b0_p0,p1f_g000,train,complete_factorial_2x2x2,1400.0,20.0,4.0,3,16.806273720802942,distributed,partly_aligned,39.35343136553308,28.00952181796426,9.83835784138327,3.948771408250787,0.051228592223063266,0.9871928520626968,0.012807148055765816,-1.1846261818715398e-10,6.94260954344253e-11,334.9980045150884,328.21025335315323,325.61913157902615,8.863011022102107,683.1732631398014,1.71895267164679,183.07887312663337,7.144058350455316,500.094390013168,8.749501128772096,8.749501127735607,-1.184625515585198e-10,True,0.03796531560493577,29.602934835919182,663,12,True,True
p1f_g000_t1_b0_p1,p1f_g000,train,complete_factorial_2x2x2,1400.0,20.0,6.0,3,16.806273720802942,distributed,partly_aligned,59.03014704681044,42.014282725476576,9.838357841135073,5.923157112163793,0.07684288833191663,0.9871928520272988,0.012807148055319439,-8.261822244855684e-11,6.959351196364895e-11,352.49700677112486,342.3153800282129,338.4286973671999,8.863011022165363,683.1732631439918,1.7189526717099817,183.0788731308229,7.144058350455382,500.0943900131689,8.74950112852081,8.749501127797942,-8.26182962034667e-11,True,0.05694797340817104,44.40440225240622,663,12,True,True
p1f_g000_t1_b1_p0,p1f_g000,train,complete_factorial_2x2x2,1400.0,120.0,4.0,3,16.806273720802942,distributed,partly_aligned,38.362955011963265,24.487002904121322,9.590738752990816,3.81715675521471,0.18284324525756543,0.9542891888036775,0.04571081131439136,-1.1806888106091762e-10,6.916382630271702e-11,334.02031469872486,327.2701484439361,315.2406567198814,8.912475143246052,186.0627372414088,1.7683754395381366,102.7090607169501,7.144099703707916,83.35367652445868,8.505078674681215,8.50507867367703,-1.180688877627151e-10,True,0.03847316318842786,27.152618179234643,663,12,True,True
p1f_g000_t1_b1_p1,p1f_g000,train,complete_factorial_2x2x2,1400.0,120.0,6.0,3,16.806273720802942,distributed,partly_aligned,57.54443251650497,36.73050435490128,9.590738752750829,5.725735132616451,0.27426486787696397,0.9542891887694086,0.04571081131282733,-8.223589402038083e-11,6.909072700863885e-11,351.0304720466299,340.90522266443554,322.8609850790401,8.912475143311568,186.0627372424612,1.7683754396035907,102.70906071800154,7.144099703707976,83.35367652445966,8.505078674438314,8.505078673738891,-8.223589324899988e-11,True,0.05770974478144808,40.72892726751345,663,12,True,True
p1f_g001_t0_b0_p0,p1f_g001,train,complete_factorial_2x2x2,1000.0,20.0,4.0,4,18.679277674404567,clustered,partly_aligned,45.48485485371424,38.74128905669492,11.37121371342856,3.9293128781377193,0.07068712234323866,0.9823282195344298,0.017671780585809666,-1.2023950238249093e-10,6.90604642304116e-11,343.60435182055176,339.28646778295536,335.3364899539307,11.097195151641333,616.8641525512968,1.0988903585715073,116.96418799557881,9.998304793069828,499.899964555718,10.901087955137939,10.901087953827197,-1.2023953414232864e-10,True,0.031870551435872585,39.942523125282655,504,11,True,True
p1f_g001_t0_b0_p1,p1f_g001,train,complete_factorial_2x2x2,1000.0,20.0,6.0,4,18.679277674404567,clustered,partly_aligned,68.22728227850723,58.11193358303307,11.371213713084538,5.893969316999938,0.10603068351117287,0.9823282194999896,0.017671780585195477,-8.518508583706581e-11,6.925734641909134e-11,365.4065277287579,358.9297016723668,353.00473492905337,11.097195151679239,616.8641525532161,1.0988903586094458,116.96418799750275,9.998304793069794,499.89996455571327,10.901087954792985,10.901087953864375,-8.518508258741492e-11,True,0.04780582715301307,59.91378468590315,504,11,True,True
