sample_id,source_id,active_layer,slot_index,declared_source_area_m2,package_power_fraction,source_power_W,surface_power_density_W_m2,surface_power_density_W_cm2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,group_id,split_role
p1f_g000_t0_b0_p0,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,2.0,381668.6210877787,38.16686210877787,6.069946289062488e-10,3294922071.3926663,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t0_b0_p0,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.028079350262059,178281.0152065932,17.82810152065932,7.989501953125001e-10,1286787782.6351087,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t0_b0_p0,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,0.971920649737941,167586.8811862164,16.75868811862164,7.989501953125001e-10,1216497167.708665,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t0_b0_p1,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,3.0,572502.931631668,57.2502931631668,6.069946289062488e-10,4942383107.089,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t0_b0_p1,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.5421190253930885,267421.52280988975,26.742152280988975,7.989501953125001e-10,1930181673.952663,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t0_b0_p1,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,1.4578809746069115,251380.3217793246,25.13803217793246,7.989501953125001e-10,1824745751.5629973,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t0_b1_p0,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,2.0,381668.6210877787,38.16686210877787,6.069946289062488e-10,3294922071.3926663,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t0_b1_p0,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.028079350262059,178281.0152065932,17.82810152065932,7.989501953125001e-10,1286787782.6351087,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t0_b1_p0,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,0.971920649737941,167586.8811862164,16.75868811862164,7.989501953125001e-10,1216497167.708665,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t0_b1_p1,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,3.0,572502.931631668,57.2502931631668,6.069946289062488e-10,4942383107.089,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t0_b1_p1,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.5421190253930885,267421.52280988975,26.742152280988975,7.989501953125001e-10,1930181673.952663,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t0_b1_p1,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,1.4578809746069115,251380.3217793246,25.13803217793246,7.989501953125001e-10,1824745751.5629973,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b0_p0,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,2.0,381668.6210877787,38.16686210877787,6.069946289062488e-10,3294922071.3926663,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t1_b0_p0,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.028079350262059,178281.0152065932,17.82810152065932,7.989501953125001e-10,1286787782.6351087,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b0_p0,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,0.971920649737941,167586.8811862164,16.75868811862164,7.989501953125001e-10,1216497167.708665,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b0_p1,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,3.0,572502.931631668,57.2502931631668,6.069946289062488e-10,4942383107.089,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t1_b0_p1,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.5421190253930885,267421.52280988975,26.742152280988975,7.989501953125001e-10,1930181673.952663,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b0_p1,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,1.4578809746069115,251380.3217793246,25.13803217793246,7.989501953125001e-10,1824745751.5629973,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b1_p0,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,2.0,381668.6210877787,38.16686210877787,6.069946289062488e-10,3294922071.3926663,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t1_b1_p0,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.028079350262059,178281.0152065932,17.82810152065932,7.989501953125001e-10,1286787782.6351087,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b1_p0,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,0.971920649737941,167586.8811862164,16.75868811862164,7.989501953125001e-10,1216497167.708665,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b1_p1,src_00,silicon_die_lower,0,5.240147838981048e-06,0.5,3.0,572502.931631668,57.2502931631668,6.069946289062488e-10,4942383107.089,663,13,17,3,12,16,p1f_g000,train
p1f_g000_t1_b1_p1,src_01,silicon_die_upper,0,5.7666227055680276e-06,0.2570198375655148,1.5421190253930885,267421.52280988975,26.742152280988975,7.989501953125001e-10,1930181673.952663,952,14,17,4,13,16,p1f_g000,train
p1f_g000_t1_b1_p1,src_02,silicon_die_upper,11,5.799503176253865e-06,0.24298016243448525,1.4578809746069115,251380.3217793246,25.13803217793246,7.989501953125001e-10,1824745751.5629973,952,14,17,4,13,16,p1f_g000,train
p1f_g001_t0_b0_p0,src_00,silicon_die_lower,5,5.068078867020033e-06,0.3118467546387471,1.2473870185549885,246126.2050739231,24.61262050739231,5.273437499999988e-10,2365415383.3339095,576,12,16,3,11,15,p1f_g001,train
p1f_g001_t0_b0_p0,src_01,silicon_die_lower,6,4.268499356883018e-06,0.24352640121192984,0.9741056048477194,228207.97741879936,22.820797741879936,4.61425781249999e-10,2111077543.6276546,504,12,14,3,11,13,p1f_g001,train
p1f_g001_t0_b0_p0,src_02,silicon_die_upper,5,4.924970433896217e-06,0.2400022559200938,0.9600090236803752,194926.86028592012,19.49268602859201,6.982421875000003e-10,1374894042.3058794,832,13,16,4,12,15,p1f_g001,train
