group_id,split_role,source_count,layout_kind,case_count
p1f_g000,train,3,distributed,8
p1f_g001,train,4,clustered,8
p1f_g002,train,5,mixed,8
p1f_g003,train,6,edge_balanced,8
p1f_g004,train,7,distributed,8
p1f_g005,train,8,clustered,8
p1f_g006,train,9,mixed,8
p1f_g007,train,10,edge_balanced,8
p1f_g008,train,3,distributed,8
p1f_g009,train,4,clustered,8
p1f_g010,train,5,mixed,8
p1f_g011,train,6,edge_balanced,8
p1f_g012,train,7,distributed,8
p1f_g013,train,8,clustered,8
p1f_g014,train,9,mixed,8
p1f_g015,train,10,edge_balanced,8
p1f_g016,train,3,distributed,8
p1f_g017,train,4,clustered,8
p1f_g018,train,5,mixed,8
p1f_g019,train,6,edge_balanced,8
p1f_g020,train,7,distributed,8
p1f_g021,train,8,clustered,8
p1f_g022,train,9,mixed,8
p1f_g023,train,10,edge_balanced,8
p1f_g024,train,3,distributed,8
p1f_g025,train,4,clustered,8
p1f_g026,train,5,mixed,8
p1f_g027,train,6,edge_balanced,8
p1f_g028,train,7,distributed,8
p1f_g029,train,8,clustered,8
p1f_g030,train,9,mixed,8
p1f_g031,train,10,edge_balanced,8
p1f_g032,train,3,distributed,8
p1f_g033,train,4,clustered,8
p1f_g034,train,5,mixed,8
p1f_g035,train,6,edge_balanced,8
p1f_g036,train,7,distributed,8
p1f_g037,train,8,clustered,8
p1f_g038,train,9,mixed,8
p1f_g039,train,10,edge_balanced,8
p1f_g040,train,3,distributed,8
p1f_g041,train,4,clustered,8
p1f_g042,train,5,mixed,8
p1f_g043,train,6,edge_balanced,8
p1f_g044,train,7,distributed,8
p1f_g045,train,8,clustered,8
p1f_g046,train,9,mixed,8
p1f_g047,train,10,edge_balanced,8
p1f_g048,train,3,distributed,8
p1f_g049,train,4,clustered,8
p1f_g050,train,5,mixed,8
p1f_g051,train,6,edge_balanced,8
p1f_g052,train,7,distributed,8
p1f_g053,train,8,clustered,8
p1f_g054,train,9,mixed,8
p1f_g055,train,10,edge_balanced,8
p1f_g056,train,3,distributed,8
p1f_g057,train,4,clustered,8
p1f_g058,train,5,mixed,8
p1f_g059,train,6,edge_balanced,8
p1f_g060,train,7,distributed,8
p1f_g061,train,8,clustered,8
p1f_g062,train,9,mixed,8
p1f_g063,train,10,edge_balanced,8
p1f_g064,train,3,distributed,8
p1f_g065,train,4,clustered,8
p1f_g066,train,5,mixed,8
p1f_g067,train,6,edge_balanced,8
p1f_g068,train,7,distributed,8
p1f_g069,train,8,clustered,8
p1f_g070,train,9,mixed,8
p1f_g071,train,10,edge_balanced,8
p1f_g072,train,3,distributed,8
p1f_g073,train,4,clustered,8
p1f_g074,train,5,mixed,8
p1f_g075,train,6,edge_balanced,8
p1f_g076,train,7,distributed,8
p1f_g077,train,8,clustered,8
p1f_g078,train,9,mixed,8
p1f_g079,train,10,edge_balanced,8
p1f_g080,train,3,distributed,8
p1f_g081,train,4,clustered,8
p1f_g082,train,5,mixed,8
p1f_g083,train,6,edge_balanced,8
p1f_g084,train,7,distributed,8
p1f_g085,train,8,clustered,8
p1f_g086,train,9,mixed,8
p1f_g087,train,10,edge_balanced,8
p1f_g088,train,3,distributed,8
p1f_g089,train,4,clustered,8
p1f_g090,train,5,mixed,8
p1f_g091,train,6,edge_balanced,8
p1f_g092,train,7,distributed,8
p1f_g093,train,8,clustered,8
p1f_g094,train,9,mixed,8
p1f_g095,train,10,edge_balanced,8
p1f_g096,valid,3,distributed,8
p1f_g097,valid,4,clustered,8
p1f_g098,valid,5,mixed,8
p1f_g099,valid,6,edge_balanced,8
p1f_g100,valid,7,distributed,8
p1f_g101,valid,8,clustered,8
p1f_g102,valid,9,mixed,8
p1f_g103,valid,10,edge_balanced,8
p1f_g104,valid,3,distributed,8
p1f_g105,valid,4,clustered,8
p1f_g106,valid,5,mixed,8
p1f_g107,valid,6,edge_balanced,8
p1f_g108,valid,7,distributed,8
p1f_g109,valid,8,clustered,8
p1f_g110,valid,9,mixed,8
p1f_g111,valid,10,edge_balanced,8
p1f_g112,test,3,distributed,8
p1f_g113,test,4,clustered,8
p1f_g114,test,5,mixed,8
p1f_g115,test,6,edge_balanced,8
p1f_g116,test,7,distributed,8
p1f_g117,test,8,clustered,8
p1f_g118,test,9,mixed,8
p1f_g119,test,10,edge_balanced,8
p1f_g120,test,3,distributed,8
p1f_g121,test,4,clustered,8
p1f_g122,test,5,mixed,8
p1f_g123,test,6,edge_balanced,8
p1f_g124,test,7,distributed,8
p1f_g125,test,8,clustered,8
p1f_g126,test,9,mixed,8
p1f_g127,test,10,edge_balanced,8
