sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_g000_t0_b0_p0,p1g_g000,train,pcb_fr4_equivalent,260,33800,0.11916198991542615,-0.7470727689836281
p1g_g000_t0_b0_p0,p1g_g000,train,bt_substrate_with_vias,146,33800,0.047530908886983525,0.061476880051714033
p1g_g000_t0_b0_p0,p1g_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.011176408051710496,0.013008210790019348
p1g_g000_t0_b0_p0,p1g_g000,train,bump_underfill_under_interposer,24,16900,-0.005825465298130439,-0.005636978930056102
p1g_g000_t0_b0_p0,p1g_g000,train,silicon_die_lower,160,16900,-0.013858779460690585,0.07397574767276183
p1g_g000_t0_b0_p0,p1g_g000,train,tim_between_dies,25,16900,0.12675125849972346,0.18233117717176128
p1g_g000_t0_b0_p0,p1g_g000,train,silicon_die_upper,159,16900,0.24016955396911044,0.1566583411532747
p1g_g000_t0_b0_p0,p1g_g000,train,tim_to_spreader,18,16900,0.5463290896425406,0.39965864777218485
p1g_g000_t0_b0_p0,p1g_g000,train,spreader,193,71825,0.44355715246325644,-0.6797596253995835
p1g_g000_t0_b0_p1,p1g_g000,train,pcb_fr4_equivalent,260,33800,0.17874298487066653,-1.1206091534410803
p1g_g000_t0_b0_p1,p1g_g000,train,bt_substrate_with_vias,146,33800,0.07129636332962264,0.09221532007427413
p1g_g000_t0_b0_p1,p1g_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.016764612077906804,0.019512316184261635
p1g_g000_t0_b0_p1,p1g_g000,train,bump_underfill_under_interposer,24,16900,-0.008738197947934623,-0.008455468394629406
p1g_g000_t0_b0_p1,p1g_g000,train,silicon_die_lower,160,16900,-0.020788169191689576,0.11096362150897221
p1g_g000_t0_b0_p1,p1g_g000,train,tim_between_dies,25,16900,0.19012688774955677,0.2734967657586935
p1g_g000_t0_b0_p1,p1g_g000,train,silicon_die_upper,159,16900,0.3602543309541488,0.2349875117299689
p1g_g000_t0_b0_p1,p1g_g000,train,tim_to_spreader,18,16900,0.8194936344647772,0.5994879716591299
p1g_g000_t0_b0_p1,p1g_g000,train,spreader,193,71825,0.6653357286954247,-1.0196394381020468
p1g_g000_t0_b1_p0,p1g_g000,train,pcb_fr4_equivalent,260,33800,0.4276266203694945,-2.638427863413483
p1g_g000_t0_b1_p0,p1g_g000,train,bt_substrate_with_vias,146,33800,0.07988188283081854,0.09213841899395447
p1g_g000_t0_b1_p0,p1g_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.1587814595885675,0.0794749257020726
p1g_g000_t0_b1_p0,p1g_g000,train,bump_underfill_under_interposer,24,16900,-0.10104433855667594,0.01111545023564986
p1g_g000_t0_b1_p0,p1g_g000,train,silicon_die_lower,160,16900,-0.07819641283640522,0.11314767480246246
p1g_g000_t0_b1_p0,p1g_g000,train,tim_between_dies,25,16900,0.07612619337118076,0.1737824965853747
p1g_g000_t0_b1_p0,p1g_g000,train,silicon_die_upper,159,16900,0.19404029992807637,0.17256940699320467
p1g_g000_t0_b1_p0,p1g_g000,train,tim_to_spreader,18,16900,0.4997864770619458,0.3867397591376971
p1g_g000_t0_b1_p0,p1g_g000,train,spreader,193,71825,0.42125108024100655,-0.6281801523610966
p1g_g000_t0_b1_p1,p1g_g000,train,pcb_fr4_equivalent,260,33800,0.6414399305317033,-3.9576417949853635
