sample_id,group_id,split_role,design_block,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,source_count,total_source_area_mm2,layout_kind,alignment_relation,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,projected_field_cv_rms_deltaT_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points,full_field_idw8_cv_rmse_K,full_field_idw8_cv_relative_rmse,full_field_idw8_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K
p1g_g000_t0_b0_p0,p1g_g000,train,complete_factorial_2x2x2,1000.0,20.0,4.0,8,30.288175102902088,clustered,offset,41.84412407426714,38.70176143199014,10.461031018566786,3.9294170509845334,0.07058294949635564,0.9823542627461334,0.01764573737408891,-1.2022226617003362e-10,6.916526173243616e-11,341.0114076936612,339.29177154439003,335.288481986446,10.43702085106635,581.0384517266275,0.4376313654058006,81.08085235954469,9.99938948566055,499.9575993670828,10.252851923415307,10.252851922182684,-1.2022244170219464e-10,True,0.05367114580775478,39.29427384102157,324,8,True,True,0.4417098566246183,0.011405149917606548,2.2049304926988498,0.5463290896425406,0.7470727689836281
p1g_g000_t0_b0_p1,p1g_g000,train,complete_factorial_2x2x2,1000.0,20.0,6.0,8,30.288175102902088,clustered,offset,62.766186109326156,58.052642145967646,10.461031018221027,5.894125576270175,0.10587442424079947,0.9823542627116959,0.01764573737346658,-8.516248123369152e-11,6.916065576219042e-11,361.5171115384225,358.937657314519,352.93272297780186,10.437020851081149,581.0384517275745,0.4376313654205829,81.08085236049479,9.999389485660565,499.95759936707975,10.252851923070418,10.25285192219726,-8.516240679351122e-11,True,0.08050671871558279,58.94141075950141,324,8,True,True,0.6625647849299968,0.011405149917883488,3.3073957389522093,0.8194936344647772,1.1206091534410803
p1g_g000_t0_b1_p0,p1g_g000,train,complete_factorial_2x2x2,1000.0,120.0,4.0,8,30.288175102902088,clustered,offset,39.998448758516986,33.4233008365372,9.999612189629246,3.7512172487759408,0.2487827517020259,0.9378043121939852,0.062195687925506477,-1.1949166656144428e-10,6.857147565431528e-11,339.1822392566436,337.5097736742696,320.72959367371107,10.445206624444141,157.4958030192272,0.44584610046772,74.17172395067713,9.99936052397642,83.32407906855006,9.795559814160896,9.795559812990408,-1.1949166040174045e-10,True,0.053716323251080667,35.37320350497654,324,8,True,True,1.059970207251702,0.03130037362532064,8.043297124278524,0.4997864770619458,2.638427863413483
p1g_g000_t0_b1_p1,p1g_g000,train,complete_factorial_2x2x2,1000.0,120.0,6.0,8,30.288175102902088,clustered,offset,59.997673135801904,50.13495125308261,9.999612189300317,5.62682587296633,0.37317412754038937,0.937804312161055,0.062195687923398225,-8.445316668215241e-11,6.937669960281204e-11,358.77335888298893,356.2646605094287,331.09439050951244,10.445206624459663,157.49580301926954,0.4458461004832341,74.17172395071988,9.999360523976428,83.32407906854965,9.795559813831488,9.795559813004223,-8.445309742809586e-11,True,0.08057448488511909,53.05980525564906,324,8,True,True,1.589955310828513,0.03130037362543222,12.064945686000044,0.7496797155963009,3.9576417949853635
p1g_g000_t1_b0_p0,p1g_g000,train,complete_factorial_2x2x2,1400.0,20.0,4.0,8,30.288175102902088,clustered,offset,30.762483703364467,27.993949245005556,7.690620925841117,3.9488123573872005,0.05118764308734568,0.9872030893468001,0.01279691077183642,-1.1863654156285541e-10,6.847102276051058e-11,329.928031255424,328.20341003092346,325.59082942176707,7.578995542656374,584.6729689107847,0.43674428370196433,84.7314228993902,7.14225125895441,499.9415460113945,7.482007813856001,7.482007812968361,-1.1863651007628457e-10,True,0.05375826560941732,28.47839721858921,324,8,True,True,0.39595538153852883,0.014134509247303402,2.0579553802368196,0.5513916364769216,0.685375591658044
p1g_g000_t1_b0_p1,p1g_g000,train,complete_factorial_2x2x2,1400.0,20.0,6.0,8,30.288175102902088,clustered,offset,46.143725553518266,41.99092386602223,7.690620925586377,5.923218535868347,0.07678146462824997,0.9872030893113912,0.012796910771374995,-8.276621980366865e-11,6.8792345206805e-11,344.8920468816157,342.3051150448679,338.38624413126587,7.578995542671553,584.6729689120665,0.4367442837171304,84.73142290068009,7.142251258954422,499.9415460113864,7.482007813602621,7.482007812983363,-8.276634263769963e-11,True,0.08063739840497419,42.71759582638962,324,8,True,True,0.5939330723043216,0.014134509247720767,3.0869330703643527,0.8270874547162634,1.0280633874892828
p1g_g000_t1_b1_p0,p1g_g000,train,complete_factorial_2x2x2,1400.0,120.0,4.0,8,30.288175102902088,clustered,offset,29.77611833836926,24.47424602640726,7.444029584592315,3.8173029093954467,0.18269709107708815,0.9543257273488617,0.04567427276927204,-1.1813371114666182e-10,6.869669690510498e-11,328.95386145027726,327.26405698251443,315.2224557813492,7.584900160533169,158.48014481007976,0.4426697351168403,75.15941051920834,7.142230425416329,83.32073429087141,7.238465362569315,7.238465361714208,-1.1813375534880895e-10,False,0.053790731860829055,25.95821098448319,324,8,True,True,0.811055254596978,0.03271518115923367,5.8729458199166515,0.5170495523911995,1.936758606899616
p1g_g000_t1_b1_p1,p1g_g000,train,complete_factorial_2x2x2,1400.0,120.0,6.0,8,30.288175102902088,clustered,offset,44.66417750607735,36.71136903833425,7.444029584346225,5.725954363887495,0.2740456366063533,0.9543257273145825,0.045674272767725545,-8.230804926512292e-11,6.892055987602431e-11,343.43079217394575,340.8960854723027,322.8336836712505,7.584900160548867,158.48014481008116,0.44266973513253743,75.15941051921025,7.142230425416329,83.3207342908709,7.238465362324291,7.2384653617285055,-8.230828127516757e-11,True,0.08068609777899383,38.937316475377344,324,8,True,True,1.216582881860104,0.032715181159422534,8.809418729562594,0.7755743285896415,2.905137910249209
p1g_g001_t0_b0_p0,p1g_g001,train,complete_factorial_2x2x2,1000.0,20.0,4.0,4,19.001823986192676,clustered,partly_aligned,45.010912286685254,38.71197007799316,11.252728071671314,3.9293901466683057,0.07060985381258837,0.9823475366670764,0.017652463453147093,-1.2022350823204242e-10,6.858196989959643e-11,343.4065081134919,339.2870951063707,335.29800969522626,11.04662721015267,614.7372607327698,1.0483593772468724,114.83522455360263,9.998267832905798,499.90203617916717,10.851627028372974,10.851627027068353,-1.2022348430246125e-10,True,0.03424487798361042,39.93200272731096,540,11,True,True,0.5217808047572912,0.013467240724749616,3.9335813533368764,0.42858587044867136,0.8983608911111673
p1g_g001_t0_b0_p1,p1g_g001,train,complete_factorial_2x2x2,1000.0,20.0,6.0,4,19.001823986192676,clustered,partly_aligned,67.51636842795762,58.06795511499577,11.252728071326269,5.894085219795808,0.10591478071527996,0.9823475366326346,0.01765246345254666,-8.518129257506502e-11,6.86729372746659e-11,365.1097621681672,358.9306426574897,352.9470145410376,11.046627210188666,614.7372607341294,1.0483593772829005,114.8352245549701,9.998267832905764,499.9020361791594,10.851627028027869,10.851627027103515,-8.518113683294364e-11,True,0.051367316975586164,59.898004088953265,540,11,True,True,0.7826712071264048,0.01346724072504796,5.9003720300177065,0.6428788056748544,1.347541336619372
