scope,factor_a,factor_b,level_a,level_b,observed_count,independence_expected_count
all,source_count,layout_kind,3,clustered,4,4.0
all,source_count,layout_kind,3,distributed,4,4.0
all,source_count,layout_kind,3,edge_balanced,4,4.0
all,source_count,layout_kind,3,mixed,4,4.0
all,source_count,layout_kind,4,clustered,4,4.0
all,source_count,layout_kind,4,distributed,4,4.0
all,source_count,layout_kind,4,edge_balanced,4,4.0
all,source_count,layout_kind,4,mixed,4,4.0
all,source_count,layout_kind,5,clustered,4,4.0
all,source_count,layout_kind,5,distributed,4,4.0
all,source_count,layout_kind,5,edge_balanced,4,4.0
all,source_count,layout_kind,5,mixed,4,4.0
all,source_count,layout_kind,6,clustered,4,4.0
all,source_count,layout_kind,6,distributed,4,4.0
all,source_count,layout_kind,6,edge_balanced,4,4.0
all,source_count,layout_kind,6,mixed,4,4.0
all,source_count,layout_kind,7,clustered,4,4.0
all,source_count,layout_kind,7,distributed,4,4.0
all,source_count,layout_kind,7,edge_balanced,4,4.0
all,source_count,layout_kind,7,mixed,4,4.0
all,source_count,layout_kind,8,clustered,4,4.0
all,source_count,layout_kind,8,distributed,4,4.0
all,source_count,layout_kind,8,edge_balanced,4,4.0
all,source_count,layout_kind,8,mixed,4,4.0
all,source_count,layout_kind,9,clustered,4,4.0
all,source_count,layout_kind,9,distributed,4,4.0
all,source_count,layout_kind,9,edge_balanced,4,4.0
all,source_count,layout_kind,9,mixed,4,4.0
all,source_count,layout_kind,10,clustered,4,4.0
all,source_count,layout_kind,10,distributed,4,4.0
all,source_count,layout_kind,10,edge_balanced,4,4.0
all,source_count,layout_kind,10,mixed,4,4.0
all,source_count,alignment_relation,3,offset,8,8.0
all,source_count,alignment_relation,3,partly_aligned,8,8.0
all,source_count,alignment_relation,4,offset,8,8.0
all,source_count,alignment_relation,4,partly_aligned,8,8.0
all,source_count,alignment_relation,5,offset,8,8.0
all,source_count,alignment_relation,5,partly_aligned,8,8.0
all,source_count,alignment_relation,6,offset,8,8.0
all,source_count,alignment_relation,6,partly_aligned,8,8.0
all,source_count,alignment_relation,7,offset,8,8.0
all,source_count,alignment_relation,7,partly_aligned,8,8.0
all,source_count,alignment_relation,8,offset,8,8.0
all,source_count,alignment_relation,8,partly_aligned,8,8.0
all,source_count,alignment_relation,9,offset,8,8.0
all,source_count,alignment_relation,9,partly_aligned,8,8.0
all,source_count,alignment_relation,10,offset,8,8.0
all,source_count,alignment_relation,10,partly_aligned,8,8.0
all,layout_kind,alignment_relation,clustered,offset,16,16.0
all,layout_kind,alignment_relation,clustered,partly_aligned,16,16.0
