sample_id,group_id,split_role,layer_name,operator_point_count,solver_node_count,layer_average_signed_error_K,layer_drop_signed_error_K
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,pcb_fr4_equivalent,260,33800,0.1207857376975312,-0.7441314838084736
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,bt_substrate_with_vias,146,33800,0.025520733369717163,-0.019693573644985918
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.08950166557048078,0.008195060744128568
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,bump_underfill_under_interposer,24,16900,-0.08931417417096554,-0.009634300273432927
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,silicon_die_lower,160,16900,-0.10540885976519121,0.060804553336481604
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,tim_between_dies,25,16900,0.02561264547199471,0.17884618964149013
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,silicon_die_upper,159,16900,0.13235179943131925,0.15223802917859075
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,tim_to_spreader,18,16900,0.439067980571167,0.39998838813903603
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,spreader,193,71825,0.4034833083780427,-0.5575911748232443
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,pcb_fr4_equivalent,260,33800,0.18117860654291462,-1.116197225677297
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,bt_substrate_with_vias,146,33800,0.03828110005480312,-0.02954036047003683
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.1342524983549538,0.012292591115112828
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,bump_underfill_under_interposer,24,16900,-0.133971261256022,-0.014451450409410427
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,silicon_die_lower,160,16900,-0.15811328964747418,0.09120683000395502
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,tim_between_dies,25,16900,0.03841896820858892,0.2682692844635426
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,silicon_die_upper,159,16900,0.198527699148201,0.22835704376723243
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,tim_to_spreader,18,16900,0.6586019708577737,0.5999825822091225
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,spreader,193,71825,0.6052249625673767,-0.8363867622373959
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,pcb_fr4_equivalent,260,33800,0.43099545004508855,-2.641171441926076
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,bt_substrate_with_vias,146,33800,-0.0017129878776245278,-0.06239944624394411
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,silicon_interposer_tsv_0p1,39,16900,-0.30523807319781326,0.09650050694341417
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,bump_underfill_under_interposer,24,16900,-0.23041900135535798,0.022639872164120334
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,silicon_die_lower,160,16900,-0.1964469942561209,0.12302852979223644
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,tim_between_dies,25,16900,-0.03718427826629522,0.1770865754301667
