sample_id,group_id,split_role,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,0.46442877315808756,0.011989815737330817,2.506447558303364,0.439067980571167,0.7441314838084736
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,0.6966431597300017,0.01198981573762403,3.7596713374637147,0.6586019708577737,1.116197225677297
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,1.0849423994781446,0.03203150573241708,8.189726853621835,0.43099545004508855,2.641171441926076
p1g_v1_g000_t0_b1_p1,p1g_v1_g000,train,1.6274135991683125,0.03203150573255855,12.2845902800168,0.6464931750456344,3.9617571627535426
p1g_v1_g000_t1_b0_p0,p1g_v1_g000,train,0.4191948448024153,0.014959482337550472,2.511483630260045,0.4442093906473019,0.5632598025020457
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,0.6287922672005697,0.01495948233800932,3.7672254453951837,0.6663140859719192,0.8448897037549159
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,0.8345168089418546,0.03364930633506515,6.0184392665737505,0.4093389856308818,1.9382575660822
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,1.2517752133771802,0.03364930633528155,9.027658899540313,0.6140084784491933,2.90738634902317
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,0.522700944541106,0.013490975705924047,4.082842231075517,0.4295555016998378,0.8981360560765097
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,0.7840514168038576,0.01349097570625685,6.124263346625526,0.6443332525518031,1.3472040840705404
p1g_v1_g001_t0_b1_p0,p1g_v1_g001,train,1.1623918857799793,0.03431074110104598,6.812171299943827,0.3687058297456929,3.1758902599423777
p1g_v1_g001_t0_b1_p1,p1g_v1_g001,train,1.7435878286181838,0.03431074110120626,10.218256949560896,0.5530587446236268,4.7638353897503976
p1g_v1_g001_t1_b0_p0,p1g_v1_g001,train,0.47724653138634615,0.017025647785036707,4.088713836919737,0.43616824430358747,0.6505118020979239
p1g_v1_g001_t1_b0_p1,p1g_v1_g001,train,0.7158697970741986,0.017025647785505336,6.133070755396034,0.6542523664562054,0.9757677031133767
p1g_v1_g001_t1_b1_p0,p1g_v1_g001,train,0.9015512141701931,0.03634147320899602,4.992046198114792,0.39127284135355467,2.3321772094259927
p1g_v1_g001_t1_b1_p1,p1g_v1_g001,train,1.3523268212184063,0.0363414732092651,7.488069296914432,0.5869092620339416,3.4982658140191347
