sample_id,group_id,split_role,design_block,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,source_count,total_source_area_mm2,layout_kind,alignment_relation,peak_deltaT_K,mean_deltaT_K,Rth_peak_K_W,top_heat_flux_W,bottom_heat_flux_W,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,junction_temperature_K,top_surface_mean_temperature_K,bottom_surface_mean_temperature_K,top_branch_R_ambient_K_W,bottom_branch_R_ambient_K_W,top_internal_R_junction_to_surface_K_W,bottom_internal_R_junction_to_surface_K_W,top_film_R_surface_to_ambient_K_W,bottom_film_R_surface_to_ambient_K_W,effective_R_junction_to_ambient_K_W,parallel_branch_R_effective_K_W,parallel_branch_relative_closure_error,in_30_80_K_window,solver_peak_minus_projected_peak_K,projected_field_cv_rms_deltaT_K,minimum_source_control_volume_count,minimum_source_in_plane_interval_count,all_layers_covered_by_1024_points,all_interfaces_covered_by_1024_points,full_field_idw8_cv_rmse_K,full_field_idw8_cv_relative_rmse,full_field_idw8_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K
p1g_v1_g000_t0_b0_p0,p1g_v1_g000,train,complete_factorial_2x2x2,1000.0,20.0,4.0,8,30.288175102902088,clustered,offset,43.02293073115976,38.701761431991095,10.75573268278994,3.929417050984393,0.07058294949636854,0.9823542627460983,0.017645737374092134,-1.2019040623867383e-10,6.902070513702495e-11,341.96783769837685,339.28997852129766,335.28733177453677,10.680423369126247,594.5888914791819,0.6814901911234759,94.64758800117579,9.99893317800277,499.9413034780062,10.491959424594214,10.49195942333318,-1.2019050902707528e-10,True,0.02491383050607965,39.54268229045581,324,8,True,True,0.46442877315808756,0.011989815737330817,2.506447558303364,0.439067980571167,0.7441314838084736
p1g_v1_g000_t0_b0_p1,p1g_v1_g000,train,complete_factorial_2x2x2,1000.0,20.0,6.0,8,30.288175102902088,clustered,offset,64.53439609467841,58.052642145971475,10.755732682446402,5.894125576269928,0.10587442424083228,0.9823542627116546,0.017645737373472047,-8.512664878557175e-11,6.949974226229914e-11,362.95175654550167,358.93496777988,352.9309976599449,10.680423369150615,594.5888914805852,0.6814901911478528,94.64758800258078,9.998933178002762,499.94130347800444,10.491959424250277,10.491959423357132,-8.51266267155727e-11,True,0.03737074575872157,59.314023433656594,324,8,True,True,0.6966431597300017,0.01198981573762403,3.7596713374637147,0.6586019708577737,1.116197225677297
p1g_v1_g000_t0_b1_p0,p1g_v1_g000,train,complete_factorial_2x2x2,1000.0,120.0,4.0,8,30.288175102902088,clustered,offset,41.17685806897953,33.42330083654501,10.294214517244882,3.7512172487757636,0.24878275170228029,0.9378043121939409,0.06219568792557007,-1.1951096362539104e-10,6.94049783602576e-11,340.13829315534514,337.5079807090245,320.72870753465594,10.700071601676644,161.338729798193,0.7011890466165562,78.01821262881101,9.998882555060089,83.32051716938199,10.034573288836285,10.034573287637043,-1.1951097076068076e-10,True,0.025446918578779787,35.63956267659746,324,8,True,True,1.0849423994781446,0.03203150573241708,8.189726853621835,0.43099545004508855,2.641171441926076
p1g_v1_g000_t0_b1_p1,p1g_v1_g000,train,complete_factorial_2x2x2,1000.0,120.0,6.0,8,30.288175102902088,clustered,offset,61.76528710150501,50.13495125308966,10.294214516917501,5.626825872966076,0.3731741275406386,0.9378043121610126,0.06219568792343977,-8.44523710223181e-11,6.941026935364081e-11,360.2074397310473,356.26197106156116,331.0930613009187,10.700071601702168,161.33872979843903,0.7011890466420957,78.01821262905766,9.998882555060073,83.32051716938136,10.034573288507886,10.034573287660443,-8.445232101992163e-11,True,0.03817037786848232,53.459344013080695,324,8,True,True,1.6274135991683125,0.03203150573255855,12.2845902800168,0.6464931750456344,3.9617571627535426
p1g_v1_g000_t1_b0_p0,p1g_v1_g000,train,complete_factorial_2x2x2,1400.0,20.0,4.0,8,30.288175102902088,clustered,offset,31.937147779674717,27.993949245009755,7.984286944918679,3.9488123573869562,0.05118764308737204,0.9872030893467391,0.01279691077184301,-1.1858206951098627e-10,6.901391507276684e-11,330.8825299643868,328.20162182301465,325.5896796850879,7.820713462521335,603.3200222107018,0.6789150505865423,103.40093741500316,7.141798411934793,499.91908479569867,7.720632491096694,7.720632490181165,-1.1858212225645291e-10,True,0.024854258609821045,28.7306399309745,324,8,True,True,0.4191948448024153,0.014959482337550472,2.511483630260045,0.4442093906473019,0.5632598025020457
p1g_v1_g000_t1_b0_p1,p1g_v1_g000,train,complete_factorial_2x2x2,1400.0,20.0,6.0,8,30.288175102902088,clustered,offset,47.905721668008994,41.99092386602064,7.984286944668166,5.923218535867976,0.0767814646282501,0.9872030893113294,0.012796910771375016,-8.270436419044458e-11,6.915328054894243e-11,346.3237949450658,342.30243273300454,338.3845195262275,7.820713462546188,603.3200222130426,0.6789150506114123,103.40093741735171,7.141798411934776,499.91908479569094,7.7206324908443,7.72063249020577,-8.270426422291561e-11,True,0.03728138791706215,43.09595989496489,324,8,True,True,0.6287922672005697,0.01495948233800932,3.7672254453951837,0.6663140859719192,0.8448897037549159
p1g_v1_g000_t1_b1_p0,p1g_v1_g000,train,complete_factorial_2x2x2,1400.0,120.0,4.0,8,30.288175102902088,clustered,offset,30.95024561228695,24.47424602641693,7.737561403071737,3.8173029093952864,0.1826970910773809,0.9543257273488216,0.04567427276934523,-1.1816682354837127e-10,6.903435829213246e-11,329.9079866744348,327.26226883227713,315.22157000848966,7.834847635702209,163.70258824628667,0.6930856431764836,80.38670226952198,7.141761992525725,83.3158859767647,7.476996668608706,7.476996667725172,-1.1816698253363248e-10,True,0.025249592740976823,26.228462054431937,324,8,True,True,0.8345168089418546,0.03364930633506515,6.0184392665737505,0.4093389856308818,1.9382575660822
p1g_v1_g000_t1_b1_p1,p1g_v1_g000,train,complete_factorial_2x2x2,1400.0,120.0,6.0,8,30.288175102902088,clustered,offset,46.425368416976994,36.711369038345595,7.737561402829499,5.7259543638872605,0.27404563660669845,0.9543257273145435,0.045674272767783075,-8.232649747104877e-11,6.88972507715785e-11,344.86198001018823,340.8934032469468,322.83235501195344,7.834847635727948,163.70258824654346,0.6930856432022371,80.38670226977928,7.141761992525711,83.31588597676418,7.476996668364706,7.476996667749151,-8.232646684367975e-11,True,0.03787438911200525,39.34269308030121,324,8,True,True,1.2517752133771802,0.03364930633528155,9.027658899540313,0.6140084784491933,2.90738634902317
p1g_v1_g001_t0_b0_p0,p1g_v1_g001,train,complete_factorial_2x2x2,1000.0,20.0,4.0,4,19.001823986192676,clustered,partly_aligned,45.053916393445434,38.711970078008235,11.263479098361358,3.9293901466682852,0.07060985381267305,0.9823475366670713,0.017652463453168264,-1.2023957177142996e-10,6.889325628746933e-11,343.44326418105095,339.2870839083099,335.2980002626012,11.055981350664894,615.2578122637857,1.0577163675806152,115.35590967316017,9.998264983084278,499.9019025906255,10.860816045262737,10.860816043956838,-1.2023952741522924e-10,True,0.03658251156196002,39.93710901819057,540,11,True,True,0.522700944541106,0.013490975705924047,4.082842231075517,0.4295555016998378,0.8981360560765097
p1g_v1_g001_t0_b0_p1,p1g_v1_g001,train,complete_factorial_2x2x2,1000.0,20.0,6.0,4,19.001823986192676,clustered,partly_aligned,67.5808745881057,58.06795511500117,11.263479098017617,5.8940852197957785,0.10591478071531413,0.9823475366326297,0.017652463452552353,-8.518210211268713e-11,6.947800133015904e-11,365.16489626950516,358.93062586039855,352.9470003920542,11.055981350701106,615.2578122656967,1.0577163676168602,115.35590967507342,9.998264983084248,499.9019025906232,10.860816044917527,10.86081604399238,-8.518217732586119e-11,True,0.05487376734646432,59.90566352526144,540,11,True,True,0.7840514168038576,0.01349097570625685,6.124263346625526,0.6443332525518031,1.3472040840705404
