group_id,split_role,source_count,layout_kind,case_count
p1g_v1_g000,train,8,clustered,8
p1g_v1_g001,train,4,clustered,8
p1g_v1_g002,train,5,mixed,8
p1g_v1_g003,train,5,distributed,8
p1g_v1_g004,train,8,distributed,8
p1g_v1_g005,train,5,clustered,8
p1g_v1_g006,train,8,mixed,8
p1g_v1_g007,train,5,distributed,8
p1g_v1_g008,train,4,mixed,8
p1g_v1_g009,train,5,clustered,8
p1g_v1_g010,train,6,clustered,8
p1g_v1_g011,train,4,edge_balanced,8
p1g_v1_g012,train,6,edge_balanced,8
p1g_v1_g013,train,9,mixed,8
p1g_v1_g014,train,6,distributed,8
p1g_v1_g015,train,6,distributed,8
p1g_v1_g016,train,8,edge_balanced,8
p1g_v1_g017,train,5,distributed,8
p1g_v1_g018,train,9,edge_balanced,8
p1g_v1_g019,train,8,distributed,8
p1g_v1_g020,train,6,mixed,8
p1g_v1_g021,train,8,edge_balanced,8
p1g_v1_g022,train,5,mixed,8
p1g_v1_g023,train,4,mixed,8
p1g_v1_g024,train,9,clustered,8
p1g_v1_g025,train,10,mixed,8
p1g_v1_g026,train,10,clustered,8
p1g_v1_g027,train,3,edge_balanced,8
p1g_v1_g028,train,6,edge_balanced,8
p1g_v1_g029,train,3,clustered,8
p1g_v1_g030,train,10,distributed,8
p1g_v1_g031,train,9,edge_balanced,8
p1g_v1_g032,train,5,edge_balanced,8
p1g_v1_g033,train,7,edge_balanced,8
p1g_v1_g034,train,7,clustered,8
p1g_v1_g035,train,10,mixed,8
p1g_v1_g036,train,10,distributed,8
p1g_v1_g037,train,5,clustered,8
p1g_v1_g038,train,4,clustered,8
p1g_v1_g039,train,7,mixed,8
p1g_v1_g040,train,9,mixed,8
p1g_v1_g041,train,7,edge_balanced,8
p1g_v1_g042,train,3,distributed,8
p1g_v1_g043,train,9,mixed,8
p1g_v1_g044,train,10,edge_balanced,8
p1g_v1_g045,train,8,mixed,8
p1g_v1_g046,train,9,distributed,8
p1g_v1_g047,train,8,mixed,8
p1g_v1_g048,train,3,clustered,8
p1g_v1_g049,train,8,clustered,8
p1g_v1_g050,train,5,edge_balanced,8
p1g_v1_g051,train,3,mixed,8
p1g_v1_g052,train,3,distributed,8
p1g_v1_g053,train,4,distributed,8
p1g_v1_g054,train,4,edge_balanced,8
p1g_v1_g055,train,10,mixed,8
p1g_v1_g056,train,4,edge_balanced,8
p1g_v1_g057,train,9,distributed,8
p1g_v1_g058,train,3,distributed,8
p1g_v1_g059,train,7,clustered,8
p1g_v1_g060,train,7,distributed,8
p1g_v1_g061,train,7,mixed,8
p1g_v1_g062,train,7,edge_balanced,8
p1g_v1_g063,train,4,distributed,8
p1g_v1_g064,train,3,mixed,8
p1g_v1_g065,train,6,edge_balanced,8
p1g_v1_g066,train,4,clustered,8
p1g_v1_g067,train,9,edge_balanced,8
p1g_v1_g068,train,10,clustered,8
p1g_v1_g069,train,9,distributed,8
p1g_v1_g070,train,5,mixed,8
p1g_v1_g071,train,3,edge_balanced,8
p1g_v1_g072,train,10,distributed,8
p1g_v1_g073,train,3,edge_balanced,8
p1g_v1_g074,train,6,mixed,8
p1g_v1_g075,train,10,edge_balanced,8
p1g_v1_g076,train,8,distributed,8
p1g_v1_g077,train,3,mixed,8
p1g_v1_g078,train,9,clustered,8
p1g_v1_g079,train,7,distributed,8
p1g_v1_g080,train,6,mixed,8
p1g_v1_g081,train,4,distributed,8
p1g_v1_g082,train,10,clustered,8
p1g_v1_g083,train,10,edge_balanced,8
p1g_v1_g084,train,8,edge_balanced,8
p1g_v1_g085,train,3,clustered,8
p1g_v1_g086,train,6,clustered,8
p1g_v1_g087,train,7,mixed,8
p1g_v1_g088,train,7,distributed,8
p1g_v1_g089,train,5,edge_balanced,8
p1g_v1_g090,train,8,clustered,8
p1g_v1_g091,train,6,clustered,8
p1g_v1_g092,train,4,mixed,8
p1g_v1_g093,train,6,distributed,8
p1g_v1_g094,train,9,clustered,8
p1g_v1_g095,train,7,clustered,8
p1g_v1_g096,valid,5,edge_balanced,8
p1g_v1_g097,valid,10,edge_balanced,8
p1g_v1_g098,valid,3,clustered,8
p1g_v1_g099,valid,6,edge_balanced,8
p1g_v1_g100,valid,7,clustered,8
p1g_v1_g101,valid,10,distributed,8
p1g_v1_g102,valid,3,distributed,8
p1g_v1_g103,valid,9,mixed,8
p1g_v1_g104,valid,6,distributed,8
p1g_v1_g105,valid,7,distributed,8
p1g_v1_g106,valid,5,mixed,8
p1g_v1_g107,valid,9,edge_balanced,8
p1g_v1_g108,valid,8,clustered,8
p1g_v1_g109,valid,8,mixed,8
p1g_v1_g110,valid,4,mixed,8
p1g_v1_g111,valid,4,clustered,8
p1g_v1_g112,test,7,mixed,8
p1g_v1_g113,test,6,mixed,8
p1g_v1_g114,test,7,edge_balanced,8
p1g_v1_g115,test,9,clustered,8
p1g_v1_g116,test,6,clustered,8
p1g_v1_g117,test,10,clustered,8
p1g_v1_g118,test,8,edge_balanced,8
p1g_v1_g119,test,3,edge_balanced,8
p1g_v1_g120,test,4,edge_balanced,8
p1g_v1_g121,test,9,distributed,8
p1g_v1_g122,test,5,clustered,8
p1g_v1_g123,test,8,distributed,8
p1g_v1_g124,test,10,mixed,8
p1g_v1_g125,test,3,mixed,8
p1g_v1_g126,test,5,distributed,8
p1g_v1_g127,test,4,distributed,8
