sample_id,group_id,split_role,top_h_W_m2K,bottom_h_W_m2K,package_total_power_W,source_count,layout_kind,alignment_relation,peak_deltaT_K,mean_deltaT_K,top_heat_fraction,bottom_heat_fraction,full_field_cv_rmse_K,full_field_cv_relative_rmse,full_field_max_abs_error_K,max_abs_layer_average_error_K,max_abs_layer_drop_error_K,solver_peak_minus_projected_peak_K,energy_balance_relative_error
p1g_g000_t0_b0_p0,p1g_g000,train,1000.0,20.0,4.0,8,clustered,offset,41.84412407426714,38.70176143199014,0.9823542627461334,0.01764573737408891,0.4991377326058735,0.01288796386253636,1.801063791711556,0.514958614690272,0.7913772848581857,0.043216695543264905,-1.2022226617003362e-10
p1g_g000_t0_b0_p1,p1g_g000,train,1000.0,20.0,6.0,8,clustered,offset,62.766186109326156,58.052642145967646,0.9823542627116959,0.01764573737346658,0.7487065988973935,0.012887963862787594,2.7015956874790277,0.7724379220363176,1.1870659272656212,0.06482504331165728,-8.516248123369152e-11
p1g_g000_t0_b1_p0,p1g_g000,train,1000.0,120.0,4.0,8,clustered,offset,39.998448758516986,33.4233008365372,0.9378043121939852,0.062195687925506477,1.4436326824312,0.042629728674147944,6.541087733006179,1.6648749259803708,2.5952494572011915,0.04266253157061328,-1.1949166656144428e-10
p1g_g000_t0_b1_p1,p1g_g000,train,1000.0,120.0,6.0,8,clustered,offset,59.997673135801904,50.13495125308261,0.937804312161055,0.062195687923398225,2.16544902357441,0.042629728674189675,9.811631599172586,2.4973123888808573,3.892874185670678,0.06399379735682942,-8.445316668215241e-11
p1g_g000_t1_b0_p0,p1g_g000,train,1400.0,20.0,4.0,8,clustered,offset,30.762483703364467,27.993949245005556,0.9872030893468001,0.01279691077183642,0.4199582504423679,0.014991345113922661,1.581813742528709,0.5178465729932213,0.5950103929056354,0.04319204707616109,-1.1863654156285541e-10
p1g_g000_t1_b0_p1,p1g_g000,train,1400.0,20.0,6.0,8,clustered,offset,46.143725553518266,41.99092386602223,0.9872030893113912,0.012796910771374995,0.62993737565742,0.014991345114307029,2.372720613799572,0.7767698594908552,0.892515589345237,0.06478807060824465,-8.276621980366865e-11
p1g_g000_t1_b1_p0,p1g_g000,train,1400.0,120.0,4.0,8,clustered,offset,29.77611833836926,24.47424602640726,0.9543257273488617,0.04567427276927204,1.0760932056093502,0.04340590109760637,4.778930011284842,1.209641379367497,1.9261691574387783,0.0427838627186361,-1.1813371114666182e-10
p1g_g000_t1_b1_p1,p1g_g000,train,1400.0,120.0,6.0,8,clustered,offset,44.66417750607735,36.71136903833425,0.9543257273145825,0.045674272767725545,1.6141398083600145,0.04340590109766623,7.16839501667522,1.8144620689820385,2.889253736057242,0.06417579407417406,-8.230804926512292e-11
p1g_g001_t0_b0_p0,p1g_g001,train,1000.0,20.0,4.0,4,clustered,partly_aligned,45.010912286685254,38.71197007799316,0.9823475366670764,0.017652463453147093,0.6130646359366632,0.015823290080267477,3.9936781124266645,0.5199997763530746,0.7948610823603985,0.08975758151109403,-1.2022350823204242e-10
p1g_g001_t0_b0_p1,p1g_g001,train,1000.0,20.0,6.0,4,clustered,partly_aligned,67.51636842795762,58.06795511499577,0.9823475366326346,0.01765246345254666,0.919596953891627,0.01582329008058071,5.990517168648239,0.779999664530294,1.1922916235039906,0.1346363722717001,-8.518129257506502e-11
p1g_g001_t0_b1_p0,p1g_g001,train,1000.0,120.0,4.0,4,clustered,partly_aligned,43.165008769254996,33.43149747577776,0.937780604875515,0.062219395244052386,1.4892782405817435,0.04395962217743542,6.561320560221532,1.6705265544229633,2.5992186557733703,0.08975726822052366,-1.195673421383603e-10
p1g_g001_t0_b1_p1,p1g_g001,train,1000.0,120.0,6.0,4,clustered,partly_aligned,64.74751315190503,50.1472462119421,0.9377806048425953,0.06221939524193182,2.2339173608027414,0.04395962217757285,9.84198084005618,2.5057898315455986,3.898827983531419,0.13463590233340028,-8.452714454302661e-11
p1g_g001_t1_b0_p0,p1g_g001,train,1400.0,20.0,4.0,4,clustered,partly_aligned,33.92890533830774,28.004231206258467,0.9871963300682959,0.012803670050253794,0.5498780448193142,0.019616797167425506,3.9986457938783246,0.5228887070246628,0.5985034604146904,0.08975512959148091,-1.185496735500724e-10
p1g_g001_t1_b0_p1,p1g_g001,train,1400.0,20.0,6.0,4,clustered,partly_aligned,50.89335800595643,42.00634680795862,0.987196330032912,0.012803670049844595,0.8248170672163266,0.01961679716779228,5.997968690831556,0.7843330605380743,0.897755190572866,0.13463269438676662,-8.275651922999098e-11
