group_id,split_role,source_count,layout_kind,case_count
p1g_g000,train,8,clustered,8
p1g_g001,train,4,clustered,8
p1g_g002,train,5,mixed,8
p1g_g003,train,5,distributed,8
p1g_g004,train,8,distributed,8
p1g_g005,train,5,clustered,8
p1g_g006,train,8,mixed,8
p1g_g007,train,5,distributed,8
p1g_g008,train,4,mixed,8
p1g_g009,train,5,clustered,8
p1g_g010,train,6,clustered,8
p1g_g011,train,4,edge_balanced,8
p1g_g012,train,6,edge_balanced,8
p1g_g013,train,9,mixed,8
p1g_g014,train,6,distributed,8
p1g_g015,train,6,distributed,8
p1g_g016,train,8,edge_balanced,8
p1g_g017,train,5,distributed,8
p1g_g018,train,9,edge_balanced,8
p1g_g019,train,8,distributed,8
p1g_g020,train,6,mixed,8
p1g_g021,train,8,edge_balanced,8
p1g_g022,train,5,mixed,8
p1g_g023,train,4,mixed,8
p1g_g024,train,9,clustered,8
p1g_g025,train,10,mixed,8
p1g_g026,train,10,clustered,8
p1g_g027,train,3,edge_balanced,8
p1g_g028,train,6,edge_balanced,8
p1g_g029,train,3,clustered,8
p1g_g030,train,10,distributed,8
p1g_g031,train,9,edge_balanced,8
p1g_g032,train,5,edge_balanced,8
p1g_g033,train,7,edge_balanced,8
p1g_g034,train,7,clustered,8
p1g_g035,train,10,mixed,8
p1g_g036,train,10,distributed,8
p1g_g037,train,5,clustered,8
p1g_g038,train,4,clustered,8
p1g_g039,train,7,mixed,8
p1g_g040,train,9,mixed,8
p1g_g041,train,7,edge_balanced,8
p1g_g042,train,3,distributed,8
p1g_g043,train,9,mixed,8
p1g_g044,train,10,edge_balanced,8
p1g_g045,train,8,mixed,8
p1g_g046,train,9,distributed,8
p1g_g047,train,8,mixed,8
p1g_g048,train,3,clustered,8
p1g_g049,train,8,clustered,8
p1g_g050,train,5,edge_balanced,8
p1g_g051,train,3,mixed,8
p1g_g052,train,3,distributed,8
p1g_g053,train,4,distributed,8
p1g_g054,train,4,edge_balanced,8
p1g_g055,train,10,mixed,8
p1g_g056,train,4,edge_balanced,8
p1g_g057,train,9,distributed,8
p1g_g058,train,3,distributed,8
p1g_g059,train,7,clustered,8
p1g_g060,train,7,distributed,8
p1g_g061,train,7,mixed,8
p1g_g062,train,7,edge_balanced,8
p1g_g063,train,4,distributed,8
p1g_g064,train,3,mixed,8
p1g_g065,train,6,edge_balanced,8
p1g_g066,train,4,clustered,8
p1g_g067,train,9,edge_balanced,8
p1g_g068,train,10,clustered,8
p1g_g069,train,9,distributed,8
p1g_g070,train,5,mixed,8
p1g_g071,train,3,edge_balanced,8
p1g_g072,train,10,distributed,8
p1g_g073,train,3,edge_balanced,8
p1g_g074,train,6,mixed,8
p1g_g075,train,10,edge_balanced,8
p1g_g076,train,8,distributed,8
p1g_g077,train,3,mixed,8
p1g_g078,train,9,clustered,8
p1g_g079,train,7,distributed,8
p1g_g080,train,6,mixed,8
p1g_g081,train,4,distributed,8
p1g_g082,train,10,clustered,8
p1g_g083,train,10,edge_balanced,8
p1g_g084,train,8,edge_balanced,8
p1g_g085,train,3,clustered,8
p1g_g086,train,6,clustered,8
p1g_g087,train,7,mixed,8
p1g_g088,train,7,distributed,8
p1g_g089,train,5,edge_balanced,8
p1g_g090,train,8,clustered,8
p1g_g091,train,6,clustered,8
p1g_g092,train,4,mixed,8
p1g_g093,train,6,distributed,8
p1g_g094,train,9,clustered,8
p1g_g095,train,7,clustered,8
p1g_g096,valid,5,edge_balanced,8
p1g_g097,valid,10,edge_balanced,8
p1g_g098,valid,3,clustered,8
p1g_g099,valid,6,edge_balanced,8
p1g_g100,valid,7,clustered,8
p1g_g101,valid,10,distributed,8
p1g_g102,valid,3,distributed,8
p1g_g103,valid,9,mixed,8
p1g_g104,valid,6,distributed,8
p1g_g105,valid,7,distributed,8
p1g_g106,valid,5,mixed,8
p1g_g107,valid,9,edge_balanced,8
p1g_g108,valid,8,clustered,8
p1g_g109,valid,8,mixed,8
p1g_g110,valid,4,mixed,8
p1g_g111,valid,4,clustered,8
p1g_g112,test,7,mixed,8
p1g_g113,test,6,mixed,8
p1g_g114,test,7,edge_balanced,8
p1g_g115,test,9,clustered,8
p1g_g116,test,6,clustered,8
p1g_g117,test,10,clustered,8
p1g_g118,test,8,edge_balanced,8
p1g_g119,test,3,edge_balanced,8
p1g_g120,test,4,edge_balanced,8
p1g_g121,test,9,distributed,8
p1g_g122,test,5,clustered,8
p1g_g123,test,8,distributed,8
p1g_g124,test,10,mixed,8
p1g_g125,test,3,mixed,8
p1g_g126,test,5,distributed,8
p1g_g127,test,4,distributed,8
