platform,mode,seed,resolution,batch_size,input_seconds,graph_uncached_build_seconds,graph_cache_load_seconds,anchor_group_prepare_seconds,query_group_prepare_seconds,anchor_forward_seconds,query_forward_seconds,checkpoint_pure_forward_seconds,scale_reconstruction_seconds,label_read_seconds,full_field_reconstruction_seconds,metric_seconds,serialization_encode_seconds,serialization_write_seconds,production_end_to_end_seconds,persistent_compiled_warm_seconds,samples_per_second,process_peak_ram_GB,device_peak_memory_GB
cpu,cold_and_persistent,seed0,4096,1,2.1449737919610925,0.7895255000330508,0.0012587499804794788,1.4576347079710104,1.6295609999797307,26.92950245802058,30.686598250002135,57.616100708022714,0.0016575410263612866,1.0370370898745023,2.0946623311610892,2.0982571696513332,0.0013451669947244227,0.000218625005800277,73.04644999996526,53.12406200001715,1.7523096604976816,2.672033792,N/A
cpu,cold_and_persistent,seed0,4096,8,2.102958542003762,0.7902686669840477,0.0009710420272313058,1.497744916996453,1.680798000015784,9.688792082946748,16.622334749030415,26.311126831977163,0.0016464999644085765,0.9783977518090978,2.0051417918293737,1.6589778298512101,0.0011963750002905726,0.0001840420300140977,44.42623620899394,18.200875249982346,2.8811803772403937,2.863906816,N/A
cpu,cold_and_persistent,seed0,4096,16,2.0749561249976978,0.7867737499764189,0.0009032909874804318,1.4526657499955036,1.6299978750175796,9.281979125982616,16.657380082993768,25.939359208976384,0.0019348749774508178,1.0150749564054422,2.0476009118719958,1.794324294431135,0.0011315419687889516,0.00035154097713530064,49.536961290985346,17.920120334019884,2.583929184677164,3.232579584,N/A
gpu,cold_and_persistent,seed0,4096,1,1.863852490001591,2.421069993986748,0.002192787011153996,5.584613487997558,5.79881797300186,53.310097779962234,52.834945901995525,106.14504368195776,0.002886356000090018,0.8567960440996103,1.8441085681843106,1.012107402057154,0.0005443669797386974,0.00013604300329461694,133.13784397995914,89.7818810120225,0.9614095900431396,2.632749056,0.427837184
gpu,cold_and_persistent,seed0,4096,8,1.6472192269866355,2.4108108149957843,0.002193361026002094,3.150444150000112,3.3461090860073455,16.817567242018413,15.189080411015311,32.006647653033724,0.001439133018720895,0.8307801718765404,1.8939816939819138,1.0298834031273145,0.0004860769840888679,0.00013630700414068997,53.89364371099509,11.001886615005787,2.375048172404163,2.737147904,0.948081664
gpu,cold_and_persistent,seed0,4096,16,1.6634489139833022,2.425588534999406,0.0022519920021295547,2.886917699011974,3.029388956987532,13.862296617997345,12.416452209989075,26.27874882798642,0.0013823210028931499,0.825372450024588,1.8897773108037654,1.0307745440804865,0.000505442003486678,0.0001323280157521367,47.56601609100471,5.360651297989534,2.690996861185654,2.772004864,1.48850176
cpu,resolution_ladder,seed0,1024,8,2.032491082965862,0.7730690829921514,0.001414917001966387,1.3977215409977362,1.3977215409977362,9.726203666999936,9.726203666999936,9.726203666999936,0.0,0.982794962823391,1.8288846599753015,1.929982504225336,0.001502416969742626,0.0001639170222915709,20.22787075000815,,6.327902802125054,1.64323328,N/A
cpu,resolution_ladder,seed0,2048,8,2.1136177079752088,0.6739018330117688,0.000798167020548135,1.5012072080280632,1.3203901249798946,9.077204458008055,8.613495959027205,17.69070041703526,0.0010782500030472875,0.9442148652742617,1.921764120052103,1.5119967957143672,0.001117709034588188,0.00014695798745378852,30.702325542049948,,4.169065298480111,2.310045696,N/A
cpu,resolution_ladder,seed0,4096,8,2.1474273749627173,,0.0021059579448774457,1.512137999990955,1.6383377499878407,9.91870158398524,17.136828291928396,27.055529875913635,0.0016058750334195793,0.9733171188854612,2.014391753182281,1.6596814980730414,0.0013684590230695903,0.00020725000649690628,37.74921904201619,,3.3907986244041646,2.111193088,N/A
cpu,resolution_ladder,seed0,8192,8,2.083394874993246,,0.003602209035307169,1.558893084002193,1.8135482080397196,9.859493209049106,29.116869334015064,38.97636254306417,0.0057604999747127295,0.9881725848536007,2.0610532024293207,1.7805624621687457,0.001594458008185029,0.0002947500324808061,50.480004417011514,,2.535657464341755,2.293612544,N/A
