discretization_seed,global_context_z_l2_drift,global_context_z_max_abs_drift,log_s_phys_drift,predicted_log_scale_drift,qk_summary_l2_drift,resolution,sample_id,suite
0,8.25151971348584,7.873996555805206,0.004012584686279297,-0.059419199539259004,1.0097674490255275,512,v6p1if1_0308,main
0,7.047552302933775,6.046472549438477,0.0018887519836425781,-0.02309699403321641,1.376325366299012,512,v6p1if1_0511,main
0,6.369767184433841,5.778426319360733,-0.003204822540283203,-0.009501534506062725,0.6246133331290534,512,v6p1if1_0041,main
0,1.9221075245093455,1.6324243545532227,-0.0010867118835449219,-0.03061965678982581,0.7230951951605059,512,v6p1if1_0846,main
0,6.410219710030682,5.505246162414551,0.0021500587463378906,-0.0799006961105535,0.5283857429755441,512,v6p1if1_0572,main
0,3.6052049125975643,2.995783418416977,-0.0015444755554199219,0.03918279664795232,0.7955533651246434,512,v6p1if1_0347,main
0,9.527130121438276,9.393859289586544,-7.43865966796875e-05,-0.11158192637416686,0.9112962410420165,512,v6p1if1_0286,main
0,2.01866715831106,2.006349563598633,0.0020284652709960938,0.05038636753373371,0.7753334494662857,512,v6p1if1_0124,main
0,3.4665744895338344,3.3538975715637207,0.0033283233642578125,-0.026615330616979183,0.7059262985155136,512,v6p1if1_1017,main
0,3.4087815977826548,2.782175064086914,-0.0015492439270019531,-0.001236981387894076,0.8253881212645396,512,v6p1if1_0854,main
0,1.597348348755652,1.4094090461730957,-0.0014905929565429688,-0.029044579077245558,0.8571570742933348,512,v6p1if1_0928,main
0,4.014349793680585,3.3439106941223145,-0.00021028518676757812,-0.04857913011114512,0.44977526674483936,512,v6p1if1_0543,main
0,8.123257046714283,6.243083596229553,0.0005016326904296875,0.015035134647829018,0.8061005211101595,512,v6p1if1_0632,main
0,6.022468592684545,5.004859268665314,0.0032777786254882812,-0.07672190868180939,0.8623112881393212,512,v6p1if1_0599,main
0,2.740774587023331,1.8097333908081055,0.00023651123046875,0.0016932863558754008,0.8193556874160378,512,v6p1if1_0003,main
0,4.939990481037836,4.183030128479004,-0.00011968612670898438,-0.1670339213032772,0.6714982360450262,512,v6p1if1_0029,main
0,3.035341539810506,2.8448238372802734,-0.001163482666015625,-0.00037433524925845063,0.44726282668666417,512,v6p1if1_0991,main
0,4.425759579725636,3.5319215059280396,0.0013098716735839844,-0.05855985463990798,0.44377391841240105,512,v6p1if1_0109,main
0,5.047164444192218,4.390169620513916,-1.33514404296875e-05,-0.07300563471741661,0.7262507964193432,512,v6p1if1_0365,main
0,2.0033702242646596,1.1209869384765625,0.0019731521606445312,-0.04076616164959557,0.6200194420138755,512,v6p1if1_0091,main
0,4.338048917629435,3.2545175552368164,-0.0010156631469726562,-0.03824084097116476,0.6443214627966811,512,v6p1if1_0930,main
0,3.9556242116313345,3.2275124862790108,0.0018982887268066406,-0.037826957724391264,0.6801192828977519,512,v6p1if1_0175,main
0,4.6575317654109964,4.042032957077026,0.0029501914978027344,0.0031133666981695285,0.7820829154925292,512,v6p1if1_0915,main
0,2.7706243650207734,2.0182535648345947,0.00368499755859375,-0.0011206581448028885,0.6362228406587656,512,v6p1if1_0869,main
0,5.41451913733769,5.316799104213715,-0.0017695426940917969,-0.048943898506661476,0.6886310457900594,512,v6p1if1_0522,main
0,8.201515579571,7.406531929969788,-0.00191497802734375,-0.054244519074694963,1.0943075510645663,512,v6p1if1_0118,main
0,1.2154553930586274,1.080796718597412,0.005774497985839844,-0.013429123033704471,0.5239398744476587,512,v6p1if1_0708,main
0,3.0425602020678246,2.664950370788574,0.00012111663818359375,-0.007182537948268397,0.825231455625954,512,v6p1if1_0817,main
0,2.8890428628345424,2.3479299545288086,-0.001049041748046875,-0.01863374646632998,0.7876262011695919,512,v6p1if1_1003,main
0,0.9069217262390259,0.6124939918518066,0.0018897056579589844,-0.010497665709205961,0.6924967700066833,512,v6p1if1_0697,main
0,4.322503983963103,4.190828442573547,0.001148223876953125,-0.06912384266727223,0.7430236192630242,512,v6p1if1_0907,main
0,2.7809587571972516,2.0461459159851074,-0.000675201416015625,-0.05291466194727157,0.5836477398724694,512,v6p1if1_0203,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0308,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0511,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0041,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0846,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0572,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0347,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0286,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0124,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_1017,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0854,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0928,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0543,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0632,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0599,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0003,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0029,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0991,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0109,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0365,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0091,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0930,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0175,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0915,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0869,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0522,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0118,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0708,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0817,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_1003,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0697,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0907,main
0,0.0,0.0,0.0,0.0,0.0,1024,v6p1if1_0203,main
0,2.6097102907321146,2.1492239832878113,0.0010323524475097656,0.06349754328238166,0.37200721294158806,2048,v6p1if1_0308,main
0,6.47028412238955,6.135196924209595,-0.0020351409912109375,0.09377194137231015,0.41445830147754775,2048,v6p1if1_0511,main
0,3.0245643654224894,2.0646881759166718,-0.0009531974792480469,0.05138678986153611,0.44134320018890577,2048,v6p1if1_0041,main
0,4.490079771382874,3.9034870862960815,-0.0007863044738769531,0.04429413755444811,0.6490513667259994,2048,v6p1if1_0846,main
0,2.1991770608945123,1.8117036819458008,0.00039768218994140625,0.09442816465701842,0.3173694252734334,2048,v6p1if1_0572,main
0,3.7216772458544547,2.984822988510132,-0.001148223876953125,0.13784130094032943,0.31969140953853853,2048,v6p1if1_0347,main
0,3.3538844248877866,3.069938041269779,-0.0016241073608398438,0.07060429454236061,0.5264887258672922,2048,v6p1if1_0286,main
0,4.120650304247576,4.108431816101074,0.0013813972473144531,0.04222398163611629,0.4133023813272845,2048,v6p1if1_0124,main
0,3.4406266668773937,2.9510440826416016,0.0010738372802734375,0.045341772286899396,0.27136777612328905,2048,v6p1if1_1017,main
0,1.704433480026105,1.2638927698135376,0.002655029296875,-0.0013356216610862504,0.4609784376361796,2048,v6p1if1_0854,main
0,1.9802655737921697,1.7230496406555176,-0.00045108795166015625,0.04573593195406289,0.22819464815943657,2048,v6p1if1_0928,main
0,1.5921850910837723,1.4380966424942017,0.000720977783203125,0.006606122450904195,0.3371482269384615,2048,v6p1if1_0543,main
0,2.461265879989213,2.22391140460968,4.57763671875e-05,0.02884246850101313,0.4267815597560065,2048,v6p1if1_0632,main
0,3.645177654262415,3.4610666632652283,-0.0010981559753417969,0.09915660961724804,0.31219858193224687,2048,v6p1if1_0599,main
0,7.410501848306022,6.739558935165405,0.0004029273986816406,0.11990405171306051,0.14946087041896605,2048,v6p1if1_0003,main
0,2.4522737124861473,1.9910132437944412,0.0005221366882324219,0.17211837970885213,0.2178470009238915,2048,v6p1if1_0029,main
0,3.740910690865619,3.591814160346985,-0.003173351287841797,0.033115378365224046,0.5525450112950072,2048,v6p1if1_0991,main
0,4.712303020614249,4.577411532402039,0.0009136199951171875,0.22790375442067745,0.47477080977075775,2048,v6p1if1_0109,main
0,3.0183804031168413,2.860537052154541,-0.0008034706115722656,0.1300864901001697,0.33984875363715333,2048,v6p1if1_0365,main
0,7.7533779087595125,7.34423303604126,-0.002323627471923828,0.15104873176632072,0.4470136995316686,2048,v6p1if1_0091,main
0,1.4885741674863213,1.4515695571899414,0.0006871223449707031,0.036710285031976486,0.16724557498864892,2048,v6p1if1_0930,main
0,3.5381303630321645,2.7983298301696777,0.0019888877868652344,0.0670629075894924,0.3733836718047536,2048,v6p1if1_0175,main
0,4.521972918857998,3.6555391550064087,-0.00039958953857421875,0.025280939582561057,0.260833231483344,2048,v6p1if1_0915,main
0,5.124354769163948,4.666849374771118,-0.002293109893798828,8.793169374854415e-07,0.26729232380848017,2048,v6p1if1_0869,main
0,3.488411828356235,3.2768436074256897,0.0008425712585449219,0.1253204712088456,0.5407005339210197,2048,v6p1if1_0522,main
0,1.0973690631804784,1.0642480850219727,-0.0005788803100585938,0.0397257640351345,0.3278267769797768,2048,v6p1if1_0118,main
0,2.164592315416004,1.8734242916107178,0.00019121170043945312,0.0615177622952956,0.4496821908482676,2048,v6p1if1_0708,main
0,8.269292002281869,8.193735346198082,0.000644683837890625,0.11576370967177407,0.5177886726509991,2048,v6p1if1_0817,main
0,3.685844751969535,2.5930447578430176,0.00036907196044921875,0.1669454275268114,0.15635895255279375,2048,v6p1if1_1003,main
0,1.0496653207813076,0.7167224884033203,-0.0014023780822753906,0.026565947773100618,0.4663893720947362,2048,v6p1if1_0697,main
0,4.362383795550588,4.0956422090530396,-0.0012965202331542969,0.13058372393865803,0.18407224430970662,2048,v6p1if1_0907,main
0,1.3099733212396212,0.8838603496551514,-0.00025653839111328125,0.02915092234039207,0.22250620089124498,2048,v6p1if1_0203,main
0,4.297508131608217,3.9497877955436707,-0.0011134147644042969,0.08085819225671731,0.2811149327380497,4096,v6p1if1_0308,main
0,8.22456172831762,7.909691572189331,-0.0018024444580078125,0.14801884324694026,0.2424960854023287,4096,v6p1if1_0511,main
0,4.622303815405725,4.023227542638779,-0.0016937255859375,0.09160891169629082,0.373709889790526,4096,v6p1if1_0041,main
0,5.863795863980578,5.161765098571777,-0.0016508102416992188,0.12197588606048893,0.3525035054379134,4096,v6p1if1_0846,main
0,2.5095787891191037,1.6765899658203125,0.0012984275817871094,0.12242846553044551,0.23679068912162152,4096,v6p1if1_0572,main
0,5.511198039258339,5.065286159515381,-0.0030603408813476562,0.1893631362932604,0.3690050631272875,4096,v6p1if1_0347,main
0,4.1071588843417315,3.4175287261605263,-0.0011835098266601562,0.13132470854404765,0.5980063807473261,4096,v6p1if1_0286,main
0,5.504419648983759,5.19041895866394,0.0010156631469726562,0.11414526504598754,0.3315658335052239,4096,v6p1if1_0124,main
0,3.980177047025299,3.6471166610717773,-0.0006012916564941406,0.06947477379623113,0.2615829134643025,4096,v6p1if1_1017,main
0,6.712433164675986,6.648249387741089,0.0008420944213867188,0.11357644844970594,0.3144392381252445,4096,v6p1if1_0854,main
0,4.141785204401524,3.153938949108124,-0.0021224021911621094,0.14846664234490792,0.12463967528817882,4096,v6p1if1_0928,main
0,2.664626581928062,2.0006070137023926,8.821487426757812e-05,0.10842807661227472,0.33318635535209756,4096,v6p1if1_0543,main
0,4.771844307816866,4.372556090354919,0.00017547607421875,0.11118885954968594,0.17704170218937657,4096,v6p1if1_0632,main
0,5.303419103621993,4.757847011089325,0.0013561248779296875,0.1838927773540613,0.1704640507309849,4096,v6p1if1_0599,main
0,7.9670167467569994,7.32248592376709,-7.2479248046875e-05,0.17867567889196323,0.23657367064631948,4096,v6p1if1_0003,main
0,3.308134195106339,2.118717983365059,0.0018014907836914062,0.26021018832377063,0.19787291248946356,4096,v6p1if1_0029,main
0,6.095818323608293,5.655967593193054,-0.0027370452880859375,0.09630675981403236,0.29191409115914013,4096,v6p1if1_0991,main
0,5.059202895272508,4.072781443595886,0.0008435249328613281,0.22205875334141112,0.33097925757675867,4096,v6p1if1_0109,main
0,3.0914880101713447,2.6586670875549316,-0.0026345252990722656,0.12912376405426773,0.20683553206822164,4096,v6p1if1_0365,main
0,9.312038582481808,8.975235223770142,-0.0018033981323242188,0.1874643081584999,0.4645266531885585,4096,v6p1if1_0091,main
0,3.586190970120107,2.709959030151367,0.003426074981689453,0.11410813936432262,0.2570631921164083,4096,v6p1if1_0930,main
0,5.755943513263875,4.560255162417889,0.0019998550415039062,0.15783551278909247,0.3515638053610006,4096,v6p1if1_0175,main
0,6.311111493070673,5.336005926132202,-0.0011577606201171875,0.08053158620387713,0.4241525622625344,4096,v6p1if1_0915,main
0,4.945529545234187,4.836188554763794,-0.003551959991455078,0.06850661537316327,0.359750322949201,4096,v6p1if1_0869,main
0,4.809335914130566,4.621306240558624,2.3365020751953125e-05,0.18629694095495442,0.2598046603631546,4096,v6p1if1_0522,main
0,3.724512763150108,3.140338897705078,-0.00026798248291015625,0.21283478106099185,0.1800583263125491,4096,v6p1if1_0118,main
0,3.1046524006401413,2.0058701634407043,-0.002540111541748047,0.09748886629757969,0.5344264249513007,4096,v6p1if1_0708,main
0,11.44191023006295,11.365989685058594,0.0010738372802734375,0.19646598596650566,0.35882024986781186,4096,v6p1if1_0817,main
0,4.730079358134345,3.0292248725891113,0.00014925003051757812,0.20391898328655245,0.36286315514547074,4096,v6p1if1_1003,main
0,4.263835914399676,3.9159646332263947,-0.0011129379272460938,0.15793025359548007,0.18253764827199018,4096,v6p1if1_0697,main
0,6.475568977028609,6.098298907279968,-0.0018930435180664062,0.21346841312207143,0.30973383646081276,4096,v6p1if1_0907,main
0,1.7615146241923327,1.5276145935058594,0.0004830360412597656,0.04697461000845493,0.1686986373769988,4096,v6p1if1_0203,main
0,6.192506858494377,6.078111827373505,-0.0003247261047363281,0.13026802617449107,0.26440514682091676,8192,v6p1if1_0308,main
0,9.855892348808695,9.622243404388428,-0.0031881332397460938,0.19258494710523522,0.2774539386724288,8192,v6p1if1_0511,main
0,6.173398948506984,5.069118827581406,-0.0025148391723632812,0.1646136547772823,0.6334230715535306,8192,v6p1if1_0041,main
0,8.01260703804674,7.27761173248291,-0.0008721351623535156,0.19336387486245865,0.5653782752873541,8192,v6p1if1_0846,main
0,4.601076689787652,3.429248809814453,0.0013556480407714844,0.21100147914891743,0.4090159603928157,8192,v6p1if1_0572,main
0,6.891582806762871,6.346469879150391,-0.0019354820251464844,0.29696326233072146,0.28605846618992586,8192,v6p1if1_0347,main
0,6.158744563500743,5.148797132074833,-0.0016078948974609375,0.28385112141272106,0.4624471157118324,8192,v6p1if1_0286,main
0,8.159682812704208,7.712233066558838,0.0014147758483886719,0.22721864707918993,0.2739203497157053,8192,v6p1if1_0124,main
0,5.693876899571502,5.2219696044921875,0.000637054443359375,0.13092000144887805,0.1952292165542625,8192,v6p1if1_1017,main
0,8.583025184047433,8.436113119125366,0.0003485679626464844,0.1696729723980699,0.19170858054029083,8192,v6p1if1_0854,main
0,5.0336469335215055,4.1058027148246765,-0.0011696815490722656,0.1387687302990841,0.20505627149401565,8192,v6p1if1_0928,main
0,3.82381740804434,2.747926712036133,3.528594970703125e-05,0.16099169341710518,0.3127753654603984,8192,v6p1if1_0543,main
0,6.092108824502477,5.700976252555847,0.0011949539184570312,0.13683466562162572,0.1660712345485952,8192,v6p1if1_0632,main
0,7.266502328253285,6.37146919965744,0.00153350830078125,0.27681678846516666,0.2201105754313969,8192,v6p1if1_0599,main
0,9.697898855692625,8.999388217926025,0.0009403228759765625,0.32022337764728537,0.20646088422347358,8192,v6p1if1_0003,main
0,4.411589170871414,3.792748212814331,0.002707958221435547,0.317160258550528,0.1930190275809153,8192,v6p1if1_0029,main
0,7.1620361012846345,6.338225722312927,-0.0033431053161621094,0.13586038969024017,0.3055785884610291,8192,v6p1if1_0991,main
0,5.9536226124914835,5.214928507804871,0.0014319419860839844,0.34733053033688677,0.1713308647808439,8192,v6p1if1_0109,main
0,4.004975807268006,3.1831722259521484,-0.0028710365295410156,0.23160560903007976,0.20589970231321666,8192,v6p1if1_0365,main
0,11.245807311004436,10.669516563415527,-0.002303600311279297,0.37929022381695354,0.2898109242658788,8192,v6p1if1_0091,main
0,5.046715480599473,4.074920654296875,0.002186298370361328,0.18094832285573537,0.4298115967600431,8192,v6p1if1_0930,main
0,7.084716755912344,5.84723149985075,0.002479076385498047,0.2166834079061628,0.2621669044344485,8192,v6p1if1_0175,main
0,8.326380414428462,7.245971918106079,-0.0008668899536132812,0.1407862306944918,0.3323862540278024,8192,v6p1if1_0915,main
0,7.401141587291427,7.370926141738892,-0.004080772399902344,0.16355314216840267,0.32380005303869935,8192,v6p1if1_0869,main
0,6.389077782093776,5.971116602420807,0.0005235671997070312,0.2880172682492388,0.4519918868130394,8192,v6p1if1_0522,main
0,5.602930560632382,3.9839353561401367,-4.100799560546875e-05,0.3327412676907855,0.18433394188089589,8192,v6p1if1_0118,main
0,4.914305152043811,3.109210968017578,-0.0034360885620117188,0.20508380622790856,0.37520688974624133,8192,v6p1if1_0708,main
0,12.88823784179825,12.715799808502197,0.0016942024230957031,0.2909717719310967,0.4621600902671113,8192,v6p1if1_0817,main
0,6.259173563374731,4.524203658103943,0.00021409988403320312,0.29021410510174217,0.2594102691838065,8192,v6p1if1_1003,main
0,5.427928664600196,5.148173362016678,-0.0003609657287597656,0.16876167230147754,0.2421757689068139,8192,v6p1if1_0697,main
0,8.363720909995052,7.647750735282898,-0.0016989707946777344,0.3401012254330711,0.17239471789386027,8192,v6p1if1_0907,main
0,2.9742858964710654,2.70888614654541,0.00103759765625,0.13049028913346206,0.19577717585039928,8192,v6p1if1_0203,main
0,7.902183775852828,7.510363280773163,-0.0010981559753417969,0.22923328459216386,0.19757028510013358,16384,v6p1if1_0308,main
0,11.267983200987551,10.856636047363281,-0.0033392906188964844,0.2769227008876314,0.17016900102906257,16384,v6p1if1_0511,main
0,8.808080649688575,7.803943961858749,-0.0022482872009277344,0.3199672583844393,0.184258951363452,16384,v6p1if1_0041,main
0,9.51017835579405,8.7410569190979,-0.001277923583984375,0.27051899437050286,0.2840513746571741,16384,v6p1if1_0846,main
0,6.866845268391579,5.441709041595459,0.0014662742614746094,0.365625846501616,0.22375383349756953,16384,v6p1if1_0572,main
0,8.319929102552162,7.446281909942627,-0.0015869140625,0.4384828391650295,0.18963571190338668,16384,v6p1if1_0347,main
0,8.263411286299725,7.178637124598026,-0.0018224716186523438,0.4234366051486935,0.14937937579765076,16384,v6p1if1_0286,main
0,10.106377479464406,9.377994537353516,0.0019464492797851562,0.37465233401935016,0.16398643590583734,16384,v6p1if1_0124,main
0,8.605033028546872,7.749577045440674,0.0006508827209472656,0.25377803544591115,0.15569633592591886,16384,v6p1if1_1017,main
0,10.481509489315961,10.231106519699097,0.0012259483337402344,0.2943834871678783,0.28970283587723633,16384,v6p1if1_0854,main
0,7.279175010187473,6.0309197306633,-0.0010838508605957031,0.2634550180682691,0.16540211295753546,16384,v6p1if1_0928,main
0,5.681000611314566,4.372244358062744,-1.430511474609375e-06,0.23772386548240032,0.23011205618138902,16384,v6p1if1_0543,main
0,8.520275030119343,7.8096922636032104,0.000904083251953125,0.25525482222186646,0.20855722577361224,16384,v6p1if1_0632,main
0,8.793129932514077,7.763168513774872,0.001270294189453125,0.33918259986075006,0.3561121410353302,16384,v6p1if1_0599,main
0,11.371266456297645,10.297059535980225,0.0013647079467773438,0.45047905027480617,0.2311531776583407,16384,v6p1if1_0003,main
