factor_cell,interface_drop_rmse_K,peak_rmse_K,point_global_true_rms_relative_rmse_pct,raw_cv_weighted_rmse_K,regional_mode,regional_nodes_mean,resolution,sample_first_cv_relative_rmse_pct,source_rmse_K,support_mode
A,1.3241052325516378,9.909332748567682,13.675918305985835,11.854896596902247,fixed_training_nr,256.0,1024,9.585295870031008,8.586388652927074,source_aware
A,1.2687674367983088,27.06696423549204,32.36136318406266,27.68533840620983,fixed_training_nr,256.0,4096,26.099856748741132,24.380115297208423,source_aware
A,2.626455423120029,60.75665971775411,68.44516362745196,58.28237038208851,fixed_training_nr,256.0,16384,57.33678721856967,59.23189764897188,source_aware
A,3.6096386915981142,85.61992573033072,97.1741852655421,82.37700797626773,fixed_training_nr,256.0,65536,82.71979514864577,83.57090163963683,source_aware
B,1.3241524749165883,9.909813275959891,13.675921276244942,11.854879518706671,growing_nr,256.0,1024,9.585280557095857,8.586295898694594,source_aware
B,1.4923222849449387,29.520934124384908,33.56655550833681,28.595502629614447,growing_nr,1024.0,4096,27.12400150768989,26.291789590705566,source_aware
B,3.1274192405211982,65.8846876238176,70.87440884329791,60.138951578695675,growing_nr,4096.0,16384,58.785865068252704,62.67529019172112,source_aware
B,4.636485399867349,98.46739741466574,102.27083523063374,86.4932495856524,growing_nr,16384.0,65536,87.86737729678114,91.62945489388939,source_aware
C,498.2378153210688,7542.9942669733755,7301.564537054325,6127.39433752799,fixed_training_nr,256.0,1024,7112.149072111924,7170.027483991126,structured
C,21.93959849164477,420.50316393956723,426.63668481732753,359.8935934336582,fixed_training_nr,256.0,4096,390.9648115514168,401.3085830315841,structured
C,1.8298834601334921,35.93422056435651,41.51455378960868,35.39040252700987,fixed_training_nr,256.0,16384,32.01810428219009,35.01469730470908,structured
C,0.8282694192421041,6.398171218762383,4.7030384260231575,4.169146046728441,fixed_training_nr,256.0,65536,3.9915580968001847,5.066940753920183,structured
D,498.236796211862,7542.91818444448,7301.516549605761,6127.351944955707,growing_nr,256.0,1024,7112.093635012803,7169.972299606824,structured
D,21.456826690381934,416.1302846254102,403.60245187360135,337.5118156985126,growing_nr,1024.0,4096,368.35717319454045,387.2415712860198,structured
D,2.2146356418854567,48.66025650459937,42.99749212928503,36.56165362867569,growing_nr,4096.0,16384,33.55862353028717,41.39454148585446,structured
D,0.8787107226182116,4.798094400158703,4.715117547475293,4.113644704617535,growing_nr,16384.0,65536,3.923088895620122,5.402056315293368,structured
