discretization_seed,factor_cell,p2r_edge_count,p2r_edge_length_max_normalized,p2r_edge_length_mean_normalized,p2r_edge_length_median_normalized,p2r_edge_length_p95_normalized,p2r_in_degree_max,p2r_in_degree_mean,p2r_in_degree_median,p2r_in_degree_min,p2r_in_degree_p05,p2r_in_degree_p95,p2r_in_degree_zero_count,p2r_out_degree_max,p2r_out_degree_mean,p2r_out_degree_median,p2r_out_degree_min,p2r_out_degree_p05,p2r_out_degree_p95,p2r_out_degree_zero_count,r2p_edge_count,r2p_edge_length_max_normalized,r2p_edge_length_mean_normalized,r2p_edge_length_median_normalized,r2p_edge_length_p95_normalized,r2p_in_degree_max,r2p_in_degree_mean,r2p_in_degree_median,r2p_in_degree_min,r2p_in_degree_p05,r2p_in_degree_p95,r2p_in_degree_zero_count,r2p_out_degree_max,r2p_out_degree_mean,r2p_out_degree_median,r2p_out_degree_min,r2p_out_degree_p05,r2p_out_degree_p95,r2p_out_degree_zero_count,r2r_edge_count,r2r_edge_length_max_normalized,r2r_edge_length_mean_normalized,r2r_edge_length_median_normalized,r2r_edge_length_p95_normalized,r2r_in_degree_max,r2r_in_degree_mean,r2r_in_degree_median,r2r_in_degree_min,r2r_in_degree_p05,r2r_in_degree_p95,r2r_in_degree_zero_count,r2r_isolated_node_count,r2r_out_degree_max,r2r_out_degree_mean,r2r_out_degree_median,r2r_out_degree_min,r2r_out_degree_p05,r2r_out_degree_p95,r2r_out_degree_zero_count,r2r_weakly_connected_components,regional_mode,regional_nodes,resolution,sample_id,suite,support_mode
0,,1200,0.6552723050117493,0.24288900196552277,0.2212546020746231,0.5276041626930237,82,4.705882352941177,2.0,0,0.0,16.599999999999966,54,7,2.34375,2.0,1,1.0,5.0,0,1200,0.6552723050117493,0.24288900196552277,0.2212546020746231,0.5276041626930237,7,2.34375,2.0,1,1.0,5.0,0,82,4.705882352941177,2.0,0,0.0,16.599999999999966,54,4150,2.0082685947418213,0.4668576419353485,0.40012115240097046,1.0588303804397583,33,16.274509803921568,15.0,8,10.0,28.299999999999983,0,0,33,16.274509803921568,15.0,8,10.0,28.299999999999983,0,1,fixed_training_nr,255,512,v6p1if1_0308,main,source_aware
0,,1300,0.6908705234527588,0.23314796388149261,0.21500658988952637,0.5396338105201721,83,5.098039215686274,2.0,0,0.0,20.0,53,8,2.5390625,2.0,1,1.0,6.0,0,1300,0.6908705234527588,0.23314796388149261,0.21500658988952637,0.5396338105201721,8,2.5390625,2.0,1,1.0,6.0,0,83,5.098039215686274,2.0,0,0.0,20.0,53,4118,2.078536033630371,0.4595806896686554,0.40012967586517334,1.0123834609985352,38,16.149019607843137,15.0,6,10.0,27.0,0,0,38,16.149019607843137,15.0,6,10.0,27.0,0,1,fixed_training_nr,255,512,v6p1if1_0511,main,source_aware
0,,901,0.6430003046989441,0.17865975201129913,0.16944175958633423,0.3967626690864563,38,3.533333333333333,2.0,0,0.0,10.299999999999983,43,6,1.759765625,2.0,1,1.0,3.0,0,901,0.6430003046989441,0.17865975201129913,0.16944175958633423,0.3967626690864563,6,1.759765625,2.0,1,1.0,3.0,0,38,3.533333333333333,2.0,0,0.0,10.299999999999983,43,4092,2.317836284637451,0.48650527000427246,0.41079288721084595,1.1176249980926514,39,16.04705882352941,14.0,7,9.0,28.299999999999983,0,0,39,16.04705882352941,14.0,7,9.0,28.299999999999983,0,1,fixed_training_nr,255,512,v6p1if1_0041,main,source_aware
0,,1057,0.5196099877357483,0.17961035668849945,0.1700136810541153,0.39844515919685364,35,4.145098039215687,2.0,0,0.0,15.299999999999983,45,7,2.064453125,2.0,1,1.0,4.0,0,1057,0.5196099877357483,0.17961035668849945,0.1700136810541153,0.39844515919685364,7,2.064453125,2.0,1,1.0,4.0,0,35,4.145098039215687,2.0,0,0.0,15.299999999999983,45,4132,2.4423422813415527,0.5133240818977356,0.41851913928985596,1.2234381437301636,38,16.20392156862745,14.0,6,9.0,29.299999999999983,0,0,38,16.20392156862745,14.0,6,9.0,29.299999999999983,0,1,fixed_training_nr,255,512,v6p1if1_0846,main,source_aware
0,,945,0.5613764524459839,0.1847221851348877,0.16902220249176025,0.425595223903656,29,3.7058823529411766,2.0,0,0.0,13.299999999999983,44,5,1.845703125,2.0,1,1.0,3.0,0,945,0.5613764524459839,0.1847221851348877,0.16902220249176025,0.425595223903656,5,1.845703125,2.0,1,1.0,3.0,0,29,3.7058823529411766,2.0,0,0.0,13.299999999999983,44,4094,2.303433895111084,0.479736864566803,0.4064677059650421,1.0700244903564453,36,16.054901960784314,14.0,7,9.0,29.0,0,0,36,16.054901960784314,14.0,7,9.0,29.0,0,1,fixed_training_nr,255,512,v6p1if1_0572,main,source_aware
0,,847,0.5570830702781677,0.15858297049999237,0.15277127921581268,0.36081308126449585,24,3.3215686274509806,2.0,0,0.0,11.0,42,6,1.654296875,1.0,1,1.0,3.0,0,847,0.5570830702781677,0.15858297049999237,0.15277127921581268,0.36081308126449585,6,1.654296875,1.0,1,1.0,3.0,0,24,3.3215686274509806,2.0,0,0.0,11.0,42,4106,2.198925495147705,0.4967043697834015,0.43412917852401733,1.1193965673446655,40,16.101960784313725,15.0,5,9.0,28.0,0,0,40,16.101960784313725,15.0,5,9.0,28.0,0,1,fixed_training_nr,255,512,v6p1if1_0347,main,source_aware
0,,1024,0.6286790370941162,0.19379934668540955,0.18474921584129333,0.4471694231033325,74,4.015686274509804,2.0,0,0.0,13.299999999999983,42,7,2.0,2.0,1,1.0,4.0,0,1024,0.6286790370941162,0.19379934668540955,0.18474921584129333,0.4471694231033325,7,2.0,2.0,1,1.0,4.0,0,74,4.015686274509804,2.0,0,0.0,13.299999999999983,42,4134,2.342916488647461,0.4819090962409973,0.4113698899745941,1.1505497694015503,33,16.211764705882352,14.0,6,9.0,28.0,0,0,33,16.211764705882352,14.0,6,9.0,28.0,0,1,fixed_training_nr,255,512,v6p1if1_0286,main,source_aware
0,,893,0.5185925960540771,0.17080773413181305,0.17150454223155975,0.370949923992157,34,3.5019607843137255,2.0,0,0.0,12.299999999999983,46,6,1.744140625,1.0,1,1.0,4.0,0,893,0.5185925960540771,0.17080773413181305,0.17150454223155975,0.370949923992157,6,1.744140625,1.0,1,1.0,4.0,0,34,3.5019607843137255,2.0,0,0.0,12.299999999999983,46,4150,2.6784002780914307,0.49870577454566956,0.4257318079471588,1.1773256063461304,41,16.274509803921568,15.0,7,9.0,28.0,0,0,41,16.274509803921568,15.0,7,9.0,28.0,0,1,fixed_training_nr,255,512,v6p1if1_0124,main,source_aware
0,,1008,0.5083250999450684,0.1797216683626175,0.17747075855731964,0.3984665870666504,31,3.9529411764705884,2.0,0,0.0,14.0,49,7,1.96875,2.0,1,1.0,4.449999999999989,0,1008,0.5083250999450684,0.1797216683626175,0.17747075855731964,0.3984665870666504,7,1.96875,2.0,1,1.0,4.449999999999989,0,31,3.9529411764705884,2.0,0,0.0,14.0,49,4074,2.212506055831909,0.486514687538147,0.4214839041233063,1.100242018699646,34,15.976470588235294,14.0,6,8.700000000000001,29.0,0,0,34,15.976470588235294,14.0,6,8.700000000000001,29.0,0,1,fixed_training_nr,255,512,v6p1if1_1017,main,source_aware
0,,1011,0.5920186042785645,0.1791543960571289,0.17636117339134216,0.37582504749298096,32,3.9647058823529413,2.0,0,0.0,14.0,48,6,1.974609375,2.0,1,1.0,4.0,0,1011,0.5920186042785645,0.1791543960571289,0.17636117339134216,0.37582504749298096,6,1.974609375,2.0,1,1.0,4.0,0,32,3.9647058823529413,2.0,0,0.0,14.0,48,4088,2.3404791355133057,0.5150855779647827,0.44702792167663574,1.1450462341308594,39,16.031372549019608,15.0,6,8.0,28.0,0,0,39,16.031372549019608,15.0,6,8.0,28.0,0,1,fixed_training_nr,255,512,v6p1if1_0854,main,source_aware
