discretization_seed,full_point_global_pct,global_context_z_l2_drift_mean,global_context_z_max_abs_drift_mean,graph_hash_equal_fraction,log_s_phys_drift_mean,oracle_point_global_pct,p2r_edge_count_delta_mean,p2r_edge_length_mean_delta_mean,p2r_in_degree_mean_delta_mean,predicted_log_scale_drift_mean,prediction_drift_max_abs_K,prediction_drift_point_global_true_rms_pct,prediction_drift_raw_cv_rmse_K,prediction_drift_sample_first_cv_pct,qk_summary_l2_drift_mean,r2p_edge_count_delta_mean,r2p_edge_length_mean_delta_mean,r2p_in_degree_mean_delta_mean,r2r_edge_count_delta_mean,r2r_edge_length_mean_delta_mean,r2r_in_degree_mean_delta_mean,reference_label,regional_mode,regional_nodes_delta_mean,resolution,support_mode,support_point_global_pct,support_raw_cv_rmse_K,support_sample_first_pct,worker_wall_seconds
0,3.072030635339016,,,,,2.4898560645710113,,,,,,,,,,,,,,,,R0,frozen_checkpoint_graph,,1024,frozen_checkpoint_support,1.754522213506548,1.29498017125676,1.4104453529369085,70.62064076506067
0,11.702831654137908,9.29757686817087,6.990397816407494,0.0,-0.09111012518405914,3.1978868977508546,-1584.3125,0.019013839308172464,-6.173239315257352,0.07202296738883895,36.5819091796875,10.766938694370753,10.394588092400442,8.322652688050727,0.7981579685839004,-1584.3125,0.019013839308172464,-0.56024169921875,-13.3125,-0.032083711586892605,0.010895373774509443,R2+_N512,fixed_training_nr,-1.0,512,measure_conservative_full_graph_rediscretization,12.128668863814628,10.83386927093671,8.005397794949555,76.18712887796573
0,14.052998356613053,9.478819949852639,8.207088414696045,0.0,-0.09177552163600922,2.9578819192575585,-101.0625,-0.0012773415073752403,-0.394775390625,0.10573441518528855,36.48268127441406,13.137263789226191,11.63309053543264,9.780347915800728,0.20232561044436925,-101.0625,-0.0012773415073752403,-0.09869384765625,19.1875,0.004567132331430912,0.074951171875,R1,fixed_training_nr,0.0,1024,measure_conservative_full_graph_rediscretization,13.67583025445478,11.854812629366187,9.585193087565067,62.83117469109129
0,25.387521689598785,10.372127279493538,9.262101982836612,0.0,-0.09198659658432007,2.617487147247336,4434.03125,0.02844497235491872,17.3204345703125,0.1832724471506531,63.851470947265625,24.47909421646265,21.192514973622323,18.330933003308676,0.29587127322662693,4434.03125,0.02844497235491872,0.8979949951171875,26.125,-0.011663979850709438,0.10205078125,R2+_N2048,fixed_training_nr,0.0,2048,measure_conservative_full_graph_rediscretization,25.100109467041914,21.513283442805953,18.38583622239029,69.89104112202767
0,32.661419895952456,11.294022269124731,9.89426991820801,0.0,-0.09228873252868652,2.3109621415666814,13571.65625,0.036859569139778614,53.0142822265625,0.24776485414427935,61.90888214111328,31.737972863938875,27.34808265707575,25.92555529626859,0.2651447237069433,13571.65625,0.036859569139778614,1.4128036499023438,32.6875,0.002933736890554428,0.127685546875,R2+_N4096,fixed_training_nr,0.0,4096,measure_conservative_full_graph_rediscretization,32.36143718562236,27.68540813130818,26.09993468912307,71.11383013101295
0,46.16832047102284,12.545434408116519,10.681607787613757,0.0,-0.09211553633213043,2.0811561740192492,35701.65625,0.04958135075867176,139.4595947265625,0.3305378126708164,92.6273193359375,45.19183321612487,38.79915538529153,36.991159654345346,0.2616809749083971,35701.65625,0.04958135075867176,2.140758514404297,21.6875,-0.0016423305496573448,0.084716796875,R2+_N8192,fixed_training_nr,0.0,8192,measure_conservative_full_graph_rediscretization,45.938984506068486,39.195368975645934,37.2229255427548,72.12245452404022
0,68.66125863882844,14.213908062706706,11.699533765320666,0.0,-0.09215483069419861,1.801991835239634,76384.0625,0.0591438845731318,298.375244140625,0.46453846938003285,125.61616516113281,67.71464672974543,57.897248719959876,57.06250983602128,0.27296300581705185,76384.0625,0.0591438845731318,2.286376953125,31.5625,0.010455090552568436,0.123291015625,R2+_N16384,fixed_training_nr,0.0,16384,measure_conservative_full_graph_rediscretization,68.44520072845081,58.28241533285451,57.33676366917648,76.04675305995625
1,18.694238467173914,10.379672880738585,8.020447347662412,0.0,-0.09158088266849518,3.201708017425981,-1569.375,0.02167975017800927,-6.114660883884804,0.11141959354214159,72.10746765136719,17.98286823550857,16.129558207029834,12.855174112682782,0.7665029917512847,-1569.375,0.02167975017800927,-0.53106689453125,3.0,-0.0327185383066535,0.07486596200980333,R2+_N512,fixed_training_nr,-1.0,512,measure_conservative_full_graph_rediscretization,18.90026365985016,16.463788864826952,12.753284359328681,72.14387461391743
1,16.525987174334595,9.535618895017901,8.40955353260506,0.0,-0.09150201082229614,2.928871147927803,-51.8125,0.0019669514149427414,-0.202392578125,0.1050211944511864,47.90660095214844,15.576756333183656,13.515295585051803,10.278495834954711,0.2345612758535836,-51.8125,0.0019669514149427414,-0.05059814453125,12.125,0.002237381413578987,0.04736328125,R1,fixed_training_nr,0.0,1024,measure_conservative_full_graph_rediscretization,16.16364060637741,13.885568199770786,10.020474684500263,63.20062950102147
1,23.81617621267476,10.277931625586753,9.245910202269442,0.0,-0.09178857505321503,2.5911023293304005,4406.21875,0.02547156624495983,17.2117919921875,0.17059680238403646,55.38226318359375,22.842536115947723,19.757075849156724,16.795752982475648,0.2788155270018743,4406.21875,0.02547156624495983,0.8844146728515625,26.5625,-0.01061691902577877,0.103759765625,R2+_N2048,fixed_training_nr,0.0,2048,measure_conservative_full_graph_rediscretization,23.47390351791086,20.117939593240614,16.860894984668185,67.0420132469153
1,32.86567536074414,11.29466563947016,9.946354423766024,0.0,-0.0918130874633789,2.3105159184535795,13550.1875,0.03472427697852254,52.930419921875,0.24157358605838514,82.50863647460938,31.940891034598078,27.61976237291773,25.306028589945132,0.2671962243097984,13550.1875,0.03472427697852254,1.407562255859375,31.125,0.001382226124405861,0.12158203125,R2+_N4096,fixed_training_nr,0.0,4096,measure_conservative_full_graph_rediscretization,32.67007688107683,27.967275807803933,25.479119482674353,65.53761409397703
1,48.05762750671471,12.570915605145114,10.650714282994159,0.0,-0.09202583134174347,2.07728085749971,36113.03125,0.05021336581557989,141.0665283203125,0.34051803649715856,98.31562805175781,47.13012077826581,40.46202127012987,38.53267722894911,0.25823539061368783,36113.03125,0.05021336581557989,2.1909751892089844,20.875,-0.0014069126918911934,0.08154296875,R2+_N8192,fixed_training_nr,0.0,8192,measure_conservative_full_graph_rediscretization,47.86727119215718,40.82680228853512,38.75459058695006,71.6526497520972
1,70.68001494204277,14.186724314783593,11.661338512902148,0.0,-0.09209294617176056,1.8040509684849417,76640.21875,0.05957783991470933,299.3758544921875,0.4664193823181701,135.1666030883789,69.75043928458662,59.67808687010885,57.61982034951583,0.27302372940887176,76640.21875,0.05957783991470933,2.302011489868164,6.625,0.009294945746660233,0.02587890625,R2+_N16384,fixed_training_nr,0.0,16384,measure_conservative_full_graph_rediscretization,70.52814008622526,60.06077029931539,57.89167990923261,74.39961083594244
2,14.167357670887851,10.241906008749151,8.096993591520004,0.0,-0.09199032187461853,3.2032912853773543,-1607.6875,0.015669175423681736,-6.26490598192402,0.0848699467355849,55.06586456298828,13.630458685730689,12.163420298934025,9.699709781806886,0.7596626485428168,-1607.6875,0.015669175423681736,-0.60589599609375,-6.625,-0.029730655252933502,0.03712086397058778,R2+_N512,fixed_training_nr,-1.0,512,measure_conservative_full_graph_rediscretization,14.31155616180633,12.336627393930227,9.61007769751857,74.803950764006
2,16.94414728552042,9.637122369647862,8.434967954759486,0.0,-0.09189555048942566,2.9434746741283813,-137.34375,-0.0019713854417204857,-0.5364990234375,0.11564225055473107,47.927330017089844,15.992212184899573,13.933266193980842,10.810235041120373,0.21274068118044476,-137.34375,-0.0019713854417204857,-0.134124755859375,22.9375,0.004846246913075447,0.089599609375,R1,fixed_training_nr,0.0,1024,measure_conservative_full_graph_rediscretization,16.601236103217047,14.253613716787374,10.728624885565713,64.73539146396797
