parameter,metric,pearson_r,pearson_p,spearman_rho,spearman_p
package_total_power_W,deltaT_max_K,0.7664187487201417,1.119479368796717e-198,0.8024557211572848,2.1076735310119038e-231
package_total_power_W,deltaT_mean_K,0.6936339472502542,8.938807041733507e-148,0.7443502007188326,2.025949823903562e-181
package_total_power_W,deltaT_cv_rms_K,0.6957717742067413,4.7411119789294145e-149,0.7455644043702166,2.5340162347207072e-182
top_h_W_m2K,deltaT_max_K,-0.022745720216558275,0.46718423613558874,-0.024732203526214143,0.42918632185697536
top_h_W_m2K,deltaT_mean_K,-0.12390077925134686,7.028790194695376e-05,-0.1156357511980545,0.00020867959649832808
top_h_W_m2K,deltaT_cv_rms_K,-0.12422088290630152,6.729290101213408e-05,-0.11677591463414633,0.00018033277137277924
bottom_h_W_m2K,deltaT_max_K,-0.04970215670765532,0.11194555448457487,-0.049948512713682856,0.1101771690653754
bottom_h_W_m2K,deltaT_mean_K,-0.1646447920960361,1.1682409758287693e-07,-0.15811866327515914,3.663846063669816e-07
bottom_h_W_m2K,deltaT_cv_rms_K,-0.14854687116393572,1.804187025161325e-06,-0.14331661048923539,4.138197083156464e-06
total_source_volume_m3,deltaT_max_K,0.25215711705865385,2.571327534162119e-16,0.23183321945016355,5.815144886611234e-14
total_source_volume_m3,deltaT_mean_K,0.3556416867055475,6.813743741709774e-32,0.3316845461315859,1.0177956373332314e-27
total_source_volume_m3,deltaT_cv_rms_K,0.35615462815439003,5.495291644186485e-32,0.33191133830735753,9.329056964404042e-28
mean_q_W_m3,deltaT_max_K,0.4950894797948774,1.9889709718557565e-64,0.5272485650168085,2.4505156457613168e-74
mean_q_W_m3,deltaT_mean_K,0.34121280055537817,2.4604466110006334e-29,0.40406864673485443,1.695215579027389e-41
mean_q_W_m3,deltaT_cv_rms_K,0.34281247869613424,1.3002089786044015e-29,0.4049038315392317,1.1196097952304584e-41
max_q_W_m3,deltaT_max_K,0.5075813706892583,3.756429811908605e-68,0.5323627601745224,5.165961036373587e-76
max_q_W_m3,deltaT_mean_K,0.35717169792146464,3.5834161100381637e-32,0.41108083068092405,5.018741187076939e-43
max_q_W_m3,deltaT_cv_rms_K,0.3587274437028387,1.8575646531911233e-32,0.41187910154853014,3.3438993490423106e-43
mean_local_k_W_mK,deltaT_max_K,0.042148850497420266,0.17775013881374974,0.05310246942278807,0.08943192554891123
mean_local_k_W_mK,deltaT_mean_K,0.043787732577176094,0.1614631322635655,0.054026804234318,0.08398674094075605
mean_local_k_W_mK,deltaT_cv_rms_K,0.04350207665180875,0.1642179309123448,0.05356212225520349,0.08668967592658712
source_count,deltaT_max_K,-0.11094090659492287,0.00037546054513300535,-0.10541007169148903,0.0007290406444367501
source_count,deltaT_mean_K,0.0011465882025386898,0.9707672489025488,0.0004714753784502169,0.9879773036258338
source_count,deltaT_cv_rms_K,0.0006799797030404868,0.9826611181779881,-9.660198885677226e-05,0.9975365448955155
k_region_count,deltaT_max_K,0.005643163178272438,0.8568683079035718,0.004567617853748694,0.8839324325410065
k_region_count,deltaT_mean_K,0.004068112396689487,0.8965497055353961,0.006326562529105247,0.8397566565916648
k_region_count,deltaT_cv_rms_K,0.0035621447210308597,0.9093568860644855,0.005114604335762868,0.8701495678714666
continuous_severity,deltaT_max_K,0.9850843611533944,0.0,0.9864743893498318,0.0
continuous_severity,deltaT_mean_K,0.9740145113007619,0.0,0.9772512584042629,0.0
continuous_severity,deltaT_cv_rms_K,0.9769551951379519,0.0,0.9797726266897931,0.0
background_kz_bt_substrate_with_vias_W_mK,deltaT_max_K,0.0012297439740565227,0.9686482103584831,0.0012509164222873899,0.9681087126561728
background_kz_bt_substrate_with_vias_W_mK,deltaT_mean_K,0.012598747995620978,0.6871810722349135,0.011552542289535797,0.7119472411648555
background_kz_bt_substrate_with_vias_W_mK,deltaT_cv_rms_K,0.011209249698758458,0.7201419114804025,0.009891985104785065,0.7518775486760068
background_kz_bump_underfill_under_interposer_W_mK,deltaT_max_K,-0.004399677884007663,0.8881714006566718,-0.0032866479507903585,0.9163404495069525
background_kz_bump_underfill_under_interposer_W_mK,deltaT_mean_K,-2.3234057758281246e-06,0.9999407505480932,0.00016796232386810672,0.9957167929872887
background_kz_bump_underfill_under_interposer_W_mK,deltaT_cv_rms_K,9.080275501061053e-06,0.9997684427984248,-0.0003300014305128388,0.9915847493633149
background_kz_pcb_fr4_equivalent_W_mK,deltaT_max_K,-0.003002210165600738,0.9235574228728982,-0.001674873489020814,0.95730920794604
background_kz_pcb_fr4_equivalent_W_mK,deltaT_mean_K,0.0019069471101462716,0.9514007566348834,0.002141924755024676,0.9454210887911487
background_kz_pcb_fr4_equivalent_W_mK,deltaT_cv_rms_K,0.00015892634377126535,0.9959472174694803,0.000910778467205493,0.9767774028981662
