sample_id,split_role,sobol_index,package_total_power_W,continuous_severity,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,total_source_volume_m3,mean_q_W_m3,max_q_W_m3,mean_local_k_W_mK,peak_deltaT_K,mean_deltaT_K,cv_rms_deltaT_K,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,cg_iterations,minimum_support_nodes_per_region,coordinate_sha256,support_index_sha256
v6p1if_0000,test_iid,0,8.385022665401198,0.28428424522280693,1495.6905125122817,30.43439800704226,5,5,7.781982421874995e-10,10813391366.803596,17045261410.406647,148.84242537320915,68.91133964076266,53.20379446859323,53.30897618218996,0.9832877144023562,0.016712285619789456,-2.2145602504593056e-11,1.0385896259925954e-10,1392,14,991491619cb1b9c3f3f31b8fd8436e636c0c552f0499aedbb992a29feeb0365b,c8b99bbd3df8537147d5e3a5b5d02e5fc14e43e7ed565b969d2c24ca4fb52bc8
v6p1if_0001,train,1,9.200640811868421,0.788346080109477,754.3527877395179,150.44299798750217,10,6,2.162322998046874e-09,4267140684.4588647,5585922866.482342,127.14654371557505,124.5882426171089,98.32432223841342,100.08963141138098,0.9143678234033903,0.0856321766078205,-1.1210758075477294e-11,8.905600409170939e-11,1599,7,b7feb7a4e2afaddfd789ab67ba1ae1ae5ceb86adfd86dc1b1cb370e138fa4d11,12694db960cbb544645f6dc16eb831630be9138fb28d1a782909a1be5c342dab
v6p1if_0002,train,2,6.766268497914886,0.6618023598566651,599.1565540992694,91.56408623501018,3,3,6.945800781249999e-10,9735224546.268026,10466630487.84974,190.27652235591236,123.96849434778318,94.09867117288849,95.02387828724599,0.9139567134609768,0.08604328655933197,-2.0308776583216205e-11,9.768327082409573e-11,1813,32,27535ea827932dc380071aa2fd3cce9b191807216491c68229e442498216c37f,6a6b332427d3c1cc17b269b0c625432e7ac33b1e58f53c96628e69631e52dcdf
v6p1if_0003,train,3,4.549153404383811,0.15814539324492216,946.6215799796587,50.89770893705222,8,2,1.2212371826171863e-09,3789627515.4184656,5033844022.570748,44.47502727551493,51.831128434669836,43.65297474554717,43.79038217838819,0.9598870495091535,0.040112950491008645,-1.62122726955696e-13,8.258488042669011e-11,1370,16,5bf1148816523740a670f5b6bb0b2095f796a5526301b6b69633db705b277463,f9983c18324c88eadfd9306c16d154660ab149cb7865b4a8c0c64c692f987bd6
v6p1if_0004,train,4,3.0041756947730485,0.049714745953679085,798.0857482875081,67.74935213439834,4,2,5.55419921875e-10,5380393179.27979,6294743205.904572,173.9280667583093,42.89379367141919,33.07626752998973,33.26110520055786,0.9431396184196132,0.056860381613326176,-3.2939405116958696e-11,9.204286822048573e-11,1618,30,a87bea21f03a52a7f89dde137529f3ed7ed44d904023bc88892a6116291e90ba,56220a0af06bf168cfa4686f3254681ef2446e772a0241d48d32fc366970658f
v6p1if_0005,train,5,10.851472940019072,0.5534332543611526,1270.517946442578,38.6938782194574,7,2,1.3640594482421866e-09,7992386845.702741,10531136469.816385,159.8470185847518,99.94454810609864,79.77795526933427,80.01915073894982,0.976457948786323,0.023542051237506016,-2.3828945574012252e-11,9.812236579143597e-11,1424,17,c4a9a68ac46e6febc78f50e1fba88e87404bc77a4fb2bed6fbd5285d703e2a1d,c575e690be12c64e62774e78acd85ba815ebf7614c255b4880ecdb314979793c
v6p1if_0006,valid_iid,6,14.112746101896409,0.9261341160163283,1112.7616654393735,20.0307903937817,6,2,1.4458465576171866e-09,9719723879.714506,11277168571.569897,209.99710654386507,151.50171698892018,123.09690239987519,123.28091838467222,0.9842480684456008,0.015751931562505046,-8.105816240073124e-12,1.0244865170717614e-10,1587,27,bdf3f2c2b6d91e8e99a7130694986b466a16e6775665d4e2a0df88f80d25e381,8a95cc771eab27dd6178443034bee48e48fb22f8ae34e4a21e02114f37232aa2
v6p1if_0007,train,7,4.838334912664332,0.4218896823003888,567.1149018012876,128.50226615229073,9,4,1.4071655273437495e-09,3433461299.1948495,4665058833.820557,59.01784301943497,83.66193915955739,67.50293232624706,68.35301424283851,0.8873805564574382,0.11261944360420072,-6.163895030313689e-11,7.703580580361355e-11,1518,9,c68a19ef3f1b315242abaec8f9f588de95880c68eab9cf41360060c1032260e7,d6a74950d9ed043970a489f15983c9674f2d9577c5a326f95e865e4177687737
v6p1if_0008,train,8,6.668506245877248,0.3551804115995765,964.8868694389101,138.72799211443004,7,2,1.241149902343749e-09,5419420322.466232,6778581975.035641,80.88385562413954,73.74455431490043,56.88457707319794,57.77383261975499,0.9296013359762897,0.07039866402669741,-2.987060699250428e-12,1.0005431146128516e-10,1665,20,46bf3c63870fa9bd160714b07a9a75c40175453a4071917570f0b4a635aebe2b,7d4d951e87d82770c0346c70cf0aaf6272c9707cdfbce0a130625f142c539900
v6p1if_0009,train,9,8.762655253676797,0.8592956187203526,654.0276981808612,25.19666739335077,4,8,7.977294921874997e-10,10903370636.848732,12776254050.048656,110.51057853066824,153.87679305539598,126.65731546578816,126.82833729542405,0.9680135126188554,0.0319864873465533,3.459132650581544e-11,8.330616587628248e-11,1539,16,e2cc56705ef196cba0be39a8a16bd827fab48f7a1e772a5a12e8ad5c760eb7d9,038eae66bec5304238543f09b686677c8ecf719e7a3f6e47d2cfa731229e83cf
v6p1if_0010,train,10,8.102965098073241,0.7314473036676645,688.1075309944757,41.38736095432017,9,7,1.839370727539061e-09,4383344190.821877,5063896893.195586,92.47070725719232,122.66384661024802,106.33908391280968,106.6911610082826,0.9557822885880469,0.04421771143121554,-1.9262438744668876e-11,8.327249632482756e-11,1504,9,437d805f81a328eca6f2106514365437faf1df6058d0f23b0fe20eaa4a64c07b,52b5811294dd0bf4d9b94cab5d4ed9d6f3d158ea4d498dfb55fe16e29b2a51f8
v6p1if_0011,train,11,7.467265626713525,0.22790474444627762,1473.5788210562127,82.9294647600378,6,5,1.0253143310546872e-09,7370696187.597417,10873341297.690939,90.57086420405803,61.810682175749776,46.08560833052641,46.36318343637705,0.9619336248268329,0.0380663751668771,6.29008103507463e-12,1.0234754403385704e-10,1508,8,e20f5279394bd9a4cd231848cab4b7a17e15dd97b479f8ae51e3d1e98d793e95,312043eee4805d58dd8f4ee804ad7e37db05f3c241cded54f820a6194768e9ab
v6p1if_0012,train,12,2.5757158718278657,0.11941309366375208,517.2159805479884,62.31920173262563,10,5,1.478958129882812e-09,1789781072.6905894,2606162355.772,60.53773872550323,48.46568514326492,42.30053318484245,42.518704032784434,0.9204738056446998,0.07952619446388386,-1.0858368583447261e-10,8.110317674371821e-11,1447,7,f8eb89bd0cf69323ccb5d55a3b286a23054173b43f95f0f70438cb4aefc77edc,09653b6c54255996353148d4701828651cfdb60d1a5197052d1953e5da9a3d3a
v6p1if_0013,test_iid,13,10.46249813406492,0.6231392053887248,1096.5931988436041,97.96502053958582,5,5,9.552001953124992e-10,11041551684.544043,14966693450.66934,103.48235782762124,109.42146329419575,82.94217264178685,83.73005447861227,0.9481225708759147,0.051877429143460725,-1.9375440592336362e-11,9.346735963478442e-11,1587,14,52176ad3c425174b2cdfe2f8c6952ee55381b9469ea97131c7ecb25e7dec4665,1b70dc61106e3ee96917096543594d998f38284459a2e44a0a90d484a7e87190
v6p1if_0014,train,14,16.845424774837543,0.9970226474106312,1295.5501335136885,189.18765208604324,8,3,1.706008911132812e-09,9767684137.231699,12177915029.054554,170.77821765307002,154.53094770293671,107.6237004855258,110.2064532265746,0.9424589460321988,0.05754105397059331,-2.7921355554538588e-12,1.0639846019324715e-10,1704,17,5021df33b2f1217328e1cddcf7f45bccc1b5b63e50be436f8d0447419168b6c7,01cdfd487b2c4411c2e0b48a1ac2417fa340caeeec0c8031f712128ddf71f444
v6p1if_0015,valid_iid,15,7.470829951581692,0.4928468521684408,870.8889553565806,32.84689204262448,3,5,5.810546874999993e-10,12785155634.212748,14668669828.073706,175.58113963982618,97.11255992481779,79.83594379369646,79.99890617323085,0.9697141958450476,0.030285804149655263,5.297107409342499e-12,8.948257174739752e-11,1414,21,84f4b668e77178500cf8720a75ad62cec84fd420a45ca01520f8797f7bb4816a,4a544d0f080ab468d7cbf4f9bec7a1ff29c629281a114d7bb004f41c015002a2
v6p1if_0016,valid_iid,16,3.6245024939738624,0.0035301996394991875,1220.9018164869992,34.416520549873034,9,6,1.1001586914062492e-09,3343548925.948733,4919298542.328387,112.0008860118599,35.71463191993058,28.813064901346088,28.866402855802065,0.976294707958222,0.02370529205626052,-1.4482572945574907e-11,9.65012328149193e-11,1636,8,70671227efadda2d43f9b7a6fb59233f4a9659a5483402ea2b257cdfbaca0aa6,02d6d836ce63827ce51f0cc058f365754c715568c4698f3f5f0548d3898130f5
v6p1if_0017,train,17,7.335527468699299,0.5075767422094941,831.0205046872204,177.35435271408068,6,6,1.1383056640624993e-09,6531373078.373178,9389832986.395645,135.9305712239044,91.82165724916251,69.56381555469386,71.15297575039918,0.9181357940576221,0.08186420592609589,1.62819336787277e-11,9.252480818676142e-11,1467,13,6997cca120fcc6dadf966aa11b9d4e1ab89c93d678e4f32c86d7f576b521fc27,c0d181ef56d5acc13f6d8218c83bf770c6aadb916a9baff3215588193504bafc
v6p1if_0018,train,18,7.711826895992154,0.8800412397831678,543.8749572922429,108.33930010928266,7,5,1.580200195312499e-09,4907555993.131721,6124112014.907763,74.37562985494898,136.66687749796108,112.7212385837523,114.21166572518491,0.9004543197445534,0.09954568027643118,-2.0984549948590603e-11,8.358387850970829e-11,1472,15,912978032a2c2040897d6496e0c48c55de498383394bffbb9376a4426fc2b8c8,70ce039d9cbde71108036b3c80b18fe6bd3eb06c8480577fdca626a1f8e1e2e3
v6p1if_0019,test_iid,19,7.966895434809622,0.3764300160109997,1159.6928042530633,57.38010277338574,4,8,7.604980468749994e-10,10622807371.35666,12862768371.188105,153.97468091028645,86.6703797427013,63.109559204300005,63.38319439580946,0.9633171178693812,0.03668288216475213,-3.413336093762343e-11,9.668558771415981e-11,1538,12,3c3db9c9d583fda33699a7ed7883af3b30dc92a1847e142f0360600fca73e7df,07775fe5d194afb16a511c95e7e10f1e911473c664ee045b9d5f8f007671414b
v6p1if_0020,train,20,4.629009151159854,0.26799940038472414,731.431626165749,76.61437594799452,8,8,1.1856079101562495e-09,3972841591.3347654,6154499679.39285,84.64641448521746,68.90953138280065,54.04104288816897,54.44465827377486,0.9344202787305601,0.06557972124222843,2.72114669689355e-11,8.069335069624463e-11,1518,7,0d525cb20679246fddb3269f746c5274053662b05c20089fbbe504a5dff15d35,aebcd148e99f918e84c71c93db530c3aab7db56b1344d3508bee1d5bc4e827dc
v6p1if_0021,train,21,15.945330948020267,0.7716721063479781,1543.3832563962007,45.61556637066094,3,2,5.853271484374997e-10,27457320157.452717,34173294375.199577,36.64315695259651,139.10693609361772,98.91323628507234,99.22521895184731,0.9768649636013979,0.0231350363999848,-1.3826115163247846e-12,1.2224976412714607e-10,1646,28,1e98d64718475b86f83eb624324d9e15b9c0c8924c54fe2893a1087436622889,170a93bb9567758c00029000af997a19c6595d2a7b29ba91004061b48011c485
v6p1if_0022,train,22,9.298170493101455,0.6453648060560226,916.0212946269387,23.700629712828132,10,7,1.9993591308593737e-09,4660283533.685619,6731538045.892363,108.39233981119446,108.98419823676511,97.15434782557921,97.27304236562313,0.9781136394416421,0.02188636055106657,7.291379599244937e-12,8.882449051881539e-11,1590,10,6ac5ab7f79b54962dc488cb947a031d0663c94bd7e2fb7c05e86a59335c32437,46ca3c7890ad70b3d608245172703b03f0ef67c45f675dfc4dc7ce044aec01a5
v6p1if_0023,train,23,3.126831703889514,0.14113560505211353,618.7983052166184,144.8694296887582,5,5,7.809448242187492e-10,4034940688.2087145,5639695962.091002,191.32255917426872,49.43186249451077,39.43778757582351,40.04428500672236,0.8916074925777293,0.10839250749006471,-6.779403700091082e-11,8.257194211180752e-11,1458,20,9511bc2225f497d5ea8a5788514526a81ff8c2822d47544f820a914dc4bf21db,2a2e0721fd8632fcd111e5cbe7e8b367e991535e6b5a784ea44e26178355939a
v6p1if_0024,train,24,4.032322604937383,0.0734345093369484,1062.4240198467392,118.30771004434945,3,4,3.9276123046874965e-10,10039137240.661215,12852170724.949799,120.87855313434784,53.02888634153231,31.811728295888724,32.255054690708874,0.9407031938400258,0.059296806236157316,-7.618312477760382e-11,9.302163557070212e-11,1517,17,b49c52343c50c81e3632300bfe336aea267097439208fd00478597cdc9ae7597,531bf375e180abd9b068a143c1fad82d5ea8ad9db21fee8af83b8eabfba49152
