feature,peak_spearman,peak_linear_r2
continuous_severity,0.7008354865531792,0.49171717928726855
package_total_power_W,0.776859398469351,0.5621746225221007
top_h_W_m2K,-0.06297478497603891,0.003907936244643217
bottom_h_W_m2K,-0.05005014618053072,0.0028282764453438957
source_count,-0.10775591401790646,0.013076384773320198
k_region_count,0.0038944375023648122,1.956176132732773e-06
upper_source_count,-0.08323393355897703,0.006630223018719805
cross_family_overlap_pair_count,-0.0521118630995007,0.0028813484579236085
power_base_W,0.7008354865531792,0.6295869130264832
power_top_h_factor,-0.06297478497603891,0.00401771902768628
power_independent_latent,0.553874208747586,0.3077211014634274
power_independent_multiplier,0.553874208747586,0.31016592039969704
total_source_area_fraction,-0.10980115871539946,0.01335397284279362
mean_source_area_fraction,-0.023198827873542664,0.0005906264016369867
source_area_cv,-0.0037226414419569416,2.153895673551842e-07
mean_source_aspect_ratio,0.0028146457692582788,8.926921365976244e-05
source_centroid_spread,-0.018266162559902724,0.00044319967597293016
source_upper_fraction,-0.01384964599729044,0.00023489808277839374
cross_family_overlap_fraction,-0.022344938335578532,0.00011023529667532468
q_proxy_mean_W_m3,0.6587175564158501,0.35820682790943126
q_proxy_max_W_m3,0.6795246003504756,0.391085557929258
mean_local_k_W_mK,-0.04252440812531292,0.0015933885568781992
local_k_log_std,-0.006924900311136543,0.00042285641328407183
background_kz_pcb_fr4_equivalent_W_mK,0.008258965292182245,5.669091240447444e-05
background_kz_bt_substrate_with_vias_W_mK,-0.0019034426185537514,5.081311486057088e-07
background_kz_silicon_interposer_tsv_0p1_W_mK,-0.007652930763178598,0.00010017499375565858
background_kz_bump_underfill_under_interposer_W_mK,-0.0023869671339675274,1.0902424989526475e-06
background_kz_silicon_die_lower_W_mK,-0.011308528091695873,0.00017090297085316515
background_kz_tim_between_dies_W_mK,-0.03465365943065588,0.0012549398739941438
background_kz_silicon_die_upper_W_mK,-0.0017813349366998066,6.982636445142562e-06
background_kz_tim_to_spreader_W_mK,-0.037347784493240825,0.001317893714189421
background_kz_spreader_W_mK,0.0011682819540805376,1.7961884726261619e-06
