sample_id,sobol_index,sobol_dimensions_consumed,continuous_severity,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,upper_source_count,cross_family_overlap_pair_count,power_base_W,power_top_h_factor,power_independent_latent,power_independent_multiplier,total_source_area_fraction,mean_source_area_fraction,source_area_cv,mean_source_aspect_ratio,source_centroid_spread,source_upper_fraction,cross_family_overlap_fraction,q_proxy_mean_W_m3,q_proxy_max_W_m3,mean_local_k_W_mK,local_k_log_std,background_kz_pcb_fr4_equivalent_W_mK,background_kz_bt_substrate_with_vias_W_mK,background_kz_silicon_interposer_tsv_0p1_W_mK,background_kz_bump_underfill_under_interposer_W_mK,background_kz_silicon_die_lower_W_mK,background_kz_tim_between_dies_W_mK,background_kz_silicon_die_upper_W_mK,background_kz_tim_to_spreader_W_mK,background_kz_spreader_W_mK,split_role
v6p1if1_0000,0,53,0.6289167925715446,7.4098086782873125,855.0850808455167,49.82626782871546,3,3,1,0,9.190567716065045,0.9672758991479882,0.32329345773905516,0.8335166669932776,0.05206748941887656,0.017355829806292185,0.06685296671494344,1.079933756722748,0.22936444986065258,0.3333333333333333,0.0,9519870773.9302,11305938545.813267,113.78461350755119,1.2658999113605025,0.2420755367806405,0.39769916944096384,125.88120363652706,4.919084661273571,141.48081843741238,2.687949789933219,112.25902489386499,3.5917467553615046,399.4643877958879,train
v6p1if1_0001,1,112,0.020784668624401093,4.640977112634816,1131.9605307492373,63.49981733414949,9,6,5,1,4.00320521747223,1.1903000943217366,0.5472750226035714,0.9739689337708239,0.09482693939770279,0.010536326599744754,0.27118166259854637,1.2049172235516958,0.3319862532880817,0.5555555555555556,0.018518518518518517,3289645345.509335,4421457597.794075,262.057995647839,0.47684154252330685,0.30422000805801463,0.5588308905448031,140.41434550657868,4.607877805586974,105.72144608013332,3.7686512244476678,133.49470444954932,2.662710707261716,391.1482569994405,test_iid
v6p1if1_0002,2,93,0.27499968372285366,5.581038291975883,1220.1035276189116,117.71948811334867,5,6,2,2,5.940669942308343,1.2581823735729185,0.16505996976047754,0.7466825148242286,0.06571597344139715,0.01314319468827943,0.13894736716536027,1.220297507268926,0.32058935784559145,0.4,0.06666666666666667,5540177155.90508,7727596787.211405,228.97504552245445,0.9308987639875579,0.358708522534349,0.46959668289096496,130.8960378775373,6.111418392147605,113.34075112827122,4.941743267913366,115.3816320002079,1.5722819117088713,386.48919308092445,train
v6p1if1_0003,3,95,0.8836205657571554,7.9777471869526675,503.6403686223479,26.697341120192817,7,6,3,0,9.431397404291284,0.6539012844044875,0.9554475350305438,1.2935762527753467,0.08617597740841886,0.012310853915488407,0.17370109733810665,1.10603365176939,0.30342971898852467,0.42857142857142855,0.0,6224716963.308264,8394103835.627389,87.14000488768336,0.8154825591726597,0.28894527726149305,0.5223920903219726,153.07254612911493,4.146629977645954,127.61799986474216,1.8429346014487615,142.8673050366342,6.616018803081762,392.9320365237072,valid_iid
v6p1if1_0004,4,155,0.8534741066396236,6.637268663728572,950.3361521719463,164.07365731820627,10,8,6,4,9.413635587569674,1.0458677235110905,0.018078679218888283,0.6741480065753113,0.12087311125373153,0.012087311125373153,0.15334632491830227,1.183296569632797,0.3581586320183497,0.6,0.05,3643675817.384533,4991638124.165753,94.15883326020989,0.74274508194065,0.28062461432369695,0.45911287853422234,142.64611755963415,4.136741787435201,136.38592646457255,2.5238254899648176,124.5532600209117,1.9723222434348788,388.52376681752503,train
v6p1if1_0005,5,93,0.4929172657430172,9.076047868075259,695.3634200395869,22.469797009628707,4,7,1,1,9.073625633598008,0.8301016782353852,0.8534187376499176,1.2049932912378138,0.0439443153146226,0.01098607882865565,0.12708760748700246,1.1940496577004514,0.2736363140127859,0.25,0.03571428571428571,13651079723.073019,16885692821.132545,250.96322081024633,0.751177456354549,0.348070818102643,0.5122903432376913,123.82349270861596,5.481713068269045,122.535161068663,4.2743930456223564,145.32201597467065,5.418881872949211,394.49731638655066,train
v6p1if1_0006,6,83,0.23870220966637135,3.7884105093031106,665.976838481406,38.76402789596483,8,3,4,0,5.052232480599916,0.8040087409849354,0.4849061369895935,0.93263763310124,0.10330356550535025,0.012912945688168781,0.18443986256047543,1.258704047360025,0.3730086036237078,0.5,0.0,2473608580.958377,3345454343.573994,112.56401532415826,0.06868430494089707,0.3329481016559895,0.43030543284736816,146.39843900687993,4.653298413001186,108.28209728933871,6.9474908180148915,102.67588975839317,4.416244278631571,397.3967407736927,train
v6p1if1_0007,7,65,0.5987702924758196,14.34149084424095,1562.9797932235808,94.47017321379815,6,2,4,0,9.1572184907892,1.5111178298196817,0.6366522554308176,1.0364119063698913,0.07784005175750269,0.012973341959583782,0.23053286404161216,1.2819048198686216,0.3495226624939365,0.6666666666666666,0.0,12294169843.186028,17022476542.005768,160.8347730339278,0.7029713861785223,0.2642466620702654,0.6022810989351925,137.398136658594,5.448360771242052,144.39471079967916,1.3913025543278943,129.6946418005973,2.107956826770354,389.5501326210797,train
v6p1if1_0008,8,82,0.7278217766433954,7.475769306214246,560.7121513939053,99.78897274852115,8,2,3,0,9.301311572738014,0.7079367270652287,0.7677504690364003,1.1353172979075568,0.09204441922591287,0.01150555240323911,0.14166025500054782,1.2357657746341504,0.3421509849818895,0.375,0.0,5507026992.603384,6801815536.141124,91.8006368829563,0.9257693550765105,0.2549200536025407,0.47706507025283884,150.27139720506966,5.695200406083337,102.18156864866614,1.6833016861730468,121.32599386386573,1.7168807574829756,387.59672846645117,train
v6p1if1_0009,9,100,0.11718864180147648,3.9658059553253127,1364.551064384752,44.032403520073665,6,7,5,2,4.057928154212126,1.3667393126637701,0.10281563457101583,0.7150582479774779,0.07435318843403084,0.012392198072338474,0.20738339962837082,1.2610481081475156,0.2569312114188781,0.8333333333333334,0.047619047619047616,3467820540.357017,4150659395.5863237,143.1836798535837,0.8398778733054316,0.3252871571188804,0.5360466188011893,133.56791141442955,3.9803443687682374,137.89207711815834,5.4539701724446585,148.54308334179223,5.440549738537353,395.4527449142188,valid_iid
