sample_id,split_role,family,block_index,layer,k_x_W_mK,k_y_W_mK,k_z_W_mK,control_volume_count,source_power_W,power_fraction,source_volume_m3,surface_power_density_W_cm2,q_W_m3
v6p1if1_0000,train,k,0,silicon_die_lower,300.3789775207446,300.3789775207446,300.3789775207446,560,,,,,
v6p1if1_0000,train,k,1,silicon_die_lower,20.72794171295605,20.72794171295605,20.72794171295605,432,,,,,
v6p1if1_0000,train,k,2,silicon_die_upper,20.246921288952898,20.246921288952898,20.246921288952898,336,,,,,
v6p1if1_0000,train,q,0,silicon_die_lower,,,,576,2.042533585180738,0.27565267523922693,2.636718749999999e-10,121.6491154244681,7746497745.27806
v6p1if1_0000,train,q,1,silicon_die_lower,,,,576,2.602202316950139,0.351183469092161,2.6367187499999996e-10,137.15599121519182,9869093231.69238
v6p1if1_0000,train,q,2,silicon_die_upper,,,,576,2.7650727761564364,0.37316385566861215,2.581787109374998e-10,169.58907818719902,10709917816.6778
v6p1if1_0001,test_iid,k,0,silicon_die_lower,380.35991952375076,380.35991952375076,380.35991952375076,704,,,,,
v6p1if1_0001,test_iid,k,1,silicon_die_upper,340.1393107024267,340.1393107024267,340.1393107024267,480,,,,,
v6p1if1_0001,test_iid,k,2,silicon_die_upper,381.10396919043836,381.10396919043836,381.10396919043836,576,,,,,
v6p1if1_0001,test_iid,k,3,silicon_die_upper,123.2496304177238,123.2496304177238,123.2496304177238,432,,,,,
v6p1if1_0001,test_iid,k,4,silicon_die_upper,216.15757558052186,216.15757558052186,216.15757558052186,384,,,,,
v6p1if1_0001,test_iid,k,5,silicon_die_upper,131.33756847217256,131.33756847217256,131.33756847217256,880,,,,,
v6p1if1_0001,test_iid,q,0,silicon_die_upper,,,,240,0.3805334089697074,0.08199424382717278,1.0757446289062504e-10,56.3606074955559,3537395388.686345
v6p1if1_0001,test_iid,q,1,silicon_die_upper,,,,280,0.5901665424881893,0.12716428634855623,1.2550354003906224e-10,66.32186396691111,4702389608.329003
v6p1if1_0001,test_iid,q,2,silicon_die_lower,,,,336,0.423238153985009,0.09119591493626751,1.5380859374999985e-10,41.42487660393207,2751719807.4961886
v6p1if1_0001,test_iid,q,3,silicon_die_lower,,,,288,0.34398502843467255,0.07411909606237692,1.3183593749999995e-10,41.95755312760025,2609190141.608184
v6p1if1_0001,test_iid,q,4,silicon_die_upper,,,,384,0.6090281032060499,0.13122842203810983,1.7211914062499985e-10,54.479686449947835,3538410086.144656
v6p1if1_0001,test_iid,q,5,silicon_die_upper,,,,320,0.5153365222306551,0.11104052222702814,1.4343261718749982e-10,48.881404936846444,3592882374.5647078
v6p1if1_0001,test_iid,q,6,silicon_die_lower,,,,448,0.7005759099652168,0.1509543988178558,2.050781249999998e-10,50.825073621940646,3416141580.02087
v6p1if1_0001,test_iid,q,7,silicon_die_upper,,,,512,0.7354208156873362,0.15846249568548654,2.2949218749999982e-10,44.363850818562995,3204557086.229076
v6p1if1_0001,test_iid,q,8,silicon_die_lower,,,,288,0.3426926276679788,0.0738406200571462,1.3183593749999998e-10,39.487204622462876,2599387042.459336
v6p1if1_0002,train,k,0,silicon_die_lower,24.297509329699224,24.297509329699224,24.297509329699224,528,,,,,
v6p1if1_0002,train,k,1,silicon_die_upper,226.34936741322014,226.34936741322014,226.34936741322014,616,,,,,
v6p1if1_0002,train,k,2,silicon_die_upper,254.59990239772875,254.59990239772875,254.59990239772875,440,,,,,
v6p1if1_0002,train,k,3,silicon_die_upper,392.0197781850316,392.0197781850316,392.0197781850316,720,,,,,
v6p1if1_0002,train,k,4,silicon_die_lower,331.7853363628436,331.7853363628436,331.7853363628436,528,,,,,
v6p1if1_0002,train,k,5,silicon_die_upper,144.7983794462034,144.7983794462034,144.7983794462034,648,,,,,
v6p1if1_0002,train,q,0,silicon_die_lower,,,,448,1.0666519569094297,0.19112070211792034,2.0507812499999998e-10,80.87967845763997,5201198113.691696
v6p1if1_0002,train,q,1,silicon_die_upper,,,,336,0.6629892308582077,0.1187931700471251,1.506042480468749e-10,64.98832132595534,4402194755.169558
v6p1if1_0002,train,q,2,silicon_die_upper,,,,504,1.332056826070396,0.23867545004762927,2.259063720703122e-10,86.21996368183038,5896499571.317095
v6p1if1_0002,train,q,3,silicon_die_lower,,,,384,0.8313486015600139,0.14895948711824505,1.7578125000000007e-10,67.51137141928425,4729449822.208077
v6p1if1_0002,train,q,4,silicon_die_lower,,,,512,1.6879916765778349,0.3024511906690801,2.34375e-10,115.91395180817106,7202097820.06543
v6p1if1_0003,valid_iid,k,0,silicon_die_lower,26.49719243894713,26.49719243894713,26.49719243894713,616,,,,,
v6p1if1_0003,valid_iid,k,1,silicon_die_upper,51.300500214955754,51.300500214955754,51.300500214955754,576,,,,,
v6p1if1_0003,valid_iid,k,2,silicon_die_upper,57.01797647683396,57.01797647683396,57.01797647683396,560,,,,,
v6p1if1_0003,valid_iid,k,3,silicon_die_upper,38.45652811546584,38.45652811546584,38.45652811546584,528,,,,,
v6p1if1_0003,valid_iid,k,4,silicon_die_lower,32.98330517993834,32.98330517993834,32.98330517993834,448,,,,,
v6p1if1_0003,valid_iid,k,5,silicon_die_lower,316.58452689995926,316.58452689995926,316.58452689995926,504,,,,,
v6p1if1_0003,valid_iid,q,0,silicon_die_upper,,,,448,1.1961549684250363,0.14993643448382357,2.0080566406249984e-10,89.77552806590927,5956779028.16894
v6p1if1_0003,valid_iid,q,1,silicon_die_upper,,,,392,1.5257682442863558,0.19125302024883636,1.7570495605468736e-10,125.91155753441083,8683694976.773834
v6p1if1_0003,valid_iid,q,2,silicon_die_lower,,,,384,0.9103612238714729,0.11411256869111339,1.7578124999999997e-10,75.74690189671239,5178943851.357714
v6p1if1_0003,valid_iid,q,3,silicon_die_lower,,,,336,1.0201091208604143,0.12786932162111728,1.5380859374999992e-10,107.69516259307346,6632328506.419458
v6p1if1_0003,valid_iid,q,4,silicon_die_lower,,,,448,1.0966941003293273,0.13746914694450746,2.05078125e-10,82.89211814963438,5347689327.320148
v6p1if1_0003,valid_iid,q,5,silicon_die_upper,,,,288,0.8423362217351605,0.10558572514215199,1.2908935546875e-10,86.24169235900636,6525218277.498283
v6p1if1_0003,valid_iid,q,6,silicon_die_lower,,,,512,1.3863233074449015,0.1737737828684501,2.343749999999999e-10,85.33232054862094,5914979445.098249
v6p1if1_0004,train,k,0,silicon_die_upper,46.347782675919944,46.347782675919944,46.347782675919944,432,,,,,
v6p1if1_0004,train,k,1,silicon_die_upper,28.099733042150653,28.099733042150653,28.099733042150653,880,,,,,
v6p1if1_0004,train,k,2,silicon_die_upper,114.1613647427335,114.1613647427335,114.1613647427335,672,,,,,
v6p1if1_0004,train,k,3,silicon_die_upper,71.55774175442235,71.55774175442235,71.55774175442235,448,,,,,
v6p1if1_0004,train,k,4,silicon_die_upper,351.3639662663124,351.3639662663124,351.3639662663124,560,,,,,
v6p1if1_0004,train,k,5,silicon_die_upper,36.57205049116953,36.57205049116953,36.57205049116953,528,,,,,
v6p1if1_0004,train,k,6,silicon_die_upper,50.26183293692037,50.26183293692037,50.26183293692037,720,,,,,
v6p1if1_0004,train,k,7,silicon_die_lower,54.90619417205033,54.90619417205033,54.90619417205033,720,,,,,
v6p1if1_0004,train,q,0,silicon_die_upper,,,,384,0.6021286355488391,0.09071934044788019,1.721191406249998e-10,50.645899942005535,3498324668.38021
v6p1if1_0004,train,q,1,silicon_die_lower,,,,448,0.904546461851621,0.13628293620157306,2.0507812499999998e-10,57.31987759263912,4410740842.552667
v6p1if1_0004,train,q,2,silicon_die_upper,,,,384,0.560758641384843,0.08448635572781373,1.7211914062499988e-10,45.45457862110001,3257967936.32953
v6p1if1_0004,train,q,3,silicon_die_upper,,,,448,0.630257554880968,0.0949573667742587,2.0080566406249965e-10,49.28612210860336,3138644309.778054
v6p1if1_0004,train,q,4,silicon_die_upper,,,,384,0.6820616419653485,0.10276239768516338,1.7211914062499985e-10,60.97601556953505,3962729766.652581
v6p1if1_0004,train,q,5,silicon_die_lower,,,,360,0.6284661932222065,0.09468747237197982,1.6479492187499992e-10,54.86424946550003,3813625966.575051
v6p1if1_0004,train,q,6,silicon_die_upper,,,,448,1.0885937875905298,0.1640123133088601,2.0080566406249989e-10,74.87457186248629,5421130886.286702
v6p1if1_0004,train,q,7,silicon_die_lower,,,,392,0.4628705505396286,0.06973810674097454,1.7944335937499994e-10,41.782124560888214,2579479966.000435
v6p1if1_0004,train,q,8,silicon_die_lower,,,,288,0.5949375740998569,0.08963590359858101,1.3183593749999982e-10,67.50063365700956,4512711673.172255
v6p1if1_0004,train,q,9,silicon_die_upper,,,,392,0.4826476226447305,0.07271780714291545,1.757049560546873e-10,43.84729922791268,2746920937.70257
v6p1if1_0005,train,k,0,silicon_die_upper,356.28347782741594,356.28347782741594,356.28347782741594,384,,,,,
v6p1if1_0005,train,k,1,silicon_die_upper,130.18664887150666,130.18664887150666,130.18664887150666,504,,,,,
v6p1if1_0005,train,k,2,silicon_die_upper,383.3973596950237,383.3973596950237,383.3973596950237,792,,,,,
v6p1if1_0005,train,k,3,silicon_die_upper,398.88201915993466,398.88201915993466,398.88201915993466,448,,,,,
