pair_id,x,y,x_transform,y_transform,pearson_raw,pearson_coverage_transform,spearman,physical_occupied_cells,physical_empty_cells,physical_occupancy_fraction,physical_normalized_entropy,rank_occupied_cells,rank_empty_cells,rank_normalized_mutual_information,corner_low_low,corner_low_high,corner_high_low,corner_high_high,nn_median,nn_p95,nn_max
power_x_top_h,package_total_power_W,top_h_W_m2K,linear,log10,0.5610678028925653,0.558128600475746,0.5333741998068807,25,11,0.6944444444444444,0.8587200960639574,34,2,0.11121837058506097,106,26,0,13,0.01152844139416194,0.023705150497285672,0.03840400350432159
power_x_bottom_h,package_total_power_W,bottom_h_W_m2K,linear,log10,-7.271181140366782e-05,0.000130388859583273,-9.031229883413316e-05,34,2,0.9444444444444444,0.911502404805367,36,0,0.0018596885301998109,56,57,1,3,0.012928718645010294,0.031162453299671152,0.08090235630845707
top_h_x_bottom_h,top_h_W_m2K,bottom_h_W_m2K,log10,log10,-0.0001459662248641364,0.00018310546874195777,0.0001831056433731464,36,0,1.0,0.9997375336407441,36,0,0.000540863954826175,40,41,42,41,0.0220067547923702,0.02572372857245088,0.04241996902659066
power_x_total_source_area,package_total_power_W,total_source_area_fraction,linear,linear,-0.002543866807629599,-0.002543866807629599,0.001657338530863313,35,1,0.9722222222222222,0.8870638492970804,36,0,0.003164180004510861,64,16,3,2,0.011468837407356864,0.029510210504206488,0.10242735195943474
mean_q_x_mean_local_k,mean_q_W_m3,mean_local_k_W_mK,log10,log10,-0.022930323360085166,-0.018137509385141103,-0.020251066179100215,35,1,0.9722222222222222,0.7649017387191662,36,0,0.006171323352545295,1,3,2,1,0.00838504495460563,0.030288419809794343,0.19284053049914493
pcb_fr4_equivalent_kz_x_top_h,background_kz_pcb_fr4_equivalent_W_mK,top_h_W_m2K,log10,log10,-1.705761606546341e-07,2.7755575615628914e-17,-6.938893903907228e-18,36,0,1.0,0.9997670512976102,36,0,0.00046365744710890103,43,40,41,40,0.020732011496183367,0.02839284866304227,0.045478633708014
pcb_fr4_equivalent_kz_x_bottom_h,background_kz_pcb_fr4_equivalent_W_mK,bottom_h_W_m2K,log10,log10,2.9089016383083196e-06,4.391018798566293e-17,-4.9873299934333204e-18,36,0,1.0,0.999315473230615,36,0,0.0013647956198837518,42,42,43,39,0.02154937550040733,0.03464161099530352,0.04014665744189435
bt_substrate_with_vias_kz_x_top_h,background_kz_bt_substrate_with_vias_W_mK,top_h_W_m2K,log10,log10,5.6308643975395284e-05,1.746230139654248e-10,1.734723475976807e-17,36,0,1.0,0.9993161548899882,36,0,0.0013653171358720317,41,41,41,41,0.021680083565308317,0.030114307600587344,0.041248748573058464
bt_substrate_with_vias_kz_x_bottom_h,background_kz_bt_substrate_with_vias_W_mK,bottom_h_W_m2K,log10,log10,-1.812813588356082e-05,-2.2888227931599595e-05,-1.2468324983583301e-18,36,0,1.0,0.9998332717217205,36,0,0.0003479943325837951,39,42,39,42,0.019887823138260076,0.027178981759044187,0.04144379167515932
silicon_interposer_tsv_0p1_kz_x_top_h,background_kz_silicon_interposer_tsv_0p1_W_mK,top_h_W_m2K,linear,log10,1.7604869606797436e-05,-2.7284708780522804e-12,-2.3852447794681098e-18,36,0,1.0,0.9995112902177957,36,0,0.000775369150029371,41,40,40,40,0.019775562800668337,0.030160568067180874,0.036448626680979285
