variable,left_role,right_role,ks_statistic,ks_pvalue,wasserstein,wasserstein_normalized_global_range,test_used_for_rule_adjustment
package_total_power_W,train,valid_iid,0.059895833333333336,0.8104803492300218,0.30853667818738273,0.019037297504119876,False
package_total_power_W,train,test_iid,0.055989583333333336,0.8683293282774297,0.26158279957345887,0.01614015424907152,False
package_total_power_W,valid_iid,test_iid,0.0625,0.9650479609728606,0.24346773376927625,0.01502242037364719,False
top_h_W_m2K,train,valid_iid,0.08723958333333333,0.3594843603299429,31.306427514388265,0.028491172273672434,False
top_h_W_m2K,train,test_iid,0.078125,0.4975590504715276,36.01844882346315,0.03277946134186353,False
top_h_W_m2K,valid_iid,test_iid,0.1328125,0.2093941362433583,56.06750973615573,0.05102559460399784,False
bottom_h_W_m2K,train,valid_iid,0.078125,0.4975590504715276,6.900029264921512,0.038393955035060906,False
bottom_h_W_m2K,train,test_iid,0.053385416666666664,0.9018006042585345,3.9141004821426995,0.02177929862965682,False
bottom_h_W_m2K,valid_iid,test_iid,0.0703125,0.9114140150389803,4.620000746869672,0.025707151973837272,False
source_count,train,valid_iid,0.045572916666666664,0.971325317633223,0.15364583333333331,0.02194940476190476,False
source_count,train,test_iid,0.03125,0.999856618632076,0.09114583333333331,0.01302083333333333,False
source_count,valid_iid,test_iid,0.0625,0.9650479609728606,0.15625,0.022321428571428572,False
k_region_count,train,valid_iid,0.036458333333333336,0.9979257990008524,0.10156250000000008,0.016927083333333346,False
k_region_count,train,test_iid,0.044270833333333336,0.9782244965444485,0.2083333333333334,0.03472222222222223,False
k_region_count,valid_iid,test_iid,0.0546875,0.9913802013290081,0.2421875,0.040364583333333336,False
total_source_area_fraction,train,valid_iid,0.05078125,0.930366243097831,0.0015034336235948552,0.012645623610904452,False
total_source_area_fraction,train,test_iid,0.036458333333333336,0.9979257990008524,0.0014603529258158622,0.012283264887207927,False
total_source_area_fraction,valid_iid,test_iid,0.0625,0.9650479609728606,0.0019918400842491124,0.016753689423480767,False
mean_q_W_m3,train,valid_iid,0.06770833333333333,0.6779683235573787,400122444.5793607,0.009036423091176988,False
mean_q_W_m3,train,test_iid,0.052083333333333336,0.9167315376806145,353933983.32654727,0.007993296209730391,False
mean_q_W_m3,valid_iid,test_iid,0.0625,0.9650479609728606,402034742.28333485,0.009079610698779364,False
mean_local_k_W_mK,train,valid_iid,0.08463541666666667,0.3962978530099419,8.597949191747226,0.02913814497058651,False
mean_local_k_W_mK,train,test_iid,0.10807291666666667,0.14631739501225324,8.93778868012662,0.030289848947696946,False
mean_local_k_W_mK,valid_iid,test_iid,0.078125,0.8316026084264871,5.088517767448711,0.017244806300512134,False
effective_background_kz_W_mK,train,valid_iid,0.09505208333333333,0.26286702631928727,0.006717377856889679,0.027143711158568902,False
effective_background_kz_W_mK,train,test_iid,0.07161458333333333,0.6089581052992159,0.006584514094776549,0.02660683268320657,False
effective_background_kz_W_mK,valid_iid,test_iid,0.0546875,0.9913802013290081,0.004778192002909888,0.019307811224903063,False
peak_deltaT_K,train,valid_iid,0.11067708333333333,0.12893768403561395,4.697589039291946,0.03291370752895767,False
peak_deltaT_K,train,test_iid,0.07161458333333333,0.6089581052992159,2.3722617121974583,0.016621276898496053,False
peak_deltaT_K,valid_iid,test_iid,0.078125,0.8316026084264871,3.4396533321741445,0.02409996762791505,False
mean_deltaT_K,train,valid_iid,0.12630208333333334,0.05664500092702233,4.3432412277639125,0.03488018125786127,False
mean_deltaT_K,train,test_iid,0.0625,0.7680641948623398,1.9114596973270783,0.015350761611781527,False
mean_deltaT_K,valid_iid,test_iid,0.0859375,0.7340519272124851,3.5322647695258946,0.028367301964310313,False
cv_rms_deltaT_K,train,valid_iid,0.12760416666666666,0.05263247912340664,4.311555056930981,0.034706017507073715,False
cv_rms_deltaT_K,train,test_iid,0.0625,0.7680641948623398,1.9385918687188903,0.01560476497375865,False
cv_rms_deltaT_K,valid_iid,test_iid,0.0859375,0.7340519272124851,3.4322840521706204,0.027628293928983298,False
Reff_peak_K_W,train,valid_iid,0.1015625,0.19803949424679676,0.38475724055887117,0.025700064314307245,False
Reff_peak_K_W,train,test_iid,0.08333333333333333,0.41553433925815736,0.40923642850740427,0.027335164679736377,False
Reff_peak_K_W,valid_iid,test_iid,0.1171875,0.34412544603873796,0.510622574847139,0.03410730619350281,False
top_heat_fraction,train,valid_iid,0.05078125,0.930366243097831,0.0018903531218009597,0.014020673832194156,False
top_heat_fraction,train,test_iid,0.0546875,0.8856394437616685,0.0022877876217324944,0.016968429692693094,False
top_heat_fraction,valid_iid,test_iid,0.0703125,0.9114140150389803,0.00206478357175307,0.01531441753382141,False
bottom_heat_fraction,train,valid_iid,0.05078125,0.930366243097831,0.0018903531192189715,0.014020673810341056,False
bottom_heat_fraction,train,test_iid,0.0546875,0.8856394437616685,0.0022877876224029416,0.016968429694394972,False
bottom_heat_fraction,valid_iid,test_iid,0.0703125,0.9114140150389803,0.002064783574723765,0.015314417552902956,False
