variable,split_role,count,mean,std,q00,q01,q05,q10,q25,q50,q75,q90,q95,q99,q100
package_total_power_W,train,768,7.664655368570202,3.4092628150315027,1.8428531901885055,2.2012805099325603,2.9550510783545376,3.556803458504597,5.000531093831518,7.177035885356749,9.760490263761715,12.507703680113973,14.344588992628742,16.940288509981986,18.049811038097964
package_total_power_W,valid_iid,128,7.430391473720064,3.0840489815666903,2.0838014554651068,2.389689182857461,3.014935529388147,3.4303381447670067,5.183567280901803,7.1634410485292985,9.810866732873425,11.752718406785315,12.576269366928168,14.325944279895973,14.659899517570572
package_total_power_W,test_iid,128,7.485772720768356,3.2022909163211355,2.236173887959967,2.368003700156488,2.8345355270300496,3.461914983836503,4.926398577999008,7.407627654938738,9.438356269079268,12.162070097568616,13.0228836137147,15.720042026845059,16.21247140261187
top_h_W_m2K,train,768,944.6152422482768,317.0746386024776,500.27181937191335,505.7296483922239,526.6010530021714,558.8982393661028,666.6960251898588,889.3109040783377,1192.01926381945,1431.8080923736802,1511.2841703904407,1582.1374189601825,1599.0833113552494
top_h_W_m2K,valid_iid,128,973.2749981665113,320.6810024164059,503.6403686223479,510.2120630238178,537.6164279002987,569.3551576954482,671.8312131338471,944.9141788395336,1253.0170997643136,1436.3951213066323,1513.0656519658453,1566.4204094789736,1584.3632223551842
top_h_W_m2K,test_iid,128,924.6906824824446,285.9759493723182,509.7473490163783,515.8686604950744,556.767471090597,576.3770050622136,683.4156664572563,870.5034850666481,1148.868322155592,1318.31311024744,1432.6019182121745,1568.5571204276757,1588.0495179940658
bottom_h_W_m2K,train,768,77.05516891946371,49.16092086475979,20.01678053353127,20.60619928745387,22.681096469920526,25.35011936562464,35.5576731630604,62.2455653199968,109.39523121880434,157.1168436722907,176.86341079518712,195.36121658195955,199.73333379355583
bottom_h_W_m2K,valid_iid,128,83.62102315998197,53.1147702153809,20.24141948196649,20.480467887179064,21.74744195268666,25.012063991319128,36.05670434728396,70.59910497217166,122.68974220352887,167.71225022598074,182.68972633602567,193.74641606630206,196.23378765778594
bottom_h_W_m2K,test_iid,128,79.43201708426196,50.4318946477117,20.27778882140623,20.557995253759657,22.277979507545155,24.62904756974999,34.60102374565056,64.71419326460857,118.95725750652112,155.31061081099412,169.92836838619024,188.4147976513327,199.4296868936202
source_count,train,768,6.486979166666667,2.297493480128429,3.0,3.0,3.0,3.0,4.75,6.0,8.25,10.0,10.0,10.0,10.0
source_count,valid_iid,128,6.6015625,2.2442281654488143,3.0,3.0,3.0,3.0,5.0,7.0,8.0,10.0,10.0,10.0,10.0
source_count,test_iid,128,6.4765625,2.2979775202542236,3.0,3.0,3.0,3.0,4.0,6.5,9.0,10.0,10.0,10.0,10.0
k_region_count,train,768,5.078125,1.97948873475998,2.0,2.0,2.0,2.0,3.0,5.0,7.0,8.0,8.0,8.0,8.0
k_region_count,valid_iid,128,5.1796875,1.9781367248862627,2.0,2.0,2.0,2.0,4.0,5.0,7.0,8.0,8.0,8.0,8.0
k_region_count,test_iid,128,5.0,2.1102428770167667,2.0,2.0,2.0,2.0,3.0,5.0,7.0,8.0,8.0,8.0,8.0
total_source_area_fraction,train,768,0.07856747658546188,0.02842747188196586,0.02675859867293177,0.02989320646276026,0.035185329815939734,0.039804966223336125,0.05502295821553435,0.07800651257007742,0.10276502294394768,0.1174328307240858,0.12435894609574419,0.13276354361628206,0.14564823748033934
