attempt_id,dataset_id,config_path,sobol_seed,status,rejection_reason,formal1024_allowed
pilot128_v0,heat3d_v6_p1i_continuous_physics128_v0,configs/heat3d_v6_p1i/v6_p1i_pilot128_v0.yaml,612801,failed_generator_geometry_gate,underresolved local-k region at sample 0007 after 7 completed samples,false
pilot128_v1,heat3d_v6_p1i_continuous_physics128_v1,configs/heat3d_v6_p1i/v6_p1i_pilot128_v1.yaml,612802,failed_distribution_gate,"primary fraction 84.375%; 4 outer-safety violations; histogram max/min ratio 25",false
pilot128_v2,heat3d_v6_p1i_continuous_physics128_v2,configs/heat3d_v6_p1i/v6_p1i_pilot128_v2.yaml,612803,passed,,false
formal1024_v0,heat3d_v6_p1i_continuous_physics1024_v0,configs/heat3d_v6_p1i/v6_p1i_formal1024_v0.yaml,612804,generated_complete_qualification_failed,"maximum sorted peak gap 5.743 K > 5.0 K; maximum pre-solve parameter KS 0.177083 > 0.15",false
pilot128_v3,heat3d_v6_p1i_continuous_physics128_v3,configs/heat3d_v6_p1i/v6_p1i_pilot128_v3.yaml,612805,generated_complete_qualification_failed,"1 sample outside 20--180 K; 12-bin max/min ratio 6.0 > 5.0; core q05--q95 gap 9.389 K > 8.0 K; full gap 27.707 K > 15.0 K",false
pilot128_v4,heat3d_v6_p1i_continuous_physics128_v4,configs/heat3d_v6_p1i/v6_p1i_pilot128_v4.yaml,612806,generated_complete_qualification_failed,"one empty 130--140 K bin; 12-bin nonzero max/min ratio 12.5 > 5.0",false
pilot128_v5,heat3d_v6_p1i_continuous_physics128_v5,configs/heat3d_v6_p1i/v6_p1i_pilot128_v5.yaml,612807,generated_complete_qualification_failed,"12-bin nonzero max/min ratio 6.333333 > 5.0; all other frozen gates passed",false
pilot128_v6,heat3d_v6_p1i_continuous_physics128_v6,configs/heat3d_v6_p1i/v6_p1i_pilot128_v6.yaml,612808,generated_complete_qualification_failed,"core q05--q95 sorted gap 8.776500 K > 8.0 K; all other frozen gates passed",false
pilot128_v7,heat3d_v6_p1i_continuous_physics128_v7,configs/heat3d_v6_p1i/v6_p1i_pilot128_v7.yaml,612809,generated_complete_qualification_failed,"12-bin nonzero max/min ratio 21.0 > 5.0; all other frozen gates passed",false
pilot128_v8,heat3d_v6_p1i_continuous_physics128_v8,configs/heat3d_v6_p1i/v6_p1i_pilot128_v8.yaml,612810,generated_complete_qualification_failed,"12-bin nonzero max/min ratio 5.333333 > 5.0; all other frozen gates passed",false
pilot128_v9,heat3d_v6_p1i_continuous_physics128_v9,configs/heat3d_v6_p1i/v6_p1i_pilot128_v9.yaml,612811,generated_complete_qualification_failed,"one 191.462 K outer-safety violation and full sorted gap 21.906 K > 15.0 K; all other frozen gates passed",false
pilot128_v10,heat3d_v6_p1i_continuous_physics128_v10,configs/heat3d_v6_p1i/v6_p1i_pilot128_v10.yaml,612812,generated_complete_qualification_failed,"12-bin nonzero max/min ratio 9.0 > 5.0; all other frozen gates passed",false
pilot128_v11,heat3d_v6_p1i_continuous_physics128_v11,configs/heat3d_v6_p1i/v6_p1i_pilot128_v11.yaml,612813,generated_complete_qualification_failed,"12-bin nonzero max/min ratio 8.0 > 5.0 and full sorted gap 15.575 K > 15.0 K; all other frozen gates passed",false
pilot128_v12,heat3d_v6_p1i_continuous_physics128_v12,configs/heat3d_v6_p1i/v6_p1i_pilot128_v12.yaml,612814,generated_complete_qualification_failed,"12-bin nonzero max/min ratio 6.333333 > 5.0; all other frozen gates passed",false
pilot128_v13,heat3d_v6_p1i_continuous_physics128_v13,configs/heat3d_v6_p1i/v6_p1i_pilot128_v13.yaml,612815,aborted_engineering_id_collision,"stopped after 24 solves because sample_id_prefix collided with v12; partial targets excluded from scientific-rule revision",false
pilot128_v14,heat3d_v6_p1i_continuous_physics128_v14,configs/heat3d_v6_p1i/v6_p1i_pilot128_v14.yaml,612816,generated_complete_qualification_passed,,false
formal1024_v1_input_preflight_0,heat3d_v6_p1i_continuous_physics1024_v1,configs/heat3d_v6_p1i/v6_p1i_formal1024_v1.yaml,612817,failed_input_power_floor,"zero-solve preflight found 1.608878 W below the 1.7 W literature floor; no freeze or dataset generation",false
pilot128_v15,heat3d_v6_p1i_continuous_physics128_v15,configs/heat3d_v6_p1i/v6_p1i_pilot128_v15.yaml,612818,generated_complete_qualification_passed,,false
formal1024_v1,heat3d_v6_p1i_continuous_physics1024_v1,configs/heat3d_v6_p1i/v6_p1i_formal1024_v1.yaml,612819,generated_complete_qualification_passed,,true
