config_id,seed,artifact_class,status,evidence,gap
V6_06_V5best_P1i_seed0_reliable_B24,0,training_bundle,complete,v6_p1i_three_seed_artifact_manifest.json,
V6_06_V5best_P1i_seed0_reliable_B24,0,checkpoint_bundle,complete,point-global e559 plus sample-first/base/final/latest hashes frozen,
V6_06_V5best_P1i_seed0_reliable_B24,0,valid_1024_support,complete,valid_support.json,
V6_06_V5best_P1i_seed0_reliable_B24,0,valid_1024_to_full_field,complete,all_valid_fullfield.json,
V6_06_V5best_P1i_seed0_reliable_B24,0,reload,complete,independent_replay.json and per-checkpoint reload JSON,
V6_06_V5best_P1i_seed0_reliable_B24,0,timing,seed0_fixed32_available,v6_unified_performance_closeout.json,multiseed timing absent
V6_06_V5best_P1i_seed0_reliable_B24,0,cross_resolution,full_graph_rediscretization_diagnostic_only,v6_p1i_cross_resolution_r0_closeout.json,anchor-derived full-N query absent
V6_07_V5best_P1i_seed1_reliable_B24,1,training_bundle,complete,v6_p1i_three_seed_artifact_manifest.json,
V6_07_V5best_P1i_seed1_reliable_B24,1,checkpoint_bundle,complete,point-global e455 plus sample-first/base/final/latest hashes frozen,
V6_07_V5best_P1i_seed1_reliable_B24,1,valid_1024_support,complete,valid_support.json,
V6_07_V5best_P1i_seed1_reliable_B24,1,valid_1024_to_full_field,complete,all_valid_fullfield.json,
V6_07_V5best_P1i_seed1_reliable_B24,1,reload,complete,independent_replay.json and per-checkpoint reload JSON,
V6_07_V5best_P1i_seed1_reliable_B24,1,timing,not_run,,same-host timing absent
V6_07_V5best_P1i_seed1_reliable_B24,1,cross_resolution,not_run,,anchor-derived full-N query absent
V6_08_V5best_P1i_seed2_reliable_B24,2,training_bundle,complete,v6_p1i_three_seed_artifact_manifest.json,
V6_08_V5best_P1i_seed2_reliable_B24,2,checkpoint_bundle,complete,point-global e587 plus sample-first/base/final/latest hashes frozen,
V6_08_V5best_P1i_seed2_reliable_B24,2,valid_1024_support,complete,valid_support.json,
V6_08_V5best_P1i_seed2_reliable_B24,2,valid_1024_to_full_field,complete,all_valid_fullfield.json,
V6_08_V5best_P1i_seed2_reliable_B24,2,reload,complete,independent_replay.json and per-checkpoint reload JSON,
V6_08_V5best_P1i_seed2_reliable_B24,2,timing,not_run,,same-host timing absent
V6_08_V5best_P1i_seed2_reliable_B24,2,cross_resolution,not_run,,anchor-derived full-N query absent
ALL,0-2,p1i_anchor_query_adapter,missing,,required before execution
ALL,0-2,per_support_graph_cache,missing,,required before timing claims
ALL,0-2,mandatory_resolution_results,missing,,4096/8192/16384 valid-only not run
ALL,0-2,optional_32768,eligible_not_run,1024-to-full-field prerequisite exists,optional only
