legacy_id,canonical_id,title,doi,url,source_registry,relationship
P1I3-L01,V6-LIT-001,DeepOHeat: Operator Learning-based Ultra-fast Thermal Simulation in 3D-IC Design,,https://arxiv.org/abs/2302.12949,v3_literature_contract,canonicalized_unique_source
P1I3-L02,V6-LIT-002,DeepOHeat-v1: Efficient Operator Learning for Fast and Trustworthy Thermal Simulation and Optimization in 3D-IC Design,,https://arxiv.org/abs/2504.03955,v3_literature_contract,canonicalized_unique_source
P1I3-L03,V6-LIT-003,Self-Attention to Operator Learning-based 3D-IC Thermal Simulation,,https://arxiv.org/abs/2510.15968,v3_literature_contract,canonicalized_unique_source
P1I3-L04,V6-LIT-004,Quasi-3D Thermal Simulation of Integrated Circuit Systems in Packages,10.3390/en13123054,https://www.mdpi.com/1996-1073/13/12/3054,v3_literature_contract,canonicalized_unique_source
P1I3-L05,V6-LIT-005,Anisotropic thermal conductivity of high bandwidth memory,,https://arxiv.org/abs/2303.06785,v3_literature_contract,canonicalized_unique_source
P1I3-L06,V6-LIT-006,Thermal Implications of Non-Uniform Power in BSPDN-Enabled 2.5D/3D Chiplet-based Systems-in-Package using Nanosheet Technology,,https://arxiv.org/abs/2508.02284,v3_literature_contract,canonicalized_unique_source
P1I3-L07,V6-LIT-007,Local measurements of flow boiling heat transfer on hot spots in 3D compatible radial microchannels,,https://research.ibm.com/publications/local-measurements-of-flow-boiling-heat-transfer-on-hot-spots-in-3d-compatible-radial-microchannels,v3_literature_contract,canonicalized_unique_source
P1I3-L08,V6-LIT-008,Thermal Simulation of FCBGA Package with Heat Sink,,https://www.comsol.com/paper/thermal-simulation-of-fcbga-package-with-heat-sink-19729,v3_literature_contract,canonicalized_unique_source
P1I3-L09,V6-LIT-009,"Modeling, Analysis, Design, and Tests for Electronics Packaging beyond Moore, Chapter 3",,https://www.sciencedirect.com/science/article/pii/B9780081025321000032,v3_literature_contract,canonicalized_unique_source
P1I-L01,V6-LIT-009,"Modeling, Analysis, Design, and Tests for Electronics Packaging beyond Moore, Chapter 3",,https://www.sciencedirect.com/science/article/pii/B9780081025321000032,legacy_literature,exact_same_source
P1I-L02,V6-LIT-004,Quasi-3D Thermal Simulation of Integrated Circuit Systems in Packages,10.3390/en13123054,https://doi.org/10.3390/en13123054,legacy_literature,exact_same_source
P1I-L03,V6-LIT-010,Temperature-Aware Microarchitecture: Modeling and Implementation,,https://www.cs.virginia.edu/~skadron/Papers/hotspot_tc08.pdf,legacy_literature,canonicalized_unique_source
P1I-L04,V6-LIT-011,Compact Thermal Modelling Tool for Fast Design Space Exploration of 3D ICs with Integrated Microchannels,10.3390/en13092217,https://doi.org/10.3390/en13092217,legacy_literature,canonicalized_unique_source
P1I-L05,V6-LIT-012,3D-ICE 4.0: Accurate and efficient thermal modeling for 2.5D/3D heterogeneous chiplet systems,,https://infoscience.epfl.ch/entities/publication/12080437-8e93-46c4-a15f-b6020057d1ab,legacy_literature,canonicalized_unique_source
