layer_id,background_kx_W_mK,background_ky_W_mK,background_kz_W_mK,sampling_latent,distribution,sample_id
pcb_fr4_equivalent,0.679242524100931,0.679242524100931,0.2547159465378491,0.13334480300545692,correlated_log_uniform_axes,v6p1i15_0000
bt_substrate_with_vias,0.23234634227634338,0.23234634227634338,0.5692485385770413,0.8359087584540248,correlated_log_uniform_axes,v6p1i15_0000
silicon_interposer_tsv_0p1,147.33990202657878,147.33990202657878,151.89655236434191,0.9113300675526261,correlated_linear_axes,v6p1i15_0000
bump_underfill_under_interposer,0.744866340098618,0.744866340098618,6.083075110805379,0.9846098767593503,correlated_log_uniform_axes,v6p1i15_0000
silicon_die_lower,105.27303046546876,105.27303046546876,105.27303046546876,0.10546060930937529,isotropic_linear,v6p1i15_0000
tim_between_dies,5.182843147695619,5.182843147695619,5.182843147695619,0.7863536449149251,isotropic_log_uniform,v6p1i15_0000
silicon_die_upper,113.70544997043908,113.70544997043908,113.70544997043908,0.27410899940878153,isotropic_linear,v6p1i15_0000
tim_to_spreader,2.5392902809912328,2.5392902809912328,2.5392902809912328,0.3738779444247484,isotropic_log_uniform,v6p1i15_0000
spreader,387.1473705722019,387.1473705722019,387.1473705722019,0.14315803814679384,isotropic_linear,v6p1i15_0000
pcb_fr4_equivalent,0.9466722860386129,0.9466722860386129,0.35500210726447984,0.8772039338946342,correlated_log_uniform_axes,v6p1i15_0001
bt_substrate_with_vias,0.18708826450345087,0.18708826450345087,0.45836624803345466,0.3504620501771569,correlated_log_uniform_axes,v6p1i15_0001
silicon_interposer_tsv_0p1,124.67705366201699,124.67705366201699,125.45656260568649,0.1559017887338996,correlated_linear_axes,v6p1i15_0001
bump_underfill_under_interposer,0.5161349252944045,0.5161349252944045,4.215101889904304,0.16263546515256166,correlated_log_uniform_axes,v6p1i15_0001
silicon_die_lower,147.28804798796773,147.28804798796773,147.28804798796773,0.9457609597593546,isotropic_linear,v6p1i15_0001
tim_between_dies,3.0528234577814866,3.0528234577814866,3.0528234577814866,0.480358662083745,isotropic_log_uniform,v6p1i15_0001
silicon_die_upper,128.90276508405805,128.90276508405805,128.90276508405805,0.5780553016811609,isotropic_linear,v6p1i15_0001
tim_to_spreader,4.305362469060778,4.305362469060778,4.305362469060778,0.6791154751554132,isotropic_log_uniform,v6p1i15_0001
spreader,397.4393836641684,397.4393836641684,397.4393836641684,0.8292922442778945,isotropic_linear,v6p1i15_0001
pcb_fr4_equivalent,0.8741562248702252,0.8741562248702252,0.3278085843263344,0.6986330738291144,correlated_log_uniform_axes,v6p1i15_0002
bt_substrate_with_vias,0.20071677595239432,0.20071677595239432,0.49175610108336615,0.5080160796642303,correlated_log_uniform_axes,v6p1i15_0002
silicon_interposer_tsv_0p1,135.00114700756967,135.00114700756967,137.50133817549795,0.5000382335856557,correlated_linear_axes,v6p1i15_0002
bump_underfill_under_interposer,0.6181743192644756,0.6181743192644756,5.04842360732655,0.5668646534904838,correlated_log_uniform_axes,v6p1i15_0002
silicon_die_lower,127.60850824415684,127.60850824415684,127.60850824415684,0.5521701648831367,isotropic_linear,v6p1i15_0002
tim_between_dies,1.5426521739480261,1.5426521739480261,1.5426521739480261,0.08575019892305136,isotropic_log_uniform,v6p1i15_0002
silicon_die_upper,105.68912434391677,105.68912434391677,105.68912434391677,0.11378248687833548,isotropic_linear,v6p1i15_0002
tim_to_spreader,5.030626361245793,5.030626361245793,5.030626361245793,0.7691201018169522,isotropic_log_uniform,v6p1i15_0002
spreader,394.20828415546566,394.20828415546566,394.20828415546566,0.6138856103643775,isotropic_linear,v6p1i15_0002
pcb_fr4_equivalent,0.7785614115303253,0.7785614115303253,0.29196052932387195,0.439133676700294,correlated_log_uniform_axes,v6p1i15_0003
bt_substrate_with_vias,0.16402974398251868,0.16402974398251868,0.40187287275717076,0.05573533661663532,correlated_log_uniform_axes,v6p1i15_0003
silicon_interposer_tsv_0p1,129.2171894107014,129.2171894107014,130.7533876458183,0.3072396470233798,correlated_linear_axes,v6p1i15_0003
bump_underfill_under_interposer,0.54107105740296,0.54107105740296,4.41874696879084,0.2683575442060828,correlated_log_uniform_axes,v6p1i15_0003
silicon_die_lower,119.8677618522197,119.8677618522197,119.8677618522197,0.397355237044394,isotropic_linear,v6p1i15_0003
tim_between_dies,4.090302441367483,4.090302441367483,4.090302441367483,0.6494908556342125,isotropic_log_uniform,v6p1i15_0003
silicon_die_upper,139.25148863345385,139.25148863345385,139.25148863345385,0.7850297726690769,isotropic_linear,v6p1i15_0003
tim_to_spreader,1.9226112889813938,1.9226112889813938,1.9226112889813938,0.2130428608506918,isotropic_log_uniform,v6p1i15_0003
spreader,391.4338444499299,391.4338444499299,391.4338444499299,0.42892296332865953,isotropic_linear,v6p1i15_0003
pcb_fr4_equivalent,0.7480092213059104,0.7480092213059104,0.2805034579897164,0.3494323017075658,correlated_log_uniform_axes,v6p1i15_0004
bt_substrate_with_vias,0.21848595217709357,0.21848595217709357,0.5352905828338793,0.6980885248631239,correlated_log_uniform_axes,v6p1i15_0004
silicon_interposer_tsv_0p1,121.83333308435977,121.83333308435977,122.13888859841973,0.06111110281199217,correlated_linear_axes,v6p1i15_0004
bump_underfill_under_interposer,0.5731697674626243,0.5731697674626243,4.680886434278098,0.397492659278214,correlated_log_uniform_axes,v6p1i15_0004
silicon_die_lower,117.97375935129821,117.97375935129821,117.97375935129821,0.35947518702596426,isotropic_linear,v6p1i15_0004
tim_between_dies,7.450598928526172,7.450598928526172,7.450598928526172,0.9961793916299939,isotropic_log_uniform,v6p1i15_0004
silicon_die_upper,110.99802148528397,110.99802148528397,110.99802148528397,0.21996042970567942,isotropic_linear,v6p1i15_0004
tim_to_spreader,7.2951309188041975,7.2951309188041975,7.2951309188041975,0.9839882599189878,isotropic_log_uniform,v6p1i15_0004
spreader,394.9211913952604,394.9211913952604,394.9211913952604,0.6614127596840262,isotropic_linear,v6p1i15_0004
pcb_fr4_equivalent,0.8396923624023712,0.8396923624023712,0.31488463590088916,0.6085038343444467,correlated_log_uniform_axes,v6p1i15_0005
bt_substrate_with_vias,0.17856907715005071,0.17856907715005071,0.43749423901762424,0.24603376910090446,correlated_log_uniform_axes,v6p1i15_0005
silicon_interposer_tsv_0p1,142.61775023303926,142.61775023303926,146.38737527187914,0.7539250077679753,correlated_linear_axes,v6p1i15_0005
bump_underfill_under_interposer,0.6528612763517593,0.6528612763517593,5.331700423539366,0.6891943784430623,correlated_log_uniform_axes,v6p1i15_0005
silicon_die_lower,135.33059461042285,135.33059461042285,135.33059461042285,0.706611892208457,isotropic_linear,v6p1i15_0005
tim_between_dies,2.233165016516994,2.233165016516994,2.233165016516994,0.29960901476442814,isotropic_log_uniform,v6p1i15_0005
silicon_die_upper,146.4052108116448,146.4052108116448,146.4052108116448,0.9281042162328959,isotropic_linear,v6p1i15_0005
tim_to_spreader,1.4185574502220533,1.4185574502220533,1.4185574502220533,0.03726694546639919,isotropic_log_uniform,v6p1i15_0005
spreader,390.2569928346202,390.2569928346202,390.2569928346202,0.3504661889746785,isotropic_linear,v6p1i15_0005
pcb_fr4_equivalent,0.9094570622377998,0.9094570622377998,0.3410463983391749,0.7873398270457983,correlated_log_uniform_axes,v6p1i15_0006
bt_substrate_with_vias,0.23862009393209296,0.23862009393209296,0.5846192301336279,0.8956093611195683,correlated_log_uniform_axes,v6p1i15_0006
silicon_interposer_tsv_0p1,132.0605103392154,132.0605103392154,134.0705953957513,0.40201701130717993,correlated_linear_axes,v6p1i15_0006
bump_underfill_under_interposer,0.48744267414431486,0.48744267414431486,3.9807818388452376,0.03447688277810812,correlated_log_uniform_axes,v6p1i15_0006
silicon_die_lower,139.7727059200406,139.7727059200406,139.7727059200406,0.7954541184008121,isotropic_linear,v6p1i15_0006
tim_between_dies,1.6930484542541169,1.6930484542541169,1.6930484542541169,0.13953195419162512,isotropic_log_uniform,v6p1i15_0006
silicon_die_upper,119.38746902160347,119.38746902160347,119.38746902160347,0.3877493804320693,isotropic_linear,v6p1i15_0006
tim_to_spreader,2.556465491341411,2.556465491341411,2.556465491341411,0.3777751047164202,isotropic_log_uniform,v6p1i15_0006
spreader,385.98596803378314,385.98596803378314,385.98596803378314,0.06573120225220919,isotropic_linear,v6p1i15_0006
pcb_fr4_equivalent,0.6526650086301995,0.6526650086301995,0.24474937823632475,0.04390854574739933,correlated_log_uniform_axes,v6p1i15_0007
bt_substrate_with_vias,0.19215951867967734,0.19215951867967734,0.47079082076520956,0.41039061453193426,correlated_log_uniform_axes,v6p1i15_0007
silicon_interposer_tsv_0p1,139.7238182555884,139.7238182555884,143.01112129818648,0.6574606085196137,correlated_linear_axes,v6p1i15_0007
bump_underfill_under_interposer,0.7062138600580711,0.7062138600580711,5.7674131904742465,0.8652098691090941,correlated_log_uniform_axes,v6p1i15_0007
silicon_die_lower,106.88549601472914,106.88549601472914,106.88549601472914,0.13770992029458284,isotropic_linear,v6p1i15_0007
tim_between_dies,3.5202872890538774,3.5202872890538774,3.5202872890538774,0.5627277046442032,isotropic_log_uniform,v6p1i15_0007
silicon_die_upper,135.6604704633355,135.6604704633355,135.6604704633355,0.7132094092667103,isotropic_linear,v6p1i15_0007
tim_to_spreader,3.5872790034746687,3.5872790034746687,3.5872790034746687,0.573626191355288,isotropic_log_uniform,v6p1i15_0007
spreader,398.1382151180878,398.1382151180878,398.1382151180878,0.8758810078725219,isotropic_linear,v6p1i15_0007
pcb_fr4_equivalent,0.658133160339925,0.658133160339925,0.24679993512747184,0.06260343547910452,correlated_log_uniform_axes,v6p1i15_0008
bt_substrate_with_vias,0.2083747403649536,0.2083747403649536,0.5105181138941364,0.5919155590236187,correlated_log_uniform_axes,v6p1i15_0008
silicon_interposer_tsv_0p1,133.93452999182045,133.93452999182045,136.25695165712386,0.4644843330606818,correlated_linear_axes,v6p1i15_0008
bump_underfill_under_interposer,0.6363677098322591,0.6363677098322591,5.1970029636301165,0.6318588433787227,correlated_log_uniform_axes,v6p1i15_0008
silicon_die_lower,144.1114790737629,144.1114790737629,144.1114790737629,0.8822295814752579,isotropic_linear,v6p1i15_0008
tim_between_dies,4.644121390818224,4.644121390818224,4.644121390818224,0.7229033093899488,isotropic_log_uniform,v6p1i15_0008
silicon_die_upper,106.56014527194202,106.56014527194202,106.56014527194202,0.1312029054388404,isotropic_linear,v6p1i15_0008
tim_to_spreader,6.297384234241927,6.297384234241927,6.297384234241927,0.8989615300670266,isotropic_log_uniform,v6p1i15_0008
spreader,396.1536009609699,396.1536009609699,396.1536009609699,0.743573397397995,isotropic_linear,v6p1i15_0008
pcb_fr4_equivalent,0.924072750080316,0.924072750080316,0.34652728128011845,0.8230635030195117,correlated_log_uniform_axes,v6p1i15_0009
bt_substrate_with_vias,0.16794684977508315,0.16794684977508315,0.4114697819489538,0.10861560516059399,correlated_log_uniform_axes,v6p1i15_0009
silicon_interposer_tsv_0p1,141.59806500189006,141.59806500189006,145.19774250220507,0.7199355000630021,correlated_linear_axes,v6p1i15_0009
bump_underfill_under_interposer,0.5880133332482284,0.5880133332482284,4.802108888193864,0.4547823993489146,correlated_log_uniform_axes,v6p1i15_0009
silicon_die_lower,101.80347193963826,101.80347193963826,101.80347193963826,0.03606943879276514,isotropic_linear,v6p1i15_0009
tim_between_dies,1.4292372504082789,1.4292372504082789,1.4292372504082789,0.0416031489148736,isotropic_log_uniform,v6p1i15_0009
silicon_die_upper,147.70654495805502,147.70654495805502,147.70654495805502,0.9541308991611004,isotropic_linear,v6p1i15_0009
tim_to_spreader,1.5256021952257663,1.5256021952257663,1.5256021952257663,0.07932494767010212,isotropic_log_uniform,v6p1i15_0009
spreader,389.6107510756701,389.6107510756701,389.6107510756701,0.3073834050446749,isotropic_linear,v6p1i15_0009
pcb_fr4_equivalent,0.801383418075729,0.801383418075729,0.3005187817783983,0.5038714520633221,correlated_log_uniform_axes,v6p1i15_0010
bt_substrate_with_vias,0.223784345023831,0.223784345023831,0.5482716453083859,0.7517784526571631,correlated_log_uniform_axes,v6p1i15_0010
silicon_interposer_tsv_0p1,123.70885477401316,123.70885477401316,124.32699723634869,0.12362849246710539,correlated_linear_axes,v6p1i15_0010
bump_underfill_under_interposer,0.6859768760286389,0.6859768760286389,5.602144487567217,0.8000630373135209,correlated_log_uniform_axes,v6p1i15_0010
silicon_die_lower,123.14280583523214,123.14280583523214,123.14280583523214,0.4628561167046428,isotropic_linear,v6p1i15_0010
tim_between_dies,2.6437546551045625,2.6437546551045625,2.6437546551045625,0.39718541875481606,isotropic_log_uniform,v6p1i15_0010
silicon_die_upper,123.94589115865529,123.94589115865529,123.94589115865529,0.4789178231731057,isotropic_linear,v6p1i15_0010
tim_to_spreader,3.104206328226892,3.104206328226892,3.104206328226892,0.4900082852691412,isotropic_log_uniform,v6p1i15_0010
spreader,385.46034722588956,385.46034722588956,385.46034722588956,0.030689815059304237,isotropic_linear,v6p1i15_0010
pcb_fr4_equivalent,0.7184283369588705,0.7184283369588705,0.26941062635957647,0.2590211182832718,correlated_log_uniform_axes,v6p1i15_0011
bt_substrate_with_vias,0.1827435324704228,0.1827435324704228,0.44772165455253593,0.2978125335648656,correlated_log_uniform_axes,v6p1i15_0011
