sample_id,split_role,sobol_index,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,total_source_volume_m3,mean_q_W_m3,max_q_W_m3,mean_local_k_W_mK,peak_deltaT_K,mean_deltaT_K,cv_rms_deltaT_K,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,cg_iterations,minimum_support_nodes_per_region,coordinate_sha256,support_index_sha256
v6p1i_0000,valid_iid,0,5.167088522575796,647.9483960198212,61.58692427810802,3,3,5.572509765624997e-10,9233749827.209076,10036522276.178669,54.05704717147763,92.96955061284564,69.53385176581673,69.96615042311596,0.9381593310926852,0.0618406688901454,1.716935756796746e-11,9.08872395689556e-11,1724,30,c1c5e6192d2fb14971f4666756935a10a6c173bf09fd3f5dffb106c5afa6782e,ec60a0a49c2157e997a5d6abb5e0308ea59d3ce144d847beb42c530fee86ae07
v6p1i_0001,train,1,4.137042029760778,1447.9717753330435,112.10059802062179,9,2,1.255569458007812e-09,3454647723.413679,5419700008.791888,44.32049697774824,32.47521092887001,24.892517455920153,25.15731548151781,0.955697207135148,0.04430279285756029,7.2916920153427e-12,1.0076296870021192e-10,1448,12,8019158276c744bc6565f33af9adc3d29ecb8c431893a1a16e2372088af108e3,1d23090ce4443e43ccd1982bc71b3d8f84bf5a012c60b4aeb30ac369b86f8924
v6p1i_0002,train,2,2.514292411506176,1832.2912241675258,125.24699491588834,6,7,8.129882812499996e-10,3181191216.052263,3773062571.9676595,82.54493661470188,17.134701325151866,11.883446642016729,12.040442363907292,0.9622874099374249,0.037712590043649435,1.8925638413851358e-11,1.0800620817517959e-10,1364,10,eee58339834f17682d737e6b7007e669d85feb6dc3080844a4168914569824fe,7c692d77c8ecb8a542ed8b2d1867bdea4fa707876eef57b75d32b69c38eccdb0
v6p1i_0003,train,3,6.7947616800665855,819.1967151215204,21.75935134809864,8,8,1.0393524169921868e-09,6458469455.383688,8558838324.41624,128.91807729981514,92.61021626882496,79.60589732986742,79.67949532929484,0.9771645904059109,0.022835409602812457,-8.723325805448176e-12,9.295549390549013e-11,1610,5,6cd763e4a671d15bdb51445ccb6c9b863811af3731740c91770ec684f8f4e672,41d1039166aa350a273faeb769f2eb547670ddf1206810d31c8032704154bf15
v6p1i_0004,train,4,7.186455335468053,1199.778435919456,151.32134806970177,5,2,8.46939086914062e-10,8538101159.687796,9611570133.211367,70.82243553338743,69.01993770504964,48.97641796263698,49.99225889842785,0.9465647144928628,0.05343528551025875,-3.1215821816505614e-12,8.99370716522816e-11,1344,27,8645fe6fb1b177ab42681c85891235c90e3a56668bbb935cf4e637676145e3ab,33368bca3f4ef76979f397bdf6ce56ddf6134140014fb8446d785ea219d21591
v6p1i_0005,valid_iid,5,3.5288498364388947,536.2492812120639,27.23570309896472,7,4,9.041595458984369e-10,3916364196.40735,4871720910.477618,224.9057689284103,68.73018112041132,61.59936556031944,61.653973570776145,0.9571419443414427,0.042858055722344614,-6.378732357790356e-11,8.556857001361508e-11,1594,9,771c80cc5f39a2abda8ba4464f897bb3e2af5da7bbb86e2f02fdb0acac016f3a,ce52cf3fd0e51f9ce78a42907595a11cb6a6daa10fba8bce5bf7c908dde987fb
v6p1i_0006,train,6,4.526904779486358,989.4440164672937,43.34902898447667,4,7,6.276702880859374e-10,7246944665.061344,11011443061.385187,135.61958032504626,58.67062759915069,42.42660845710922,42.56900614962613,0.9666141911045034,0.03338580891778485,-2.2288312520985352e-11,8.956522453912435e-11,1590,11,8daf58dce74da89d538ca701e1d019dcfff76b259c69ac99be59a89f5bf159e2,c578a91984fd1d74fdbc1d326668eda7e327838e9619a51c64ba6b695d011a15
v6p1i_0007,train,7,6.183477151207625,2212.1993317993183,76.16274789109718,10,5,1.4614105224609368e-09,4201405719.461633,6333808659.4765215,85.32172801188807,32.5756126574567,25.67095044441036,25.847379547084973,0.9771262513716599,0.0228737486317469,-3.40675981398333e-12,1.2702836746391775e-10,1465,6,1d295c31aec276cf926722e19a5aea898a5cb922209e50c152d40e40cbecf2cd,3fa7992a589b38411fb0dbffa2330419bbbed5e17f9fdc43a236562164578ae6
v6p1i_0008,train,8,5.459875911474228,829.0443093602742,70.2141255874847,7,5,1.046829223632812e-09,5417164073.846061,7373489977.152738,141.14468784597932,69.86304062000096,57.09464568937801,57.499101904350226,0.9466740031160343,0.053325996873946804,1.0018831469547285e-11,7.841846657500835e-11,1336,6,4ce80b6d150b5daf434744f2e13adc759652a69f1565ceddb389bf05b2c65c3e,916e8dad1e6553d5dfa8c1c87b02ad4c51a0ee310d523ae9a9b508ac11102c59
v6p1i_0009,train,9,4.000603556632996,1854.1351314746182,38.639870907042564,5,2,6.308746337890622e-10,6226064549.914176,7699898788.859917,75.66120952124918,31.020097232313333,20.942345849809694,21.00161868275927,0.98273713234514,0.017262867711971833,-5.711190602143499e-11,1.1813674462848537e-10,1502,26,9315f53bb8bc53069b7b3ba93ab05e9b6cbd589bd61d6cb27626efe2104cc24e,8a9f3fdf9a4b31e6d51a853964bb9e8738b5e9e95510a4aa71ebaed2de6a9b00
