parameter,metric,pearson_r,pearson_p,spearman_rho,spearman_p
package_total_power_W,deltaT_max_K,0.7520387482545782,1.4505012988091398e-24,0.7969179179637428,2.3234924397214728e-29
package_total_power_W,deltaT_mean_K,0.7103760718170363,5.976899104804583e-21,0.7510758102911553,1.790872261909385e-24
package_total_power_W,deltaT_cv_rms_K,0.7106029024056528,5.734992121789452e-21,0.7510529207104925,1.7998471910146153e-24
top_h_W_m2K,deltaT_max_K,-0.04568616841062381,0.6085971056758518,-0.03543879326130745,0.6912673259830143
top_h_W_m2K,deltaT_mean_K,-0.10886828544725517,0.22123118832717045,-0.10777559055118109,0.22592961540848286
top_h_W_m2K,deltaT_cv_rms_K,-0.11132320912183044,0.21092877067881233,-0.1098013184398462,0.21727439760197156
bottom_h_W_m2K,deltaT_max_K,0.14134367048482382,0.11151182511495952,0.14425013733748399,0.10426860729603477
bottom_h_W_m2K,deltaT_mean_K,0.03288653143802929,0.7124867051529566,0.04290651895257279,0.6305936664040184
bottom_h_W_m2K,deltaT_cv_rms_K,0.05170203043696579,0.5621901963124081,0.05360739791247024,0.5478524874721151
total_source_volume_m3,deltaT_max_K,0.24799021092014592,0.0047666632438703085,0.21759407617652446,0.013614220678589714
total_source_volume_m3,deltaT_mean_K,0.35524459076186166,3.8760679816913586e-05,0.32387612158945245,0.00019198835492471864
total_source_volume_m3,deltaT_cv_rms_K,0.3558241057427881,3.757058537710192e-05,0.3182567295367149,0.0002512264737338674
mean_q_W_m3,deltaT_max_K,0.5114517846163074,6.854728028671182e-10,0.5186721754257462,3.574652203095764e-10
mean_q_W_m3,deltaT_mean_K,0.37842767944195943,1.0609762127796857e-05,0.3986849935909174,3.1450759078490185e-06
mean_q_W_m3,deltaT_cv_rms_K,0.3784970062887067,1.0567140383841317e-05,0.40274217176341326,2.441252041456169e-06
max_q_W_m3,deltaT_max_K,0.5205710988651002,3.004445609757458e-10,0.5376304706097783,6.003711804278319e-11
max_q_W_m3,deltaT_mean_K,0.39365865776922265,4.284834588067493e-06,0.4203328145028383,7.825996219763643e-07
max_q_W_m3,deltaT_cv_rms_K,0.3935417061590317,4.315517780440642e-06,0.42435565830433986,5.978005505826493e-07
mean_local_k_W_mK,deltaT_max_K,-0.071504334071888,0.42251208450123307,-0.050746200329609956,0.5694495511631583
mean_local_k_W_mK,deltaT_mean_K,-0.07024592866082527,0.430743674746516,-0.048039507416224134,0.590242690141082
mean_local_k_W_mK,deltaT_cv_rms_K,-0.07186246189134537,0.4201862218798647,-0.04758743819813221,0.593748924208522
source_count,deltaT_max_K,-0.11481301043674533,0.1968804291650936,-0.11018148282923142,0.2156767098620855
source_count,deltaT_mean_K,-0.0019721560693463196,0.9823733402943646,-0.0020301445747429574,0.9818551399153475
source_count,deltaT_cv_rms_K,-0.0022022041430063213,0.9803176161800936,-0.007566902505860114,0.9324433499708511
k_region_count,deltaT_max_K,0.021748064220274005,0.8074892226899231,0.023055380536437117,0.7961619660922329
k_region_count,deltaT_mean_K,0.015069498083445085,0.8659311469234379,0.018876375910853616,0.8325083220247275
k_region_count,deltaT_cv_rms_K,0.013896878743640512,0.876277063567774,0.019570466644514544,0.8264447757650161
continuous_severity,deltaT_max_K,0.9842271101529708,1.186738792166033e-96,0.9849329335286576,6.779193565674777e-98
continuous_severity,deltaT_mean_K,0.9759444117602882,3.248726938043485e-85,0.978804248306171,1.2220901688577019e-88
continuous_severity,deltaT_cv_rms_K,0.9790239347376536,6.382377954422008e-89,0.9805209668558872,6.297253236700983e-91
background_kz_bt_substrate_with_vias_W_mK,deltaT_max_K,-0.04419719368259653,0.620338178692361,-0.048417185497161695,0.5873206748220099
background_kz_bt_substrate_with_vias_W_mK,deltaT_mean_K,-0.037171707983737576,0.6769941361321441,-0.041836431056583044,0.6391501594998388
background_kz_bt_substrate_with_vias_W_mK,deltaT_cv_rms_K,-0.038930291952151246,0.6626257882625226,-0.04038866507965574,0.6508023583683947
background_kz_bump_underfill_under_interposer_W_mK,deltaT_max_K,-0.017320992052147946,0.8461313782422425,-0.020314502838308,0.8199562542003784
