sample_id,split_role,family,block_index,layer,k_x_W_mK,k_y_W_mK,k_z_W_mK,control_volume_count,source_power_W,power_fraction,source_volume_m3,surface_power_density_W_cm2,q_W_m3
v6p1i5_0000,train,k,0,silicon_die_lower,25.6510563340707,25.6510563340707,25.6510563340707,640,,,,,
v6p1i5_0000,train,k,1,silicon_die_lower,40.61607150013276,40.61607150013276,40.61607150013276,504,,,,,
v6p1i5_0000,train,k,2,silicon_die_upper,36.72764910131888,36.72764910131888,36.72764910131888,576,,,,,
v6p1i5_0000,train,k,3,silicon_die_lower,308.0110457119044,308.0110457119044,308.0110457119044,800,,,,,
v6p1i5_0000,train,q,0,silicon_die_upper,,,,392,2.034307033660191,0.23578708969054707,1.757049560546873e-10,169.67733036794868,11577971841.767645
v6p1i5_0000,train,q,1,silicon_die_upper,,,,432,3.6445652375042594,0.4224246469778516,1.9363403320312483e-10,281.42970814646776,18821924933.41839
v6p1i5_0000,train,q,2,silicon_die_lower,,,,504,2.948856398501337,0.3417882633316014,2.3071289062499996e-10,190.1793986021236,12781498209.800507
v6p1i5_0001,test_iid,k,0,silicon_die_upper,126.11809755880789,126.11809755880789,126.11809755880789,648,,,,,
v6p1i5_0001,test_iid,k,1,silicon_die_lower,32.60038861545114,32.60038861545114,32.60038861545114,704,,,,,
v6p1i5_0001,test_iid,q,0,silicon_die_lower,,,,384,0.7796772180914611,0.15340220355126868,1.7578124999999987e-10,63.231471317717606,4435497062.920315
v6p1i5_0001,test_iid,q,1,silicon_die_lower,,,,432,0.5680673372608422,0.111767766556817,1.9775390625000012e-10,42.915520622671416,2872597300.5190225
v6p1i5_0001,test_iid,q,2,silicon_die_upper,,,,288,0.6695555910404035,0.1317356730226037,1.2908935546874982e-10,68.93788727215681,5186760663.643493
v6p1i5_0001,test_iid,q,3,silicon_die_upper,,,,320,0.7430693909376066,0.1461995801805721,1.4343261718749976e-10,65.8545620296187,5180616553.668837
v6p1i5_0001,test_iid,q,4,silicon_die_upper,,,,384,0.7315148417084402,0.1439262120845611,1.7211914062499995e-10,69.53620777867451,4250049349.840811
v6p1i5_0001,test_iid,q,5,silicon_die_lower,,,,512,0.94880472073075,0.18667819390211984,2.343749999999998e-10,65.74153131507339,4048233475.1178694
v6p1i5_0001,test_iid,q,6,silicon_die_upper,,,,384,0.6418794686206136,0.1262903707020575,1.7211914062499988e-10,51.821124742891854,3729274189.319199
v6p1i5_0002,train,k,0,silicon_die_upper,144.75112518433136,144.75112518433136,144.75112518433136,384,,,,,
v6p1i5_0002,train,k,1,silicon_die_upper,68.74338205468275,68.74338205468275,68.74338205468275,704,,,,,
v6p1i5_0002,train,k,2,silicon_die_upper,158.64625258962067,158.64625258962067,158.64625258962067,640,,,,,
v6p1i5_0002,train,k,3,silicon_die_lower,29.6744776607039,29.6744776607039,29.6744776607039,528,,,,,
v6p1i5_0002,train,q,0,silicon_die_upper,,,,576,1.7363621827312585,0.2877078189316615,2.581787109374998e-10,101.20216714620403,6725427423.609684
v6p1i5_0002,train,q,1,silicon_die_upper,,,,280,1.0273681676106503,0.17023053006034386,1.255035400390624e-10,111.83818557589673,8185969633.134545
v6p1i5_0002,train,q,2,silicon_die_upper,,,,336,1.2337232362900517,0.20442268612415318,1.5060424804687488e-10,114.75051714169095,8191822291.135247
v6p1i5_0002,train,q,3,silicon_die_upper,,,,392,1.3797628934532153,0.22862083536848307,1.7570495605468746e-10,114.64370132741071,7852726095.123747
v6p1i5_0002,train,q,4,silicon_die_lower,,,,360,0.6579416507534307,0.10901812951535825,1.6479492187499992e-10,58.27293842098118,3992487409.6089683
v6p1i5_0003,train,k,0,silicon_die_upper,366.82052161399014,366.82052161399014,366.82052161399014,792,,,,,
v6p1i5_0003,train,k,1,silicon_die_lower,184.91323543069342,184.91323543069342,184.91323543069342,704,,,,,
v6p1i5_0003,train,k,2,silicon_die_lower,288.28981366964325,288.28981366964325,288.28981366964325,384,,,,,
v6p1i5_0003,train,k,3,silicon_die_lower,63.42769071739355,63.42769071739355,63.42769071739355,576,,,,,
v6p1i5_0003,train,q,0,silicon_die_upper,,,,240,0.37368140858722615,0.05749616864091955,1.0757446289062506e-10,49.07785134945802,3473699970.6627574
v6p1i5_0003,train,q,1,silicon_die_lower,,,,448,0.9734382605884745,0.14977724100302364,2.0507812499999998e-10,70.1521236367082,4746670375.440943
v6p1i5_0003,train,q,2,silicon_die_upper,,,,432,0.6502606863477667,0.1000518014106237,1.9363403320312477e-10,53.35555611723199,3358194195.467871
v6p1i5_0003,train,q,3,silicon_die_lower,,,,432,0.6601715159933591,0.10157672269270936,1.9775390624999997e-10,59.22102443023542,3338348801.8627152
v6p1i5_0003,train,q,4,silicon_die_upper,,,,336,0.5808417249773916,0.08937071260580859,1.5060424804687485e-10,52.58780436845397,3856741974.4800787
v6p1i5_0003,train,q,5,silicon_die_upper,,,,384,0.8313620875887074,0.12791681280153802,1.7211914062499988e-10,63.87131377629264,4830154767.04021
v6p1i5_0003,train,q,6,silicon_die_upper,,,,432,0.9068043534941823,0.13952467217980777,1.9363403320312483e-10,76.7201569184842,4683083539.053963
v6p1i5_0003,train,q,7,silicon_die_upper,,,,576,0.6394927066131029,0.0983949954670609,2.5817871093749985e-10,38.833294078209796,2476938180.886308
v6p1i5_0003,train,q,8,silicon_die_upper,,,,448,0.883187421201961,0.1358908731985085,2.0080566406249989e-10,58.02572423081742,4398219668.380832
v6p1i5_0004,test_iid,k,0,silicon_die_upper,139.69828463767092,139.69828463767092,139.69828463767092,800,,,,,
v6p1i5_0004,test_iid,k,1,silicon_die_upper,48.0939466541404,48.0939466541404,48.0939466541404,880,,,,,
v6p1i5_0004,test_iid,k,2,silicon_die_lower,236.86230606794547,236.86230606794547,236.86230606794547,576,,,,,
v6p1i5_0004,test_iid,k,3,silicon_die_lower,20.019561496873497,20.019561496873497,20.019561496873497,704,,,,,
v6p1i5_0004,test_iid,k,4,silicon_die_lower,52.27434657569522,52.27434657569522,52.27434657569522,504,,,,,
v6p1i5_0004,test_iid,q,0,silicon_die_lower,,,,288,0.9351584419429642,0.08549567695714251,1.3183593749999995e-10,116.234456036744,7093349959.626635
v6p1i5_0004,test_iid,q,1,silicon_die_upper,,,,432,1.1970683653958536,0.10944046021854825,1.9363403320312488e-10,93.51197255923333,6182117603.98603
v6p1i5_0004,test_iid,q,2,silicon_die_upper,,,,320,1.443331949772482,0.13195479673293364,1.4343261718749987e-10,148.96973970909963,10062787517.05207
v6p1i5_0004,test_iid,q,3,silicon_die_upper,,,,512,1.5663977622100482,0.14320593287492248,2.294921874999999e-10,93.70736700363881,6825494929.800384
v6p1i5_0004,test_iid,q,4,silicon_die_upper,,,,336,0.8675542607520346,0.07931505025602104,1.50604248046875e-10,77.41502952079622,5760489972.912395
v6p1i5_0004,test_iid,q,5,silicon_die_upper,,,,448,2.0667599300594244,0.1889509107795703,2.0080566406249989e-10,147.6366844471558,10292338812.794416
v6p1i5_0004,test_iid,q,6,silicon_die_upper,,,,448,1.665413262506571,0.15225829966905946,2.0080566406249984e-10,135.98226319722068,8293656806.3549185
v6p1i5_0004,test_iid,q,7,silicon_die_lower,,,,336,1.1963947142133233,0.10937887251180228,1.5380859375000008e-10,107.78444933257731,7778464681.615508
v6p1i5_0005,train,k,0,silicon_die_upper,106.57046039850385,106.57046039850385,106.57046039850385,560,,,,,
v6p1i5_0005,train,k,1,silicon_die_upper,191.29010634073776,191.29010634073776,191.29010634073776,720,,,,,
v6p1i5_0005,train,k,2,silicon_die_lower,127.90299700301249,127.90299700301249,127.90299700301249,480,,,,,
v6p1i5_0005,train,k,3,silicon_die_upper,31.651408643894182,31.651408643894182,31.651408643894182,720,,,,,
v6p1i5_0005,train,q,0,silicon_die_lower,,,,448,1.3310058368304907,0.3439017670765047,2.0507812499999998e-10,91.35421274879218,6490237985.306774
v6p1i5_0005,train,q,1,silicon_die_lower,,,,384,0.7840461814366905,0.2025797782433037,1.7578124999999987e-10,64.77698466517619,4460351609.9509535
v6p1i5_0005,train,q,2,silicon_die_lower,,,,448,0.9875854976362103,0.2551697283198884,2.0507812499999992e-10,83.55574815886887,4815654997.997522
v6p1i5_0005,train,q,3,silicon_die_upper,,,,392,0.7676707065443109,0.19834872636030323,1.7570495605468736e-10,72.7960681198784,4369089659.061051
v6p1i5_0006,train,k,0,silicon_die_lower,44.00032433710085,44.00032433710085,44.00032433710085,384,,,,,
v6p1i5_0006,train,k,1,silicon_die_upper,241.59509503797435,241.59509503797435,241.59509503797435,672,,,,,
v6p1i5_0006,train,k,2,silicon_die_lower,30.27325353961469,30.27325353961469,30.27325353961469,432,,,,,
v6p1i5_0006,train,k,3,silicon_die_upper,53.362660010877924,53.362660010877924,53.362660010877924,616,,,,,
v6p1i5_0006,train,k,4,silicon_die_upper,45.28126106380987,45.28126106380987,45.28126106380987,384,,,,,
v6p1i5_0006,train,k,5,silicon_die_lower,54.27905000026932,54.27905000026932,54.27905000026932,384,,,,,
v6p1i5_0006,train,k,6,silicon_die_lower,43.48090016797029,43.48090016797029,43.48090016797029,720,,,,,
v6p1i5_0006,train,k,7,silicon_die_upper,252.36550363411857,252.36550363411857,252.36550363411857,448,,,,,
v6p1i5_0006,train,q,0,silicon_die_lower,,,,504,0.5339959054038059,0.11019919255090625,2.3071289062499994e-10,37.059540211369516,2314547331.7819996
v6p1i5_0006,train,q,1,silicon_die_upper,,,,240,0.3581489588318128,0.07391016612078359,1.075744628906249e-10,48.108871687664106,3329312080.28393
v6p1i5_0006,train,q,2,silicon_die_lower,,,,512,0.9009590448567538,0.18592831566671106,2.3437499999999993e-10,54.222370690636474,3844091924.722151
v6p1i5_0006,train,q,3,silicon_die_upper,,,,512,0.6435661644134872,0.1328108904090196,2.2949218749999987e-10,49.142162501954296,2804305329.1889844
v6p1i5_0006,train,q,4,silicon_die_lower,,,,320,0.48254044136957897,0.09958047706728076,1.4648437499999994e-10,46.926831506339894,3294142746.416327
v6p1i5_0006,train,q,5,silicon_die_upper,,,,384,0.33428967952098976,0.068986395566942,1.7211914062499975e-10,28.027825380901152,1942199329.5290442
v6p1i5_0006,train,q,6,silicon_die_lower,,,,288,0.29054043939764423,0.05995799125237583,1.3183593749999995e-10,36.3734246376477,2203803036.616206
v6p1i5_0006,train,q,7,silicon_die_upper,,,,280,0.4453554529454741,0.09190671841504457,1.255035400390624e-10,46.89134130243366,3548548931.8218374
v6p1i5_0006,train,q,8,silicon_die_upper,,,,384,0.4483304989255359,0.09252067006052903,1.7211914062499993e-10,42.13087948727803,2604768402.2680793
v6p1i5_0006,train,q,9,silicon_die_lower,,,,448,0.40800679080342306,0.0841991828904074,2.0507812499999998e-10,31.57716972425611,1989518827.5366917
v6p1i5_0007,train,k,0,silicon_die_upper,276.2855317805932,276.2855317805932,276.2855317805932,480,,,,,
v6p1i5_0007,train,k,1,silicon_die_lower,62.44666213592389,62.44666213592389,62.44666213592389,792,,,,,
v6p1i5_0007,train,q,0,silicon_die_upper,,,,384,1.3812747122676938,0.18826098180583228,1.7211914062499993e-10,119.42769739674615,8025108115.529754
v6p1i5_0007,train,q,1,silicon_die_lower,,,,448,1.2107352673348577,0.16501729026892734,2.050781249999999e-10,83.86666820003767,5903775779.766167
v6p1i5_0007,train,q,2,silicon_die_upper,,,,392,1.0812992381915396,0.14737579309885038,1.7570495605468746e-10,103.04395751000565,6154062255.677009
v6p1i5_0007,train,q,3,silicon_die_upper,,,,384,1.2298259496162678,0.16761925681310666,1.7211914062499985e-10,117.9891002609156,7145201545.571968
v6p1i5_0007,train,q,4,silicon_die_upper,,,,448,1.3367610351793529,0.18219398551754087,2.0080566406249976e-10,100.18558437457727,6656988693.124177
v6p1i5_0007,train,q,5,silicon_die_lower,,,,576,1.0971244536199023,0.1495326924957424,2.636718749999998e-10,65.8133616052447,4160946075.95104
v6p1i5_0008,train,k,0,silicon_die_upper,221.95789284127324,221.95789284127324,221.95789284127324,640,,,,,
v6p1i5_0008,train,k,1,silicon_die_upper,89.4998708300246,89.4998708300246,89.4998708300246,504,,,,,
v6p1i5_0008,train,k,2,silicon_die_lower,111.27673343926472,111.27673343926472,111.27673343926472,392,,,,,
v6p1i5_0008,train,q,0,silicon_die_lower,,,,336,0.5146216168238367,0.08131378545383484,1.5380859374999997e-10,45.99014951183461,3345857369.064183
