feature,peak_spearman,peak_linear_r2
continuous_severity,0.84907182750412,0.6844907779458733
package_total_power_W,0.75778245742538,0.5285528037140113
top_h_W_m2K,-0.08203625709576999,0.008838448763129336
bottom_h_W_m2K,-0.22327069218091924,0.04854324703266166
source_count,-0.11691787164542396,0.013956405537169037
k_region_count,0.19323565215136468,0.03182110931678739
upper_source_count,-0.10215033763417004,0.00885841225120887
cross_family_overlap_pair_count,0.025895105187043993,0.008520371927534298
power_base_W,0.84907182750412,0.6844907779458733
power_top_h_factor,-0.08203625709576999,0.009178345393485055
power_independent_latent,0.4433025086980406,0.2244000556613781
power_independent_multiplier,0.4433025086980406,0.22515435439350373
total_source_area_fraction,-0.13387543490203258,0.017704335721268838
mean_source_area_fraction,-0.058534380150155656,0.0037601020897106707
source_area_cv,0.006929820545687602,0.0004957468458119951
mean_source_aspect_ratio,-0.04259178721845815,0.0007746415620402125
source_centroid_spread,-0.10256248855520966,0.007670775420726916
source_upper_fraction,-0.026694604385525882,0.00038632871205923625
cross_family_overlap_fraction,-0.029411172710919795,0.00010551789570734105
q_proxy_mean_W_m3,0.6221616919978026,0.31779568102721223
q_proxy_max_W_m3,0.6499782548983702,0.362056866881303
mean_local_k_W_mK,-0.04761032777879509,8.131458950622061e-07
local_k_log_std,0.15754326130745286,0.0508622224458648
background_kz_pcb_fr4_equivalent_W_mK,-0.019198635780992495,0.00017113808688284937
background_kz_bt_substrate_with_vias_W_mK,0.006746703900384544,0.0002942630661354473
background_kz_silicon_interposer_tsv_0p1_W_mK,-0.016308826222303605,0.00048490934145006825
background_kz_bump_underfill_under_interposer_W_mK,-0.0008068577183665995,5.465465301357497e-05
background_kz_silicon_die_lower_W_mK,-0.007925517304522981,0.0006816656755809225
background_kz_tim_between_dies_W_mK,-0.02303836293719099,0.0013219393275808455
background_kz_silicon_die_upper_W_mK,0.0024663523164255626,0.0005203158253667128
background_kz_tim_to_spreader_W_mK,-0.049950787401574805,0.003201467602134578
background_kz_spreader_W_mK,0.007776735030214247,5.187159803687891e-05
