sample_id,split_role,sobol_index,package_total_power_W,continuous_severity,top_h_W_m2K,bottom_h_W_m2K,source_count,k_region_count,total_source_volume_m3,mean_q_W_m3,max_q_W_m3,mean_local_k_W_mK,peak_deltaT_K,mean_deltaT_K,cv_rms_deltaT_K,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,cg_iterations,minimum_support_nodes_per_region,coordinate_sha256,support_index_sha256
v6p1i7_0000,train,0,4.975437626039755,0.021368538960814476,1173.5036726004757,76.78621724994176,5,6,8.859252929687493e-10,5655441850.795343,6319770171.186815,164.01733420604555,47.82173754651774,37.46594960931278,37.76957244020417,0.9600833528790025,0.03991664712914689,-8.149413623303498e-12,9.460265156577002e-11,1386,12,6bfd945ba6e3888f71f4f0e1fc2ee5d6fa2b1396e2c31f99b4196534a090cc85,130b54d8ab32311622903ae950ac5eb468bc399f570fb21eddad16bf74bdbba7
v6p1i7_0001,valid_iid,1,5.456718767382791,0.6902226964011788,733.3366391001614,59.85600785562483,8,6,1.4502716064453116e-09,3903493759.7496934,5709003086.239435,153.09531353830394,78.77880878850641,66.03709865192938,66.33922025048611,0.9430197315709108,0.05698026841433045,1.4758771968362046e-11,9.101293132698293e-11,1760,9,d3a2e762b533d264380708f0dfaed7152a2dd49b4c3b1e65d4ce72a5d317b939,e96163fbc825181ab1634bd2d1c22d1399da7adcc79f48f064bb3014f72657cf
v6p1i7_0002,valid_iid,2,7.851484825165905,0.9247919740155339,665.2920196231596,29.41301573023136,3,7,7.00607299804687e-10,11540074721.700518,13447141314.513445,144.81103460010198,132.6318398135005,110.63086764386892,110.80263892716549,0.9634221182453113,0.03657788175680705,-2.1183856998874026e-12,9.640051346246823e-11,1665,14,8adba22fb7421c169db6b2f831e12348bc60672b2cfacbb17522f518a31b5ec6,00c9827f62bcbc8056d401fb56f068c0bde007ebf2de7215a46df804e366593a
v6p1i7_0003,train,3,6.848644735425189,0.34944423474371433,1294.251878808658,119.3079272035086,10,2,1.7523956298828121e-09,3942352511.1391115,5260415950.576043,57.793730277339336,57.501192462762845,44.88847292530922,45.51462528961453,0.9521890744407417,0.047810925555125984,4.132224856521277e-12,8.990276077937992e-11,1343,11,6632b8267cff4c0236f1ac84db181d7aa0b51c066aa5e70fa2021fb82be326ad,3e9cb3fa7988b4d3f95bb0b422b9b6e529c362027e5446c7785a21376aa8ae7d
v6p1i7_0004,train,4,6.304970753817032,0.39970123302191496,818.9001229351123,25.268292350528768,7,5,1.042404174804687e-09,6533079465.731615,9906361103.77081,108.01344659881822,87.1728453251472,73.45604793853182,73.54504464253954,0.9738856527743001,0.026114347262337946,-3.663804481267921e-11,8.594336625963751e-11,1498,10,2080b13b0de04c4cdeedf94360d5bc6a090f2935316dd5cbbd3c9d97ee049181,a227f8b8449b643210572218e2b877dd453354b32c461802c89a4dc0cf5f8a54
v6p1i7_0005,train,5,7.681097883099545,0.8265508525073528,907.1346172815296,182.07396913692378,6,7,1.1694335937499996e-09,6484062565.774966,8380571648.421881,66.57761354225376,94.65633631991449,66.56490652541846,68.03580953235797,0.9181909863966202,0.0818090136204373,-1.7057569480486864e-11,9.098736446618571e-11,1552,13,e91066dce73dc1d25cc71333ee49baf2608148cbb13b7e353f11eebf5f7e2489,dc3c20981ef7c08954c7683b505612b173ff0dd9e7fcf9c7fc075c2fca0f07f6
v6p1i7_0006,train,6,11.324461664641428,0.5608761161565781,1444.848489326995,89.46304293846397,9,3,1.7042541503906241e-09,6738115565.485056,8641246709.362476,151.15166493435248,88.16385200582408,70.18468864505294,70.64506374928445,0.9595537038348602,0.040446296179184466,-1.4044582035861791e-11,1.0681623399642693e-10,1478,14,8999e7ff14355a1bb31be246fa315a2fb7701aa66c37b6cec8c78d2b6ef780ad,de60885b73c99a632e17313e8877641bdb340823ecb9f9798460dbb48c737ad3
v6p1i7_0007,train,7,2.7382134308732824,0.22802091296762228,513.8417397383538,39.26331408800991,4,2,6.344604492187498e-10,4269491656.918548,5435777650.71991,137.28760440923588,58.593903637014876,47.60703429530415,47.76895921852061,0.944461524380035,0.05553847561417248,5.792556772099387e-12,8.145609348070876e-11,1598,18,0bafd78e5844fe4b8d0d20cbdc9ce77206de35eaeee895986fbd6d87d5eb7e7e,95031706e15a73f843efb8a9b50dddc65e6aadac69ab0f609050de4224128b9a
v6p1i7_0008,train,8,4.534772791572442,0.11762109491974115,1268.465227909254,44.52135712193584,9,7,1.7685699462890616e-09,2601869266.0351515,3620179310.7579904,131.47848607568878,40.31923361816661,33.30181498588017,33.42192697694165,0.9737193610993321,0.026280638913596856,-1.2928919461023027e-11,9.993138842528395e-11,1486,10,d423a8344abfff348e444b5fbe01e2cb78a48047720a423a47255a8b9eaad92f,794f88578973c258d327cd34ea2e4701d50f4043c119ac3c29d6e69c56e14804
v6p1i7_0009,train,9,6.4526776032922015,0.6712406482547522,587.2958195444743,101.45161765644555,4,2,7.621765136718747e-10,8660427001.97589,11514674024.364136,65.85425406149776,120.28389150676782,88.98938846351935,89.93342144759976,0.9035093964017056,0.09649060362663696,-2.834250394777952e-11,8.039008172978464e-11,1483,28,7d740bfc5ef20f8a6aaa7367c5a0f2c021c697992be3f292cd8fc0ed2c4edc23,48dc753801798d3e65135f6c4f498e0edfc3d994e1350f10307accab9f332d93
