family,resolution,graph_count,regional_nodes_mean,p2r_edges_mean,r2r_edges_mean,r2p_edges_mean,p2r_regional_degree_mean,r2p_regional_degree_mean,r2r_out_degree_mean,p2r_zero_degree_nodes_max,r2p_zero_degree_nodes_max,normalized_radius_median,observed_radius_median_m,p2r_edge_length_median_m,r2r_edge_length_median_m,source_p2r_degree_mean,interface_p2r_degree_mean,background_p2r_degree_mean
P1i_sample_varying,1024,32,256.0,2594.8125,4119.25,2594.8125,10.135986328125,10.135986328125,16.0908203125,0.0,0.0,0.20184291363693774,0.0009271003910026271,0.0007159473905210536,0.0018345494741887328,4.177075633862762,2.412235936359695,2.261286812072094
P1i_sample_varying,4096,32,1024.0,11877.96875,17728.375,11877.96875,11.599578857421875,11.599578857421875,17.3128662109375,0.0,0.0,0.1154265315271914,0.0005036275976677689,0.0004234282198918267,0.0010983424273310251,5.042475326727394,2.1764351556583037,1.9631034799310172
P1i_sample_varying,8192,32,2048.0,22700.0625,35973.8125,22700.0625,11.084014892578125,11.084014892578125,17.565338134765625,0.0,0.0,0.09233219490852207,0.000387572227082488,0.00033564597195414036,0.0008382411439607683,4.625713360394024,2.168546866232596,1.9011843241871076
P1i_sample_varying,16384,32,4096.0,38712.21875,73177.1875,38712.21875,9.451225280761719,9.451225280761719,17.865524291992188,0.0,0.0,0.07821103965397924,0.0003497321891998865,0.0002696609135649942,0.0006982722490630631,3.9534693724435424,2.1466149787556996,1.8814520574492968
P1i_sample_varying,32768,32,8192.0,69092.09375,146035.4375,69092.09375,8.434093475341797,8.434093475341797,17.82659149169922,0.0,0.0,0.06753235461656004,0.00031250002793967743,0.00022097096790260737,0.0005658636119328631,3.4121355260507436,2.222381782903798,1.8832344631429376
P1i_sample_varying,65536,32,16384.0,132434.46875,291338.0,132434.46875,8.083158493041992,8.083158493041992,17.7818603515625,0.0,0.0,0.04521186085185036,0.00022097105351338392,0.0001987843999834131,0.000458462274134845,2.9730977136561956,2.3148032926284996,1.8738753214891972
P1h_shared_support,1024,32,256.0,3326.0,3942.0,3326.0,12.9921875,12.9921875,15.3984375,0.0,0.0,0.15061724931001663,0.0006464107988177388,0.0007876240440059144,0.0015388840315306417,3.648275869951595,3.2699799196787147,3.211498652808387
P1h_shared_support,4096,32,512.0,15836.0,7764.0,15836.0,30.9296875,30.9296875,15.1640625,0.0,0.0,0.1369490772485733,0.0006505857016688649,0.0006350444509676501,0.0011443475663101897,4.948825542594275,3.628901408052045,3.8173092998186915
P1h_shared_support,8192,32,1024.0,28902.0,16024.0,28902.0,28.224609375,28.224609375,15.6484375,0.0,0.0,0.10539498925209045,0.000499765472617969,0.0004687500000000004,0.0008975879080742541,4.517723314861952,3.4342568370420183,3.4685400607957413
P1h_shared_support,16384,32,2048.0,58830.0,32654.0,58830.0,28.7255859375,28.7255859375,15.9443359375,0.0,0.0,0.07784438878297806,0.0003513930339868007,0.0003513924376517027,0.0006453254447002057,4.397371723614707,3.4281963096682735,3.55408229920398
P1h_shared_support,32768,32,4096.0,112654.0,65408.0,112654.0,27.50341796875,27.50341796875,15.96875,0.0,0.0,0.0625000074505806,0.00031249999999999995,0.00028428902584018786,0.0004941058844013089,4.0372220091785165,3.3029815102069833,3.414692225542729
