resolution,route,status,data_prepare_s,graph_build_s,jit_first_s,steady_model_median_s,steady_model_mean_s,steady_model_std_s,steady_model_p95_s,interpolation_median_s,interpolation_mean_s,interpolation_std_s,interpolation_p95_s,assembly_median_s,assembly_mean_s,assembly_std_s,assembly_p95_s,linear_solve_median_s,linear_solve_mean_s,linear_solve_std_s,linear_solve_p95_s,steady_end_to_end_median_s,steady_end_to_end_mean_s,steady_end_to_end_std_s,steady_end_to_end_p95_s,cold_end_to_end_s,point_global_true_rms_pct,quality_gate_point_global_lt20,sample_first_cv_pct,raw_cv_rmse_K,oracle_reconstruction_point_global_pct,oracle_reconstruction_sample_first_cv_pct,oracle_reconstruction_raw_cv_rmse_K,peak_rmse_K,source_rmse_K,background_rmse_K,layer_mean_rmse_K,interface_rmse_K,solver_over_inference_speedup,solver_over_end_to_end_speedup,peak_gpu_bytes,peak_ram_bytes
1024,direct,passed,0.0007210872136056423,1.6838189291302115,2.8277310819830745,0.33008366159629077,0.3301288892631419,0.0043729300546377,0.33788076556520535,0.0114125011023134,0.011731650331057608,0.0015325321114605492,0.012569835444446658,,,,,,,,,0.34152807015925646,0.3418605395941995,0.004727875769431329,0.34995800713077185,4.8530780812725425,6477.7186748627855,False,6461.082642998602,9479.530799300437,,,,10563.427218437195,10164.712784435593,9477.35642537281,9792.29323382389,9913.754557308757,0.009688695230196054,0.009364032643590169,78578944,2247737344
1024,interpolate,passed,0.0007210872136056423,4.022077232133597,7.897784907137975,0.32986037840601057,0.330057506239973,0.0048730312156379,0.33557935159187763,0.023774488014169037,0.024371588276699184,0.0022814729300168033,0.02524354686029256,,,,,,,,,0.35399670200422406,0.3544290945166722,0.005839252628402186,0.3673046698211692,12.273858841275796,1.328566906323967,True,1.0243515701481294,1.5029017263930784,0.6824188427619791,0.4869053943086809,0.7143748094131386,0.3999915535556511,1.7610237710912642,1.5020431304369384,1.699447877253717,1.6900676626075992,0.00969525352856188,0.009034208453262567,78578944,2247737344
1024,solver,passed,0.0007210872136056423,,,,,,,0.0,,,,0.00020146544557064772,0.0002154627814888954,4.300396976285864e-05,0.0002612127922475339,0.0029922524699941278,0.003031743562314659,0.0002024875849011857,0.0031194880837574607,0.0031980799976736307,0.0032476282794959843,0.00024327285017977415,0.0033304867218248552,0.005496782949194312,0.7140899407457016,True,1.052155293701618,1.54369461952317,,,,1.0482884579127472,2.3483377588417094,1.5405851521553375,0.8571852342793617,0.5144108995688754,,1.0,78578944,2247737344
4096,direct,passed,0.001027364982292056,3.834362647961825,6.921159622026607,0.3276380959432572,0.33000494897132737,0.00983268513048043,0.34194691748125483,0.011384162004105747,0.011835239885840565,0.0020425025367659245,0.0130018528434448,,,,,,,,,0.33919349184725434,0.34184018885716794,0.00996574530843054,0.3534594982862473,11.094715761835687,450.68202549367396,False,445.8222339323026,654.0986752667204,,,,742.8300385475159,716.4618122079534,653.8985604039401,681.5815266428096,689.1853339018891,0.02068758695415034,0.019982817365996733,180577024,2501713920
4096,interpolate,passed,0.001027364982292056,4.0188844229560345,7.993450529873371,0.3270385644864291,0.3277537410263903,0.004831917405668582,0.33457564415875823,0.02410132996737957,0.02415706468746066,0.0010945077322078495,0.026060757180675867,,,,,,,,,0.3515783684561029,0.351910805713851,0.004706946395100156,0.35886819994775576,12.363913321285509,1.3387456458983338,True,1.0457192016927068,1.534251754326001,0.6943161052980149,0.5249738589955133,0.7702278612034541,0.06997548693126987,1.827724725722481,1.5332667557562656,1.7041038852980248,1.696695208596105,0.02072551171438269,0.01927889258114204,180577024,2501713920
4096,solver,passed,0.001027364982292056,,,,,,,0.0,,,,0.000345600419677794,0.00035812073620036247,2.599172592699453e-05,0.00041477117920294407,0.0064284715335816145,0.00643442387226969,0.00010620235515398673,0.006570978043600917,0.006778041599318385,0.0067929687909781935,0.00012023608515631312,0.0069580225506797435,0.007944606011733413,0.6860846298862829,True,1.0464196011346107,1.535279361996139,,,,0.6896531361429368,1.3550392625868772,1.5357988389390977,0.8579464187049298,0.5150796276125427,,1.0,180577024,2501713920
16384,direct,passed,0.0021694819442927837,4.4834531710948795,8.321401478955522,0.31878099008463323,0.3220650390954688,0.009792966757406263,0.32980546412291006,0.01145813602488488,0.012195083126425744,0.0028187922933418535,0.013082494400441656,,,,,,,,,0.33146209456026554,0.33426012222189455,0.009776780377459342,0.3422154227155261,13.136316744610667,53.08143676974141,False,53.118976885783056,77.93476809366628,,,,98.61027905344963,86.5907553736842,77.90678300801201,80.29438942013684,81.15917169569434,0.13190210314460865,0.1268557814747011,426420992,2571149312
16384,interpolate,passed,0.0021694819442927837,4.043726263102144,7.93796799890697,0.32745180756319314,0.32771831766003745,0.00517277177758537,0.33466966539854187,0.025252847466617823,0.025667497026734053,0.0018675445000312543,0.026850702404044573,,,,,,,,,0.35263592388946563,0.3533858146867715,0.005679068065493487,0.36199415725423023,12.33433018589858,1.343881694718969,True,1.0585628206185949,1.5530955747675126,0.7046685122072458,0.5514375735625097,0.8090547283343953,0.13054041753181878,1.8426194610995932,1.5521259960929823,1.7024963054970483,1.6966637402081435,0.1284093783069717,0.11923879612408335,426420992,2571149312
16384,solver,passed,0.0021694819442927837,,,,,,,0.0,,,,0.0013137840433046222,0.001317392848432064,6.199602836682786e-05,0.0013877255027182401,0.04076283157337457,0.042357712099328634,0.00444690022690167,0.05245614072773606,0.042047883034683764,0.04367590891197324,0.004434836641545015,0.05373798526125029,0.043448747135698795,0.6829063170528376,True,1.0460533386010211,1.5347419912241438,,,,0.11803904683421251,1.1079424364806478,1.5358668675494902,0.8583946107321945,0.5154711096102967,,1.0,426420992,2571149312
65536,direct,passed,0.006757822120562196,5.346743511036038,8.737852910067886,0.3164176205173135,0.318062291899696,0.010872758626527916,0.3314481681911275,0.011553445947356522,0.011857099458575248,0.0016463682900866477,0.012355701485648756,,,,,,,,,0.3281344714341685,0.32991939135827125,0.010911501303617526,0.3424331501242705,14.412730892538093,3.3058607462242566,True,3.218424590170108,4.721988049604031,,,,10.069029331207304,7.157941484585472,4.712594707051305,4.816800589619251,4.918599237258957,0.7553284917185177,0.7283576242810368,1554978048,2661658624
