sample_id,group_id,split_role,variant_id,intended_temperature_bin,realized_temperature_bin,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,peak_deltaT_K,mean_deltaT_K,cv_rms_deltaT_K,projected_peak_deltaT_K,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,cg_iterations,support_coordinate_sha256,layout_hash,solve_and_write_seconds
rb_g000_v0,rb_g000,valid,v0,0,0,1.8000000000000003,333.33,333.33,46.126951274215855,33.85055010991175,35.107474421662765,46.0801953826645,0.7699695210576798,0.23003047908698196,-1.4466178255290172e-10,7.622178846274402e-11,1194,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5798614470113534
rb_g000_v1,rb_g000,valid,v1,0,0,2.4999999999999996,500.0,333.33,46.73899737539938,34.03080059883575,35.28887348777021,46.64544362892491,0.8332446285199493,0.1667553715892125,-1.0916181292230933e-10,7.71598445562521e-11,1143,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.4615349730011076
rb_g000_v2,rb_g000,valid,v2,1,1,6.999999999999998,1000.0,333.33,78.43974893030264,52.429268005984625,54.34971756200717,78.39454543860859,0.9078290330898731,0.09217096694740809,-3.728119400493923e-11,8.867472669275012e-11,1174,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.528803691995563
rb_g000_v3,rb_g000,valid,v3,1,1,6.999999999999998,1000.0,500.0,78.11384466204254,50.55496193259353,52.95279233527732,78.06751825219453,0.8987494365775962,0.10125056345979862,-3.7394849122002995e-11,9.00720115857126e-11,1175,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5585349140164908
rb_g000_v4,rb_g000,valid,v4,2,2,16.5,2050.0,500.0,111.04452453966127,62.48268155153313,65.4432441727426,110.94247502347412,0.9464041038726654,0.05359589614413268,-1.67980915372909e-11,1.192062973085569e-10,1168,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5596647200000007
rb_g000_v5,rb_g000,valid,v5,2,2,16.499999999999996,2050.0,1000.0,108.15252734063347,59.97789961315508,63.793435881020706,108.04654411581538,0.9402180399103367,0.0597819601069911,-1.7327822678398114e-11,1.1477879786825575e-10,1167,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5196920960152056
rb_g000_v6,rb_g000,valid,v6,3,3,12.499999999999996,1000.0,500.0,136.6516696318219,90.26957370420101,94.55176002732061,136.56508695653258,0.8987630861917931,0.10123691383127308,-2.30661711952962e-11,9.917129415592533e-11,1201,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5686184709775262
rb_g000_v7,rb_g000,valid,v7,3,3,12.499999999999996,1000.0,500.0,136.56657193019822,90.2695481862261,94.55149514264409,136.48046576996637,0.8987634576218764,0.10123654240260842,-2.4484787530809634e-11,9.706514334047531e-11,1193,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5340614940214437
rb_g001_v0,rb_g001,train,v0,0,0,1.8000000000000003,333.33,333.33,46.222991016200865,33.83207340937924,35.09144609717748,46.22265838627925,0.770208422721644,0.22979157742346712,-1.451111144825903e-10,7.63577341983511e-11,1185,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.5465833159978501
rb_g001_v1,rb_g001,train,v1,0,0,2.5,500.0,333.33,48.115268999932994,34.00159074345044,35.263106789599945,48.115268999932994,0.8334989989553151,0.16650100115136296,-1.066780219716179e-10,7.90815618141683e-11,1197,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.5274371709965635
rb_g001_v2,rb_g001,train,v2,1,1,7.000000000000001,1000.0,333.33,81.39120461140027,52.332213527601056,54.26371961674716,81.37840299685871,0.9081125588080176,0.09188744122970656,-3.7724109550448955e-11,9.086516157891112e-11,1191,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.5584744730149396
rb_g001_v3,rb_g001,train,v3,1,1,7.000000000000001,1000.0,500.0,80.36754392581668,50.4617719399063,52.8703543992879,80.29291923919567,0.899067315977291,0.10093268406085218,-3.8143123580271416e-11,9.204751809012072e-11,1196,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.560798598016845
rb_g001_v4,rb_g001,train,v4,2,2,16.5,2050.0,500.0,117.24447716851012,62.24623730093004,65.24417884334528,116.98693763951121,0.9467339869385798,0.05326601307795611,-1.6535877044747615e-11,1.1924611964321124e-10,1172,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.5526779379870277
rb_g001_v5,rb_g001,train,v5,2,2,16.499999999999996,2050.0,1000.0,117.02409323378379,59.75890510366662,63.611952129141436,116.73671655196176,0.9405827101363156,0.059417289880395685,-1.6711218267770085e-11,1.1553199454808071e-10,1172,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.544770028005587
rb_g001_v6,rb_g001,train,v6,3,3,12.499999999999996,1000.0,500.0,144.05297453679538,90.10969109847106,94.41222717776613,143.95504733149858,0.8990683527155634,0.10093164730860932,-2.4172752688400587e-11,9.908073742420345e-11,1205,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.6625205199816264
rb_g001_v7,rb_g001,train,v7,3,3,12.500000000000002,1000.0,500.0,144.6175111362495,90.11963788900178,94.422971849977,144.5156218399361,0.8990506767371446,0.10094932328756759,-2.4712161206252854e-11,9.81295895283793e-11,1201,aa53d971f65f325e8b7ab250b179ef5d310a6ef155eef674d30c4bc942aba0f9,0351666a3017ea503704355fecf48b75a51f0e48117fba53b5ce1289e2c46c0e,1.5470468749990687
rb_g002_v0,rb_g002,train,v0,0,0,1.8000000000000003,333.33,333.33,44.82036302900832,33.85614574512714,35.11157884064115,44.79742956970938,0.7698969216236946,0.2301030785183142,-1.4200878127744607e-10,7.651832600646192e-11,1195,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,ace7cc565b95d70fb1f6ae519bb4a0e8131a8b60a72aef012991b5cebef8fbe8,1.5430569229938556
rb_g002_v1,rb_g002,train,v1,0,0,2.5,500.0,333.33,46.501498786072375,34.04216984735499,35.297768792191285,46.4667209862788,0.8331454918460105,0.16685450826069642,-1.0670695438363965e-10,7.974275660455404e-11,1200,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,ace7cc565b95d70fb1f6ae519bb4a0e8131a8b60a72aef012991b5cebef8fbe8,1.5903814360208344
rb_g002_v2,rb_g002,train,v2,1,1,7.000000000000001,1000.0,333.33,77.16135311624828,52.475701446477,54.3859661501317,77.06147277223772,0.9076947061232933,0.09230529391439188,-3.768515658261354e-11,9.000439368959359e-11,1193,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,ace7cc565b95d70fb1f6ae519bb4a0e8131a8b60a72aef012991b5cebef8fbe8,1.4974939110106789
rb_g002_v3,rb_g002,train,v3,1,1,6.999999999999998,1000.0,500.0,75.56693507284893,50.5878162775161,52.975602414725216,75.47388502903277,0.8986377744242138,0.10136222561316323,-3.737700625196438e-11,9.262187954536981e-11,1193,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,ace7cc565b95d70fb1f6ae519bb4a0e8131a8b60a72aef012991b5cebef8fbe8,1.5240169710014015
rb_g002_v4,rb_g002,train,v4,2,2,16.499999999999996,2050.0,500.0,103.74047460399993,62.54528194961433,65.46534977020633,103.53381286713204,0.9463166159242965,0.053683384092797416,-1.7093888594173005e-11,1.1713391223857757e-10,1165,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,ace7cc565b95d70fb1f6ae519bb4a0e8131a8b60a72aef012991b5cebef8fbe8,1.4669966360088438
rb_g002_v5,rb_g002,train,v5,2,2,16.5,2050.0,1000.0,103.67834178290542,60.026836096412126,63.80162170821553,103.07181541899178,0.9401363912148174,0.059863608801603754,-1.6421167456118464e-11,1.1394932578894646e-10,1167,2cd1b1b17d1607f1615c6b59dc7c55f8a233341300df1ee7a17fb34a16156ecd,ace7cc565b95d70fb1f6ae519bb4a0e8131a8b60a72aef012991b5cebef8fbe8,1.517189385020174
