sample_id,group_id,split_role,family,block_index,layer,k_x_W_mK,k_y_W_mK,k_z_W_mK,control_volume_count,bbox_fraction_xy,block_id,source_power_W,power_fraction,source_volume_m3,surface_power_density_W_cm2,q_W_m3
rb_g000_v0,rb_g000,valid,k,0,silicon_die_lower,20.0,20.0,20.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v0,rb_g000,valid,k,1,silicon_die_upper,120.0,120.0,120.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v0,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,0.6679628621022972,0.3339814310511486,3.021240234374998e-10,31.6829037395808,2210889602.5624332
rb_g000_v0,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,0.7225135966200505,0.3612567983100253,2.9541015624999996e-10,31.935585344128228,2445798092.3601055
rb_g000_v0,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,0.6095235412776524,0.3047617706388262,2.471923828124999e-10,37.409792341011624,2465786098.837793
rb_g000_v1,rb_g000,valid,k,0,silicon_die_lower,50.0,50.0,50.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v1,rb_g000,valid,k,1,silicon_die_upper,135.0,135.0,135.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v1,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,1.437872943152375,0.3594682357880937,3.021240234374998e-10,68.20138159218145,4759214202.143137
rb_g000_v1,rb_g000,valid,q,1,silicon_die_upper,,,,352,"[0.8171219196, 0.945138783, 0.268589576, 0.4453170058]",q01,1.4450322004873537,0.3612580501218384,2.9541015624999996e-10,63.871392011941886,4891613134.872893
rb_g000_v1,rb_g000,valid,q,2,silicon_die_lower,,,,288,"[0.1782518421, 0.3216148992, 0.139153815, 0.2528034206]",q02,1.1170948563602716,0.2792737140900679,2.471923828124999e-10,68.56221912947166,4519131389.2856045
rb_g000_v2,rb_g000,valid,k,0,silicon_die_lower,120.0,120.0,120.0,440,"[0.1118471787, 0.272675797, 0.0980259901, 0.2687228623]",k00,,,,,
rb_g000_v2,rb_g000,valid,k,1,silicon_die_upper,140.0,140.0,140.0,560,"[0.5688709837, 0.7307616026, 0.3412989741, 0.5503370649]",k01,,,,,
rb_g000_v2,rb_g000,valid,q,0,silicon_die_lower,,,,352,"[0.0690129029, 0.1975280211, 0.4202557918, 0.5843046149]",q00,3.075368696473845,0.3844210870592306,3.021240234374998e-10,145.8712989932346,10179159742.025759
