sample_id,group_id,split_role,variant_id,intended_temperature_bin,realized_temperature_bin,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,peak_deltaT_K,mean_deltaT_K,cv_rms_deltaT_K,projected_peak_deltaT_K,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,cg_iterations,support_coordinate_sha256,layout_hash,solve_and_write_seconds
rb_g000_v0,rb_g000,valid,v0,0,0,2.0,333.33,333.33,51.252168081894354,37.61172234388573,39.00830491247945,51.200217091279114,0.7699695210480763,0.23003047908425536,-1.3233161788583914e-10,7.678096143766413e-11,1196,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.569264818012016
rb_g000_v1,rb_g000,valid,v1,0,1,3.9999999999999996,500.0,333.33,74.7823957983756,54.44928095623577,56.46219757846669,74.63270980401194,0.8332446284908319,0.1667553715831208,-7.39526773152477e-11,7.76426357655672e-11,1156,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.4505075759952888
rb_g000_v2,rb_g000,valid,v2,1,1,7.999999999999998,1000.0,333.33,89.64542734863483,59.919163435192466,62.11396292778157,89.59376621527201,0.9078290330864661,0.09217096694707685,-3.3542960076182744e-11,9.084156909321252e-11,1176,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.4901473130157683
rb_g000_v3,rb_g000,valid,v3,1,3,11.999999999999996,1000.0,500.0,133.90944799069638,86.66564902621882,90.77621543077413,133.8300312881007,0.898749436566324,0.10125056345842445,-2.474842553112922e-11,9.692468289135405e-11,1185,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5132263119739946
rb_g000_v4,rb_g000,valid,v4,2,,23.899999999999995,2050.0,500.0,160.8463113024822,90.50521751966146,94.79354761948446,160.6984941244815,0.9464041038690197,0.05359589614360551,-1.2625289005790896e-11,1.1204186653348376e-10,1174,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5149921299889684
rb_g000_v5,rb_g000,valid,v5,2,,31.999999999999993,2050.0,1000.0,209.75035605362473,116.32077500640047,123.72060291987617,209.54481282977588,0.9402180399045673,0.05978196010590197,-1.0469271283231054e-11,1.0853166733033989e-10,1176,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5021628920221701
rb_g000_v6,rb_g000,valid,v6,3,,40.0,2500.0,1000.0,230.3940047858174,121.44866148760863,129.19687061544317,230.13173002219037,0.9498721877614333,0.05012781224696907,-8.402367690507618e-12,1.0710380677801598e-10,1178,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.4903533509932458
rb_g000_v7,rb_g000,valid,v7,3,,47.79999999999998,2500.0,1000.0,274.999069832318,145.1332722491875,154.3900399515077,274.6875500176461,0.9498714155348438,0.05012858447296271,-7.806493712732506e-12,1.060001650731039e-10,1178,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5032406490063295
rb_g023_v0,rb_g023,train,v0,0,0,2.0,333.33,333.33,48.63735171306109,37.598539043117,38.994448776384054,48.62511556421265,0.7701241622024576,0.22987583793036576,-1.3282336341902123e-10,7.688674720867582e-11,1190,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.5278300030040555
rb_g023_v1,rb_g023,train,v1,0,1,4.0,500.0,333.33,71.41386943000106,54.41871621503052,56.428760361123224,71.29265029408299,0.8334112982974068,0.16658870177563598,-7.304276627984052e-11,8.028216199378552e-11,1198,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.5345157959964126
