sample_id,group_id,split_role,variant_id,intended_temperature_bin,realized_temperature_bin,package_total_power_W,top_h_W_m2K,bottom_h_W_m2K,peak_deltaT_K,mean_deltaT_K,cv_rms_deltaT_K,projected_peak_deltaT_K,top_heat_fraction,bottom_heat_fraction,energy_balance_relative_error,linear_residual,cg_iterations,support_coordinate_sha256,layout_hash,solve_and_write_seconds
rb_g000_v0,rb_g000,valid,v0,0,0,1.8000000000000003,333.33,333.33,46.126951274215855,33.85055010991175,35.107474421662765,46.0801953826645,0.7699695210576798,0.23003047908698196,-1.4466178255290172e-10,7.622178846274402e-11,1194,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5773489190032706
rb_g000_v1,rb_g000,valid,v1,0,0,2.4999999999999996,500.0,333.33,46.73899737539938,34.03080059883575,35.28887348777021,46.64544362892491,0.8332446285199493,0.1667553715892125,-1.0916181292230933e-10,7.71598445562521e-11,1143,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.4586888719932176
rb_g000_v2,rb_g000,valid,v2,1,1,6.999999999999998,1000.0,333.33,78.43974893030264,52.429268005984625,54.34971756200717,78.39454543860859,0.9078290330898731,0.09217096694740809,-3.728119400493923e-11,8.867472669275012e-11,1174,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.501725980982883
rb_g000_v3,rb_g000,valid,v3,1,1,6.999999999999998,1000.0,500.0,78.11384466204254,50.55496193259353,52.95279233527732,78.06751825219453,0.8987494365775962,0.10125056345979862,-3.7394849122002995e-11,9.00720115857126e-11,1175,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5245012989907991
rb_g000_v4,rb_g000,valid,v4,2,2,16.5,2050.0,500.0,111.04452453966127,62.48268155153313,65.4432441727426,110.94247502347412,0.9464041038726654,0.05359589614413268,-1.67980915372909e-11,1.192062973085569e-10,1168,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.5022067359823268
rb_g000_v5,rb_g000,valid,v5,2,2,17.0,2050.0,1000.0,111.4298766539601,61.795411722622866,65.72657030163458,111.32068181626755,0.9402180399099886,0.05978196010697062,-1.69592314048326e-11,1.1657603347874898e-10,1167,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.4898643050109968
rb_g000_v6,rb_g000,valid,v6,3,3,24.999999999999993,2500.0,1000.0,143.9962529915104,75.90541342998974,80.74804413489291,143.83233126421334,0.9498721877645435,0.05012781224719326,-1.1736798199990521e-11,1.1076859193790246e-10,1171,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.496559258986963
rb_g000_v7,rb_g000,valid,v7,3,3,24.999999999999993,2500.0,1000.0,143.82796539387692,75.90652314324079,80.74792884528154,143.6650366204209,0.9498714155389493,0.050128584473466534,-1.2415810601851267e-11,1.1100637775784686e-10,1170,78e3f01870ce26eebfbabce3af7ed80c20696b9413a0f87307cf2cb49426863d,fa9fa33ddb2cc0515c137572aedaef4f7732e80af28bd3fd00dcf13da212e9da,1.4959409389994107
rb_g023_v0,rb_g023,train,v0,0,0,1.8,333.33,333.33,43.773616542272464,33.83868513922483,35.09500389918073,43.762604008307505,0.7701241622120798,0.22987583793322408,-1.4530392321453353e-10,7.658507404270398e-11,1189,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.4685030310065486
rb_g023_v1,rb_g023,train,v1,0,0,2.5,500.0,333.33,44.63366839520603,34.01169763557274,35.26797522692336,44.55790643525131,0.8334112983265248,0.16658870178147428,-1.0799909855307988e-10,7.883229999832048e-11,1188,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.4642704720026813
rb_g023_v2,rb_g023,train,v2,1,1,6.999999999999999,1000.0,333.33,72.46013691461951,52.363993560031325,54.27068575605234,72.09974041634706,0.9080195436655232,0.0919804563730564,-3.8579615692567264e-11,8.929739329941443e-11,1174,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.4549021889979485
rb_g023_v3,rb_g023,train,v3,1,1,6.999999999999999,1000.0,500.0,71.99864347385807,50.48950911514451,52.87232042226379,71.63070757523855,0.8989727269369585,0.10102727310254303,-3.950156075254492e-11,9.154229093542154e-11,1181,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.4650746329862159
rb_g023_v4,rb_g023,train,v4,2,2,16.5,2050.0,500.0,96.95576022679165,62.30983129350842,65.19067381491861,96.12407789016362,0.9466458786744577,0.05335412134320784,-1.7665498693493948e-11,1.167943764634742e-10,1165,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.4475007640139665
rb_g023_v5,rb_g023,train,v5,2,2,17.0,2050.0,1000.0,99.22314759072282,61.62217409880205,65.47032385788815,99.10830418411683,0.9404982802100142,0.05950171980630046,-1.6314753469761373e-11,1.160451330065179e-10,1169,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.5046994360163808
rb_g023_v6,rb_g023,train,v6,3,3,25.0,2500.0,1000.0,126.2008262533763,75.66334305145413,80.36659729484339,126.04213378620807,0.9501359820664192,0.04986401794689686,-1.3316165947685477e-11,1.1066455497231043e-10,1146,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.447047294001095
rb_g023_v7,rb_g023,train,v7,3,3,25.0,2500.0,1000.0,126.13641890797385,75.66128617669581,80.36489891742536,125.98104326469883,0.950138239136688,0.049861760875511155,-1.2199166121718009e-11,1.1100455254873502e-10,1165,e894c8e721e14291ac9cd1d2ca8c09ed637b7a9108eb886a8507438ad7d85b59,044f3250df3d9646b72cfd9a8f65b6a90381e7ad03a8b20c71de6212a1a99756,1.4943606129963882
